Quoting Ref,Quoted Ref,Score,Quote Num,Snippet
Haggahot and Marei Mekomot on Tractate Kallah Rabbati 6:9:4,,-40,0,(ירמיה יב):
Haggahot and Marei Mekomot on Tractate Kallah Rabbati 6:9:3,,-40,0,(ישעיה נז):
Haggahot and Marei Mekomot on Tractate Kallah Rabbati 6:9:2,,-40,0,(משלי יא):
Tosafot on Zevachim 42b:9:1,Menachot 14a:12,-40,0,הקומץ - הקשה בקונטרס בהקומץ זוטא (מנחות דף יד.) למה לי דאין לו מתירין אלא הוא עצמו מתיר אחרים כדאיתא בגמ' תיפוק
"HaKtav VeHaKabalah, Exodus 12:41:1",Shevuot 35a:27,-40,0," בכחו וברצונו (עיי' ר""ש ב""מ ורש""י ש""א א' י""א), וזה ניחא לר' יוסי (שבועות ל""ה) דשם צבאות נמחק, אמנם למאי דקי""ל שהוא מן שאינם נמחקים ודומה לשם "
"HaKtav VeHaKabalah, Exodus 12:41:1",I Samuel 1:3,-40,0," מוסב על השמים לבד, רק בדברי רבותינו נאמר גם על ברואי מטה. (ערש""י ש""א א' בשם אגדת ריה""ג), ובדרך זה יתבאר גם שם צבאות שהוא ית' מתואר בו, ויתיישב"
"HaKtav VeHaKabalah, Exodus 12:41:1",I Kings 2:24,-40,0," שבידו ילך וישוב לביתו) לא נקראו בשם חיל כ""א צבאות ה', צבאות ישראל (מ""א ב'), וטעמו מאסף אנשים המאוחדים ומחוברים יחד בחפץ נפשם לעמוד תחת משמ"
"Torah Temimah on Torah, Genesis 1:4:1",Yoma 38b:11,-40,0," אלא גנזו, ומבואר דראויה בריאה מיוחדה להברא עבור צדיק אחד, ודו""ק. .(יומא ל""ח ב')
"
Tosafot on Avodah Zarah 17b:8:1,,-40,0," לביישם וודאי מסברא חזר ופרעם משלו לכיס של פורים ולשון נתחלפו כמו (ב""ב דף יז.) אויב באיוב נתחלף לו פירוש שסבר לקחת אויב ולקח איוב וכך היה סבור"
Rosh on Shevuot 7:10:1,,-40,0,) דרב נחמן דשמא לא חשיב הכא כלל דררא דממונא או אם כבר גבה באחת מן
"Rabbeinu Bahya, Bereshit 1:14:9",,-40,0," והזוהר, וראיה מן הכתוב שאין לה אורה מצד עצמה הוא מה שאמר הקב""ה לאיוב (איוב לו) בשומי ענן לבושו וערפל חתולתו, ולפי שאפודת הרקיע אשר למעלה על רא"
Magen Avraham 266:7,,-40,0," ואם היא מלמעלה רחבה ד' אף על פי שלמטה אינה רחבה ד' הוי רה""י (תו' שבת דף ק""א) מיהו בגבוה י' לא מחייב כדאיתא בשבת דף ח' לענין כורת: 
"
Tosafot on Meilah 4b:24:2,Leviticus 11:26,-40,0, לאו כזרוק דמי אלא לענין טומאת אוכלין משום דלא קרינן בה אשר יאכל (ויקרא יא) אלא לאחר זריקה אבל הכא כיון דעומד ליזרק מיד פקעי קדשי ה' דכזרוק
"Torah Temimah on Torah, Exodus 13:21:3",Avodah Zarah 11a:10,-40,0," לשרת להגדול ממנו, ואלו בהקב""ה הוא מאיר לישראל כמבואר בפרשה זו. .(ע""ז י""א א׳)
"
"Torah Temimah on Torah, Leviticus 7:23:4",,-40,0," הקרבת חלבו ביחוד כמו בבהמה, והא דנקרב הוא ביחד עם הבשר ואגב הבשר.
.(כריתות ד' א')
"
"Zohar Chadash, Bereshit 529",Song of Songs 2:3,-57.836245274061554,0," תדשא הארץ דשא עשב מזריע זרע עץ פרי עושה פרי למינו. רבי יצחק פתח, (שיר השירים ב) עורי צפון ובואי תימן הפיחי גני יזלו בשמיו יבא דודי לגנו ויאכל פ"
"Torah Temimah on Torah, Leviticus 7:23:1",Yoma 74a:5,-64.13573173250884,0," אצטריך להיקש אזהרה לעונש דבו לא היה להוכיח היתר מלשון לא תאכלו.
.(יומא ע""ד א')
"
"Torah Temimah on Torah, Leviticus 7:23:3",Chullin 117a:12,-40,0," מה שלצד פנים וגם צריך להסיר חוטי האליה מפני שיונקים מחלב הכליות.
.(חולין קי""ז א')
"
"Alshich on Torah, Exodus 15:20:1",I Samuel 16:12,-40,0," האנשים שוררו הנשים קודם למלאכי השרת וע""כ הוצרכה לעורר בתוף כענין (שמואל א' י""ו) והיה כנגן המנגן לו' השיר' גם ברוח הקדש כי הוא גדר נבואה בהקיץ א"
"Alshich on Torah, Exodus 15:20:1",,-40,0," מחולות האם לא היתה דיים תופים כמרים כ""א גם מחולות. אמנם הנה ארז""ל (סוטה דף י""ב) על פסוק ותתצב אחותו מרחוק כי עד שלא נולד משה אמרה מרים לאביה ול"
"Torah Temimah on Torah, Deuteronomy 23:5:3",,-40,0," ויאכל לחם זכו בני בניו וישבו בלשכת הגזית עיין לפנינו בפ' שמות.
.(סנהדרין ק""ג ב')
"
"Torah Temimah on Torah, Deuteronomy 23:5:2",,-40,0," מלך פנימה והארכנו בענין זה בפ' וירא בפסוק הנה באהל יעו""ש בארוכה.
.(יבמות ע""ג א')
"
"Arukh HaShulchan, Yoreh De'ah 296:1",Kiddushin 39b:8,-40,0," מותרים בהנאה אבל כלאי הכרם אסרה תורה בהנאה לפיכך גזרו על זה גם בח""ל (קדושין ל""ט:) ומניין לנו שאסרה תורה בהנאה דכתיב פן תקדש ובאה הקבלה דתקדש הם ש"
Rashba on Kiddushin 66b:3,Yevamot 32b:5,-87.04823543500405,0," גמור הוא לכל דבר שבקדושה וראוי למנותו כהן גדול, כדתנן בפרק החולץ (יבמות לב, ב) הכונס את יבמתו ונמצאת מעוברת כו' ספק בן ט' לראשון ובן ז' לאחרון"
Kitzur Baal Haturim on Leviticus 19:28:1,Makkot 21a:14,-40,0,"קעקע בגי' שם. שכותב שם הטומאה (מכות דף כא):

"
Sefer HaChinukh 92:2,Pesachim 25a:3,-35.25988003435004,0," שאם אולי נעשה התערבת לבל נאכלהו ולא נהנה בו להרחיק הענין. ואפילו (פסחים כה א) אכלו מבלי שנהנה ממנו כלל, לוקה, מה שאין כן בשאר כל אסורי המאכלו"
Rashi on Sanhedrin 47a:1:2,,-40,0, האחרים ולכבוד עצמו לא חש ומפני כבוד אב נמי ליכא למיחש דנשיא בעמך כתיב (שמות כב) בעושה מעשה עמך נבזה בעיניו הוא עצמו נתבזה ונמאס בפני עצמו שלא ח
"Siftei Chakhamim, Genesis 41:6:2",Yoma 21b:10,-40,0," מזרחית שקורין ביש""א. דק""ל דכאן משמע שרוח מזרחית רע הוא ובמקום אחר (יומא כא:) אמרינן דרוח מזרחית הוא טוב יותר מכל הרוחות וסימן ברכה הוא לעולם"
"Rabbeinu Bahya, Shemot 2:12:3",,-40,0,") והיה מספר בני ישראל כחול הים, החול הזה אדם נוטלו מכאן ונותנו בכ"
Zohar 3:278a:1,Malachi 1:14,-40,0," דאינון מלאכי השרת ממש. ובגין דא אוקמוה מארי מתניתין, על בר נש אי יהא (מלאכי א) כמלאך יי' צבאות תורה יבקשו מפיהו, ואי לאו לא יבקשו תורה מפיהו. "
"Likutei Halachot, Orach Chaim, Laws of Morning Hand Washing 2:7:1",,-40,0,"), כי עקר תקף הנס של פסח נמשך משבת כנ""ל וזהו בחינת השבת שלפני פסח"
Tosafot on Bava Metzia 48a:13:1,Yevamot 36a:16,-40,0," נמי מוקים לה בבלן נכרי כדפרי' ואין ראיה מדלא חשיב לה רבא בפ' החולץ (יבמות דף לו. ושם) בהדי ג' מילי דהלכה כריש לקיש משום דר""ל לאו משמיה דנפשיה אמר"
Tosafot on Bava Metzia 48a:13:1,Gittin 38a:17,-54.21611720972231,0," ילפינן בעבד עברי מאמה העבריה והא לא שייך בנכרי ואע""ג דבפ' השולח (גיטין ד' לח. ושם) אמרי' דנכרי קונה ישראל בחזקה היינו דוקא בחזקה של כיבוש במלח"
Tosafot on Bava Metzia 48a:13:1,,-40,0," התם הכי ויסבור דגזל הכנעני אסור דפלוגתא דתנאי איכא בפרק המקבל (לקמן בבא מציעא דף קיא:) ובהגוזל (קמא) (ב""ק דף קיג:) איתא נמי דסבר דגזל הכנעני אסור דאי "
"Torah Temimah on Torah, Genesis 30:27:1",II Kings 1:18,-40,0," כן, משא""כ ביוסף הכתוב מעיד על זה שמאת ה׳ היתה זאת, ודו״ק. .(ברכות מ""ב א')
"
"Torah Temimah on Torah, Genesis 30:27:1",,-40,0," והוא אמר כן, משא""כ ביוסף הכתוב מעיד על זה שמאת ה׳ היתה זאת, ודו״ק. .(ברכות מ""ב א')
"
Kli Yakar on Deuteronomy 6:4:2,Chagigah 3b:1,-40,0," שמע העי""ן גדולה, ובמלת אחד הדל""ת גדולה, רמז למה שאמרו במדרש (תוס' חגיגה ג: ד""ה מי כעמך) שהקב""ה וישראל מעידין זה על זה כו' כמ""ש (ישעיה מג י)"
"Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 7:6:3",,-40,0,"וכיצד כותבין ס''ת וכו'. בפר''א דמילה (שבת דף קל''ג) התנאה לפניו במצות ס''ת נאה בדיו נאה בקולמוס נאה בלבלר אומן: 
"
"Meshech Hochma, Naso 13",,-40,0," שנשים חייבות לראותה, שנאמר ונוסרו כל הנשים ולא תעשנה כמזימתכם כו' (סוטה ח'), ונשים חייבות בשמחה ובאות ברגל לירושלים, לכן אמר והקריב אותה לב"
Akeidat Yitzchak 100:1:4,II Kings 2:2,-40,0," יוכיח על זה הענין מעשה אליהו ז""ל בהעתקו ממסע למסע עד הלקחו אל האלהים (מלכים ב' ב') סוף דבר שמלאכה המיוחדת אל האדם הנלבב היא ההליכה המתמדת בדרך הזא"
Akeidat Yitzchak 100:1:4,,-40,0," וגו' (משלי כ""ו). ועל זה נאמר סלו סלו פנו דרך הרימו מכשול מדרך עמי (ישעיה כ""ז). ומה גם עתה בהיות רובי רובם מכוונים ברוע בחירתם לסור מני דרך ול"
Zohar 3:9b:1,Exodus 12:3,-40,0," קמי קודשא בריך הוא. ובגין דאיהו אקריב קרבנא לקודשא בריך הוא, כתיב, (שמות יב) ויבא אהרן וכל זקני ישראל לאכל לחם עם חותן משה לפני האלהים. לפני"
Jerusalem Talmud Ketubot 19a:3,Deuteronomy 22:24,-40,0,מאי טעמא דרבי יוסי הגלילי (דברים כב) אשר לא אורשה [ורבי עקיבה אשר לא אורשה] עד שלא נתארסה נותן לאביה
Jerusalem Talmud Berakhot 35b:1,I Kings 5:15,-40,0, ירושלם כתוב אחד אומר (הושע ה) אלך ואשובה אל מקומי וכתוב אחד אומר (מלכים א ה) והיו עיני ולבי שם כל הימים הא כיצד פניו למעלה ועיניו ולבו למטה.
Jerusalem Talmud Berakhot 35b:1,,-40,0, יכוין את לבו כנגד בית קדשי הקדשים.  היא אסדא היא אסכריא היא רפסודות (דברי הימים ב כב) ונביאם לך רפסודות אל ים יפו:
"Teshuvot Maharam, Berlin Edition, Part II 51:1",Niddah 59b:6,-40,1," בנמצא על המים ואפי' בתרתי לריעותא. מיהו לפיר""ח דפי' ה""מ בדיעבד כו' (נדה נ""ט ע""ב) דברישא דחדא ספיקא יא לא מטהרי' אלא בדיעבד דלא מטהרי' לכתחלה א""כ"
"HaKtav VeHaKabalah, Leviticus 27:20:1",Arakhin 5a:38,-52.89972531255227,0," לכהנים ביובל. אמנם לגרסת הרמב""ם אינה יוצאה לכהנים ביובל, וכ""פ (פ""ד מערכין ה""כ) אם גאלה אחר מיד ההקדש וחזר המקדיש וגאלה מידו חוזרת לו לעולם ו"
Malbim on Obadiah 1:19:1,,-40,0," לישוב, ועבר הירדן היה מגביל נגד אפרים כמבואר ביהושע סי' ט""ז ומבואר (שמואל ב' י""ח) שיער אפרים נמשך עד לעבר הירדן המזרחי, ששם לחמו אנשי דוד עם אנשי"
"Pri Tzadik, Parshat Shekalim 14:1",Bava Metzia 33a:14,-40,0," :) ועל זה הוצרכו ישראל לברכה לפי המנין ואחר כך כמ""ש בזוהר הקדוש "
Rashi on Deuteronomy 29:28:1,Sotah 37a:3,-40,0," הירדן, משקבלו עליהם את השבועה בהר גרזים ובהר עיבל ונעשו ערבים זה לזה (סוטה ל""ז; עי' סנהדרין ע""ג):"
Rashi on Deuteronomy 29:28:1,,-40,0," עליהם את השבועה בהר גרזים ובהר עיבל ונעשו ערבים זה לזה (סוטה ל""ז; עי' סנהדרין ע""ג):"
"HaKtav VeHaKabalah, Leviticus 27:10:1",Chullin 81a:15,-40,0," נמי כמו דלקי על לאו חד דלא ניתק לקי נמי על לאו דלא ניתק. ועתוס' (חולין פ""א ד""ה הנח למחוסר זמן) דהך דתמורה לא הוי ניתק גמור דאין כאן מעשה לת"
"HaKtav VeHaKabalah, Leviticus 27:10:1",,-40,0," נינהו, ותמה עליהם הרב בלחם משנה (ריש הלכות תמורה) שהם נגד ברייתא (דתמורה ט') דתרוייהו צריכי, וכמו שכתב תוס' עצמם באידך תירוצא, ע""ש. ולדברינו"
"HaKtav VeHaKabalah, Leviticus 27:10:1",,-40,0," בקדושתה, והיאך יכול להחליפה דהיינו להוציאה מקדושתה, הג', מדאמרי' (תמורה ה' ב') לאביי דסובר כל מילתא דא""ר ל""ת אי עבד מהני אצטרך והי' הוא ותמורתו"
"HaKtav VeHaKabalah, Leviticus 27:10:1",Menachot 79b:12,-40,0," אינו מפורש דהוי תמורה רק בלשון המרה לא בלשון חליפה. הה'. במתני' (דמנחות ע""ט ב') קראו בשם חליפה לבהמה שהופרשה תחת הנאבד. מכל הלין מבואר שאין הב"
"HaKtav VeHaKabalah, Leviticus 27:10:1",Shevuot 5a:7,-40,0," לעצמו) משמעותה אכילה פרטית ומצומצמת, וגם כזית בכלל. (ערמב""ם פרק ד' דשבועות ה""ג ובכ""מ שם. ועי' מה שכתבתי בבא, ואכלתם אותו בחפזון, על מצות ומרו"
Teshuvot HaRivash 82:2,Nazir 12a:1,-40,0," גם השליח לא נעשה שלוחו עליה כמו שמתבאר כל זה במס' נזיר (פ' הריני נזיר יב.)והביא הרי""ף ז""ל אותה השמוע' בהלכו' (בפרק האיש מקדש) ולדעת הרמב""ן"
Ohr Yisrael 31:2,Deuteronomy 9:19,-40,0," וכו'. גם כן מפלא מאד. הלא גם אהרן היה לו בתחלה וגם בסוף, כמאמר הכתוב (דברים ט') ובאהרן התאנף וגו':"
Mekhilta d'Rabbi Yishmael 15:2:2,Hosea 5:13,-40,0, רצונו של מקום אז מתגדל שמו בעולם שנ' ויהי כשמוע כל מלכי האמורי וגו' (יהושע ה) וכן אמרה רחב לשלוחי יהושע כי שמענו את אשר הוביש ה' ואומר ונשמע 
"Torah Temimah on Torah, Numbers 34:18:1",,-40,0," ושם באותו הפסוק בפ' קרח (י""ח כ""א) בארנו ענין זה, יעו""ש.
.(קדושין מ""ב א׳)
"
"Torah Temimah on Torah, Numbers 34:18:1",,-40,0," אפטרופסין, ושם באותו הפסוק בפ' קרח (י""ח כ""א) בארנו ענין זה, יעו""ש.
.(קדושין מ""ב א׳)
"
Mekhilta d'Rabbi Yishmael 15:2:1,,-40,0," ו) ורוח הקדש צווחת ואומר' מן השמים [ומי כעמך ישראל גוי אחד בארץ (שמ""ב ז)] ישראל אומר מי כמכה באלים ה' ורוח הקדש צווחת ואומרת מן השמים אש"
Metzudat Zion on Daniel 1:3:2,Esther 8:1,-40,0,הפרתמים. ענין שררה ועושר וכן חיל פרס ומדי הפרתמים (אסתר ח) והיא מלה זרה ואולי היא מלשון כשדים וכמוהו רבים ימצאו בזה הספר א
Tosafot on Yevamot 90a:1:1,Yevamot 113b:5,-40,0, בתרומה דאורייתא ומשום דקטן אוכל נבילות הוא דהא בעיא היא בפ' חרש (לקמן יבמות קיג: וקיד. ושם) אי בית דין מצווין להפרישו או לא ולא איפשיטא ועוד דאוכ
Tosafot on Yevamot 90a:1:2,,-40,0," תרומות (פ""ז מ""א) א""נ מיחייב משום דמדאגבהה קנייה כדאמר באלו נערות (כתובות דף לא: ושם):"
"Kad HaKemach, Rain 1:6",,-40,0,) וימנעו רביבים ומלקוש לא היה וכתיב בתריה הלא מעתה קראת לי אבי אל
"Shenei Luchot HaBerit, Shaar HaOtiyot, Shetikah 13",Shabbat 55a:12,-40,0,"וחותמו של הקב""ה אמת (שבת נה, א), ומעשר אמת הוא כמנין יו""ד ה""א וא""ו ה""א, כי לאל""ף אין מעשר, נמצא"
Tosafot on Bava Metzia 19b:9:1,,-40,0," ד""ה הא):"
"Rabbeinu Bahya, Devarim 22:7:6",Deuteronomy 25:15,-40,0," הללו הוא אריכות ימים, אלא שבמצות כבוד אב ואם הזכיר על האדמה, וכן (דברים כה) במשקלות, וכאן בשלוח הקן אמר למען ייטב לך והארכת ימים, ולא הזכיר"
"Rabbeinu Bahya, Devarim 22:7:3",,-40,0," ידעת שמצות הכנסת אורחים פרי שכרה בנים, והראיה שרה אמנו, גם השונמית (מלכים ב ד) שקבלה לאלישע, וכן יש מצוה ששכרה אריכות ימים כמצות כבוד אב ואם ו"
Malbim Beur Hamilot on Jeremiah 49:5:1,,-40,0,"ונדחתם לנודד.  הנדח הוא ממקומו, והוא מקובץ לפעמים, עמ''ש (ישעיה י''א), אבל הנודדים ממקום למקום יתפזרו וקשה שיתקבצו :
"
"Rabbeinu Bahya, Devarim 22:7:8",I Samuel 1:9-10,-40,0," ההיא היא מקום הבנים שם עמדה חנה בכונת התפלה כששאלה בנים ממה שאמרה (שמואל א א) ותתפלל על ה', שם הוא העולם שכלו טוב העולם שכלו ארוך שנאמר (תהלי"
"Rabbeinu Bahya, Devarim 22:7:8",Psalms 37:11,-40,0,") והתענג על ה', לכך חתם מצוה זו בשכרה למען ייטב לך והארכת ימים. ואמרו"
"Rosh on Niddah, Hilchot Mikvaot 6:1",Bava Batra 65a:3,-40,0," כלי ע""י אותה גומא והמים העוברים על הגומא הוו שאובין.  והא דתניא (ב""ב דף סה.) צינור שחקקו ולבסוף קבעו היינו שחקק בו גומא ואפילו קבעו אחר שחקק"
"Torah Temimah on Torah, Deuteronomy 33:16:2",Psalms 79:6,-40,0," סנה. [תניא, הרי אמרו שכינה לא שרתה אלא בחלקו של בנימין, והא כתיב (תהלים ע""ט) ויטש משכן שילה וימאס באהל יוסף], א""ר אבהו, כתיב ורצון שכני סנה,"
"Torah Temimah on Torah, Deuteronomy 33:16:1",Zevachim 118b:6,-40,0," מעלה אבל אתה אוכל בכל מקום שאתה רואה כפי שבארנו במקומו (י""ב י""ג).
.(זבחים קי""ח ב')
"
Tosafot on Rosh Hashanah 6a:7:1,,-40,0, מלמד שכופין אותו. כל מצות עשה נמי כופין כדאמר בפרק נערה שנתפתתה (כתובות דף מט: ושם) מכין אותו עד שתצא נפשו והא דאיצטריך קרא הכא משום דסלקא דעתא
"Chayei Adam, Shabbat and Festivals 129:11",,-40,0," המגן אברהם קשה הא מפקיע מחלה בידים כנ""ל לפסק הלכה עכ""ל (ע""ש במסכת ביצה דף ה' ברא""ש):"
"Likutei Halachot, Choshen Mishpat, Laws of Guaranteeing 3:7:1",,-40,0,"), כי על ידי הרצון נתהפכין כל העוונות לזכיות, כי עקר התשובה הוא ב"
Rashba on Bava Metzia 65b:3,Bava Metzia 77b:19,-40,0," בכסף או בשטר, קנה הקרקע לגמרי, וזוזי הוו מלוה על פי על הלוקח (לקמן בבא מציעא עז, ב), וכדמוכח נמי בפ""ק דב""ב (ה, א), גבי סמך לו כותל אחד מגלגלים עליו"
"Beur HaGra on Shulchan Arukh, Yoreh De'ah 331:42",Keritot 9a:70,-40,0," בזה""ז שתעקר כו' [ועפ""ו דיומא ס""ו א'] וכן גר שבטלו לקינו (ר""ה ל""א ב' כריתות ט' א'): (ליקוט) ויכול להניחה כו'. טור והוא מדברי סה""ת וז""ל ונותנו אות"
