Quoting Ref,Quoted Ref,Score,Quote Num,Snippet
"Torah Temimah on Torah, Leviticus 25:46:3",Ketubot 43a:15,18.803724845853953,0," לבניכם, מגיד שאין אדם מוריש זכות בתו לבנו רלבכמש""כ בדרשה הקודמת. .(כתובות מ""ג א') "
Akeidat Yitzchak 104:1:4,Malachi 3:23,18.673963173889362,0, אתה אומר הנה שולח לכם את אליה הנביא לפני בוא יום יי' הגדול והנורא (מלאכי ג') אם עלה על דעתינו שלאחר ביאה היה אליהו מתנבא לישראל מה תלמוד לומ
Tosafot on Zevachim 119b:26:1,Zevachim 43a:8,17.204836886363104,0," דאי בלא משלה אמאי אמר רב יוסף אם ירדו יעלו הא אמרינן פרק ב""ש (לעיל זבחים מג.) כשם שאם עלו לא ירדו כך אם ירדו לא יעלו וכל שכן בשחיטת דרום דגרו"
Rashi on Yoma 52b:2:1,Exodus 25:34,-5.912387648869192,0,משוקדים - ארבעה גביעים משוקדים (שמות כה) או משוקדים כפתוריה ופרחיה:
Rashi on Avodah Zarah 28a:14:5,Avodah Zarah 30a:15,-0.2850694104793696,0,) טילא חריפתא דמצרי זיקי:
Yad Ramah on Bava Batra 2a:6,Eruvin 13b:15,8.025540118258098,0," דהוו להו לבנים בני שלשה טפחים והוה ליה ארחא טפח ומחצה כדקתני התם (עירובין יג,ב) והאריח חצי לבנה של שלשה טפחים, דא""כ נפיש ליה שיעוריה בהדי סיד, "
Yad Ramah on Bava Batra 2a:5,Bava Metzia 117b:7,2.303395180948174,0," לבנים תקיף טפי מדגזית, דהא חזינן דלאו הכי, ושמעתא דפ' הבית והעליה (ב""מ קיז,ב) גבי תחתון שבא לשנות בגויל איפכא משמע, אלא משום דכל היכא דשוו בג"
Sefer Mitzvot Katan 289:2,Genesis 17:14,5.577703114836447,0,") וערל זכר אשר לא ימול וגו' (מפורש בפנים. ) 
"
Rashi on Hosea 12:9:3,Numbers 11:22,-6.180943493209357,0,לא ימצאו. לא יספיקו כמו (במדבר יא) ומצא להם ולא יתכן לפרש כל יגיעי כל היגיעים לבקש עוני ולא ימצא ל
Rashi on Hosea 12:9:1,Exodus 20:2,-3.4125672465223307,0," אטול כל אשר להם כי הם עבדי מה כתיב אחריו ואנכי ה' אלהיך מארץ מצרים (שמות כ) גדולה הבאה לאביך במצרים מאתי היתה אמר הקב""ה הננו לך לעבדים לא ש"
Rashi on Yoma 9b:4:1,Leviticus 18:18,2.8501777021462527,0, נשים לאיש אחד וכעסתה צרתה (שמואל א א) ואשה אל אחותה לא תקח לצרור (ויקרא יח):
Rashi on Yoma 9b:4:1,I Samuel 1:6,-2.3565667760932643,0, שהעמיד מנשה בהיכל צרה לשון ריעות כשתי נשים לאיש אחד וכעסתה צרתה (שמואל א א) ואשה אל אחותה לא תקח לצרור (ויקרא יח):
Gevurot Hashem 34:1,Psalms 18:12,-6.837427416029469,0,") ישת חושך סתרו, וזה כי הוא יתברך נצחי והעולם נמצא אחר ההעדר והנה"
Gevurot Hashem 34:2,Genesis 14:15,2.54968484759135,0," הלוים, דודאי לא שייך לשון פעל אצל חלוק הלילה כי אם לשון נפעל כמו (בראשית י""ד) ויחלק עליהם לילה, ואינו דומה אל כעלות דשייך בו פעל ולא שייך פעל"
Gevurot Hashem 34:3,Exodus 20:4,6.5497480793248215,0,") ואשר במים מתחת לארץ וכתיב (תהלים כ""ד) כי הוא על ימים יסדה ועל נהרות"
Gevurot Hashem 34:3,Exodus 8:12,10.032598462463618,0,) והך את עפר הארץ והיה לכנים. ואחר כך הביא עליהם הערוב והם הנבראים
Gevurot Hashem 34:3,Exodus 17:12,-2.4838197652544842,0,") עד בא השמש שהיה מושל על השמש וזה עד בא השמש, והשמש גם כן נחשב כ"
Gevurot Hashem 34:3,Psalms 24:2,12.137138231471827,0,") כי הוא על ימים יסדה ועל נהרות יכוננה, והראה לפרעה שהוא יתברך מו"
Gevurot Hashem 34:3,Genesis 1:20,3.124690530116064,0,) עוף יעופף על פני רקיע השמים ונאמר ועוף השמים. לכך מתחלה ברד מן 
Tzidkat HaTzadick 213:1,Eruvin 54b:5,-2.0100263884406004,0, לשוח בשדה כידוע דהוא עמוד התורה ושיחו אלו בעלי תורה שכל ‏שיחתן תורה (עירובין נד:) שייך שפיר שיחו] היינו שמדבר בלא דעת וישפוך ולא במתון ובסדר רק ‏
Tzidkat HaTzadick 213:1,Nedarim 41a:2,-6.027072890090982,0," קצה א) דתפלה דעני כלל כל צלותין ובקעי רקיעין. ואין עני אלא בדעת ‏‏(נדרים מא.) אפי' אין יודע איך להתפלל ולרצות לקונו ולכ""א בו ולפני ה' ישפוך ש"
Tzidkat HaTzadick 213:1,Berakhot 50a:4,3.090481761054968,0," וכמו ששמעתי דכל אחד מישראל שחסר לאיזה דבר ומבקש גם בהפלגה ‏‏[כד""ש (ברכות נ.) דבשאלה הרחב פיך ואמלאהו] הי' פועל בודאי רק שהוא מרוצה אח""כ בכל "
Gevurot Hashem 34:7,Exodus 7:19,-18.675714723634083,0,) נטה ידך וגו' והרוח הביאו לארבה. אבל הערוב שבא מעצמו וכן הדבר שה
Metzudat Zion on Judges 5:26:4,Bava Batra 89a:3,3.6103034392696225,0,") אין מוחקין במקום שגודשין, ורצונו לומר אין מעבירין דבר מה על המד"
Or HaChaim on Deuteronomy 14:13:1,Chullin 63a:18,-26.104447324909685,0,והראה וגו' למינה. נראה שכל מין מהכ''ד (חולין ס''ג.) שיש בו מינים הרבה ומשונים אמר בהם הכתוב למינהו למיניהם וכל שאין
Rashi on Bekhorot 35b:26:1,Bekhorot 13a:23,7.261898362015913,0," בעי אמתוני עד שיומם דכהנים לא נפטרו מבכור בהמה טהורה בפרק שני (לעיל בכורות יג.) וא""כ מי מעיד עליו:"
Rashi on Eruvin 26a:6:1,Eruvin 59a:6-7,2.879924952923308,0,) עיר של יחיד מערבין את כולה והיינו של יחיד שאינה דומה לדגלי מדבר
Torat Netanel 2:4,Moed Katan 9b:12,14.387918577834602,0," אחרים קורין לה אימא קודם הזמן ההוא, דבת שיתין כבת שית לקל טבלא רהטא (מועד קטן ט ע""ב), ומעולם לא יצאת זו מחזקת בעלת וסת."
"Beit HaLevi on Torah, Vayishlach 12",Jeremiah 30:14,2.3640672529296554,0," של חבירו שיצטער בזה הרבה עכ""ז יביאנו במשפט. וזהו ג""כ ביאור הכתוב (ירמיה ל') על רוב עונך עצמו חטאתיך, דבעצם היה החטא קל אבל על ידי עונך שנתכ"
"Beit HaLevi on Torah, Vayishlach 13",Hosea 14:2,14.405505746700468,0,"ועל כוונה זו יתבאר המשך הפסוק (הושע י""ד) שובה ישראל עד ה' אלהיך כי כשלת בעונך, הנביא עורר אזנם למוסר שימ"
Rashba on Bava Batra 137b:5,Bava Metzia 90b:4,1.304963774898848,0," גדול שאינו סמוך על שולחנו כאחר דמי, וכדאמרינן בפרק השוכר את הפועלים (ב""מ צ, ב) גבי סרוס פשיטא בנו גדול כאחר דמי, וכן בכל מקום חשבינן ליה כאחר "
"Likutei Halachot, Orach Chaim, Laws of Priestly Blessings 5:15:1",Psalms 139:16,2.545425834989752,0,"), ימים יצרו ולו אחד בהם, זה יום כפור שבו נכנס הכהן גדול שהוא בחי"
"Likutei Halachot, Orach Chaim, Laws of Priestly Blessings 5:15:1",Numbers 26:53,14.178527251456622,0,"), לאלה תחלק הארץ בנחלה במספר שמות וכו'. כי אור הנקדה הקדושה נמשכ"
"Torah Temimah on Torah, Numbers 10:5:1",Rosh Hashanah 34a:6,0.5605424141260427,0," עביד פלגא דמצוה. פי' בתמיה, ר""ל איך אמרה התורה תתקעו ולא תריעו.
.(ר""ה ל""ד א׳)
"
"Shev Shmat'ta, Shmatta 2 13:1",Ketubot 76a:5,21.609187291331278,0,"(כתובות עו, א) אמר רב יהודא אמר שמואל המחליף פרה בחמור ומשך בעל החמור את הפרה "
Likutei Moharan 133:1,Proverbs 4:18,22.206517284964278,0,"וארח צדיקים כאור נגה, הולך ואור עד נכון היום (משלי ד):"
Or HaChaim on Leviticus 13:46:1,Lamentations 3:39,10.913167250401687,0," מטמאו אלא טמא הוא מעצמו לצד פעולתו ואין ה' עושה לו דבר, וכן הוא אומר (איכה ג') מה יתאונן אדם חי גבר על חטאיו ודרשו ז''ל (ילקוט תתר''מ) יעויין "
Likutei Moharan 133:2,Eruvin 21a:16,-3.4485182173533167,0," בעולם הזה, ועל כן אינם יכולים לקבל אור הצדיק: והוא ענין שאמרו בגמרא (עירובין כא) על פסוק: מגלה עפה – כד עיפת לה וכו', כד קלפת לה וכו', נמצא כל ה"
Likutei Moharan 133:2,Job 11:9,1.1661430676431737,0," העולם הזה הוא רק זרת קטן, נגד התורה שהיא גדולה מאד ורחבה מני ים (איוב יא). ולכאורה קשה: איך יוכל דבר קטן כזה להפסיק ולחצץ בפני דבר גדול כ"
Tosafot on Bava Batra 137b:5:1,Gittin 75a:7,11.87344046644854,0," ומעשה בדבר אחד ואין זה כתנאי בני גד ובני ראובן כדאמרינן במי שאחזו (גיטין דף עה ושם) ה""ז גיטך והנייר שלי אינה מגורשת על מנת שהנייר שלי מגורשת ופ"
Or HaChaim on Genesis 24:10:2,I Samuel 1:8,4.71619290045318,0,"עוד ירצה שלקח י' גמלים פי' הרבה על דרך אומרו (ש""א, א) טוב לך מעשרה בנים. "
"Yismach Moshe, Shmini 5:1",Berakhot 28b:11,6.13097922966615,0," ר' יוחנן בן זכאי אמרר בשעת מותו פנו כלים מפני הטומאה כדאיתא במסכת (ברכות דף כ""ח ע""ב), מכל מקום ודאי מעצם הדין ראוי להיות שצדיקים לא יטמאו, כי אין טומאה"
"Yismach Moshe, Shmini 5:1",Berakhot 18a:14,-3.3974844546465306,0," ראוי להיות שצדיקים לא יטמאו, כי אין טומאה להם ובמיתתן נקראו חיים (ברכות י""ח ע""א). אך לא ניתנה לנו להתנהג בדין זה, כי הכרעה זו אין דעתינו דעת האנ"
"Yismach Moshe, Shmini 5:1",Niddah 28a:8,-25.475389441489128,0," פטור, משום שאין לו טהרה במקוה. ב', שנשרפו, ואפר שרופים אינו מטמא (נדה כ""ח ע""א), עיין שם. והנה שני התירוצים של הבעל צנצנת מנחם, גם כן אינו לפי "
"Yismach Moshe, Shmini 5:1",Pesachim 93a:2,2.51171411295506,0," יצחק, ומיושב גרסא הישנה, וגם מיושב קושית התוספת בריש פרק מי שהיה (פסחים צ""ג ע""א ד""ה רבי) דאמר שם ר' עקיבא לטעמיה דאמר אין שוחטין וזורקין על טומאת"
"Yismach Moshe, Shmini 5:1",Sukkah 25b:1,13.209792841747646,0," יוסף היו, כבר היו יכולין לטהר. ואם משאל ואלצפן היו, היו יכולין לטהר (סוכה כ""ה ע""ב, עיין שם תוספות ד""ה שחל), עיין שם היטב. והנה בעקבותיו אלך ליישב "
"Pri Tzadik, Vaera 13:1",Kiddushin 15a:22,4.674257268726715,0," סע""א) לעולם לעולמו של יובל. ובין עלמא עלאה ועלמא תתאה יש ע""ד שהו"
Binyan Yehoshua on Avot D'Rabbi Natan 12:8:8,Proverbs 3:15,-3.469468039596446,0,") יקרה היא מפנינים מכה""ג שנכנס לפני ולפנים מ""מ קדושת ירושלים אינה"
"Shenei Luchot HaBerit, Toldot Adam, Introduction 3",Kiddushin 40b:8,7.291386234427971,0,") תלמוד גדול שמביא לידי מעשה.הגה""הענין תלמוד גדול או מעשה גדול, י"
Rashi on Job 24:6:4,Amos 7:1,2.663872504253572,0," אשפריימנ""ט נוטלים לקש שלהם, לקש לשון צמח פרי כמו בתחלת עלות הלקש (עמוס ז) תירגם יונתן צימוח וכן יסד ר""א (בהושענא אדמה מארר) לקש מארבה (ד"""
Binyan Yehoshua on Avot D'Rabbi Natan 28:1:3,Lamentations 4:2,6.440726581518425,0, שם בקדושין עשרה קבין יופי ירדו לעולם ט' נטלה ירושלים וכו׳ וכה״א (איכה ד׳) בני ציון היקרים המסולאים בפז. מפרש: 
Binyan Yehoshua on Avot D'Rabbi Natan 12:8:2,Genesis 5:1,-3.9145372990374963,0," ע""ש ומסתברא שע״י חבור ספר מלמד ג״כ לרבים והרמז זה ספר תולדות אדם (בראשית ה): "
Binyan Yehoshua on Avot D'Rabbi Natan 12:8:4,Psalms 49:8,2.103765956351075,0, למוכיח שרוצה להכניסו תחת כנפי השכינה. כי לולי זאת אח לא פדה יפדה וגו׳ (תהלים מט) ומי שטרח בע״ש בעוה״ז יאכל בשבת בהעולם הבא לכך בל יסמוך על אוהבי
"Rabbeinu Bahya, Shemot 36:7:2",Exodus 15:17,11.334843326002053,0,") מכון לשבתך פעלת ה' מקדש ה' כוננו ידיך.
"
Jerusalem Talmud Ketubot 2b:1,Ruth 4:2,20.22508980444767,0,) ויקח בועז עשרה אנשים מזקני העיר ויאמר שבו פה וישבו אמר רבי אלכסנדרי
Jerusalem Talmud Ketubot 2b:1,Ruth 1:19,-9.316092962751082,0,) ותהום כל העיר עליהם ואיפשר כן כל קרתא מתבהלה בגין נעמי על עליבת
Malbim on Exodus 14:16:2,Isaiah 19:5,2.317058485610734,0," ע""י הרוח העז, כמ""ש חורב על מימיה ויבשו (ירמי' נ), ונהר יחרב ויבש, (ישעי' יט) בגערתי אחריב ים (שם נ), ר""ל אקלקל סדרו ואמעיט מימיו, ועז""א וישם"
Malbim on Exodus 14:16:2,Jeremiah 50:38,-2.3376524992191268,0," שנשבת סדר הים ומרוצת מימיו ע""י הרוח העז, כמ""ש חורב על מימיה ויבשו (ירמי' נ), ונהר יחרב ויבש, (ישעי' יט) בגערתי אחריב ים (שם נ), ר""ל אקלקל ס"
Tosafot on Yevamot 31b:3:1,Bava Batra 19a:12,5.8776668681917705,0," ריעו ליתני כולהו בחד וליתני חד מינייהו באידך כדפריך בפרק לא יחפור (ב""ב דף יט.):"
"Rabbeinu Bahya, Shemot 7:10:1",Exodus 5:2,5.321483918948055,0, לפי שהנחש חטא והחטיא את חוה בלשון וכן פרעה הרשע חטא בלשון הוא שאמר (שמות ה) מי ה' אשר אשמע בקולו לא ידעתי את ה' ומפני זה היה תחלת האותות נחש
"Rabbeinu Bahya, Shemot 7:10:1",Exodus 8:11,15.72014808526552,0,") וירא פרעה כי היתה הרוחה והכבד את לבו, ומה שהכתוב הוציאו בלשון ת"
"Rabbeinu Bahya, Shemot 7:10:1",Numbers 21:6,10.304729338437284,0,") וידבר העם באלהים ובמשה, וכתיב (שם) וישלח ה' בעם את הנחשים השרפי"
"Rabbeinu Bahya, Shemot 7:10:1",Ezekiel 29:3,4.754969213332895,0,") התנים הגדול הרובץ בתוך יאוריו, ורמז לו בזה כי כשם שבלע מטה אהרן"
Metzudat Zion on Ezekiel 8:17:2,Isaiah 5:6,1.582452393650792,0,מעשות. במ״ם השלילה ור״ל מבלי עשות וכן מהמטיר עליו מטר (ישעיה ה): 
Gur Aryeh on Shemot 2:2:1,Pesachim 25b:4,3.0598515970457214,0," אורה, שנעשה לו נס, לא היתה מצפינו, דמאי חזית דדמך דידך סומק טפי וכו' (פסחים כה ע""ב), וכאשר ראתה האור בנס שמע מינה שהקב""ה עם הנער להצילו, אז ידעה וס"
Torah Temimah on Psalms 78:60:1,Zevachim 118b:7,27.313657833136894,0," ויטש (את) משכן שילה וכתיב וימאס באהל יוסף ובשבט אפרים לא בחר וכו':(זבחים קיח ע""ב)
"
Tosafot Yom Tov on Pirkei Avot 4:15:2,Proverbs 13:20,4.762309736470343,0,") הולך את חכמים יחכם ורועה כסילים ירוע. ורבינו יונה אע""ג דל""ג ליה"
Tosafot Yom Tov on Pirkei Avot 4:15:3,Proverbs 7:26,2.8277169008675154,0," ול""נ שר""ל שלא יהיה ראש לשועלים כשעדיין לא הגיע להוראה שעליהם נאמר (משלי ז') רבים חללים הפילה. וידמו לשועלים לפי שאלו כשירצו לשבת בכסא למשפט"
Tosafot Yom Tov on Pirkei Avot 4:15:3,Song of Songs 2:15,18.05625268795035,0,) אחזו לנו שועלים שועלים קטנים מחבלים כרמים שהוא כרם ה' צבאות. וה
"Torah Temimah on Torah, Genesis 2:10:1",Taanit 10a:8,1.9019887668703124,0," לו בתמצית העננים המשקים את הגן, וגן לפני כל העולם כולו כעדן לגן. .(תענית י' א')
"
Rashi on Bava Metzia 109a:11:1,Numbers 2:17,-3.809716176451176,0,ידא דאספסתא - מקום הדקלין היה זורע אספסתא ידא כמו (במדבר ב) איש על ידו:
"Yismach Moshe, Mishpatim 12:1",Bava Kamma 84a:9,2.8278182771108504,0,"עין תחת עין וגו' (שמות כא כד). פירשו רז""ל (ב""ק פ""ד ע""א) דמי עין, והנה כדי שיהיה הפשט מסכים להאמת לקבלת רז""ל, נ""ל שכל הש"
"Yismach Moshe, Mishpatim 12:1",Makkot 24a:1,-0.2710165828109208,0," ונ""ל על פי מ""ש האר""י זצוק""ל דתורה שבכתב הוא דין מפי הגבורה שמענו (מכות כ""ד ע""א), ותורה שבעל פה הוא רחמים, אם כן שורת הדין היה עין ממש, רק שבפעל"
Rosh on Megillah 3:23:1,Sotah 40a:15,19.085194685328073,0," לך מה נזיר אסור ביין אף כהן מברך אסור ביין: תנו רבנן (ר""ה דף לא:) (סוטה דף מ.) אין הכהנים רשאין לעלות בסנדליהון לדוכן וזו אחת מתשעה תקנות שהתק"
Rosh on Megillah 3:23:1,Berakhot 32b:4,25.256955768067062,0," דחזינא לר' אבא דמן עכו דלא אמר להו אנא נמי לא אמינא להו א""ר אלעזר (ברכות דף לב:)  כהן שהרג את הנפש לא ישא את כפיו שנאמר ידיכם דמים מלאו. גרסינן "
Rosh on Megillah 3:23:1,Rosh Hashanah 31b:6,9.69345775283332,0," לפרשת נזיר לומר לך מה נזיר אסור ביין אף כהן מברך אסור ביין: תנו רבנן (ר""ה דף לא:) (סוטה דף מ.) אין הכהנים רשאין לעלות בסנדליהון לדוכן וזו אחת מתש"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 10",Psalms 145:14,2.7447235410641895,0," את עולמך, שבי נקראת סומך נופלים, שנאמר סומך ה׳ לכל הנופלים וגו' (תהלים קמ״ה), השיב הקב״ה וא״ל, לאו. א״ל, למה? א״ל, מפני שבך עתידין אויבים לשום"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 10",Psalms 79:1,4.574844158882023,0," שבך עתידין אויבים לשום את עירי לעיים, שנאמר שמו את ירושלם לעיים (תהלים ע״ט), מיד יצאה מלפניו בפחי נפש. "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 12",Psalms 145:13,5.396113305394657,0," לומר מלכותך וממשלתך בכל, שנאמר מלכותך מלכות כל עולמים וממשלתך וגו׳ (תהלים קמ״ה), ותחלת שמך בי נקרא מלך, השיב הקב״ה ואמר לה, לאו. אמרה לו, למה? "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 15",Psalms 145:10,3.226131182326437,0," שבי יודוך על כל מעשיך בכל יום כל באי עולם, שנאמר יודוך ה׳ כל מעשיך (תהלים קמ״ה), ולא עוד, אלא שבי תחלת שמך נקרא יחיד. א״ל, לאו. א״ל, למה? א״ל מ"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 15",Isaiah 26:4,1.1971841547476023,0," ואמרה, רבש״ע! רצונך שתברא בי את עולמך, שבי נקראת יה ה׳ צור עולמים (ישעיה כ״ו), ולא עוד אלא שבי יודוך על כל מעשיך בכל יום כל באי עולם, שנאמר י"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Ezekiel 21:22,11.933884860188362,0," אני להכות כפי אל כפי, שנאמר וגם אני אכה כפי אל כפי והניחותי חמתי (יחזקאל כ״א), ולא עוד אלא בך יכלו בדמעות עיניהם של ישראל, שנאמר כלו בדמעות ע"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Jeremiah 17:12,6.914622507987203,0," לפניך, שכל כבודנו ויקרנו לא נקרא אלא בה, שנאמר כסא כבוד מרום מראשון (ירמיה י״ז), ואומר כבוד מלכותך יאמרו, ואומר יהי כבוד ה׳ לעולם (תהלים ק״ד), "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Isaiah 60:1,5.358624375770116,0," יאמרו, ואומר יהי כבוד ה׳ לעולם (תהלים ק״ד), ואומר וכבוד ה׳ עליך זרח (ישעיה ס׳), מיד קרא לה הקב״ה לכ""ף וא״ל, מה אתה מבקש? אמרה לפניו, רבש״ע! מבקש"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Isaiah 6:3,3.3715738817319885,0," שנאמר בי מלכים ימלוכו (משלי ח׳), כבודך מנין? שנאמר מלא כל הארץ כבודו (ישעיה ו׳), השיב הקב״ה וא״ל, לאו. א״ל, למה? א״ל מפני שבך עתיד אני להכות כפ"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Lamentations 2:11,2.604430856212584,0," ולא עוד אלא בך יכלו בדמעות עיניהם של ישראל, שנאמר כלו בדמעות עיני (איכה ב׳), ואני אברא בך עולמי?! כיון ששמע כ״ף הדבר הזה מפי הגבורה, מיד יצ"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Proverbs 8:15,-2.570610931716324,0," שנאמר נכון כסאך מאז (תהלים צ״ג), כתרך מנין? שנאמר בי מלכים ימלוכו (משלי ח׳), כבודך מנין? שנאמר מלא כל הארץ כבודו (ישעיה ו׳), השיב הקב״ה וא״"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Psalms 104:31,4.692813722236224,0," מראשון (ירמיה י״ז), ואומר כבוד מלכותך יאמרו, ואומר יהי כבוד ה׳ לעולם (תהלים ק״ד), ואומר וכבוד ה׳ עליך זרח (ישעיה ס׳), מיד קרא לה הקב״ה לכ""ף וא״ל,"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 14",Psalms 93:2,1.6712930839633096,0," עולמך, שבי נקרא כסאך וכתרך וכבודך. כסאך מנין? שנאמר נכון כסאך מאז (תהלים צ״ג), כתרך מנין? שנאמר בי מלכים ימלוכו (משלי ח׳), כבודך מנין? שנאמר "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 17",Psalms 33:5,12.316391479395405,0," יאמרו חסדך ה׳ מלאה הארץ, שנאמר אוהב צדקה ומשפט חסד ה׳ מלאה הארץ וגו' (תהלים ל״ג), ובי נקראת רחום וחנון ה׳ (שם קמ״ה). השיב הקב״ה ואמר לה, לאו. א״"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 17",Jeremiah 15:12,-14.05586817520836,0," חטאת עמי, שנאמר חטאת יהודה כתובה בעט ברזל בצפורן שמיר חרושה וגו׳ (ירמיה ט״ו). מיד יצאה מלפניו בפחי נפש. "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 16",Lamentations 4:15,6.096241658032989,0," לקרוא טמא, שנאמר טמא טמא יקרא (פ׳ תזריע), ואמר סורו טמא קראו למו (איכה ד׳). מיד יצאה מלפניו בפחי נפש. "
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 16",Psalms 145:9,-1.3254475235885286,0," שבי אתה נותן רוח הקדש בפי יראיך לאמר לפניך טובך, שנאמר טוב ה׳ לכל (תהלים קמ״ה), ולא עוד אלא שבי צפנת טובך לצדיקים להנחיל להם, שנאמר מה רב טובך"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 16",Isaiah 6:5,25.99427575661227,0," לעמי טמא, שנאמר כי איש טמא שפתים אנכי ובתוך עם טמא שפתים אנכי יושב (ישעיה ו׳), ולא עוד אלא שבך עתיד אדם מצורע לקרוא טמא, שנאמר טמא טמא יקרא ("
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 19",Psalms 22:4,6.855454085947181,0," רצונך שתברא בי את עולמך, שבי אומרים לפניך בשבח ואתה קדוש יושב תהלות (תהלים כ״ב). השיב הקב״ה וא״ל, לאו. א״ל, למה? א״ל, מפני שאני עתיד להכות בך א"
