Quoting Ref,Quoted Book,Quoted Ref,Quote Num,Score,Snippet
Sefer Mitzvot Katan 45:2,Deuteronomy,,0,-40,) ובו תדבקון פי' לדבק בתלמידי חכמים בחיבור  בזיווג ולהנהותו מנכסי
Sefer Mitzvot Katan 47:2,,,0,-40,) ה' יסעדנו על ערש דוי והמבקר ניצול מדינה של גיהנם: שנאמר אשרי מש
Sefer Mitzvot Katan 49:2,Exodus,,0,-40,) אשר יעשון: ואמר רבי יוחנן לא נחרבה ירושלם אלא על שדנו בה דין תו
Sefer Mitzvot Katan 50:2,Exodus,,0,-40,) כבד את אביך ואת אמך: ואמרינן פרק קמא דקדושין איזוהי כבוד אב ואם
Sefer Mitzvot Katan 53:2,,,0,-40,)  ובשוב רשע מרשעתו וגו' ואומר (תהלי' מה) מור ואהלות קציעות כל בג
Sefer Mitzvot Katan 53:2,,,0,-40, וכשהרשע נאבד מן העולם ג' כתות של מלאכי חבל' יוצאי' לקראתו אחת אומרת (ישעיה נח) אין שלום אמר אלהי' לרשעים. ואחת אומרת (שם נ) למעצבה תשכבון: ואח
Sefer Mitzvot Katan 56:2,,,0,-40,) וקדשתו ואמרו חכמים כגון לפתוח ראשון בקריאת התורה  ולברך ראשון ב
Sefer Mitzvot Katan 59:2,,,0,-40,")  להיטמא חובה: 
"
Sefer Mitzvot Katan 71:2,,,0,-40,) לא תקיפו פאת ראשיכם.  ואפילו במספרים כעין תער אסור. משום דבזה  
Sefer Mitzvot Katan 75:2,Deuteronomy,,0,-40,) לא תתגודדו והיינו כמו שריטה: אלא שהשריטה ביד וגדידה בכלי: ובכלל
Sefer Mitzvot Katan 76:2,Deuteronomy,,0,-40,) ומצאתה לא תוכל להתעל'  וזהו שלא ימתין מקחת האבידה עד שיתיאשו בע
Sefer Mitzvot Katan 77:2,Deuteronomy,,0,-40,) לא תוכל להתעל'. ונראה שיש לחלק הלאו מן העש' לומר שלא יעצים עיני
Sefer Mitzvot Katan 82:2,Exodus,,0,-40,) לא תרצח. ומיתתו  בסייף: ואמרו חכמים שלא לרצות  שום בר קיימא שבע
Sefer Mitzvot Katan 84:2,,,0,-40,) ארבעים יכנו לא יוסיף  ובכלל זה מכה אביו ואמו: ואמרו חכמים שאם ה
Sefer Mitzvot Katan 85:2,,,0,-40,) לא תחללו את שם קדשי:  והיכי דמי מחלל השם  כדאמרי אינשי שרי ליה 
Sefer Mitzvot Katan 103:2,Deuteronomy,,0,-40,) שמור את חדש האביב ולחשב תקופות ומזלות כדכתיב (
Sefer Mitzvot Katan 105:2,,,0,-40,) רע רע יאמר הקונה ואוזל לו אז יתהלל זה הקונה תור' ומזלזלה איך ית
Sefer Mitzvot Katan 107:2,,,0,-40,) ואיש' יפרנו וכן דרשו רבותינו לעולם ידבק אדם לשלש' דברים לחליצ' 
Sefer Mitzvot Katan 117:2,,,0,-40,") לא תחמול: 
"
Sefer Mitzvot Katan 118:2,Deuteronomy,,0,-40,") ולא תכסה עליו: 
"
Sefer Mitzvot Katan 124:2,I Kings,,0,-40, ונוצחין: לפי שלא היה בהם דילטורים (פי' מלשינו') שהרי אליהו מכריז (מלכים א יט) אני נותרתי נביא ליי' לבדי ואין איש מגיד כי חמשים נביאים החביא ע
Sefer Mitzvot Katan 130:2,Leviticus,,0,-40,) לא תקום כלומר שלא ימאן להשאיל לחבירו כליו כאשר עשה לו שלא השאיל
Sefer Mitzvot Katan 131:2,Leviticus,,0,-40,) ולא תטור כלומר שלא יאמר לחבירו הריני משאיל לך ואיני כמוך שלא הש
Sefer Mitzvot Katan 135:2,,,0,-40,") לא תחנם פירוש שלא יאמ' כמה נאה  עובד עכו""ם זה ובכלל זה שלא ליתן"
Sefer Mitzvot Katan 136:2,Leviticus,,0,-40,) לא תעוננו ואמרו חכמים פרק ארבע מיתות זה האומר שעה פלונית יפה לצ
Sefer Mitzvot Katan 137:2,Leviticus,,0,-40,) לא תנחשו ואמרו רבותינו זה האומר פתו נפלה מפיו: מקלו נפל מידו צב
Sefer Mitzvot Katan 140:2,Leviticus,,0,-40,שלא להיות בעל ידעוני דכתי' (ויקרא יט) ואל הידעונים ואמרו רבותינו זה המניח עצם ידוע בפיו ומדבר מאליו: 
Sefer Mitzvot Katan 141:2,Deuteronomy,,0,-35.233336892536165,) וחוב' חבר: ואמרו רבותינו זה המאסף בהמות או חיות או שקצים או עופ
Sefer Mitzvot Katan 145:2,Deuteronomy,,0,-52.601890478814454,) מהחל חרמש בקמה תחל לספור ז' שבועות ואמרו רבותינו מצוה למימני יו
Sefer Mitzvot Katan 153:2,,,0,-40,") וקשרתם לאות על ידכ' זו תפילה של יד: ואמרו רבותינו ז""ל שצריך להנ"
Sefer Mitzvot Katan 169:2,,,0,-40,) לא תחסום שור בדישו ואמרו רבותינו שאין לחסמו בין כשהו' עושה מלאכ
Sefer Mitzvot Katan 170:2,,,0,-40,) לא תחרוש בשור ובחמו' יחדיו וכתב ר' משה בר מיימון שאין המלקות רק
Sefer Mitzvot Katan 174:2,,,0,-40,") ובמתכונתה לא תעשו לכם. אמרו רבותינו אפילו לא פטם רק חצי של ש""סה"
Sefer Mitzvot Katan 177:2,Deuteronomy,,0,-40,) לא תוסיף עליו כגון לעשו' חמש בתים בתפילין וחמש חוטין בציצית שהם
Sefer Mitzvot Katan 180:2,,,0,-40,) ואבן משכית לא תתנו בארצכם  להשתחוות עליה וזו היא רצפה של אבנים:
Sefer Mitzvot Katan 181:2,,,0,-40,"צונו הקב""ה לשמוע דברי חכמים שתקנו נט""י וסמכו דבריהם על הפסוק (דברים ח) לא תסור מן הדבר וגו' שאל אביך ויגדך  ומים ראשונים מצוה ואמצעים "
Sefer Mitzvot Katan 184:2,Deuteronomy,,0,-40,) כי מצא בה ערות דבר וכתב לה ספר כריתות ונתן בידה. ערות דבר כגון 
Sefer Mitzvot Katan 189:2,Deuteronomy,,0,-40,) לא יוכל בעלה הראשון אשר שלחה לשוב לקחתה וגו' בין מן האירוסין וב
Sefer Mitzvot Katan 204:2,Leviticus,,0,-40,) כל חלב שור וכשב ועז לא תאכלו. שנינו בתור' כהנים (ויקר' פח) ובפר
Sefer Mitzvot Katan 208:2,Leviticus,,0,-40,) את זה לא תאכלו מכל שרץ העוף ההולך על ארבע וסימני חגבי' כל שיש ב
Sefer Mitzvot Katan 220:2,Exodus,,0,-29.728867478403444,") על מצות ומרורים יאכלוהו. והיינו בזמן שב""ה קיים: ובזמן הזה דרבנן"
Sefer Mitzvot Katan 231:2,Deuteronomy,,0,-40,שלא להטות משפ' כדכתי' (דברי' יז) לא תטה משפט וכל המטה משפט של ישראל עובר שני לאוין שנ' לא תעשו ע
Sefer Mitzvot Katan 236:2,,,0,-40,) אל תשת ידך עם רשע להיית עד חמס וגם אסור לעד כשר להצטרף עם עד רש
Sefer Mitzvot Katan 237:2,Deuteronomy,,0,-40,) וקצותה את כפה לא תחוס עיניך: והוא הדין לכל המחוייבים שלא יאמר ב
Sefer Mitzvot Katan 261:2,Leviticus,,0,-40,) לא תגנובו. גנב זה הנטמן מחמת בני אדם. ואינו לוקה לפי שניתן לתשל
Sefer Mitzvot Katan 262:2,,,0,-40,) לא תגנבו בין גדול בין קטן בין זכר בין נקבה ואפילו בן יומו רק שנ
Sefer Mitzvot Katan 263:2,Leviticus,,0,-40,) לא תעשו עול במשפט במדה וגו' פי' שלא ימדוד בקנה בימות החמה לאחד 
Sefer Mitzvot Katan 271:2,Leviticus,,0,-40,) לא תונו: שיעור אונאת ממון לא נתפרש' בתורה: אבל שנינו בפ' הזהב ה
Sefer Mitzvot Katan 284:2,,,0,-40,") פרו ורבו: תנן לא יבטל אדם מפריה ורביה אלא א""כ יש לו זכר ונקבה: "
Sefer Mitzvot Katan 285:2,Deuteronomy,,0,-40,) ושמח את אשתו אשר לקח: ויש בעשה זו לאו: שנאמר ועונתה לא יגרע: וה
Sefer Mitzvot Katan 291:2,Deuteronomy,,0,-40,"שלא לבעול שפחה כדכתי' (דברי' כב) ולא יהיה קדש מבני ישראל וכל העריו' מפורשו' בפסוק ובפני': 
"
Sefer Mitzvot Katan 292:2,Exodus,,0,-40,) לא תנאף לא תהנה לאף: ובכלל זה דרשו רבותינו לא תנאף אזהרה לעוקב 
