Index Title,Shevuot
Shevuot 2b:7,"[D<small>IE</small> W<small>EISEN</small>] <small>SPRACHEN ZU IHM</small>: D<small>ARF DER EINE FÜR DEN ANDEREN DARGEBRACHT WERDEN</small>? E<small>R ERWIDERTE IHNEN</small>: J<small>AWOHL</small>. S<small>IE ENTGEGNETEN IHM</small>: W<small>ENN DEM SO IST, SO KÖNNEN ALLERDINGS DIE DES</small> V<small>ERSÖHNUNGSTAGES AN</small> N<small>EUMONDEN DARGEBRACHT WERDEN, WIESO ABER KÖNNEN DIE DER</small> N<small>EUMONDE AM</small> V<small>ERSÖHNUNGSTAGE DARGEBRACHT WERDEN UND EINE IHNEN NICHT INNEWOHNENDE</small> S<small>ÜHNE ERWIRKEN</small>!? E<small>R ERWIDERTE IHNEN</small>: A<small>LLE SIND DAZU BESTIMMT, DIE</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMS UND DER HEILIGEN</small> O<small>PFER ZU SÜHNEN</small>."
Shevuot 2b:8,<sup>vi</sup>D<small>IE VORSÄTZLICHE</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMS UND DER HEILIGEN</small> O<small>PFER SÜHNEN DER INNERHALB HERGERICHTETE</small> B<small>OCK UND DER</small> V<small>ERSÖHNUNG STAG</small>.
Shevuot 2b:9,"A<small>NDERE IN DER</small> T<small>ORA GENANNTE</small> S<small>ÜNDEN, LEICHTE UND SCHWERE, VORSÄTZLICHE UND UNVORSÄTZLICHE, BEWUSSTE UND UNBEWUSSTE</small>, G<small>EBOTE UND</small> V<small>ERBOTE, MIT DER</small> A<small>USROTTUNG ODER MIT DER</small> T<small>ODESSTRAFE DURCH DAS</small> G<small>ERICHT BELEGTE, SÜHNT DER FORTGESCHICKTE</small> [S<small>ÜHNE</small>]<small>BOCK</small>."
Shevuot 2b:10,"J<small>ISRAÉLITEN</small>, P<small>RIESTER UND DER GESALBTE</small> [H<small>OCH</small>]<small>PRIESTER SIND HIERIN EINANDER GLEICH</small>. <sup>vii</sup><small>EIN</small> U<small>NTERSCHIED ZWISCHEN</small> J<small>ISRAÉLITEN</small>, P<small>RIESTERN UND DEM GESALBTEN</small> [H<small>OCH</small>]<small>PRIESTER BESTEHT DARIN, INDEM DER</small> F<small>ARRE</small><sup>13</sup><i class=""footnote"">Cf. Lev. 16,3ff.</i><small>DEN</small> P<small>RIESTERN</small> S<small>ÜHNE SCHAFFT FÜR</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMS UND DER HEILIGEN</small> O<small>PFER</small>."
Shevuot 2b:11,"R. Š<small>IMO͑N SAGTE</small>: W<small>IE DAS</small> B<small>LUT DES INNERHALB HERGERICHTETEN</small> B<small>OCKES DEN</small> J<small>ISRAÉLITEN</small> S<small>ÜHNE SCHAFFT, EBENSO SCHAFFT DAS</small> B<small>LUT DES</small> F<small>AHREN DEN</small> P<small>RIESTERN</small> S<small>ÜHNE, UND WIE DAS</small> S<small>ÜNDENBEKENNTNIS BEIM FORTZUSCIIICKENDEN</small> B<small>OCKE DEN</small> J<small>ISRAÉLITEN</small> S<small>ÜHNE SCHAFFT, EBENSO SCHAFFT DAS</small> S<small>ÜNDENBEKENNTNIS BEIM</small> F<small>ARREN DEN</small> P<small>RIESTERN</small> S<small>ÜHNE</small>."
Shevuot 2b:12,"GEMARA. Merke, der Autor schließt ja mit [dem Traktate von] der Geißelung, weshalb lehrt er [im Anschluß daran den Traktat] von der Eidesleistung!? – Dort<sup>14</sup><i class=""footnote"">Im Traktate von der Geißelung, Mak. Fol. 20a.</i>lehrt er, man sei strafbar wegen [des Rasierens] des Haupthaares zweimal: einmal wegen der einen Seite und einmal wegen der anderen Seite,"
Shevuot 3a:1,"und wegen des Rasierens des Bartes: zweimal wegen der einen Seite, zweimal wegen der anderen Seite und einmal wegen der unteren [Ecke],"
Shevuot 3a:2,"also eine [Sünde], derentwegen man zweifach strafbar ist, deshalb lehrt er hier von zwei Arten von Schwüren, die in vier zerfallen.–"
Shevuot 3a:3,"Weshalb lehrt er hier alle [Gesetze dieser Art]<sup>15</sup><i class=""footnote"">Bei denen es 2 Arten gibt, die in 4 zerfallen.</i>, während er [beim Gesetze] vom Hinausbringen am Sabbath und [beim Gesetze] von den Arten des Aussatzes nicht alle [Gesetze dieser Art] lehrt!? –"
Shevuot 3a:4,"Ich will dir sagen, die [Gesetze von den] Eidesleistungen und dem Bewußtsein der Unreinheit stehen nebeneinander<sup>16</sup><i class=""footnote"">In der Schrift; cf. Lev. 5,1ff.</i>und gleichen einander hinsichtlich des auf- und absteigenden Opfers, deshalb lehrt er sie auch zusammen, und da er diese beiden lehrt, so lehrt er sie alle. –"
Shevuot 3a:5,"Er beginnt mit [dem Gesetze von] den Schwüren und erläutert das Gesetz von der Unreinheit!? – Da die Einzelheiten desselben nur wenige sind, so entledigt er sich ihrer, und darauf<sup>17</sup><i class=""footnote"">In den weiter folgenden Abschnitten.</i>erläutert er [das Gesetz von den] Schwüren, deren Einzelheiten zahlreich sind."
Shevuot 3a:6,"Es gibt zwei Arten von Schwüren, die in vier zerfallen; zwei: ein Schwur, daß ich essen werde, oder: daß ich nicht essen werde; die in vier zerfallen: daß ich gegessen habe, oder: daß ich nicht gegessen habe."
Shevuot 3a:7,"Es gibt bei der Verunreinigung zwei Arten von Bewußtsein, die in vier zerfallen; zwei: das Bewußtsein seiner Unreinheit beim [Essen von] Heiligem und das Bewußtsein seiner Unreinheit beim [Eintritt in das] Heiligtum; die in vier zerfallen: das Bewußtsein inbetreff des Heiligen und inbetreff des Heiligtums."
Shevuot 3a:8,"Es gibt beim Sabbathgesetze zwei Arten von Hinausbringen, die in vier zerfallen; zwei: das Herauslangen des Armen<sup>18</sup><i class=""footnote"">Hier wird der Fall als Beispiel gewählt, wenn der Arme draußen u. der Hausherr in der Wohnung sich befindet.</i>und das Hinausreichen des Hausherrn<sup>18</sup><i class=""footnote"">Hier wird der Fall als Beispiel gewählt, wenn der Arme draußen u. der Hausherr in der Wohnung sich befindet.</i>; die in vier zerfallen: das Hineinreichen des Armen und das Hereinlangen des Hausherrn."
Shevuot 3a:9,"Es gibt zwei Arten von Aussatzmalen, die in vier zerfallen; zwei: Hochfleck und Glanzfleck; die in vier zerfallen: der Hochfleck und seine Unterart, der Glanzfleck und seine Unterart."
Shevuot 3a:10,"Wer [ist der Autor] unserer Mišna: weder R. Jišma͑él noch R. A͑qiba; wenn R. Jišma͑él, so sagt er ja, man sei schuldig<sup>19</sup><i class=""footnote"">Bei Vorsätzlichkeit Geißelung u. bei Unvorsätzlichkeit muß man ein Opfer darbringen.</i>nur wegen des promissorischen [Schwures], und wenn R. A͑qiba, so sagt er ja, man sei schuldig nur beim Entfallen der Unreinheit, nicht aber beim Entfallen der Heiligkeit!? –"
Shevuot 3a:11,"Wenn du willst, sage ich, R. Jišma͑él, und wenn du willst, sage ich, R. A͑qiba. Wenn du willst, sage ich, R. Jišma͑él, denn wegen mancher<sup>20</sup><i class=""footnote"">In der Mišna heißt es zwar, daß es 4 Arten von Schwüren gebe, jedoch nicht, daß man schuldig sei wegen der Verletzung aller.</i>ist man schuldig und wegen mancher ist man frei, und wenn du willst, sage ich, R. A͑qiba, denn wegen mancher ist man schuldig und wegen mancher ist man frei<sup>21</sup><i class=""footnote"">Cf. Anm. 20 mut. mut.</i>. –"
Shevuot 3a:12,"Wieso frei,"
Shevuot 3b:1,"er lehrt ja von allen übrigen in der gleichen Weise wie von den Aussatzmalen, und wie man bei diesen wegen aller Arten schuldig ist, ebenso ist man ja wahrscheinlich auch bei jenen wegen aller Arten schuldig!? –"
Shevuot 3b:2,"Tatsächlich ist es R. Jišma͑él, denn nach R. Jišma͑él ist man allerdings wegen des assertorischen [Schwures] kein Opfer schuldig, wohl aber macht man sich der Geißelung schuldig."
Shevuot 3b:3,"Dies<sup>22</sup><i class=""footnote"">Daß dieserhalb zu geißeln ist, obgleich durch die Verletzung des Schwures keine Tätigkeit erfolgt.</i>nach Raba, denn Raba sagt, die Tora habe ausdrücklich den Falschschwur<sup>23</sup><i class=""footnote"">Vgl. Anm. 2.</i>mit dem Nichtigkeitsschwure<sup>23</sup><i class=""footnote"">Vgl. Anm. 2.</i>verglichen: wie der Nichtigkeitsschwur assertorisch ist, ebenso ist auch der Falschschwur assertorisch. –"
Shevuot 3b:4,"Allerdings kann die Lehre Rabas in Betracht kommen in dem Falle, wenn jemand [schwört:] ich habe gegessen, oder: ich habe nicht gegessen<sup>24</sup><i class=""footnote"">Weil der Schwur an u. für sich ein falscher ist.</i>, erklärlich ist auch der Fall, wenn er geschworen hat, daß er nicht essen werde und gegessen hat, denn dies ist ein Verbot, wobei eine Tätigkeit ausgeübt wird, wieso aber der Fall, [wenn er geschworen hat,] daß er essen werde, und nicht gegessen hat, dies ist ja ein Verbot, wobei keine Tätigkeit ausgeübt wird!? –"
Shevuot 3b:5,"R. Jišma͑él ist der Ansicht, wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, sei zu geißeln. –"
Shevuot 3b:6,Demnach befindet sich ja R. Joḥanan mit sich selbst im Widerspräche:
Shevuot 3b:7,"R. Joḥanan sagte, die Halakha sei nach der anonymen Lehre zu entscheiden,"
Shevuot 3b:8,"und [dem widersprechend] wurde gelehrt: Wenn jemand geschworen hat, er werde diesen Laib an diesem Tage essen, und der Tag vorüber ist, ohne daß er ihn gegessen hat, so ist er, wie R. Joḥanan und Reš Laqiš übereinstimmend sagen, nicht zu geißeln. R. Joḥanan sagt, er sei nicht zu geißeln, weil dies ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, ist nicht zu geißeln; Reš Laqiš sagt, er sei nicht zu geißeln, weil die Warnung nur eine eventuelle<sup>25</sup><i class=""footnote"">Beim Schwören konnten die Zeugen nicht wissen, ob er seinen Schwur halten oder brechen werde.</i>sein kann, und die eventuelle Warnung gilt nicht als Warnung. –"
Shevuot 3b:9,R. Joḥanan fand eine andere anonyme Lehre. –
Shevuot 3b:10,"Welche anonyme Lehre: wollte man sagen, das, was wir gelernt haben: Wer aber von einem reinen [Pesaḥlamme] etwas zurückgelassen<sup>26</sup><i class=""footnote"">Cf. Ex. 12,10,46.</i>hat, oder von einem unreinen [einen Knochen] zerbrochen<sup>26</sup><i class=""footnote"">Cf. Ex. 12,10,46.</i>hat, erhält nicht die vierzig Streiche."
Shevuot 3b:11,"Einleuchtend ist dies vom Zerbrechen [eines Knochens] von einem unreinen, denn es heißt:<sup>27</sup><i class=""footnote"">Ex. 12,46.</i><i>ihr sollt keinen Knochen an ihm zerbrechen</i>, an einem tauglichen, nicht aber an einem untauglichen, weshalb aber, wenn man etwas von einem reinen zurückgelassen hat? Doch wohl, weil dies ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, nicht zu geißeln ist."
Shevuot 3b:12,"Aber woher, daß hier die Ansicht R. Ja͑qobs vertreten ist, welcher sagt, wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, sei nicht zu geißeln, vielleicht ist hier die Ansicht R. Jehudas vertreten, und zwar deshalb, weil die Schrift hierbei dem Verbote ein Gebot folgen läßt; sonst aber würde dieserhalb zu geißeln sein!?"
Shevuot 3b:13,"Es wird nämlich gelehrt:<sup>28</sup><i class=""footnote"">Ib. V. 10.</i><i>Ihr sollt davon nichts bis zum Morgen zurücklassen, und was bis zum Morgen zurückbleibt, sollt ihr im Feuer verbrennen</i>; die Schrift läßt dem Verbote ein Gebot folgen, um zu sagen, daß dieserhalb nicht zu geißeln ist–so R. Jehuda. R. Ja͑qob sagte: Nicht dies ist der Grund, sondern weil dies ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, ist nicht zu geißeln!?–"
Shevuot 3b:14,"Vielmehr, er fand folgende anonyme Lehre: [Sagt jemand:] ein Schwur, daß ich diesen Laib nicht essen werde, ein Schwur, daß ich ihn nicht essen werde, so ist er, wenn er ihn gegessen hat,"
Shevuot 4a:1,"nur einmal<sup>29</sup><i class=""footnote"">Obgleich er 2 Schwüre geleistet hat, denn mit dem 2. schwört er, den 1. zu halten.</i>schuldig; dies ist ein Bekräftigungsschwur, wegen dessen [Verletzung] man sich bei Vorsatz der Geißelung schuldig macht, und bei Unvorsätzlichkeit ein auf- und absteigendes Opfer darzubringen hat."
Shevuot 4a:2,"Also nur in diesem Falle<sup>30</sup><i class=""footnote"">Wo durch die Verletzung des Schwures eine Tätigkeit ausgeübt wird.</i>macht man sich bei Vorsatz der Geißelung schuldig, wenn man aber geschworen hat, zu essen, und nicht gegessen hat, wird man nicht gegeißelt. –"
Shevuot 4a:3,"Merke, diese Lehre ist eine anonyme und jene ist ebenfalls eine anonyme, was veranlaßte ihn nun, nach dieser zu entscheiden, er könnte ja ebensogut nach jener entscheiden!? –"
Shevuot 4a:4,Auch nach deiner Auffassung ist ja einzuwenden: wieso normierte Rabbi selber hier so und dort so?
Shevuot 4a:5,"Vielmehr war er zuerst der Ansicht, wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, sei zu geißeln, und normierte demgemäß, nachher aber gelangte er zur Ansicht, daß dieserhalb nicht zu geißeln ist, und normierte demgemäß; jene Lehre aber wurde von ihrem Platz nicht verdrängt<sup>31</sup><i class=""footnote"">Der Gelehrte weiß jedoch, nach welcher er sich zu richten habe.</i>. –"
Shevuot 4a:6,"Du hast sie also R. Jišma͑él addiziert, und zwar hinsichtlich der Geißelung; welche Geißelung gibt es denn bei den Aussatzmalen<sup>32</sup><i class=""footnote"">Bei diesen kann es sich ja nur um das Opfer handeln.</i>!? – Wenn man ein Aussatzmal ausschneidet. Dies nach R. Abin im Namen R. Ilea͑s, denn R. Abin sagte im Namen R. Ilea͑s, überall, wo es <i>achte</i>, <i>daß nicht</i> und <i>nicht</i> heißt, sei ein Verbot ausgedrückt<sup>33</sup><i class=""footnote"">Beim Aussatze wird Dt. 24,8 der Ausdruck ‘achte’ gebraucht, womit das Verbot des Ausschneidens ausgedrückt wird.</i>. –"
Shevuot 4a:7,"Welche Geißelung gibt es beim Hinausbringen am Šabbath, dies ist ja ein Verbot, worauf die Verwarnung auf Todesstrafe durch das Gericht gesetzt ist, und wegen eines Verbotes, worauf die Verwarnung auf Todesstrafe durch das Gericht gesetzt ist, ist ja nicht zu geißeln<sup>34</sup><i class=""footnote"">Selbst wenn die Todesstrafe aus formalen Gründen fortfällt.</i>!? – Deshalb haben wir sie<sup>35</sup><i class=""footnote"">Die Mišna.</i>ja R. Jišma͑él addiziert, der der Ansicht ist, wegen eines Verbotes, worauf die Verwarnung auf Todesstrafe durch das Gericht gesetzt ist, sei zu geißeln. –"
Shevuot 4a:8,"Sonst aber würde sie die Ansicht R. A͑qibas vertreten haben; demnach wäre ja hinsichtlich des Bewußtseins ein Einwand zu erheben<sup>36</sup><i class=""footnote"">Nach RA. ist man bei Unbewußtsein der Unreinheit schuldig u. bei Unbewußtsein der Heiligkeit frei; ob. Fol. 3a.</i>!? – Wir sagten ja, daß sie die Ansicht R. Jišma͑éls vertrete und zwar hinsichtlich der Geißelung, ebenso gilt dies nach R. A͑qiba hinsichtlich der Geißelung. –"
Shevuot 4a:9,"Wieso heißt es demnach ‘Bewußtsein’, es müßte ja heißen ‘Warnung’<sup>37</sup><i class=""footnote"">Geißelung kann nur bei Warnung erfolgen, wo Unbewußtsein überhaupt ausgeschlossen ist.</i>!? – Das ist kein Einwand; er spricht vom Bewußtsein der Warnung. –"
Shevuot 4a:10,"Wieso heißt es demnach: zwei, die in vier zerfallen, es sind ja nur zwei<sup>38</sup><i class=""footnote"">Verunreinigung des Heiligtums u. Verunreinigung der heiligen Opfer; die 2. Einteilung: Unbewußtsein der Unreinheit u. Unbewußtsein der Heiligkeit muß fortfallen, da bei Geißelung das Unbewußtsein überhaupt ausgeschlossen ist.</i>!? Ferner: [es heißt:] war Bewußtsein vorhanden vorher und Bewußtsein nachher, zwischendurch aber ein Entfallen. Wieso ist denn bei der Geißelung ein Unbewußtsein möglich!? Ferner [heißt es ausdrücklich:] so bringe er ein auf- und absteigendes Opfer!?"
Shevuot 4a:11,"Vielmehr, erklärte R. Joseph, ist sie von Rabbi<sup>39</sup><i class=""footnote"">Dem Redaktor der Mišna.</i>selber, der sie nach verschiedenen Autoren lehrt; hinsichtlich des Bewußtseins [der Heiligkeit] ist er der Ansicht R. Jišma͑éls, und hinsichtlich der Schwüre ist er der Ansicht R. A͑qibas."
Shevuot 4a:12,"R. Aši sagte: Ich trug diese Lehre R. Kahana vor, und er sprach zu mir: sage nicht, Rabbi lehre dies nach verschiedenen Autoren, ohne selber dieser Ansicht zu sein, vielmehr lehrt er hier seine eigene Ansicht,"
Shevuot 4a:13,"denn es wird gelehrt: Woher, daß man nur dann schuldig sei, wenn Bewußtsein vorher, Bewußtsein nachher und Unbewußtsein zwischendurch vorhanden war? Es heißt zweimal <i>entfällt</i><sup>40</sup><i class=""footnote"">Cf. Lev. 5,2 3.</i>– so R. A͑qiba."
Shevuot 4a:14,Rabbi sagte: Dies ist nicht nötig; es heißt:
Shevuot 4b:1,"<i>entfällt</i>, wahrscheinlich wußte er es vorher, darauf:<sup>41</sup><i class=""footnote"">Lev. 5,3.</i><i>und inne wird</i>, das sind also zwei Bewußtwerdungen. Wozu heißt es demnach zweimal <i>entfällt</i>? Daß man schuldig sei sowohl bei Unbewußtsein der Unreinheit, als auch bei Unbewußtsein der Heiligkeit."
Shevuot 4b:2,"Wir finden also, daß er hinsichtlich des Bewußtseins [der Heiligkeit] seine eigene Ansicht vertritt, woher, daß er auch hinsichtlich der Schwüre seine eigene Ansicht vertritt? – Dies ist einleuchtend."
Shevuot 4b:3,"Eine andere Lesart: Wir finden also, daß er hinsichtlich des Bewußtseins [der Heiligkeit] der Ansicht R. Jišma͑éls ist, woher, daß er hinsichtlich der Schwüre der Ansicht R. A͑qibas ist? – Dies ist einleuchtend."
Shevuot 4b:4,"R. A͑qiba ist wohl deshalb der Ansicht, daß man auch wegen des assertorischen [Schwures] schuldig sei, weil er [die Regel von der] Einschließung und Ausschließung<sup>42</sup><i class=""footnote"">Cf. infra Fol. 26a.</i>anwendet, und auch Rabbi wendet [die Regel von der] Einschließung und Ausschließung an,"
