Ref,Text
Chullin 2b:5,"אֲמַר לֵיהּ: אֲנָא ""שְׁחִיטָתָן כְּשֵׁרָה"" קַשְׁיָא לִי, מִדְּקָתָנֵי ""שְׁחִיטָתָן כְּשֵׁרָה"" דִּיעֲבַד, מִכְּלָל ""דְּהַכֹּל — לְכַתְּחִלָּה הוּא, דְּאִי דִּיעֲבַד, תַּרְתֵּי דִּיעֲבַד לְמָה לִי?"
Chullin 2b:6,"אָמַר רַבָּה בַּר עוּלָּא, הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — וַאֲפִילּוּ טָמֵא בְּחוּלִּין. טָמֵא בְּחוּלִּין מַאי לְמֵימְרָא! בְּחוּלִּין שֶׁנַּעֲשׂוּ עַל טׇהֳרַת הַקֹּדֶשׁ, וְקָסָבַר חוּלִּין שֶׁנַּעֲשׂוּ עַל טׇהֳרַת הַקֹּדֶשׁ כְּקֹדֶשׁ דָּמוּ."
Chullin 2b:7,"כֵּיצַד הוּא עוֹשֶׂה? מֵבִיא סַכִּין אֲרוּכָּה וְשׁוֹחֵט בָּהּ, כְּדֵי שֶׁלֹּא יִגַּע בַּבָּשָׂר."
Chullin 2b:8,וּבְמוּקְדָּשִׁים לֹא יִשְׁחוֹט שֶׁמָּא יִגַּע בַּבָּשָׂר וְאִם שָׁחַט וְאוֹמֵר בָּרִי לִי שֶׁלֹּא נָגַעְתִּי שְׁחִיטָתוֹ כְּשֵׁרָה
Chullin 2b:9,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, דַּאֲפִילּוּ בְּחוּלִּין גְּרֵידֵי, דִּיעֲבַד נָמֵי לָא? שֶׁמָּא יִשְׁהוּ, שֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ."
Chullin 2b:10,וְכוּלָּן שֶׁשָּׁחֲטוּ אַהֵיָיא אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן עֲלַהּ קָאֵי וְאִם שָׁחֲטוּ מִיבְּעֵי לֵיהּ אֶלָּא אַטָּמֵא בְּחוּלִּין הָא אָמְרַתְּ לְכַתְּחִלָּה נָמֵי שָׁחֵיט
Chullin 2b:11,וְאֶלָּא אַטָּמֵא בְּמוּקְדָּשִׁים — בְּבָרִי לִי סַגִּי! דְּלֵיתֵיהּ קַמַּן דִּנְשַׁיְּילֵיהּ. —
Chullin 2b:12,"הַאי טָמֵא בְּמוּקְדָּשִׁים, מֵהָכָא נָפְקָא? מֵהָתָם נָפְקָא: כׇּל הַפְּסוּלִין שֶׁשָּׁחֲטוּ — שְׁחִיטָתָן כְּשֵׁרָה, שֶׁהַשְּׁחִיטָה כְּשֵׁרָה בְּזָרִים, בְּנָשִׁים, וּבַעֲבָדִים, וּבִטְמֵאִים, וַאֲפִילּוּ בְּקׇדְשֵׁי קָדָשִׁים, וּבִלְבַד שֶׁלֹּא יִהְיוּ טְמֵאִין נוֹגְעִין בַּבָּשָׂר!"
Chullin 2b:13,"הָכָא עִיקָּר. הָתָם, אַיְּידֵי דִּתְנָא שְׁאָר פְּסוּלִין — תְּנָא נָמֵי טָמֵא בְּמוּקְדָּשִׁים. וְאִיבָּעֵית אֵימָא: הָתָם עִיקָּר, דִּבְקָדָשִׁים קָאֵי. הָכָא, אַיְּידֵי דִּתְנָא טָמֵא בְּחוּלִּין — תָּנֵי נָמֵי טָמֵא בְּמוּקְדָּשִׁים."
Chullin 2b:14,"הַאי טָמֵא, דְּאִיטַּמָּא בְּמַאי? אִילֵּימָא דְּאִיטַּמִּי בְּמֵת? בַּחֲלַל חֶרֶב"", אָמַר רַחֲמָנָא,"
Chullin 3a:1,"חֶרֶב הֲרֵי הוּא כֶּחָלָל. — אַב הַטּוּמְאָה הוּא, — לְטַמְּיֵיהּ לְסַכִּין, וַאֲזַל סַכִּין וְטַמִּיתֵיהּ לְבָשָׂר!"
Chullin 3a:2,"אֶלָּא דְּאִיטַּמִּי בְּשֶׁרֶץ. וְאִי בָּעֵית אֵימָא: לְעוֹלָם דְּאִיטַּמִּי בְּמֵת. וּכְגוֹן שֶׁבָּדַק קְרוּמִית שֶׁל קָנֶה, וְשָׁחַט בָּהּ: — דְּתַנְיָא, בַּכֹּל שׁוֹחֲטִים: בֵּין בְּצוֹר, בֵּין בִּזְכוּכִית, בֵּין בִּקְרוּמִית שֶׁל קָנֶה."
Chullin 3a:3,"אַבָּיֵי אָמַר. הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — וַאֲפִילּוּ כּוּתִי. בַּמֶּה דְּבָרִים אֲמוּרִים? כְּשֶׁיִּשְׂרָאֵל עוֹמֵד עַל גַּבָּיו, אֲבָל יוֹצֵא וְנִכְנָס — לֹא יִשְׁחוֹט."
Chullin 3a:4,"וְאִם שָׁחַט — חוֹתֵךְ כְּזַיִת בָּשָׂר וְנוֹתֵן לוֹ, אֲכָלוֹ מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, — לֹא אֲכָלוֹ — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 3a:5,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן דַּאֲפִילּוּ דִּיעֲבַד נָמֵי לָא, שֶׁמָּא יִשְׁהוּ, שֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ."
Chullin 3a:6,"""וְכוּלָּן שֶׁשָּׁחֲטוּ"", אַהֵיָיא? אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן — עֲלַהּ ""קָאֵי, וְאִם"" שָׁחֲטוּ מִבְּעֵי לֵיהּ!"
Chullin 3a:7,אֶלָּא אַכּוּתִי — הָא אָמְרַתְּ: כְּשֶׁיִּשְׂרָאֵל עוֹמֵד עַל גַּבָּיו שָׁחֵיט אֲפִילּוּ לְכַתְּחִלָּה! קַשְׁיָא.
Chullin 3a:8,"אָמַר רָבָא: וְיוֹצֵא וְנִכְנָס, לְכַתְּחִלָּה לָא? וְהָתְנַן: הַמַּנִּיחַ נָכְרִי בַּחֲנוּתוֹ וְיִשְׂרָאֵל יוֹצֵא וְנִכְנָס — מוּתָּר! הָתָם מִי ""קָתָנֵי ""מַנִּיחַ""? הַמַּנִּיחַ קָתָנֵי, דִּיעֲבַד! —"
Chullin 3a:9,"אֶלָּא מֵהָכָא: — אֵין הַשּׁוֹמֵר צָרִיךְ לִהְיוֹת יוֹשֵׁב וּמְשַׁמֵּר, אֶלָּא אַף עַל פִּי שֶׁיּוֹצֵא וְנִכְנָס — מוּתָּר."
Chullin 3a:10,"אֶלָּא אָמַר רָבָא, הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — וַאֲפִילּוּ כּוּתִי. בַּמֶּה דְּבָרִים אֲמוּרִים? כְּשֶׁיִּשְׂרָאֵל יוֹצֵא וְנִכְנָס, אֲבָל, בָּא וּמְצָאוֹ שֶׁשָּׁחַט — חוֹתֵךְ כַּזַּיִת בָּשָׂר וְנוֹתֵן לוֹ, אֲכָלוֹ — מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, לֹא אֲכָלוֹ — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 3a:11,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, דַּאֲפִילּוּ דִּיעֲבַד נָמֵי לָא, שֶׁמָּא יִשְׁהוּ, וְשֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ. ""וְכוּלָּן שֶׁשָּׁחֲטוּ"" אַהֵיָיא? אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן — עֲלַהּ ""קָאֵי, וְאִם"" שָׁחֲטוּ מִבְּעֵי לֵיהּ!"
Chullin 3a:12,אֶלָּא אַכּוּתִי — הָא אָמְרַתְּ אֲפִילּוּ יוֹצֵא וְנִכְנָס שָׁחֵיט לְכַתְּחִלָּה! קַשְׁיָא.
Chullin 3a:13,"רַב אָשֵׁי אָמַר, הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — וַאֲפִילּוּ יִשְׂרָאֵל מְשׁוּמָּד: מְשׁוּמָּד לְמַאי, — לֶאֱכוֹל נְבֵילוֹת לְתֵיאָבוֹן. וְכִדְרָבָא, דְּאָמַר רָבָא: יִשְׂרָאֵל מְשׁוּמָּד אוֹכֵל נְבֵילוֹת לְתֵיאָבוֹן —"
Chullin 3b:1,"בּוֹדֵק סַכִּין, וְנוֹתֵן לוֹ, וּמוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ. אֲבָל לֹא בָּדַק וְנָתַן לוֹ — לֹא יִשְׁחוֹט, וְאִם שָׁחַט — בּוֹדֵק סַכִּינוֹ אַחֲרָיו, נִמְצֵאת סַכִּינוֹ יָפָה — מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, וְאִם לָאו — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 3b:2,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן דַּאֲפִילּוּ דִּיעֲבַד נָמֵי לָא, שֶׁמָּא יִשְׁהוּ, שֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ. ""וְכוּלָּן שֶׁשָּׁחֲטוּ, אַהֵיָיא? אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן — עֲלַהּ ""קָאֵי, וְאִם"" שָׁחֲטוּ מִיבְּעֵי לֵיהּ!"
Chullin 3b:3,"אֶלָּא אַיִּשְׂרָאֵל מְשׁוּמָּד, אִי דְּבָדַק סַכִּין וְנוֹתֵן לוֹ, הָא אָמְרַתְּ שׁוֹחֵט לְכַתְּחִלָּה! אֶלָּא דְּלֹא בָּדַק, — אִי דְּאִיתֵיהּ לְסַכִּין — לִיבְדְּקֵיהּ הַשְׁתָּא! וְאִי דְּלֵיתֵיהּ לְסַכִּין, כִּי אֲחֵרִים רוֹאִין אוֹתוֹ מַאי הָוֵי? דִּלְמָא בְּסַכִּין פְּגוּמָה שָׁחֵיט! קַשְׁיָא."
Chullin 3b:4,"רָבִינָא אָמַר. הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — הַכֹּל, מוּמְחִין שׁוֹחֲטִין: מוּמְחִין — וְאַף עַל פִּי שֶׁאֵין מוּחְזָקִין."
Chullin 3b:5,"בַּמֶּה דְּבָרִים אֲמוּרִים? — שֶׁיּוֹדְעִין בּוֹ שֶׁיּוֹדֵעַ לוֹמַר הִלְכוֹת שְׁחִיטָה, אֲבָל אֵין יוֹדְעִין בּוֹ שֶׁיּוֹדֵעַ לוֹמַר הִלְכוֹת שְׁחִיטָה — לֹא יִשְׁחוֹט, וְאִם שָׁחַט — בּוֹדְקִין אוֹתוֹ, אִם יוֹדֵעַ לוֹמַר הִלְכוֹת שְׁחִיטָה — מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, וְאִם לָאו — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 3b:6,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, דַּאֲפִילּוּ דִּיעֲבַד נָמֵי לָא, שֶׁמָּא יִשְׁהוּ, שֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ: ""וְכוּלָּן שֶׁשָּׁחֲטוּ, אַהֵיָיא? אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן — עֲלַהּ ""קָאֵי, וְאִם"" שָׁחֲטוּ מִבְּעֵי לֵיהּ!"
Chullin 3b:7,"אֶלָּא אַשֶּׁאֵין מוּמְחִין, בְּבוֹדְקִין אוֹתוֹ סַגִּי! דְּלֵיתֵיהּ לְקַמַּן דְּלִיבְדְּקֵיהּ."
Chullin 3b:8,"וְאִיכָּא דְאָמְרִי: רָבִינָא אָמַר, הָכִי קָתָנֵי: הַכֹּל שׁוֹחֲטִין — הַכֹּל, מוּחְזָקִין, שׁוֹחֲטִין: מוּחְזָקִין אַף עַל פִּי שֶׁאֵין מוּמְחִין: בַּמֶּה דְּבָרִים אֲמוּרִים? שֶׁשָּׁחֲטוּ לְפָנֵינוּ שְׁתַּיִם וְשָׁלֹשׁ פְּעָמִים וְלֹא נִתְעַלֵּף, אֲבָל לֹא שָׁחַט לְפָנֵינוּ שְׁתַּיִם וְשָׁלֹשׁ פְּעָמִים — לֹא יִשְׁחוֹט, שֶׁמָּא יִתְעַלֵּף, וְאִם ""שָׁחַט וְאָמַר: בָּרִי לִי שֶׁלֹּא נִתְעַלַּפְתִּי — שְׁחִיטָתוֹ כְּשֵׁרָה."
Chullin 3b:9,"חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, דַּאֲפִילּוּ דִּיעֲבַד נָמֵי לָא, שֶׁמָּא יִשְׁהוּ, שֶׁמָּא יִדְרְסוּ, וְשֶׁמָּא יַחֲלִידוּ. ""וְכוּלָּן שֶׁשָּׁחֲטוּ"" אַהֵיָיא? אִילֵּימָא אַחֵרֵשׁ שׁוֹטֶה וְקָטָן — עֲלַהּ ""קָאֵי, וְאִם"" שָׁחֲטוּ מִיבְּעֵי לֵיהּ!"
Chullin 3b:10,"אֶלָּא אַשֶּׁאֵין מוּחְזָקִין — וְהָאָמְרַתְּ בְּבָרִי"" לִי סַגִּי! דְּלֵיתֵיהּ קַמַּן דְּלִישַׁיְּילֵיהּ."
Chullin 3b:11,"רָבִינָא וְרַבָּה בַּר עוּלָּא, כְּאַבַּיֵּי וְרָבָא וְרַב אָשֵׁי לָא אָמְרִי, מִשּׁוּם דְּקַשְׁיָא לְהוּ: ""וְכוּלָּן."
Chullin 3b:12,"כּוּלְּהוּ כְּרַבָּה בַּר עוּלָּא לָא אָמְרִי. לְהַךְ לִישָּׁנָא דְּאָמְרַתְּ: הָכָא עִיקָּר: — אַדְּרַבָּה, הָתָם עִיקָּר, דִּבְקָדָשִׁים קָאֵי."
Chullin 3b:13,"לְהַךְ לִישָּׁנָא דְּאָמְרַתְּ: הָתָם עִיקָּר, וְהָכָא אַיְּידֵי דִּתְנָא טָמֵא בְּחוּלִּין, — תְּנָא נָמֵי טָמֵא בְּמוּקְדָּשִׁין: — טָמֵא בְּחוּלִּין גּוּפֵיהּ לָא אִיצְטְרִיכָא לֵיהּ, חוּלִּין שֶׁנַּעֲשׂוּ עַל טׇהֳרַת קֹדֶשׁ לָאו כְּקֹדֶשׁ דָּמוּ."
Chullin 3b:14,"כּוּלְּהוּ כְּרָבִינָא לָא אָמְרִי, לְהַךְ לִישָּׁנָא דְּאָמַר מוּמְחִין אִין, שֶׁאֵין מוּמְחִין — לָא, רוֹב מְצוּיִין אֵצֶל שְׁחִיטָה מוּמְחִין הֵן. —"
Chullin 3b:15,"לְהַךְ לִישָּׁנָא דְּאָמַר: מוּחְזָקִין — אִין, שֶׁאֵין מוּחְזָקִין — לָא, לְעִלּוֹפֵי לָא חָיְישִׁינַן."
Chullin 3b:16,"רָבָא לָא אָמַר כְּאַבַּיֵּי כִּי קוּשְׁיֵיהּ. אַבָּיֵי לָא אָמַר כְּרָבָא, הָתָם לָא נָגַע, הָכָא נָגַע."
Chullin 3b:17,"רַב אָשֵׁי לָא אָמַר כְּתַרְוַיְיהוּ, קָסָבַר: כּוּתִים גֵּרֵי אֲרָיוֹת הֵן."
Chullin 3b:18,"אַבָּיֵי לָא אָמַר כְּרַב אָשֵׁי, לָא סְבִירָא לֵיהּ הָא דְּרָבָא. אֶלָּא רָבָא מַאי טַעְמָא לָא אָמַר כִּשְׁמַעְתֵּיהּ?"
Chullin 3b:19,"לִדְבָרָיו דְּאַבָּיֵי קָאָמַר, וְלֵיהּ לָא סְבִירָא לֵיהּ."
Chullin 3b:20,"תָּנוּ רַבָּנַן: שְׁחִיטַת כּוּתִי מוּתֶּרֶת, בַּמֶּה דְּבָרִים אֲמוּרִים? כְּשֶׁיִּשְׂרָאֵל עוֹמֵד עַל גַּבָּיו. אֲבָל בָּא, וּמְצָאוֹ שֶׁשָּׁחַט חוֹתֵךְ כַּזַּיִת וְנוֹתֵן לוֹ, אֲכָלוֹ — מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, וְאִם לָאו — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 3b:21,"כַּיּוֹצֵא בּוֹ, מָצָא בְּיָדוֹ"
Chullin 4a:1,"דְּקוּרְיָא שֶׁל צִפֳּרִים, — קוֹטֵעַ רֹאשׁוֹ שֶׁל אֶחָד מֵהֶן וְנוֹתֵן לוֹ, אֲכָלוֹ — מוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ, וְאִם לָאו — אָסוּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 4a:2,"אַבָּיֵי דָּיֵיק מֵרֵישָׁא, רָבָא דָּיֵיק מִסֵּיפָא. אַבָּיֵי דָּיֵיק מֵרֵישָׁא: טַעְמָא דְּיִשְׂרָאֵל עוֹמֵד עַל גַּבָּיו, אֲבָל יוֹצֵא וְנִכְנָס — לָא."
Chullin 4a:3,"רָבָא דָּיֵיק מִסֵּיפָא: טַעְמָא דְּבָא וּמְצָאוֹ שֶׁשָּׁחַט, אֲבָל יוֹצֵא וְנִכְנָס — שַׁפִּיר דָּמֵי."
Chullin 4a:4,"וּלְאַבָּיֵי קַשְׁיָא סֵיפָא! אָמַר לָךְ יוֹצֵא וְנִכְנָס נָמֵי ""בָּא וּמְצָאוֹ"" קָרֵי לֵיהּ: וּלְרָבָא קַשְׁיָא רֵישָׁא! אָמַר לָךְ: יוֹצֵא וְנִכְנָס נָמֵי כְּעוֹמֵד עַל גַּבָּיו דָּמֵי."
Chullin 4a:5,"כַּיּוֹצֵא בּוֹ, מָצָא בְּיָדוֹ דְּקוּרְיָא שֶׁל צִפֳּרִין, קוֹטֵעַ רֹאשׁוֹ: — כּוּ' אַמַּאי? לֵיחוּשׁ דִּלְמָא הַאי הוּא דַּהֲוָה שָׁחֵיט שַׁפִּיר!"
Chullin 4a:6,אָמַר רַב מְנַשֶּׁה: (סִימָן מַכְנִיס אִיזְמֵל בִּזְכָרִים) בְּמַכְנִיסָן תַּחַת כְּנָפָיו: —
Chullin 4a:7,וְדִלְמָא סִימָנָא הֲוָה יָהֵיב לֵיהּ בְּגַוֵּיהּ! אָמַר רַב מְשַׁרְשְׁיָא: דִּמְמַסְמֵס לֵיהּ מַסְמוֹסֵי.
Chullin 4a:8,וְדִלְמָא קָסָבְרִי כּוּתִים אֵין שְׁחִיטָה לָעוֹף מִן הַתּוֹרָה!
Chullin 4a:9,"וּלְטַעְמָיךְ, שְׁהִיָּיה, דְּרָסָה, חֲלָדָה, הַגְרָמָה, וְעִיקּוּר, מִי כְּתִיבָן?"
Chullin 4a:10,"אֶלָּא כֵּיוָן דְּאַחְזִיקוּ בְּהוּ אַחְזִיקוּ בְּהוּ, — הָכָא נָמֵי, כֵּיוָן דְּאַחְזִיקוּ אַחְזִיקוּ."
Chullin 4a:11,"וְאַחְזוּק וְלָא אַחְזוּק בִּדְלָא כְּתִיבָא, תַּנָּאֵי הִיא, דְּתַנְיָא: מַצַּת כּוּתִי מוּתֶּרֶת, וְאָדָם יוֹצֵא בָּהּ יְדֵי חוֹבָתוֹ בַּפֶּסַח."
Chullin 4a:12,"רַבִּי אֶלְעָזָר אוֹסֵר, לְפִי שֶׁאֵין בְּקִיאִין בְּדִקְדּוּקֵי מִצְוֹת כְּיִשְׂרָאֵל."
Chullin 4a:13,"רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר: כׇּל מִצְוָה שֶׁהֶחֱזִיקוּ בָּהּ כּוּתִים, הַרְבֵּה מְדַקְדְּקִין בָּהּ יוֹתֵר מִיִּשְׂרָאֵל."
Chullin 4a:14,"אָמַר מָר: מַצַּת כּוּתִי מוּתֶּרֶת, וְאָדָם יוֹצֵא בָּהּ יְדֵי חוֹבָתוֹ בַּפֶּסַח פְּשִׁיטָא! מַהוּ דְּתֵימָא: לָא בְּקִיאִי בְּשִׁימּוּר, קָא מַשְׁמַע לַן. רַבִּי אֶלְעָזָר אוֹסֵר, לְפִי שֶׁאֵין בְּקִיאִין בְּדִקְדּוּקֵי מִצְוֹת. קָסָבַר: לָא בְּקִיאִי בְּשִׁימּוּר."
Chullin 4a:15,"רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר: כׇּל מִצְוָה שֶׁהֶחֱזִיקוּ בָּהּ כּוּתִים, הַרְבֵּה מְדַקְדְּקִין בָּהּ יוֹתֵר מִיִּשְׂרָאֵל. הַיְינוּ תַּנָּא קַמָּא? אִיכָּא בֵּינַיְיהוּ דִּכְתִיבָא וְלָא אַחְזִיקוּ בַּהּ, תַּנָּא קַמָּא סָבַר: כֵּיוָן דִּכְתִיבָא, אַף עַל גַּב דְּלָא אַחְזִיקוּ בַּהּ. — וְרַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל סָבַר: אִי אַחְזוּק — אִין, אִי לָא אַחְזוּק — לָא."
Chullin 4a:16,"אִי הָכִי, ""כׇּל מִצְוָה שֶׁהֶחֱזִיקוּ בָּהּ כּוּתִים"", ""אִם הֶחְזִיקוּ"" מִיבְּעֵי לֵיהּ!"
Chullin 4a:17,"אֶלָּא, אִיכָּא בֵּינַיְיהוּ דְּלָא כְּתִיבָא וְאַחְזִיקוּ בַּהּ, תַּנָּא קַמָּא סָבַר: כֵּיוָן דְּלָא כְּתִיבָא, אַף עַל גַּב דְּאַחְזִיקוּ בַּהּ נָמֵי לָא. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל סָבַר: כֵּיוָן דְּאַחְזוּק אַחְזוּק."
Chullin 4a:18,"גּוּפָא, אָמַר רָבָא: יִשְׂרָאֵל מְשׁוּמָּד, אוֹכֵל נְבֵילוֹת לְתֵיאָבוֹן, — בּוֹדֵק סַכִּין, וְנוֹתֵן לוֹ, וּמוּתָּר לֶאֱכוֹל מִשְּׁחִיטָתוֹ."
Chullin 4a:19,"מַאי טַעְמָא? כֵּיוָן, דְּאִיכָּא הֶתֵּירָא וְאִיסּוּרָא, לָא שָׁבֵיק הֶתֵּירָא וְאָכֵיל אִיסּוּרָא. —"
Chullin 4a:20,"אִי הָכִי, כִּי לָא בְּדַק נָמֵי! מִיטְרָח לָא טָרַח."
Chullin 4a:21,"אֲמַרוּ לֵיהּ רַבָּנַן לְרָבָא, תַּנְיָא דִּמְסַיַּיע לָךְ: חֲמֵצָן שֶׁל עוֹבְרֵי עֲבֵירָה, אַחַר הַפֶּסַח"
Chullin 4b:1,"מוּתָּר מִיָּד, מִפְּנֵי שֶׁהֵן מַחְלִיפִין."
Chullin 4b:2,"סַבְרוּהָ, הָא מַנִּי? רַבִּי יְהוּדָה הִיא, דְּאָמַר חָמֵץ אַחַר הַפֶּסַח, דְּאוֹרָיְיתָא וְקָתָנֵי: מִפְּנֵי שֶׁהֵן מַחְלִיפִין, אַלְמָא לָא שָׁבֵיק הֶתֵּירָא וְאָכֵיל אִיסּוּרָא."
Chullin 4b:3,"מִמַּאי? דִּלְמָא רַבִּי שִׁמְעוֹן הִיא, דְּאָמַר: חָמֵץ אַחַר הַפֶּסַח דְּרַבָּנַן, וְכִי מְקִילִּינַן, בִּדְרַבָּנַן, בִּדְאוֹרָיְיתָא, — לָא מְקִילִּינַן!"
Chullin 4b:4,"וְתִיהְוֵי נָמֵי רַבִּי שִׁמְעוֹן, מִי קָתָנֵי: ""שֶׁאֲנִי אוֹמֵר הֶחְלִיפוּ""? ""מִפְּנֵי שֶׁמַּחְלִיפִין"" קָתָנֵי, דְּוַדַּאי מַחְלִיפִין וּמָה בִּדְרַבָּנַן לָא שָׁבֵיק הֶתֵּירָא וְאָכֵיל אִיסּוּרָא, בִּדְאוֹרָיְיתָא, לֹא כׇּל שֶׁכֵּן?"
