Index Title,Ibn Ezra on Genesis
Ibn Ezra on Genesis 1:2:2,"תהו, אמר הגאון תהו שהוא מתהום<i data-commentator=""Yahel Ohr"" data-order=""קיט""></i><i data-commentator=""Karnei Ohr"" data-order=""מג""></i>, וזה לא יתכן כי מ""ם תהום שרש כמו מ""ם ""הדום""<i data-commentator=""Yahel Ohr"" data-order=""קכ""></i>, ובס' יצירה<i data-commentator=""Yahel Ohr"" data-order=""קכא""></i> תהו זה קו ירוק<i data-commentator=""Yahel Ohr"" data-order=""קכב""></i> ובהו אלו אבנים מפולמות<i data-commentator=""Yahel Ohr"" data-order=""קכג""></i><i data-commentator=""Karnei Ohr"" data-order=""מד""></i> והנכון כאשר אמר המתרגם ארמית<i data-commentator=""Yahel Ohr"" data-order=""קכד""></i><i data-commentator=""Karnei Ohr"" data-order=""מה""></i>, וכן ""ובתהו יליל ישימון"" (דבר' לב יו""ד), וכן ""אחרי התהו"" (ש""א יב כא) שאין בו ממש:"
Ibn Ezra on Genesis 1:2:3,"ובהו אחי תהו<i data-commentator=""Yahel Ohr"" data-order=""קכה""></i><i data-commentator=""Karnei Ohr"" data-order=""מו""></i>, והווי""ן תהת ה""א<i data-commentator=""Yahel Ohr"" data-order=""קכו""></i>, כוי""ו ""וישתחו"" (למטה יח ב) ""ותרענה באחו"" (למטה מא ב)<i data-commentator=""Yahel Ohr"" data-order=""קכז""></i>, והטעם כי בראשית בריאת הרקיע והיבשה לא היה בארץ<i data-commentator=""Yahel Ohr"" data-order=""קכח""></i> יישוב כי היתה מכוסה במים<i data-commentator=""Yahel Ohr"" data-order=""קכט""></i> וכן שם<i data-commentator=""Yahel Ohr"" data-order=""קל""></i> אלהים כח תולדתה להיות למטה מהמים<i data-commentator=""Yahel Ohr"" data-order=""קלא""></i><i data-commentator=""Karnei Ohr"" data-order=""מז""></i>, ואל תתמה על וי""ו והארץ<i data-commentator=""Yahel Ohr"" data-order=""קלב""></i> כי פירושו כפ""א רפה בלשון ישמעאל<i data-commentator=""Yahel Ohr"" data-order=""קלג""></i><i data-commentator=""Karnei Ohr"" data-order=""מח""></i>, וכמוהו ""ואד יעלה מן הארץ"" (למטה ב ו)<i data-commentator=""Yahel Ohr"" data-order=""קלד""></i>, כי לא דבר משה על העולם הבא, שהוא עולם המלאכים<i data-commentator=""Yahel Ohr"" data-order=""קלה""></i><i data-commentator=""Karnei Ohr"" data-order=""מט""></i> כי אם על עולם ההויה והשחתה<i data-commentator=""Yahel Ohr"" data-order=""קלו""></i><i data-commentator=""Karnei Ohr"" data-order=""נ""></i>, והמפרשים שהשמים בפסוק הראשון הם שמי השמים<i data-commentator=""Yahel Ohr"" data-order=""קלז""></i><i data-commentator=""Karnei Ohr"" data-order=""נא""></i>, מה יעשו בארץ<i data-commentator=""Yahel Ohr"" data-order=""קלח""></i>, והנה ראיות גמורות לאנשי שיקול הדעת שאין שם רק ארץ אחת ודרש שבע ארצות<i data-commentator=""Yahel Ohr"" data-order=""קלט""></i><i data-commentator=""Karnei Ohr"" data-order=""נב""></i> הוא שהיישוב נחלק על שבעה<i data-commentator=""Yahel Ohr"" data-order=""קמ""></i> ובית המקדש היה באמצע היישוב<i data-commentator=""Yahel Ohr"" data-order=""קמא""></i> כי רחוק הוא מאמצע הארץ<i data-commentator=""Yahel Ohr"" data-order=""קמב""></i><i data-commentator=""Karnei Ohr"" data-order=""נג""></i>,"
Ibn Ezra on Genesis 1:2:4,"ורוח אלהים, ממך הרוח אל השם בעבור היותו שליח בחפץ השם<i data-commentator=""Yahel Ohr"" data-order=""קמג""></i><i data-commentator=""Karnei Ohr"" data-order=""נד""></i> לייבש המים<i data-commentator=""Yahel Ohr"" data-order=""קמד""></i>,"
Ibn Ezra on Genesis 1:2:5,"והמים לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""קמה""></i> גם לא יתפרדו, והם, על בנין שנים<i data-commentator=""Yahel Ohr"" data-order=""קמו""></i><i data-commentator=""Karnei Ohr"" data-order=""נה""></i>, כי הם זכרים ונקבות<i data-commentator=""Yahel Ohr"" data-order=""קמז""></i><i data-commentator=""Karnei Ohr"" data-order=""נו""></i>, ונמצא על לשון יחיד ""לא זורק עליו"" (במד' יט יג)<i data-commentator=""Yahel Ohr"" data-order=""קמח""></i>,"
Ibn Ezra on Genesis 1:2:6,"וטעם מרחפת נושבת למעלה במים<i data-commentator=""Yahel Ohr"" data-order=""קמט""></i><i data-commentator=""Karnei Ohr"" data-order=""נז""></i> וכן ""על גוזליו ירחף"" (דבר' לב יא),<i data-commentator=""Yahel Ohr"" data-order=""קנ""></i><i data-commentator=""Karnei Ohr"" data-order=""נח""></i>"
Ibn Ezra on Genesis 1:3:1,"<b>ויאמר</b> אמר הגאון כי פירוש ויאמר כמו וירצה<i data-commentator=""Yahel Ohr"" data-order=""קנא""></i><i data-commentator=""Karnei Ohr"" data-order=""נט""></i>, ואילו היה כן<i data-commentator=""Yahel Ohr"" data-order=""קנב""></i> היה ראוי להיות אור<i data-commentator=""Yahel Ohr"" data-order=""קנג""></i><i data-commentator=""Karnei Ohr"" data-order=""ס""></i>, רק הוא כמשמעו<i data-commentator=""Yahel Ohr"" data-order=""קנד""></i>, וכן ""בדבר ד' שמים נעשו"" (תה' לג ו) ""כי הוא צוה ונבראו (שם קמח ה) והטעם כנוי על המעשה שלא היה ביגיעה<i data-commentator=""Yahel Ohr"" data-order=""קנה""></i><i data-commentator=""Karnei Ohr"" data-order=""סא""></i>, ועל דרך משל מלך ומשרתיו<i data-commentator=""Yahel Ohr"" data-order=""קנו""></i><i data-commentator=""Karnei Ohr"" data-order=""סב""></i>,"
Ibn Ezra on Genesis 1:3:2,"וזה האור היה למעלה מן הרוח<i data-commentator=""Yahel Ohr"" data-order=""קנז""></i><i data-commentator=""Karnei Ohr"" data-order=""סג""></i>:"
Ibn Ezra on Genesis 1:4:1,"<b>וירא</b> כמו וראיתי אני (קהלת ב יג, דניאל יו""ד ז) והוא במחשבה<i data-commentator=""Yahel Ohr"" data-order=""קנח""></i><i data-commentator=""Karnei Ohr"" data-order=""סד""></i>,"
Ibn Ezra on Genesis 1:4:2,"וטעם ויבדל<i data-commentator=""Yahel Ohr"" data-order=""קנט""></i> בקריאת השמות<i data-commentator=""Yahel Ohr"" data-order=""קס""></i><i data-commentator=""Karnei Ohr"" data-order=""סה""></i>,"
Ibn Ezra on Genesis 1:5:1,"<b>ויקרא</b> הא' לילה נוסף<i data-commentator=""Yahel Ohr"" data-order=""קסא""></i> כי הוא מלעיל<i data-commentator=""Yahel Ohr"" data-order=""קסב""></i>, ולעולם לשון זכר הוא<i data-commentator=""Yahel Ohr"" data-order=""קסג""></i>,"
Ibn Ezra on Genesis 1:5:2,"ערב קרוב מטעם חשך, ונקרא כך שנתערבו בו הצורות<i data-commentator=""Yahel Ohr"" data-order=""קסד""></i><i data-commentator=""Karnei Ohr"" data-order=""סו""></i> ובקר הפך ערב שיוכל אדם לבקר בינות הצורות<i data-commentator=""Yahel Ohr"" data-order=""קסה""></i><i data-commentator=""Karnei Ohr"" data-order=""סז""></i>"
Ibn Ezra on Genesis 1:5:3,"וטעם יום אחד<i data-commentator=""Yahel Ohr"" data-order=""קסו""></i><i data-commentator=""Karnei Ohr"" data-order=""סח""></i> הוא על תנועת הגלגל<i data-commentator=""Yahel Ohr"" data-order=""קסז""></i><i data-commentator=""Karnei Ohr"" data-order=""סט""></i> ויש סוד לדרש שית אלפי<i data-commentator=""Yahel Ohr"" data-order=""קסח""></i><i data-commentator=""Karnei Ohr"" data-order=""ע""></i>, ואחר שאמר שהאור יקרא יום<i data-commentator=""Yahel Ohr"" data-order=""קסט""></i> לא יתכן שיקרא הערב יום,<i data-commentator=""Karnei Ohr"" data-order=""עא""></i> רק פי' היה ערב<i data-commentator=""Yahel Ohr"" data-order=""קע""></i> גם היה בקר של יום אחד<i data-commentator=""Yahel Ohr"" data-order=""קעא""></i>, ואילו היה הערב והבקר יום אחד<i data-commentator=""Yahel Ohr"" data-order=""קעב""></i>, מה טעם יום שני<i data-commentator=""Yahel Ohr"" data-order=""קעג""></i><i data-commentator=""Karnei Ohr"" data-order=""עב""></i>"
Ibn Ezra on Genesis 1:6:1,"<b>ויאמר,</b> אמר הגאון על הרקיע דברים שלא היו<i data-commentator=""Yahel Ohr"" data-order=""קעד""></i><i data-commentator=""Karnei Ohr"" data-order=""עג""></i>, רק פירושו דבר נטוי<i data-commentator=""Yahel Ohr"" data-order=""קעה""></i> כמו ""וירקעו"" (שמות לט ג)<i data-commentator=""Yahel Ohr"" data-order=""קעו""></i><i data-commentator=""Karnei Ohr"" data-order=""עד""></i> ""ארקעם"" (ש""ב כב מג)<i data-commentator=""Yahel Ohr"" data-order=""קעז""></i> וכן ""וימתחם כאהל לשבת"" (ישעי' מ כב)<i data-commentator=""Yahel Ohr"" data-order=""קעח""></i><i data-commentator=""Karnei Ohr"" data-order=""עה""></i>, ומה נכבד דבר האומר שקצות השמש (צ""ל השמים) עם קצות מימי אוקיינוס<i data-commentator=""Yahel Ohr"" data-order=""קעט""></i><i data-commentator=""Karnei Ohr"" data-order=""עו""></i>, וזה הרקיע הוא האויר<i data-commentator=""Yahel Ohr"" data-order=""קפ""></i><i data-commentator=""Karnei Ohr"" data-order=""עז""></i>, כי כאשר התחזק האור על הארץ<i data-commentator=""Yahel Ohr"" data-order=""קפא""></i><i data-commentator=""Karnei Ohr"" data-order=""עח""></i> ורוח יבש מהארץ<i data-commentator=""Yahel Ohr"" data-order=""קפב""></i> נהפך הלהט ונעשה הרקיע<i data-commentator=""Yahel Ohr"" data-order=""קפג""></i><i data-commentator=""Karnei Ohr"" data-order=""עט""></i>, וכן אמר במזמור (תה' קד ב')<i data-commentator=""Yahel Ohr"" data-order=""קפד""></i> נוטה שמים כיריעה<i data-commentator=""Yahel Ohr"" data-order=""קפה""></i> המקרה במים<i data-commentator=""Yahel Ohr"" data-order=""קפו""></i> והזכיר העבים והרוח<i data-commentator=""Yahel Ohr"" data-order=""קפז""></i> ויסד ארץ<i data-commentator=""Yahel Ohr"" data-order=""קפח""></i>, והיא גבוה על המים<i data-commentator=""Yahel Ohr"" data-order=""קפט""></i><i data-commentator=""Karnei Ohr"" data-order=""פ""></i>, וכן כתב ""כי הוא על ימים יסדה"", (תה' כד ב)<i data-commentator=""Yahel Ohr"" data-order=""קצ""></i><i data-commentator=""Karnei Ohr"" data-order=""פא""></i> ""לרוקע הארץ על המים"" (שם קלו ו)<i data-commentator=""Yahel Ohr"" data-order=""קצא""></i><i data-commentator=""Karnei Ohr"" data-order=""פב""></i> וכן כל הולך אל הים יורד יקרא<i data-commentator=""Yahel Ohr"" data-order=""קצב""></i>, וטעם ""הקורא למי הים"" (עמוס ה ח, ט, ו) שיעלו<i data-commentator=""Yahel Ohr"" data-order=""קצג""></i> והם העננים<i data-commentator=""Yahel Ohr"" data-order=""קצד""></i>, ואח""כ וישפכם<i data-commentator=""Yahel Ohr"" data-order=""קצה""></i>:"
Ibn Ezra on Genesis 1:7:1,"ויעש<i data-commentator=""Yahel Ohr"" data-order=""קצו""></i>, יש הבדלה בבין עם למ""ד, כמו בין מים למים (למעלה פ ו) ""בין קדש לחול (יחז' מד כג), ויש עם בין ובין, כמו פה, ויבדל בין המים אשר מתחת לרקיע, ובין המים וגו',<i data-commentator=""Yahel Ohr"" data-order=""קצז""></i> ויש עם שניהם כמו ""ביניכם לבין אלהיכם"" (ישעי' נט ב)<i data-commentator=""Yahel Ohr"" data-order=""קצח""></i>,"
Ibn Ezra on Genesis 1:7:2,"וטעם ""ויהי כן"" דבק עם הבא אחריו<i data-commentator=""Yahel Ohr"" data-order=""קצט""></i> כאשר היה כן קראו שמים<i data-commentator=""Yahel Ohr"" data-order=""ר""></i><i data-commentator=""Karnei Ohr"" data-order=""פג""></i>:"
