term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
Ḥokhma,Wisdom,,חָכְמָה,,,"The second of the <i>sefirot</i>, following <i>Keter</i>, this <i>sefira</i> is characterized by the essence of giving and bestowal from the Creator to the created beings – or, in other words, the first <<level>> or phase of the supernal light, or direct light, that emanates from the essence of the Creator, which is characterized by the will to give and is also called the “light of wisdom” (each of the five main <<<i>sefirot</i>>> are often described as <<levels>>, with <<<i>Keter</i>>> serving as the “root” <<level>> (the zero point) and the next four <<<i>sefirot</i>>> representing <<levels>> one through four). It is called <i>Ḥokhma</i>, or Wisdom, because it emanates all the wisdoms in existence. Additionally, it represents the concept of the unbounded mind and intellect, undefined and unrestricted, of the as yet undefined first flash of awareness.<br>This <i>sefira</i> is present at the <<head>> of every <<level>> and <<<i>partzuf</i>>>. Each of the five primary <i>sefirot</i> is parallel to one of the five worlds that form existence. The parallel world to this <i>sefira</i> is the world of <<<i>Atzilut</i>>> which is united with the Creator and has no limitations or boundaries. Each of the five primary <i>sefirot</i> is also parallel to one of the five <<<i>partzufim</i>>>. The <<<i>partzuf</i>>> that is parallel to this <<<i>sefira</i>>> is called <i>Abba</i>, or “Father.”<br>Certain lower <<levels>> of existence are also referred to as the <i>sefira</i> of <i>Ḥokhma</i>. This is because they all share a basic characteristic: They are all derivatives of the first <<level>> of the supernal light, or the light of wisdom.",252,
Bina,Understanding,,בִּינָה,,,"<i>Bina</i> is the third of the ten <<<i>sefirot</i>>>, following the <<<i>sefira</i>>> of <<<i>Ḥokhma</i>>>. It is the second <<level>> of the supernal light, or direct light, that emanates from the essence of the Creator. This second <<level>> or phase represents the desire of the created being to give and bestow and is therefore called the light of giving, as a continuation of the light of the Creator, the light of wisdom. It is called <i>Bina</i> or Understanding, because from it flows forth the power of understanding, of apprehending one thing for another. <i>Bina</i> is also a reference to different lower <<levels>> or <i>sefirot</i> in the structure of reality that are derivatives of the second <<level>> of the direct light.<br><i>Bina</i> is considered a “female” (or receiving) <i>sefira</i>, because it receives the light of wisdom. Additionally, at the root of <i>Bina</i> lies the yearning of the created beings that represents the will to receive that is embedded in existence. From a different perspective, <i>Bina</i> is found in of the <<head>> of the <<<i>partzuf</i>>> constructs, that is in the mind, so to speak, which includes the first three <<<i>sefirot</i>>> of <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <i>Bina</i>.<br>Each of the five primary <<<i>sefirot</i>>> is parallel to one of the five worlds that form existence. The world that is parallel to the <<<i>sefira</i>>> of <i>Bina</i> is the world of <<<i>Beria</i>>>. Each of the five primary <i>sefirot</i> is also parallel to one of the five <<<i>partzufim</i>>>. The <<<i>partzuf</i>>> that is parallel to <i>Bina</i> is called <i>Imma</i>, or “Mother.” Like a mother, <i>Bina</i> contains the roots of the <i>sefirot</i> that emanate from it, <<<i>Tiferet</i>>> with its <<<i>six extremities</i>>> and <<<i>Malkhut</i>>>. Additionally, the second <<constriction (<i>tzimtzum</i>)>> that forms the backdrop for the <<<i>world of tikkun (rectification)</i>>>, takes place within the <<<i>sefira</i>>> of <i>Bina</i>.",291,
Tiferet,Beauty,,תִפְאֶרֶת,,"​​ספירת התפארת היא הספירה הרביעית לפי החלוקה העיקרית של הספירות לחמש (כתר חכמה בינה תפארת ומלכות) והיא מקבילה לבחינה ג' של האור הישר, הוא 'אור חסדים בהארת החכמה', כלומר עיקרו אור החסדים (הנמשך מרצון הנבראים להידבק בבורא) של הבינה, אך מתעורר בו גם רצון מסוים לקבל את אור הבורא, והוא מושך חלק מאור החכמה, האור העליון.","The <<<i>sefira</i>>> of <i>Tiferet</i> is the sixth of the ten <<<i>sefirot</i>>>. When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>> –<i>Tiferet</i> is parallel to the third <<level>> of the direct light of giving emanating from the Creator. This <<level>> of light is primarily drawn from the desire of the created beings to bond with the Creator, a will to give, but it also contains a certain amount of the will to receive the light of the Creator, which draws in illuminations from the light of wisdom.<br><i>Tiferet</i> means “Beauty” (the concept of harmony), and it is called by this name because it is able to integrate both kinds of light within it, the light of wisdom, and the light of giving. This integration, which can be thought of as being formed of two columns of light, as well as an intermediating column which connects them, is the harmonious beauty of this <i>sefira</i>. It is this integrative capacity and its unique combination of lights that gives <i>Tiferet</i> its unique characterization in which the five <i>sefirot</i> that comprise it are given different names (recall that each <i>sefira</i> is formed of all five <i>sefirot</i>): The <<<i>Keter</i>>> in <i>Tiferet</i> is called <<<i>Ḥesed</i>>>. The <<<i>Ḥokhma</i>>> in <i>Tiferet</i> is called <<<i>Gevura</i>>>. The <<<i>Bina</i>>> in <i>Tiferet</i> is called <i>Tiferet</i>. The <i>Tiferet</i> within <i>Tiferet</i> is called <i>Netzaḥ</i>. The <<<i>Malkhut</i>>> within <i>Tiferet</i> is called <<<i>Hod</i>>>. In addition to these five, there is a sixth <<<i>sefira</i>>> in <i>Tiferet</i> called <<<i>Yesod</i>>>, which includes the preceding five within it. It is this grouping of the <<<i>sefirot</i>>> that gives rise to the familiar count of ten <<<i>sefirot</i>>>.<br>In the structure of <<<i>partzufim</i>>>, <i>Tiferet</i> is considered the <<body>> of the <<<i>partzuf</i>>>. Two hands (<<<i>Ḥesed</i>>> and <<<i>Gevura</i>>>) emerge from the <<body>>, as well as two legs (<<<i>Netzaḥ</i>>> and <<<i>Hod</i>>>) and the limb of procreation and life (<<<i>Yesod</i>>>), thus forming the image of the human body. The <<<i>partzuf</i>>> that correlates to <i>Tiferet</i> is <<<i>Ze’er Anpin</i>>>, which encompasses the <<<i>six extremities</i>>>. Each of the five primary <<<i>sefirot</i>>> is also parallel to one of the five worlds that form existence. The world that correlates to the <<<i>sefira</i>>> of <i>Tiferet</i> is the world of <<<i>Yetzira</i>>>.",362,
Ḥesed,Kindness,,חֶסֶד,,,"The <<<i>sefira</i>>> of <i>Ḥesed</i> is the fourth of the ten <<<i>sefirot</i>>>. When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>> – <i>Ḥesed</i> is encompassed in the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> as the <<<i>Keter</i>>> <<level>> of <<<i>Tiferet</i>>> (see <<<i>Tiferet</i>>>). The term <i>sefirat</i> <i>Ḥesed</i> is also a reference to different <<levels>> and <i>sefirot</i> in lower structures of reality that are all derivatives of the root <i>sefira</i> of <i>Ḥesed</i> found in the <<<i>direct light</i>>>. This <<<i>sefira</i>>> is called <i>Ḥesed</i> because it contains the light of giving (<i>ḥassadim</i>) that emanates from the <<<i>sefira</i>>> of <<<i>Bina</i>>>, which precedes <i>Ḥesed</i>, the light that is the essence of giving and bestowal on the part of a created being and that did not undergo any constriction. In the structure of <<<i>partzufim</i>>>, which is analogous to the human body, <i>Ḥesed</i> is always presented as the right hand of the <i>partzuf</i>, the hand that represents bestowal and closeness.",155,
Gevura,Restraint,,גְּבוּרָה,,,"The <<<i>sefira</i>>> of <i>Gevura</i> is the fifth of the ten <<<i>sefirot</i>>>. When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>> – <i>Gevura</i> is encompassed in the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> as the <<<i>Ḥokhma</i>>> <<level>> of <<<i>Tiferet</i>>> (see <<<i>Tiferet</i>>>)<br>The <<<i>sefira</i>>> of <i>Gevura</i> is called by this name since it characterizes restraint and constriction. It represents the left column in a process called the rectification of lines, and it is this left column on which the <<constriction (<i>tzimtzum</i>)>> acts. This placement characterizes the power of restraint that is used to repel the supernal light. In the structure of <<<i>partzufim</i>>>, which is analogous to the human body, <i>Gevura</i> is generally presented as the left hand of the <i>partzuf</i>.",122,
Netzaḥ,Dominance,,נֶצַח,,,"The <<<i>sefira</i>>> of <i>Netzaḥ</i> is the seventh of the ten <<<i>sefirot</i>>><i>.</i> When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <i>Keter</i>, <i>Ḥokhma</i>, <i>Bina</i>, <i>Tiferet</i>, and <i>Malkhut</i> – <i>Netzaḥ</i> is encompassed in the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> as the <<<i>Tiferet</i>>> <<level>> for the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> (see <<<i>Tiferet</i>>>).<br><i>Netzaḥ</i> is the <<<i>sefira</i>>> that completes a structure called the right-hand column in every <<<i>partzuf</i>>> or world. It is the fourth (thus, the <<<i>Tiferet</i>>> <<level>>) <<<i>sefira</i>>> <<level>> within the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> (see <<<i>Tiferet</i>>>). Its essence is therefore that of the <<<i>Tiferet</i>>> <<level>> which is revealed in the lower part of every <i>sefira</i>. As a result, it is considered a “male” <<<i>sefira</i>>>, that is, a giving and bestowing <<<i>sefira</i>>>, like <i>Tiferet</i>. The name <i>Netzaḥ</i> comes from the word for victory, <i>nitzaḥon</i>. <i>Netzaḥ</i> conquers impurity, meaning that, although it is in contact with lower aspects of existence, it simultaneously has the quality of bestowal and giving. This illustrates that <i>Netzaḥ</i> is not only undamaged by its involvement in lower realities, but it actually thrives and dominates. In the structure of <<<i>partzufim</i>>>, which is analogous to the human body, <i>Netzaḥ</i> is generally presented as the right leg of the <<<i>partzuf</i>>>.",195,
Hod,Splendor,,הוֹד,,,"The <<<i>sefira</i>>> of <i>Hod</i> is the eighth of the ten <<<i>sefirot</i>>>. When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>> – <i>Hod</i> is encompassed in the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> as the <<<i>Malkhut</i>>> <<level>> for the <<<i>sefira</i>>> of <<<i>Tiferet</i>>>.<br><i>Hod</i> is the <<<i>sefira</i>>> which completes the left line or column in every <<<i>partzuf</i>>> or world. Its essence is that of the fourth <<level>> (<<<i>Malkhut</i>>>). Because of this, and its role of completion, the <<<i>sefira</i>>> of <i>Hod</i> is considered female, and possessing the attribute of judgment. The name <i>Hod</i> derives from the word <i>hoda’ah</i>, thanksgiving, because the feminine (the left side) is grateful for the light that the masculine (the right side) shines on it. This light is the light of giving, which carries the light of wisdom with it, light, which was restricted as a result of the first <<constriction>>. In the structure of the <<<i>partzufim</i>>>, which correlates with the human body, the <<<i>sefira</i>>> of <i>Hod</i> is associated with the left thigh or leg.",170,
Yesod,Foundation,,יְסוֹד,,,"The <<<i>sefira</i>>> of <i>Yesod</i> is the ninth of the ten <<<i>sefirot</i>>>. When the <<<i>sefirot</i>>> are divided into the five primary <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>> – <i>Yesod</i> is encompassed in the <<<i>sefira</i>>> of <<<i>Tiferet</i>>>.<br><i>Yesod</i> is the <<<i>sefira</i>>> that represents the end of the middle line or column, the line of <<<i>Tiferet</i>>>. Accordingly, <i>Yesod</i> is a unique aspect of the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> and also exists in parallel in the <<<i>sefira</i>>> of <<<i>Malkhut</i>>>, which receives the lights of <<<i>Tiferet</i>>>. <i>Yesod</i>, which means “Foundation,” is named thus because it includes the “foundations” of its <<level>>, meaning the various lights within that <<level>>. It then transmits these lights to the <<<i>sefira</i>>> of <<<i>Malkhut</i>>> below it, so that <i>Yesod</i> serve as the foundation for the existence of the feminine aspect of the <<level>>. In the structure of <<<i>partzufim</i>>>, which correlate to the human body, the <<<i>sefira</i>>> of <i>Yesod</i> represents the sexual reproductive organs.",152,
Malkhut,Kingship,,מַלְכוּת,,,"<i>Malkhut</i> is the last of the ten <<<i>sefirot</i>>>. The essence of this <<<i>sefira</i>>> is its capacity as the ultimate vessel, the endless will to receive, which draws and reveals the infinite supernal light. This vessel actualizes the purpose of creation, which is for Ein Sof to bestow good on creation. Although this is its essence, the <<<i>constriction (tzimtzum)</i>>> prevents <i>Malkhut</i> from receiving the supernal light, protecting <i>Malkhut</i> from becoming subsumed by the supernal light. The constriction adds a new element to <i>Malkhut</i>: In addition to expressing the concept of receiving, it also possesses the attribute of constriction and judgment.<br>The <<partition>> that rests upon <i>Malkhut</i>, a result of the <<constriction (<i>tzimtzum</i>)>>, repels the supernal light, which gives rise to the <<returning light>>. This leads to the creation of new vessels, which give rise to the manifestation of the creation. <i>Malkhut</i> is positioned at the bottom end of each <<level>> of existence, but also begins the manifestation of the next <<level>> below.<br><i>Malkhut</i> is associated with the female aspect of creation, as well as the mouth. These symbols represent the capacity of <i>Malkhut</i> to receive the lights of the <<<i>sefirot</i>>> above and to transmit them to the <<levels>> below. It corresponds to the <<<i>Nukba</i>>>, or “female,” <<<i>partzuf</i>>> persona.",205,
Havaya,,,הֲוָיָה,,,"The name of <i>Havaya</i> refers to the Tetragrammaton, the four-letter name of God comprised of the letters <i>yod-heh-vav-heh</i>. It is pronounced Havaya rather than its true pronunciation on account of its sanctity and in order to avoid unwittingly violating the Torah prohibition against uttering the name of God. It is often written in this form in order to avoid the prohibition against erasing the name of God.<br>This name of God represents the main <<levels>> of existence. Its four letters correspond to four of the five primary <<<i>sefirot</i>>>: the <i>yod­</i> parallels <<<i>Ḥokhma</i>>>; the first <i>heh</i>, <<<i>Bina</i>>>; the <i>vav</i>, <<<i>Tiferet</i>>>; and the final <i>heh</i>, <<<i>Malkhut</i>>>), while the upper point of the <i>yod</i> corresponds to the fifth, <<<i>Keter</i>>>, the root of all the <<<i>sefirot</i>>>. The letters of the name also parallel the four worlds, <<<i>Atzilut (Emanation)</i>>>, <<<i>Beria (Creation)</i>>>, <<<i>Yetzira (Formation)</i>>>, and <<<i>Asiya (Action)</i>>>, while the upper point of the <i>yod</i> parallels the world of <<<i>Adam Kadmon</i>>>.<br>Just as each of the letters of the name corresponds to a different <<level>> of reality, so too the various ways of writing the name express different <<levels>> in the upper worlds. Thus, for example, the name <<<i>Ab</i>>> is the one that is revealed in the <<<i>sefira</i>>> of <<<i>Ḥokhma</i>>> in every <<level>> of reality. At the same time, every <<<i>partzuf</i>>> has a specific name (“<i>Havaya</i>”) that is revealed through it, e. g., the name that is revealed in the second <<<i>partzuf</i>>> of <<<i>Adam Kadmon</i>>> is “<i>Havaya</i> of <i>Ab</i> of <i>Adam Kadmon</i>,” and it refers to that <<<i>partzuf</i>>>.",,
Atzilut,Emanation,,אֲצִילוּת,,,"Often translated as bounty, flow, or abundance, <i>shefa</i> comes from the Hebrew word <i>hashpa’a</i>, which in this context means to give. Rays of sunlight, for example, can be described as the sun’s <i>shefa</i>. The rays constitute a “flow” of light from the sun that provides light and sustenance to the earth in bountiful abundance. In kabbalistic thought, <i>shefa</i> refers to different forms of light that flow from God's essence or from the <<<i>sefirot</i>>> and the like. Additionally, <i>shefa</i> can be used to refer both to God’s giving to creation, as well as the giving of created beings to each other.",100,
Yetzira,Formation,,יְצִירָה,עוֹלָם הַיְּצִירָה,,"The world of <i>Yetzira</i> is the third of the four worlds (after the supernal world of <i>Adam Kadmon</i>) that emanate and descend from one another in the process of creation. Some maintain that its name derives from the Hebrew words for form, <i>tzura</i>, or image, <i>tziyur</i>, since it is a kind of image or pattern for the final and fourth world, <<<i>Asiya</i>>>. Each of the worlds corresponds to one of the five primary <<<i>sefirot</i>>>. The world of <i>Yetzira</i> corresponds to the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> or the third <<level>> of creation. The created beings that dwell in this <<level>> are the angels called <i>ḥayot</i>.",103,
Beria,Creation,,בְּרִיאָה,,,"The world of <i>Beria</i> is the second of the four worlds (after the supernal world of <i>Adam Kadmon</i>) that emanate and descend from another in the process of creation. According to one explanation, its name is derived from the Hebrew word <i>bar</i>, a term that connotes that which is external, implying that the world of <i>Beria</i> is a garment for the world of <<<i>Atzilut</i>>>. The world of <i>Beria</i> parallels the <<<i>sefira</i>>> of <<<i>Bina</i>>>, or the second <<level>> of creation, and it is the beginning point of the <<enclothing>> of <<<i>Atzilut</i>>> into a reality that created beings can receive. The world of <i>Beria</i> is also called the world of the throne, signifying the Divine lowering itself onto a throne, so to speak, to interact with its creations and the beginning of the revelation of the Divine to lower <<levels>> of existence. It is also known as the world of souls, since the created entities called souls begin to have significance as receivers of the supernal light. The angelic entities that exist in this world are called <i>serafim</i>.",176,
Ein Sof,,,אֵין סוֹף,,,"In kabbalistic literature, <i>Ein Sof</i>, or the Infinite One, has two meanings. One is the initial stage of creation, what is referred to as the Creator’s intent for creation, before the first <<constriction (<i>tzimtzum</i>)>>, when the light and vessel are infinite. That is, there is an infinite will to receive that draws into it infinite light. The other meaning of <i>Ein Sof</i> is a “relative” <i>Ein Sof</i>, which is the <<<i>Keter</i>>> of each <<level>> of reality, because in relation to the <<levels>> beneath it, <<<i>Keter</i>>> is regarded as absolute light, without vessel or limitation. Thus, for example, the world of <<<i>Adam Kadmon</i>>> is defined as <i>Ein Sof</i> in relation to the worlds of <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>, because the world of <<<i>Adam Kadmon</i>>> is the <<<i>Keter</i>>> <<level>> of the lower four worlds. Similarly, the <<<i>partzuf</i>>> called Atik (literally, “Ancient”), the highest <<<i>partzuf</i>>> of an individual world, is the <<<i>Keter</i>>> of its respective world, and is defined as <i>Ein Sof</i> in relation to that world. The same applies to the <<<i>sefira</i>>> of <<<i>Keter</i>>> in each <<<i>partzuf</i>>>: It is defined as <i>Ein Sof</i> relative to that <<<i>partzuf</i>>>. The focus of most of the <i>Zohar</i> is on this relative <i>Ein Sof</i>.",199,
,Enclothe,"enclothing, enclothed, enclothes",התלבשות,,,"Any <<level>> of reality that incorporates another <<level>> within it is called the external clothing of the inner <<level>>, and the inner <<level>> is enclothed within that outer <<level>>. For example, a vessel that contains the light is also the clothing of the light and the light is enclothed within it. Likewise, the body is described as clothing for the soul.",61,
