Index Title,Ritva on Pesachim
Ritva on Pesachim 4a:1,"<b>רב בר אחוה דר' חייא דהוא בר אחתיה.</b> הוה עיקר הפי' כפרש""י ז""ל כי רב חייא שאל את רב על אביו ואמו של רב שהי' אחיו של ר' חייא. וכתב הרי""ט ז""ל ולפי שיטתה זו לא נלמוד מכאן כי שמועה רחוקה על אביו ועל אמו הוה נוהגת אלא יום א' מיהו הכי קושטא דמילתא כדברי בס""ד ע""כ:"
Ritva on Pesachim 4a:2,"<b>ש""מ אבל אסור בנעילת הסנדל.</b> הקשה הרי""ט ז""ל מה קאמר הא בהדיא שמעינן ליה מי ותירץ דהא קמ""ל דאע""ג דשמועה רחוקה אין לו לנהוג כל עניני אבילות צריך שינהוג מאותן שהם בגופו כגון נעילת הסנדל וכיוצא בו וסברינא כרבותא וזהו שלא חלץ תפיליו מדלא מפרש לה תלמוד וכן בדין שהביא אף אבל גמור אינו אסור בהם מיום שני ואילך ע""כ:"
Ritva on Pesachim 4a:3,"<b>שמע מינה מקצת היום ככולו.</b> הקשה הוא ז""ל למה לי ב' ש""מ לימא ש""מ שמועה רחוקה אינה נוהגת אלא שעה אחת ותירץ דהא קמ""ל דלעלמא לענין שביעי אינה <small>(נ""ל דצ""ל אי נמי, המעתיק)</small> שלשים הוה כן מדסגי הכא שהוא ביום אחרון ואף אנו נלמוד מכאן דמתאבלין על פי קרוב ולא דייקו לה בגמ' משום דהא פשוט להו דהא מלתא דעבידא לאגלויי היא ע""כ:"
Ritva on Pesachim 4b:1,"<b>המנינהו רבנן בדרבנן.</b> י""מ דמשום עבדים וקטנים נצעה דאלו בנשים אף באיסורין של תורה נאמנים דהא חזינן שהאמינה תורה על נידתה וגבי מעשרות כדתנן עשרתם ערבתם וכדאמרי' בכתובות פ' המדיר גבי עוברת על דת היכי דאמר אי ידע נפרוש אי דלא ידע מינא ידע ומעשים בכל יום אנו סומכין עליהם במליחה וניקור הבשר. וכן אמר בירושלמי אין כאן נשים. ויש פירוש אחר וזה העלה עיקר הרי""ט ז""ל. ועוד הקשה הרי""ט ז""ל דגבי תחומין אמרינן הכל נאמנים לומר ע""כ תחום שבת ואפי' עבד ואשה ופרישנא טעמא משום דתחומין דרבנן ותירץ דהתם מסיח בהכחשה דאילו מדאוריית' ע""א בהכחשה לאו כלום הוא. עוד הקשה קטנים האיך נאמנים דהא בפ""ב דכתובות במתני' דאילו נאמנים בגדולם מה שראו בקטנותם ובגמ' העלה מינה דקטן אינו נאמן בקטנותו להעיד אפי' באיסורין דרבנן כגון בית הפרס ותחומין וגם בההיא דעירובין לא הזכירו קטן ותירץ דהכא בדבר שבידם לעשות דכיון דבדיקה דרבנן מהימן אע""ג דאיכא טירחא ולענין איסורא דאוריי' נאמן בדבר שבידו בדבר שאין בו טירחא כשיש בו דעת כדאמרי' התם קטן היודע לשמור את ידיו אוכלין על ידיו ניקורות כדאיתא במס' סוכה ושם פירשתי בס""ד עכ""ל ז""ל. עוד כתב ז""ל ובעיין לא איפשטא דהא מסקנא דחייה בעל מנת הוא וזה ברור ע""כ. והר""י קרקושה ז""ל כתב בשם הר""י בן גיאת ז""ל ואי איתיה קמן שיילינן ליה ואי ליתיה קמן למידע אי בדוק אי לא חזקתו בדוק ואי מוחזק לך דלא בדק ואמרי הני בדקוניה המנינהו רבנן בדרבנן וכן פסק הרמב""ם ז""ל ע""כ:"
Ritva on Pesachim 5b:1,"<b>בבורות שיחין ומערות.</b> פי' הרי""ט ז""ל בורות שיחין ומערות שבשדות דאילו שבבתים ודאי בכלל בתים הם ואעפ""י שאין מכורין בכללן מן הסתם. התם משום לשון בני אדם אבל לישנא דקרא הכל בכלל ואפי' עליות וזה ברור ע""כ:"
Ritva on Pesachim 5b:2,"<b>נאמר שאור בבתי'.</b> פי' הרא""ה ז""ל בשם רבו ז""ל דכיון דכתיבא ג""ש הרי הוא כאילו כתיב תרווייהו בבתים ובגבולין ואפי' בטבלין <small>(צ""ל בגבולין, המעתיק)</small> עובר בשניהם וכיון שכן תווה שרי טמון בגבולין כי היכי דלא שרינן בבתים ואחרים פי' דלא אהני ג""ש אלא ליתן קולא דגבולין בבתים למישרי של אחרים ושל גבוה בלא אחריות וליתן חומרא בבתים דגבולין נמסרו באחריות. אבל ליכא בגבולין אלא לאו דלא יראה בלחוד ומינה דשרינן טמון:"
Ritva on Pesachim 5b:3,"<b>הא דקביל עליה אחריות.</b> פי' סתמא קאמר ואפי' בש""ח ומאי דנקיט בחמירא דבני חילא מיגניב או מיתביד משום דהכי קושטא דמילתא. ודוקא נקיט דלא קביל דמסתמא אין אחריות לעכו""ם דהא מיעטיה רחמנא דרעהו כתיב מיהו כל שבדיני עכו""ם חייב באחריות כמאן דקביל דמי כההוא דבני חילה דמדיני דמלכותא הוה ולא שאונסין אנסן כפי' הרמב""ן ז""ל דבודאי כל שבאונס גזל לשעתו הוה ולא חשיב כשלו לעבור עליו וכן כתב הראב""ד ז""ל ובודאי אעפ""י שישראל זה עובר עליו חמץ של נכרי מיקרי לאשתרויי אחר הפסח מפי מורי נ""י ע""כ מלשון הרי""ט ז""ל:"
Ritva on Pesachim 6a:1,"<b>בהמת ארנונא.</b> ועיסת ארנונא יש שפי' שהיא של שותפות. וכתב הרי""ט ז""ל דאינו מחוור ובמס' בכורות מסקינן בשותפות גוי אפי' אין לו בה אלא אזנו פוטרת והתם לגמרי משמע דפטרינן וגבי עיסה בהדיא תנן עשה עיסה עם הגוי בשותפות אם יש בחלקו של ישראל כשיעור חייבת ואם לא פטורה. ובירושלמי פרכינן עלה מה בין זו לעיסת ארנונא אלמא תרי מילי נינהו ופי' דארנונא הוא חוק שיש למלך בשל כל אדם בכל בהמה ועיסה לאכילתו כהולך ממקום למקום ומבעי' לן אי חשוב כשותפות או לא ובלישנא קמא אמרינן דכל היכי דמצי מסלק ליה בזוזי פטורה <small>(נ""ל דצ""ל חייבת, המעתיק)</small> ובלישנא בתרא מסקינן דבהמת ארנונא פטורה בין דמצי מסלק ליה בין דלא מצי מסלק ועיסה חייבת אע""ג דלא מצי מסלק ליה בזוזי וטעמא דבהמת ארנונא אית לה קלא ויבא גזבר המלך ויטול חלקו. אבל עיסה אין להקול ומסתמא מבריחה מן הארנונא וזהו שכתב הרב אלפסי ז""ל בהלכות האי אית ליה קלא דלגוי ולאו משום דסבר דבשל שותפות מיירי כן כתב הרי""ט ז""ל. ובענין אחר פי' בתוס' ולא נראה לאחרונים ז""ל:"
Ritva on Pesachim 6b:1,"<b>אמר רב יהודא אמר רב הבודק צריך שיבטל.</b> פי' בשעת בדיקה וכן דיקדק מלשונו הרי""ט ז""ל ולשון הביטול כתבו הגאוני' ז""ל כל חמירא דאיכא ברשותי דלא ידענא ביה ליהוי בטל וחשוב כעפרא דארעא וכן הוא בירושלמי. ויש שפירש דהא דלא עבר עליה לאחר ביטול משום דתו ליכא עלייהו תורת לחם. וכתבו התוס' דזה אינו נכון כי אין הדבר תלוי בדיבורו. ועוד לאחר איסורו למה לא יבטל אותו והעלו עיקר כפי' רת""ם ז""ל דמשום הפקר הוה ואע""ג דקי""ל דאין הפקר אלא בפני ג' התם מדרבנן דמדאורייתא אפי' בינו לבין עצמו אם מודה בדבר וזימנין דאוקמוה רבנן אדינא דאוריית' כדאמרי' פרק אלו מציאות ובמס' נדרים גבי ענין המודר הנאה מחבירו והיו מהלכין בדרך וכן לב""ש דאית להו שביתת כלים אמרינן גיגית וקדרה היכי עביד בהו דמפקיר להו בין השמשות והכי נמי אוקמינן אדינא דאו' ואע""ג דהאי לישנא אינו לשון הפקר ולא מהני להפקר דעלמא הכא שאני דשורת הדין אין חמצו ברשותו ועל כוונתו <small>(נ""ל דצ""ל כורחו, המעתיק)</small> עשאו הכתוב כאילו הוא ברשותו ובסלוק שמסתלק ממנו חשוב כהפקר כן פי' הרא""ה ז""ל וכתב הוא ז""ל אע""ג דבדיקה לא בעי בעלים ביטול בעי בעלים שאין שליח להפקר. והבעל עיטור כתב ביד שליח לבעל ולא נראו דבריו להרא""ה ז""ל:"
Ritva on Pesachim 7a:1,"<b>דאמר רב גידל אמר רב המקדש מו' שעות ולמעלה אפי' בחיטי קודנייתא וכו'.</b> הנכון כפי' רת""ם ז""ל דחיטי קודנייתא חימוצן קשה והוי כנוקשה דרבנן והיינו ראיה דמותיב דמה לי חמץ דרבנן בשיעור דאוריית' או חמץ דאוריית' בשיעור דרבנן. וכתב הרי""ט ז""ל ומיהו מדלא נקיט אפי' בשעה ששית ובחמץ של תורה שמעינן התם חוששין לקידושיו להצריכה גט משום מראית העין כיון שעדיין עסוקין בביעורו ולא בדילי מיניה לגמרי ואגב אורחיה שמעינן שהמקדש באיסורי הנאה דרבנן אין חוששין לקידושיו כלל ואפי' להחמיר ולא משום טעמא דכל המקדש אדעתא דרבנן מקדש כדכתב הר""ב בעל העיטור ז""ל אלא שכך דינו מן התורה דשוה פרוטה אמר רחמנא וליכא. וכיון שכן המקדש בפסולי עדות דרבנן חוששין לקידושיו לחומרא כדין תורה דהא איכא ממון גמור ועדי' כשרים מן התורה ע""כ בשם רבו הרא""ה ז""ל. ורש""י ז""ל כתב זה לשונו ואע""ג דאתי איסור הנאת חמץ דרבנן דשש ומפקע קידושי תורה ושרינן אשת איש לעלמא הא מתרצינן בכמה דוכתי דכל המקדש אדעתא דרבנן מקדש כדת משה וישראל ורבנן אמרו לאו קידושין נינהו ע""כ. וכתב עוד הרי""ט ז""ל בשם הרמב""ן ז""ל אע""ג דודאי לר' שמעון חמץ מותר בהנאה מן התורה כל י""ד אסור הוא מד""ס ומעקר כיון דחמץ אסור בהנאה לר' שמעון מדרבנן הוי סוגיין כהלכה דאינו יכול לבטלו דשעה ששית כוליה בדיקה הוא ואם קידש את האשה מו' שעות ולמעלה אין חוששין לקידושיו כלל והרי זה אמת ונכון מפי הרא""ה ז""ל וזהו שיטת הרב בעל העיטור ז""ל ע""כ:"
Ritva on Pesachim 7b:1,"<b>והילכתא על ביעור חמץ.</b> מה שנשתנו הברכות מקצתן בלמ""ד ומקצתן בעל רבו הסברות בתוס'. וכתב הרי""ט הטעם הנכון והאמיתי בזה כי כל מצוה שברכתה אחר עשייתה לעולם היא בעל כגון מילה ולולב דמדאגביה נפיק ביה וכגון טבילה דאכתי גברא לא חזי בגר וממנה תקנו בנוסח אחר לילה טבילות וכן נטילת ידים דלפעמים אין הידים נקיות ולא מצי לברוכי עד לאחר ניגוב ואעפ""י שלפעמים מברך תחלה בטבילה ונטילה היכא דגברא חזי לא חילקו בנוסח בין חזי אלא חזי וכל שאר המצות שמברכין עליהם עובר לעשייתן הם על דרכים יש מהן שאין קבועות חובה על העושה פעמים שאינו יוצא אלא ע""י עצמו ממש ופעמים שיוצא בהן ע""י שלוחו אבל שלא ע""י שלוחו אינו יוצא כלל ובכל שהם מן המין הזה לדברי הכל הן בלמ""ד משום דלמ""ד משמע לשון חיוב טפי ומזה המין ציצית וסוכה ומצה ומרור והפרשת תרומה ומעשרות ושמועת קול שופר והדלקת אחרים שלא מדעתו הרי הוא חייב להשתתף בפריטי וכונת ההלל ג""כ מצוה למנות ראשי פרקים כדאית' בפ' לולב וערבה וברכת תפלין הראשונה היא בלמ""ד בדינא שהיא מזה המין והאחרונה בעל לפי שאינה לגמרי עובר לעשייתן שהתפילין של יד ושל ראש מצוה אחת הן אע""פ שאין מחוברות זו את זו דהא אמרינן דכל זמן שיהי' בין עיניך יהי' ב' והשח בין תפלה לתפלה עבירה הוא בידו ויש דרך אחר שני בברכות והן המצוות שאין חובה על הנפשות כלל ואעפ""י שיש מצוה בעשייתה כגון שחיטה ומילת בן חברו ובאלו דברי הכל בעל והמין השלישי שבו נחלקו הוא מן המצות שהן חובה עליו אבל יוצא בהן ע""י אחרים אפי' שלא בשליחותו כגון ביעור חמץ ושחיטת פסח וקדשים ומילת בנו ומקרא מגילה דמר סבר כיון שהן חובה עליו ראוי לאומרם בלמ""ד דמשמע חובה ומשמע להבא ואידך סבר דעל עדיף כיון דלהבא נמי משמע דלא מיבעי לן למיקבע למ""ד אלא בהנהו שהם חובה עליו לעשותם בעצמו ובשליחותו ועדיף טפי למתקן על שהוא לשון משותף כדי להוכיח על זה ואיפסקה הלכתא על ביעור לא לבער מעתה הוא הדין לשחיטת פסח וקדשים ומילת בנו שהן בעל כדקס""ד דמקשה ומאן דסבר לבער הוא דדחי וכיון דלית הלכתא כותיה אף באלו אין הלכה כמותו ושלא כדברי הרמב""ם ז""ל שכ' שהמל את בן חבירו מברך על המילה והמל בנו מברך למול את הבן. ולפי זה ראוי לברך בזמן הזה לאכול מצה ולאכול מרור ולא כמו שנהגו בעל וכמו שכתוב בנוסחי הראשונים ז""ל בעל וכן כתב הרא""ש ז""ל בערבי פסחים כי עיקר הברכה בלמ""ד לאכול מרור ולאכול מצה <small>(בגליון הכתב יד כתוב. אמר המעתיק הטור בנו כתב לברך על ובאמת צריך עיון)</small>. ע""כ הא דמברכין על פדיון הבן בעל כדאיתא במס' בכורות משום דהתם אם פדאוהו אחרי' שלא מדעתו פדוי הוא וכן כיסוי הדם וכן עירובי חצרות ושיתופי מבואות אפשר שלא מדעתו דזכות הוא לו ולא חלקו ג""כ אף בעירובי תחומין וכן הדלקת נר שבת וברכת מזוזה ומעקה הן בעל לפי שיטה זו ומה שמקשה לפי שיטה זו היינו ספירת העומר שהיא בעל ואעפ""י שהיא חובה קודמת על כל יחיד ויחיד. והיה אומר הראב""ד כי לפי שאין בה מעשה אלא ספירה בלבד וגם הספירה היא על העומר שכבר קרב כי ממנו אנו מונין לפיכך היא בעל ועדיין צריכה תלמוד. ועוד קשה ברכת התורה שהוא ברוב נוסחאות במס' ברכות על דברי תורה וי""ל לפי שדברי תורה אין להם <small>(נ""ל דכאן צ""ל קבע, ובכ""י תיבה זו לא ניכרת, המעתיק)</small> ומצוה להגות בהן תמיד עשאוה כאלו אין לה התחלה אלא שהיא גמר ולפיכך הוא בעל ומיהו מצינו נוסחא מדוייקת וכן הוא בכל נוסחי ספרד לעסוק בדברי תורה וברכת להכניסו שאנו נוהגין לאומרה אחר המילה והיה ראוי להיות בעל וכן המל את הגרים שברכתו למול את הגריים ולהטיף מהם דם ברית. וכתב ר""ת ז""ל שהברכות הללו אינן באות על מצוה זו לגמרי הנעשית עכשיו אלא מודה ומשבח להקב""ה שצונו לעשות מצוה זו כשתבא לידו ותיקנוה כאן להודיע שזאת המצוה נעשית לשם יוצרנו. זו שיטתו של רת""ס בתוס' ועולה יפה עם הכלל שכתבנו  וכן נמצא עיקר הכלל הזה לראשונים ז""ל. אבל הרמב""ן ז""ל יסד ותקן אותו והשלימו על אופניו והוא הנכון ע""כ כתב הרי""ט ז""ל מפי רבו הרא""ה ז""ל. והא דאמרינן גבי לולב שאני התם דכיון דאגבהיה נפיק ביה י""א שהנוטל לולב דהוי חייב לברך בעוד שמונח בקרקע קודם שיגביהנו או שהיה הפוך בידו שלא כדרך גדלתו כדי שיהא מברך עובר לעשייתה. וכתב הרי""ט ז""ל דאינו כלום דא""כ למה אמרו בשמעתינו כי לכך מברכין בעל משום דכיון דאגבהיה נפיק ביה. אלא ודאי נראה שדעת התלמוד שאין ראוי לעשות כן. והטעם כי בעודו בקרקע שלא נתלבש במצוה ואינו ניכר יפה שהוא בא לעשותה אלא לברך. ומכאן למדנו לתפילין וציצית וכיוצא בהן שלא יברך עד שיטלנו בידו וגם בהפיכה אינו ראוי לברך שנראה כיוצא שלא כדרך גדלתו הלכך לא סגי דלא מגבה ליה קודם ברכה ולפיכך הוכרחו לתקנן בעל והא <small>(נ""ל דצ""ל והוי, המעתיק)</small> עובר לעשייתה שהרי עדיין מצות נענוע דרבנן קיימא והיא שיורי מצוה. ואפשר דלמאי דסבר דמצות אינן צריכות כוונה לצאת שהלוקח לולבו כדי ללכת לב""ה אין לו לסלקו מידו ליתנו לאחרים או להניחו בשום מקום עד שיברך בו בשסילקו מידו וכבר יצא בהגבהתו לגמרי מן התורה כשחוזר ונוטלו ומברך נמצא שאין הברכה באה על מצות התורה כלל אלא על נענוע שאינו אלא שיורי מצוה מדבריהם ואין העולם נזהרין בזה וסומכין לפי שאפי' לדברי האומרים מצות אינן צריכות כוונה לצאת הני מילי בעושה בסתם אבל במתכוין שלא לצאת אינו יוצא ובודאי שזה הדין צריך בדיקה בשמ""ע אלא שכן כתבו בתוס' ונראין דבריהם במצוה הנעשית ע""י אחרים כגון הבדלה וכיוצא בו שאינו מוציאו בע""כ ולפיכך סומכין להבדיל כל אדם בביתו ואעפ""י ששמע בבהכ""נ ואף בשאין צריך להוציא אחרים בביתו וכמו שכתב בתוס' בשם רש""י ז""ל וכן דעת הרב ר' יונה ז""ל ומ""מ ראוי ליראי מצוה לחוש לענין שאמרו ע""כ:"
Ritva on Pesachim 7b:2,"<b>הא דאמרי' הנכנס לישב בה אומר ברוך אקב""ו לישב בסוכה.</b> כתב הרי""ט ז""ל כבר כתבנו במקומו במס' סוכה שאינו צריך לברך מעומד כדי שתהא ברכה קודמת לעשייתה כי בכל המצות הנמשכות כגון תפילין וציצית וסוכה וכל כיוצא בהן אעפ""י שהתחיל בהן עדיין נקרא עובר לעשייתן ולא הקפידו אלא לאפוקי לאחר גמר עשייתן דלא וכמו דאמרנו גבי לולב ולשון לישב בסוכה שתקנו בברכה אינו לשון ישיבה אלא לשון עיכוב ודירה ולשון הכתוב בסוכות תשבו מעתה יכול לישב בסוכה ומסדר ברכתו על הכוס כשהוא מיושב ושלא כדברי הר""מ במז""ל ע""כ:"
