Index Title,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah
"Pesach Haggadah, Kadesh 7","בָּרוּךְ אַתָּה ה', אֱלהֵינוּ מֶלֶךְ הָעוֹלָם אֲשֶׁר בָּחַר בָּנוּ מִכָּל-עָם וְרוֹמְמָנוּ מִכָּל-לָשׁוֹן וְקִדְּשָׁנוּ בְּמִצְוֹתָיו. וַתִּתֶּן לָנוּ ה' אֱלֹהֵינוּ בְּאַהֲבָה (<small>לשבת:</small> שַׁבָּתוֹת לִמְנוּחָה וּ) מוֹעֲדִים לְשִׂמְחָה, חַגִּים וּזְמַנִּים לְשָׂשוֹן, (<small>לשבת:</small> אֶת יוֹם הַשַּׁבָּת הַזֶּה וְ) אֶת יוֹם חַג הַמַּצּוֹת הַזֶּה זְמַן חֵרוּתֵנוּ, (<small>לשבת: </small>בְּאַהֲבָה) מִקְרָא קֹדֶשׁ זֵכֶר לִיצִיאַת מִצְרָיִם. כִּי בָנוּ בָחַרְתָּ וְאוֹתָנוּ קִדַּשְׁתָּ מִכָּל הָעַמִּים, (<small>לשבת:</small> וְשַׁבָּת) וּמוֹעֲדֵי קָדְשֶׁךָ (<small>לשבת:</small> בְּאַהֲבָה וּבְרָצוֹן) בְּשִׂמְחָה וּבְשָׂשוֹן הִנְחַלְתָּנוּ. ","Blessed are You, Lord our God, King of the universe, who has chosen us from all peoples and has raised us above all tongues and has sanctified us with His commandments. And You have given us, Lord our God, [Sabbaths for rest], appointed times for happiness, holidays and special times for joy, [this Sabbath day, and] this Festival of Matsot, our season of freedom [in love] a holy convocation in memory of the Exodus from Egypt. For You have chosen us and sanctified us above all peoples. In Your gracious love, You granted us Your [holy Sabbath, and] special times for happiness and joy. ","Blessed art thou, O lord! our God, kind of the universe, who hast chosen us from all other nations, and hast exalted us from all other languages, and sanctified us with thy commandments and given to us with love, O lord! our God,<small><i>(if on Sabbath say)</i></small> the Sabbath of resting and the Festival for Rejoycing, to celebrate the seasons, to rejoice (if on Sabbath say, this day of Sabbath and) this day the festival of unleavened bread, it being the time of our redemption, the time of rejoicing (in love) and holy convocation, as a memorial of the redemption from Egypt, for us hast thou chosen, and us hast thou sanctified from all other nations <small>(Sabbath)</small> and the sanctified Festival <small>(with love and pleasure)</small> with rejoicing and mirth have we inherited it;","Blessed art thou, O Eternal, our God! Sove reign of the universe, who hast chosen us from among all people. and didst exalt us above all nations, and didst sanctify us with thy commandments; and with love hast thou given us, O Eternal, our God! <small>(On the Sabbath, say, Sabbaths for rests, and)</small> solemn days for joy, festivals, and seasons for gladness: <small>(on the Sabbath, say, the Sabbath-day, and)</small> this day of the Feast of Unlevened Cakes, the season of our freedom: an holy convocation, a memorial of the departure from Egypt; for thou hast chosen and sanctified us above all people : and thy <small>(Sabbath and)</small> holy festivals hast thou caused us to inherit with <small>(love and favour),</small> joy and gladness.",,"Blessed art thou, O Lord, our God! King of the universe, who hath chosen us from among all people, and exalted us above all languages, and sanctified us with his commandments; and with love hast thou given us, O Lord, our God!<small>(<i>on Sabbath say,</i> Sabbaths for rest, and) </small> solemn days for joy, festivals and seasons for gladness, <small>(<i>on Sabbath say,</i>this day of rest, and)</small> this day of the Feast of Unleavened Cakes, the season of our Freedom; a holy convocation <small>(<i>on Sabbath say,</i> in love)</small> a memorial of the departure of Egypt; for thou hast chosen us, and sanctified us above all people: and thy holy <small>(<i>on Sabbath say,</i> Sabbaths and</small> Festivals hast thou caused us to inherit with <small>(<i>on Sabbath say,</i> love and favour)</small> joy and gladness. Blessed art thou, O Lord! who sanctifiest <small>(<i>on Sabbath say,</i> the Sabbath, and)<small> Israel, and the seasons.","Blessed art thou, O Lord our God! King of the Universe, who hath chosen us from among all people, and didst exalt us above all nations, and didst sanctify us with thy commandments: and with love hast thou given us, O Lord, our God !<small>(<i>On saturday say</i> sabbath for rest, and)</small>solemn clays for joy; festivals, and seasons for gladness, <small>(the Sabbath-day and)<small> this day of the Feast of Unleavened Bread, the season of our freedom: a holy convocation, a memorial of the departure from Egypt: for thou hast chosen and sanctified us above an people: and <small>(the Sabbath and)</small> holy festivals hast thou caused us to inherit with <small>(love and favor]</small> joy and gladness.","""Blessed art thou, O Lord our God, King of the Universe, who hast chosen us from all peoples, exalted us above all tongues, and sanctified us with thy commandments. Thou hast, in love, ordained for us, O Lord our God <small>(Sabbaths for rest),</small> solemn days of joy and festive times of gladness, even this day of <small>(rest and of)</small> the Feast of Unleavened Bread, a holy convocation, a memorial <small>(in thy love)</small> of the Exodus from Egypt. Thou hast chosen us and sanctified us above all peoples, and thou hast given us an inheritance of (loving favour) joy and gladness, days of <small>(Sabbath and)</small> festival. 
","Blessed art Thou, O Lord, our God ! Sovereign of the universe, who hath chosen us from among all people, and exalted us abave all languages, and sanctified us with his commandments ; and with love hast thou given us. O Lord our God <small><i>on the Sabbaths say,</i> Sabbaths for rest,</small> and] solemn days for joy festivals and seasons for gladness: <small><i>[on the sabbath say,</i> the Sabbath day and]</small> this day of the Feast of Unleavened Cakes <small>[and this goddly day of holy convocation],</small> the season of our freedom; on holy convocation, in love, a memorial of the departure from Egypt; for thou hast chosed and sanctified us above all people; and thy <small>[Sabbath and]</small> holy festivals hast thou caused us to inherit with [love and favour] jou and gladness. Blessed art thou, O Lord! who sanctifieth [the Sabbath and] Israel and the seasons. "
"Pesach Haggadah, Kadesh 8","בָּרוּךְ אַתָּה ה', מְקַדֵּשׁ (<small>לשבת:</small> הַשַׁבָּת וְ) יִשְׂרָאֵל וְהַזְּמַנִּים. ","Blessed are You, O Lord, who sanctifies [the Sabbath,] Israel, and the appointed times.","<small>blesses art thou, O lord! that sactifieth (the Sabbath) Israel, and the season.</small>","Blessed art thou, O Eternal, our God! King of the universe, who hath preserved us alive , sustained us, and brought us to enjoy this season.",,"Blessed art thou, O Lord, our God! King of the universe, who hast preserved us alive, sustained us, and brought us to enjoy this season.","Blessed art thou O Lord! who sanetifieth <small>(the Sabbath and)</small> Israel, and the seasons.","Blessed art thou, O Lord, who hast sanctified <small>(the Sabbath)</small> Israel and the days of Festival.""","Blessed art thou, O Lord, our God ! King of the universe, who hath preserved us alive ; sustained us, and brought us to enjoy this season."
"Pesach Haggadah, Kadesh 9",<small>בּמוצאי שבת מוסיפים: </small>,<small><i>On Saturday night add the following two paragraphs:</i></small>,<small><i>If on Saturday Night include as follows.</i></small>,"<small><i>If the feast happen at the conclusion of the Sabbath, say the following before שהחינו</i></small>",,,"<small><i>On Conclusion of the Sabbath say,-</i></small>",<small><i>On Saturday night continue : -</i></small>,"<small><i>(If the Feast happens at the conclusion of the Sabbath, the following is said):</i></small>"
"Pesach Haggadah, Kadesh 10","בָּרוּךְ אַתָּה ה', אֱלֹהֵינוּ מֶלֶךְ הָעוֹלָם, בּוֹרֵא מְאוֹרֵי הָאֵשׁ. בָּרוּךְ אַתָּה ה', אֱלֹהֵינוּ מֶלֶךְ הָעוֹלָם הַמַּבְדִיל בֵּין קֹדֶשׁ לְחֹל, בֵּין אוֹר לְחשֶׁךְ, בֵּין יִשְׂרָאֵל לָעַמִּים, בֵּין יוֹם הַשְּׁבִיעִי לְשֵׁשֶׁת יְמֵי הַמַּעֲשֶׂה. בֵּין קְדֻשַּׁת שַׁבָּת לִקְדֻשַּׁת יוֹם טוֹב הִבְדַּלְתָּ, וְאֶת-יוֹם הַשְּׁבִיעִי מִשֵּׁשֶׁת יְמֵי הַמַּעֲשֶׂה קִדַּשְׁתָּ. הִבְדַּלְתָּ וְקִדַּשְׁתָּ אֶת-עַמְּךָ יִשְׂרָאֵל בִּקְדֻשָּׁתֶךָ. ","Blessed are You, Lord our God, King of the universe, who creates the light of the fire. Blessed are You, Lord our God, King of the universe, who distinguishes between the holy and the profane, between light and darkness, between Israel and the nations, between the seventh day and the six working days. You have distinguished between the holiness of the Sabbath and the holiness of the Festival, and You have sanctified the seventh day above the six working days. You have distinguished and sanctified Your people Israel with Your holiness. ","Blessed art thou, O lord! our God, king of the universe, who createth the light of fire.<br>Blessed arth thou, O lord! our God, king of the universe, who divides the holy from the unholy, between light and darkness, between Israel and other nations, between the seventh and the sixth day of the creation, between the holy Sabbath to the sanctified Festival hast thou divided and the seventh day<br>Blessed arth thou, O lord! our God, king of the universe, who divides the holy from the unholy, between light and darkness, between Israel and other nations, between the seventh and the sixth day of the creation, between the holy Sabbath to the sanctified Festival hast thou divided and the seventh day from, people Israel with holiness.","Blessed art thou, O Lord, our God! King of the universe, Creator of the radiance of the fire.<br>Blessed art thou. O Lord, our God! King of the universe, who hath made a distinction between holy and not holy; between light and darkness: between Israel and other nations; between the seventh day and the six working days. Thou didst also discriminate between the sanctity of the sabbath-day, and the sanctity of other holy days, and consecratest the sabbath-day in preference to the six working days; thou also separatest thy people Israel, and didst sanctify them with thy holiness, ",,"Blessed art thou, O Lord, our God! King of the universe, who created the light of the fire.<br>Blessed art thou, O Lord, our God! King of the universe, who hast made a distinction between things sacred and profane: between light and darkness, between Israel and other nations, and between the seventh day and the six days of labour. Thou hast also made a distinction between the holiness of the Sabbath, and the sacredness of the Festival; sanctified the seventh day above the six days of labour; and separated, and sanctified thy people Israel with thy holy service. ","Blessed art thou, O Lord, our God! King of the Universe, creator of the radiance of the fire.<br>Blessed art thou, O Lord, our God! King of the Universe, who hath made a distinction between holy and not holy, between light and darkness; between Israel and other nations; between the seventh-day and the six working days. Thou didst also discriminate between the sanctity of the Sabbath-day, and the sanctity of other holy days, and consecratest the Sabbathday in preference to the six working days; thou also separatest thy people Israel, and didst sanctify them with thy holiness. ",""" Blessed art thou, O Lord our God, King of the Universe, who hast made a distinction between sacred and profane, between light and darkness, between Israel and other peoples, between the seventh day and the six days of work. Thou hast made a distinction between the holiness of the Sabbath and the holiness of a Festival, sanctifying the seventh day above all others. It is with thy holiness that thou hast distinguished and sanctified thy people Israel. ","Blessed art thou, O Lord, our God ! King of the universe, creator of the radiance of the fire. Blessed art thou, O Lord, our God! King of the universe; who hath made a distinction between holy and not holy, between light and darkness, between Israel and the other nations, between the seventh day and the six working days Thou didst also discriminate between the sanctity of the sabbath-day, and the sanctity of other holy-days ; and consecratest the sabbath-day in preference to the six working days ; thou also separatest thy people Israel, and didst sanctity them with thy holiness."
"Pesach Haggadah, Kadesh 11","בָּרוּךְ אַתָּה ה', הַמַּבְדִיל בֵּין קֹדֶשׁ לְקֹדֶשׁ. ","Blessed are You, O Lord, who distinguishes between the holy and the holy.","Blessed art thou, O lord! the divider of the holy from the most holy. ","Blessed art thou, O Eternal! who maketh a distinction between holy and not holy.",,"Blessed art thou, O Lord! who maketh a distinction between holy and holy.","Blessed art thou, O Lord! who maketh a distinction between holy and holy.","Blessed art thou, O Lord, who hast made a distinction in the degrees of holiness",Blessed art thou O Eternal! who maketh a distinction between holy and not holy.
"Pesach Haggadah, Kadesh 12","בָּרוּךְ אַתָּה ה', אֱלֹהֵינוּ מֶלֶךְ הָעוֹלָם, שֶׁהֶחֱיָנוּ וְקִיְּמָנוּ וְהִגִּיעָנוּ לַזְּמַן הַזֶּה. ","Blessed are You, Lord our God, King of the universe, who has granted us life and sustenance and permitted us to reach this season.","Blessed art thou, O lord! our God, king of the universe, who hast maintained us, and hast let us remain to enjoy this season.","Blessed art thou, O Eternal, who sanctifieth <small>(the Sabbath, and)</small> Israel, and the seasons.",,"Blessed art thou, O Lord, our God! King of the universe, who hast preserved us alive, sustained us, and brought us to enjoy this season.","Blessed art thou O Lord! who sanetifieth Israel, and the seasons.","""Blessed art thou, O Lord our God, King of the Universe, who hast preserved us in life, sustained us, and enabled us to reach this season."" ","Blessed art thou, O Lord, our God ! King of the universe, who hath preserved us alive ; sustained us, and brought us to enjoy the season."
"Pesach Haggadah, Kadesh 13",<small>שותה בהסיבת שמאל ואינו מברך ברכה אחרונה.</small> ,<small><i>Drink while reclining to the left and do not recite a blessing after drinking.</i></small>,"<small><i>Then the Glass or Cup of Wine is drank,</i></small>","<small><i>Then drink the wine of the Sanctification, leaning on the left side;</i></small>",,<small><i>Drink the wine in a leaning position.</i></small>,<small><i>*( Drink the wine the whole cup or the most of them. </i></small>,<small><i>Drink the first cup of wine.</i></small>,<small><i>Then drink the wine of the Sanctification leaning on the felt side.</i></small>
"Pesach Haggadah, Urchatz 1",וּרְחַץ,And Wash,,,,WASHING THE HANDS.,,,Washing the hands. 
"Pesach Haggadah, Urchatz 2","<small>נוטלים את הידים ואין מברכים ""עַל נְטִילַת יָדַיִּם""</small>","<small><i>Wash your hands but do not say the blessing ""on the washing of the hands.""</i></small>","<small>afterwards the Master saith. Blessed art thou, O lord! our God kind of the universe, who hast sanctified us with thy commandments, and commanded us to cleanse our hands.</small>","<small><i>after which, wash your hands, but do not say the blessing.</i></small>",,<small><i>Wash the hands without saying the usual blessing.</i></small>,"<small><i>then wash your hands, but do not say the blessing.<br>NOTE.-On these nights it is customary to allow even the lowest Hebrew servant to sit at table during the ceremonial part, a memorial of our freedom.</i><small>",<small><i>The celebrant of the Seder washes his hands.</i></small>,"<small><i>After which wash your hands, but do not say the Blessing.</i></small>"
"Pesach Haggadah, Karpas 1",כַּרְפַּס,Greens.,,,,"TAKE THE PARSLEY, &c.",,,"Taking the parsley, &e. "
"Pesach Haggadah, Karpas 2","<small>לוקח מן הכרפס פחות מכזית - כדי שלא יתחייב בברכה אחרונה - טובל במי מלח, מברך ""בורא פרי האדמה"", ומכווין לפטור בברכה גם את המרור. אוכל בלא הסבה. </small>","<small>Take from the greens less than a <i>kazayit</i> - so that you will not need to say the blessing after eating it; dip it into the salt water; say the blessing ""who creates the fruit of the earth;"" and have in mind that this blessing will also be for the bitter herbs.  Eat without reclining.</small>","<small><i>(Then the Master of the family takes some charvil, and dips it in salt-water and saith. After which, the Master of the family breaks the Cake which lays in the dish, with the two notches, and saves one half of it till after Supper under his pillow*, and the other half remains in the dish)</i></small> 
","<small><i>The Master of the house then takes some parsley, or chervil, and dips it into vinegar. or salt water: and having distributed some to everyone at table, they all say the following Grace before they eat it:</i></small>",,"<small><i>Take some parsley or chervil, and having dipped it in vinegar, or salt water, distribute it to all present, and say —</i></small>",<small><i>Then the Table sitters taken some parsley and dips it into vinegar or salt-water; and they say the following blessing befor they eat it.</i></small>,"<small><i>Some parsley or lettuce is then distributed to all present, who on partaking of it say:-</i></small>","<small><i>The master of the house then takes some parsley or chervil, and dips it into vinegar, or salt-water, and having distributeds ome  to every one at the table, they all say the following grade before they eat it.</i></small>"
"Pesach Haggadah, Karpas 3","בָּרוּךְ אַתָּה ה', אֱלֹהֵינוּ מֶלֶךְ הָעוֹלָם, בּוֹרֵא פְּרִי הָאֲדָמָה. ","Blessed are you, Lord our God, King of the universe, who creates the fruit of the earth.","Blessed art thou, O lord! our God, king of the universe, who creates the fruit of the ground","Blessed art thou, O Lord, our God! King of the universe; Creator of the fruit of the earth.",,"Blessed art thou, O Lord, our God, King of the universe, who createst the fruit of the earth.","Blessed art thou, O Lord, our God! King of the Universe; creator of the fruit of the earth.","""Blessed art thou, O Lord our God, King of the Universe, Creator of the fruit of the earth.""","Blessed art thou. O Lord, our God! King of the universe, Creator of the fruit of the earth."
"Pesach Haggadah, Yachatz 1",יַחַץ,Break,,,,BREAK THE MIDDLE CAKE.,RELATION OF PASSOVER,SETTING ASIDE OF THE AFICOMAN.,Breaking the middle Cake. 
"Pesach Haggadah, Yachatz 2","<small>חותך את המצה האמצעית לשתים, ומצפין את הנתח הגדול לאפיקומן</small>","<small>Split the middle matsah in two, and conceal the larger piece to use it for the afikoman.</small>",,"<small><i>The Master of the house then breaks the middle cake in the dish. and leaving one half of it there, he lays the other half by, till after supper, for the אפיקומן</i></small>","<small><i>The master then breaks the middle cake in the dish, and, leaving one half of it there, he lays the other half by for the offering, which is nothing more nor less than a piece of the Passover cake, and it is that which it is said human blood forms a portion of.</i></small>","<small><i>The Master of the house breaks the middle cake in the dish, leaving one half between the two whole ones, and places the other half aside for the ""Aficomen""</i></small>","<small><i>The master of the house then breaks the middle cake, and he lay one half by; till after supper, for</i></small>","<small><i>The head of the household breaks in two the middle Matzah, leaving one half on the Seder dish, and placing the other half aside as the Aficoman.</i></small> ","<small><i>The master of the house then breaks the middle cake in the dish, and leaving one half of it : there, he lays the other half away, till after supper, for the אפיקומן</i></small>"
"Pesach Haggadah, Magid, Ha Lachma Anya 1",מַגִּיד,The Recitation [of the exodus story],,,,,,,The Service for the Passover.
"Pesach Haggadah, Magid, Ha Lachma Anya 2","<small>מגלה את המצות, מגביה את הקערה ואומר בקול רם: </small>","<small>The leader uncovers the matsot, raises the Seder plate, and says out loud:</small>","<small><i>Then they take the egg and shank-bone from off the dish, and every one round the table puts one hand to the dish where the cakes are in, and says the follows.</i></small>","<small><i>Then take the bone of the lamb, and the egg off the dish, and all at table lay hold of the dish, and say:-</i></small>","<small><i>He then takes the bone of the lamb and egg off the dish, and all at table lay hold of the dish and say,</i></small>","<small><i>He then elevates the dish containing the bone and egg, and all at the table take hold thereof, and say —</i></small>","<small><i>The whole Company at the table, they wave the dish with the three cakes and they says loud.</i></small>","<small><i>The shank-bone and. the egg are removed from the Seder dish, which those present then take hold of while the following is said : -</i></small>","<small><i>Then he takes the bone of the lamb, and the egg off the dish, and all at table lay hold of the dish,and say:</i></small>"
"Pesach Haggadah, Magid, Ha Lachma Anya 3","הָא לַחְמָא עַנְיָא דִּי אֲכָלוּ אַבְהָתָנָא בְאַרְעָא דְמִצְרָיִם. כָּל דִכְפִין יֵיתֵי וְיֵיכֹל, כָּל דִצְרִיךְ יֵיתֵי וְיִפְסַח. הָשַּׁתָּא הָכָא, לְשָׁנָה הַבָּאָה בְּאַרְעָא דְיִשְׂרָאֵל. הָשַּׁתָּא עַבְדֵי, לְשָׁנָה הַבָּאָה בְּנֵי חוֹרִין. ","This is the bread of destitution that our ancestors ate in the land of Egypt. Anyone who is famished should come and eat, anyone who is in need should come and partake of the Pesach sacrifice. Now we are here, next year we will be in the land of Israel; this year we are slaves, next year we will be free people.","The Likeness of this poor bread did our ancestors eat in the land of Egypt; all those that are hungry, let them approach and partake, all those that are in want, let them come and partake of the Paschal; at present we are here, but the next year we hope to be in the land of Israel, at present we are in servitude, but the next year we hope to be Children of Freedom.","Lo! this is as the bread of affliction, which our ancestors ate in the land of Egypt; let all those who are hungry, enter, and eat thereof; and all who are necessitous, come, and celebrate the Passover. At present we celebrate it here, but the next year we hope to celebrate it in the land of Israel. This year we are servants here, but next year, we hope to be freemen in the land of Israel.","“Lo, this is the bread of affliction, which our ancestors also ate in the land of Egypt, let all who are hungry, enter and eat thereof, and all who are penurious come and celebrate this Passover. At present we celebrate it here, but the next year we hope to celebrate it in the land of Israel. This year we are servants here, but next year we hope to be freemen in the land of Israel.”","This is the bread of affliction which our ancestors ate in the land of Egypt: let all that are hungry enter and eat; let all that are in want come hither and observe the Passover. This year we celebrate it here; but we hope next year to celebrate it in the land of Israel: this year we are bondsmen, but next year we hope to be freemen.","Lo! this is as the bread of affliction, which our ancestors ate in the land of Egypt; let all those who are hungry, enter, and eat thereof; and all who are necessitous, come, and celebrate the Passover. At the present time we are here, but the next year we hope to be in the land of Israel. at the present we are subjecteth to our passion, but the next year we hope to be free of these."," THIS is the bread of affliction which our fathers did eat in the land of Egypt. Let all who are hungry come in and eat ; let all who require come in and celebrate the Passover. This year we celebrate it here, may we celebrate it next year in the land of Israel. This year we are in exile, next year we may be free. ","Lo! this is as the bread of affliction, which our ancestors ate in the land of Egypt, let all those who are hungry, enter and eat thereof; and all who are necessitous, come, and celebrate the passover ! At present we celebrate it here, but the next year we hope to celebrate it in the land of Israel. This year we are servants here, but the next year we hope to be freemen in the land of Israel . "
"Pesach Haggadah, Magid, Four Questions 1",<small>מסיר את הקערה מעל השולחן. מוזגין כוס שני. הבן שואל:</small>,<small>He removes the plate from the table. We pour a second cup of wine. The son then asks:</small>,"<small><i>Then fill the glass with wine the second time, and say</i></small>","<small><i>Then fill the cup with wine the second time, and take the dish from the table: then the youngest in the company asks,</i></small>","<small><i>They then fill the cup with wine a second time, when the youngest in company asks–</i></small>","<small><i>Fill the second cup of wine, and remove the dish from the table, the youngest present then asks : —</i></small>","<small><i>Fill the cup with wine the second time, then the youngest of the company asks:-</i></small>",<small><i>The egg and shank-bone are replaced and the second cup of wine is filled. The youngest competent at the table then says:- </i></small> ,"<small><i>Then fill the cup with wine the second time, and take the dish from the table; 
then the youngest in the company asks :</i></small> 
"
