א,A
אברהם זכות ואמונה,Abraham is right and faith
אברהם נבואה,Abraham prophecy
אברהם נסיון,Abraham Experience
אברהם רכוש,Abraham&#39;s property
אברהם תורה ומצוות,Abraham Torah and Mitzvot
אברהם תפלה,Abraham is a prayer
אברהם,Abraham
אברך,Yeshiva student
אבשלום,Avshalom
אגג,Agag
אגדה,Legend
אגודה,association
אגוז,walnut
אגור,hoarded
אגם,lake
אגמון,Agmon
אגמי נפש,Lakes of the soul
אגן,basin
אגף,wing
אגרוף,fist
אגריפס,Agrippa
אדום צבע,Red color
אדום,red
אדון,sir
אדוניה,Her master
אדיר,Adir
אדם בריאה,A healthy person
אדם וביתו,Man and his household
אדם ובעלי חיים,Man and animals
אדם וחברו,Adam and his friend
אדם ומלאך,Man and angel
אדם ומציאות,Man and reality
אדם חייו,A person&#39;s life
אדם ידיעה,Human knowledge
אדם מעשה,Adam is an act
אדם נשמה,Adam breathed
אדם פרנסה,Adam made a living
אדם צלם אלקים,Adam is a divine photographer
אדם שם,Adam there
אדם תפקיד ושלמות,A person&#39;s role and integrity
אדם בחירה,A person&#39;s choice
אדם הראשון אחר החטא,Adam first after sin
אדם הראשון אכילה,First person eating
אדם הראשון וחוה,Adam and Eve
אדם הראשון חטא ועונש,Adam is the first sin and punishment
אדם הראשון כתנות עור,The first man in leather shirts
אדם הראשון קודם ואחר החטא,Adam first and then sin
אדם הראשון קריאת שמות,First person naming names
אדם הראשון,the first man
אדם טבע ומדות,Man Nature and Metamorphosis
אדם מדות,Adam Medot
אדם,a person
אדמה חטא וקללה,Earth is a sin and a curse
אדמה,Of land
אדר,Adar
אדרינוס,Adrian
אהבה,Love
אהה,Ahh
אהוד,sympathetic
אהליאב,Ahliab
אהרן ובניו,Aaron and his sons
אהרן ומשה,Aaron and Moshe
אהרן חטא,Aaron sinned
אהרן מטה,Aaron down
אהרן מיתה,Aaron died
אהרן,Aharon
או,or
אוב,Ob
אובל,Oval
אוד,ember
אודות,about
אוה,Oh
אוהל מועד,Tent of Meeting
אוהל,Tent
אוז,Oz
אוזן,ear
אוח,Ugh
אוי,Oy
אויב,enemy
אויל מרודך,Scorched oil
אויל,silly
אויר,air
אוכל,Food
אולי,Maybe
אולם,auditorium
אולת,Awesome
אומה,nation
אומות העולם ד מלכויות,The nations of the world are kingdoms
אומות העולם וישראל,The nations of the world and Israel
אומות העולם לעתיד לבא,The nations of the world are destined to come
אומות העולם מלך צפון ומלך נגב,The nations of the world are king of the north and king of the Negev
אומות העולם נבואה,Nations of the Prophecy
אומות העולם תורה,The nations of the world Torah
אומות העולם,Nations of the world
אומלל,unhappy
אומן,an artist
אומנות,craftsmanship
אומנם,True
אומץ,Courage
און כח,On the strength
און בן פלת,On Ben Pelt
און,potency
אונאה מסחר,Una Trading
אונאה,deception
אונן אבלות,Onan mourning
אונן,Onan
אונס,Rape
אונקלוס,Onkelos
אופז,Ophaz
אופי,character
אופל,opal
אופנים,bike
אוץ,Auch
אוצר,curator
אוקינוס,ocean
אור הראשון,The first light
אור ישראל,Or Israel
אור כשדים,Or Chaldeans
אור פנים,Light of the interior
אור,light
אורות,Lights
אורז,Rice
אורח דרך,Guest through
אורח,guest
אוריה החתי,Uriah the Hittite
אוריה,phot
אורים ותומים,Orim and Tamim
אושר,Confirmed
אות אותיות,Letter letter
אות מופת,A masterpiece
אותה,her
אותו האיש,The same man
אותו ואת בנו,Him and his son
אותו,him
אז,So
אזהרה,warning
אזוב,moss
אזן,ear
אזרח,citizen
אח אחות,Brother nurse
אח,brother
אחאב,Ahab
אחד,one
אחדות,unity
אחדים,some
אחו,meadow
אחוזה,estate
אחוזת,Ahuzat
אחז,grip
אחזיה,Ahazia
אחיה השילוני,Ahiya the Shiloni
אחיזת עינים,eyewash
אחימלך,Ahimelech
אחימן,Ahiman
אחימעץ,Achimatz
אחיתופל,Ahitophel
אחר אלישע בן אבויה,Other Elisha ben Avuya
אחר בשש,Then at six
אחר סמוך,Another nearby
אחר כן,Then yes
אחר,Other
אחרון,Last
אחרי,after
אחרית הימים,End of Days
אחרית,end
אחשורוש ואסתר,Ahasuerus and Esther
אחשורוש והמן,Ahasuerus and Haman
אחשורוש וושתי,Ahasuerus and my wife
אחשורוש משתה,Ahasuerus had a feast
אחשורוש,Ahasuerus
אחשתרנים,Ahshtarin
אטליה,atelier
אי איפה,Where?
אי שבים,Non-returnees
אי מזה,Not that
אי,an island
איבה,hostility
איוב וחבריו,Job and his friends
איוב,Job
איזבל,Isabel
אייר,Air
איכה,Lamentations
איל אילה,Eyal Ayala
איל כח,Eyal Cohen
איל מישר,Eyal Meishar
איל,ram
אילה,doe
אילן,tree
אילת השחר,morning star
אימא שלום,"Mother, hello"
אימה,terror
אימים,Horrors
אין,nothing
איפה איה,Where &#39;s Aya?
איפה שיעור,Where is the lesson?
איפוא,So
איפרא הורמיז,Ofra Hormiz
אירוסין,engagement
איש ואשה,Man and woman
איש בושת,A brothel man
איש האדמה,The man of the land
איש האלקים,The man of God
איש חיל,Soldier
איש,man
אישון,A pupil
אישים,People
איתיאל,Ithiel
איתם מדבר,Eitam speaks
איתם תמים,Them innocent
איתמר,Itamar
איתן,strong
אך,but
אכזריות,cruelty
אכילה,eating
אכיש,Achish
אכן,indeed
אכסניא,Hostel
אכף,Enough
אל לא,Do not
אל מלאכים,To angels
אל עם,To the people
אלגביש,crystal
אלדד ומידד,Eldad and Meidad
אלה שבועה,These are an oath
אלה,These
אלו,These
אלול,Elul
אלון,oak
אלוני,Aloni
אלוף,Champion
אליאב,Eliav
אליה,to her
אליהו,Eliyahu
אליהוא,Elihu
אליו,to his
אליל,idol
אלים מדבר,Gods talks
אלים שמות קדש,Gods Shemot Kodesh
אלימלך,Elimelech
אליעזר,Eliezer
אליפז,Elifaz
אליקים,Elyakim
אלישבע,Elisheva
אלישמע בן פיכאי,Elishama the son of Pichai
אלישע בן אבויה,Elisha ben Avuya
אלישע בעל כנפים,Elisha with wings
אלישע,Elisha
אלכימיה,alchemy
אלכסנדר,Alexander
אלכסנדריא,Alexandra
אלם,muteness
אלמוג,coral
אלמוני,anonymous
אלמן אלמנה,Widower Widower
אלעזר,Elazar
אלף אות,A thousand letters
אלף מספר,A thousand number
אלפי,Thousands
אלקים אבות,God the Fathers
אלקים אדם,God is Adam
אלקים אמירה,God is a statement
אלקים אמת,God is true
אלקים ארך אפים,God longed
אלקים גדולה,God is great
אלקים דבור ואמירה,Elokim Dvor and Amira
אלקים דין,Elok Din
אלקים הגשמה,God fulfilled
אלקים השגחה,Divine Providence
אלקים ואומות העולם,God and the nations of the world
אלקים והעדר,God and herd
אלקים וישראל,God and Israel
אלקים ומציאות,God and reality
אלקים ונקה,God and clean
אלקים ורע,God and evil
אלקים זכרון,God is memory
אלקים זמן ומקום,God time and place
אלקים חנון חסד,God is graceful
אלקים חרון אף,God is wrath though
אלקים יד,God is a hand
אלקים ידיעה,God knows
אלקים יחוד,God alone
אלקים יכולת,God is capable
אלקים ירד ישב עמד קום,God stood down and stood up and stood up
אלקים כבוד מלכות כסא,God honored the throne and throne
אלקים מדות יג מדות חסד חנון,Elokim Midot 13 Meedas Chesed Geek
אלקים מדות מדת הדין מדת הרחמים,The Lord has mercy on God
אלקים מלחמה,God is war
אלקים מלכות,God is kingdom
אלקים מעשה,God is an act
אלקים מציאותו,God is His reality
אלקים מקום,God is a place
אלקים נורא,God is terrible
אלקים נושא עון,God is iniquity
אלקים נשמת רוח,God is the soul of spirit
אלקים סליחה,God forgive
אלקים ספר,God is a book
אלקים פוקד עון אבות,God commands the punishment of fathers
אלקים פנים אחור,God faces back
אלקים צבא,God is an army
אלקים קנא,God is jealous
אלקים ראיה עיני,God is my eyesight
אלקים רוח,God is spirit
אלקים רצון,God wills
אלקים שבח,God is praise
אלקים שינוי,God is changing
אלקים שלמותו,God is His perfection
אלקים שם,God is there
אלקים שמחה,God is happy
אלקים תאר,God described
אלקים תהלה,God rejoiced
אלקים תורה,God is Torah
אלקים,God
אלקנה,Elkana
אם אולי,If maybe
אם הורים,If parents
אם ירצה ה,If he wishes
אמה שעור,Her mother is a lesson
אמה שפחה,Her mother is a slave
אמהות,motherhood
אמון נא,Trust please
אמון,Trust
אמונה,faith
אמוץ,adoption
אמורי,Emory
אמות,Amot
אמילם,Amelia
אמיר,emir
אמן,Amen
אמנה,convention
אמנון,tilapia
אמנות,art
אמנם,indeed
אמץ,Adopt
אמציה,Amazia
אמצע,middle
אמר,said
אמרפל,Amrafel
אמת,Real
אמתחת,bursitis
אמתלאה,Glorious
אנא,please
אנדרינוס,Andreus
אנה זימן,Anna summoned
אנה,Anna
אנוכיות,selfishness
אנוסים,Enough
אני ה,I am H.
אניה,ship
אנך,plumb
אנכי,vertical
אנף,A heron
אנש,Ansh
אנשי כנסת הגדולה,Members of the Great Assembly
אסא,Asa
אסון,Disaster
אסטרונומיה,astronomy
אסמכתא,Reference
אסנת,Osnat
אסף קבץ,Assaf Group
אסף תהלים,He collected Psalms
אספסוף,mob
אספסינוס,Vespasian
אספקלריא,Asparaklia
אסתר,Esther
אף אפים,No noses
אף גם,Even though
אף חוטם,No snout
אף ברי,Even Barry
אפוד,vest
אפודה,vest
אפיה,baking
אפים,nostrils
אפיק,channel
אפיקורוס,heretic
אפלה,darkness
אפס,zero
אפסי ארץ,No land
אפעה,adder
אפף,Ephedra
אפקה,Afeka
אפר,ash
אפרים,Ephraim
אפריקי,Afrikaans
אפרת,Efrat
אפשר,Allow
אצבע,finger
אצטגנינות,Struggle
אצל אצילות,In nobility
אקלים,climate
אראלם,Arab
ארבה,barge
ארבע כוסות,Four cups
ארבע לשונות של גאולה,Four languages ​​of salvation
ארבע מלכויות,Four kingdoms
ארבע פרשיות,Four affairs
ארבע,Four
ארבעה בנים,Four boys
ארבעה חרשים,Four deaf people
ארבעה יסודות,Four Elements
ארבעה מינים,Four species
ארבעה נהרות,Four rivers
ארגוב,Argov
ארגמן,purple
ארה,USA
ארון,Cabinet
ארונה,Aruna
ארוסין,engagement
ארז,cedar
אריאל,Ariel
אריה,lion
אריסטו,Aristotle
ארם,Aram
ארמילוס,Armilus
ארנבת,Bunny
ארנון,Arnon
ארץ החיים,Land of Life
ארץ ישראל גבול,Land of Israel border
ארץ ישראל הבטחה זכות,The Land of Israel promise right
ארץ ישראל השגחה,Land of Israel Providence
ארץ ישראל חורבן,The Land of Israel Destruction
ארץ ישראל ירושה,Eretz Israel inheritance
ארץ ישראל ישוב,The Land of Israel will return
ארץ ישראל כבוש וחלוקה,The Land of Israel is occupied and divided
ארץ ישראל קדושה ברכה השגחה מעלה,Holy Land is a blessing for Divine Providence
ארץ ישראל,Land of Israel
ארץ נוד,Land of Nud
ארץ עוץ,The Land of Oz
ארץ,country
ארקא,Arka
ארר,Arrer
אררט,Ararat
ארשת,expression
אש,a fire
אשד,cascade
אשה קרבן,A woman is a victim
אשה,woman
אשור,beech
אשישה,Ashisha
אשישי,Ashichi
אשכל,I will
אשכנז,Ashkenaz
אשל,tamarisk
אשם,Guilty
אשמדאי,Ashmoudai
אשמורה,Ashmorea
אשמנים,Fatty
אשנב,hatch
אשף,wizard
אשקלון,Ashkelon
אשר אם,Which if
אשר בן יעקב,Asher son of Jacob
אשר,which
אשרה,visa
אשרי,Happy
אשת,Wife
את,You
אתה,are you
אתונה,Athens
אתי הגתי,Etti the Gati
אתיק,Ethic
אתנן,Aston
אתרוג,citron
ב,B
בא בימים,old
בא,come
באר בור,Beer well
באר לחי רואי,Beer - Lehi Roi
באר פרש,Beer retired
באר שבע,Beer Sheva
בארה,In the US
בארי,Barry
בבל חורבן,Babylon is destruction
בבל,Babel
בגד לבוש,Clothing and clothing
בגד מרד,Betrayed rebellion
בגדי כהונה אבנט,Cloak clothes
בגדי כהונה אפוד,Clothing for a vest
בגדי כהונה בגדי שרד,Priestly clothes
בגדי כהונה חושן,The clothes of the priest Hoshen
בגדי כהונה כפרה,Priestly clothes
בגדי כהונה כתונת,Priest clothes
בגדי כהונה מגבעת ומצנפת,"Priestly clothes, hat and bonnet"
בגדי כהונה מכנסים,Clothing for priests
בגדי כהונה מעיל,Coat clothes coat
בגדי כהונה ציץ,Priestly clothes
בגדי כהונה,Priestly clothes
בגלל,Because
בגתן ותרש,Gethane and Thrash
בד בבד,Simultaneously
בד,cloth
בדד בדידות,Alone loneliness
בדולח,crystal
בדיחות,Jokes
בהו,Look
בהלה,panic
בהם,in them
בהמה,animal
בהמות,Beasts
בהן,Among them
בול,stamp
בולס,Bulls
בולקה,Bolka
בועז,Boaz
בוקה,Boca
בוקק,Bokek
בור עם הארץ,A pit with the earth
בור,pit
בושה בושת,Shame and shame
בזבז,Waste
בזה,plunder
בזוטוס,In Zotos
בזז,Looted
בחור,a guy
בחירה,choice
בחן,test
בחר,Select
בטא,Beta
בטול,Cancel
בטחון,security
בטלה,idleness
בי,Me
ביאה,Bea
ביאת מקדש,The coming of a temple
בית א ל,Bethel
בית אבטינס,Avatins House
בית און,Beit On
בית דין,Court
בית המדרש,Beit Midrash
בית המקדש בית שני,The Second Temple
בית המקדש בנין,The Temple
בית המקדש חורבן,The Temple is destroyed
בית המקדש חנכת,The Temple was inaugurated
בית המקדש עבודה,The Temple Work
בית המקדש,Temple
בית העם,The People&#39;s House
בית חוניו,Beit Honio
בית יעקב,Beit Yaakov
בית יער הלבנון,House of the Forest of Lebanon
בית כנסת,Synagogue
בית כסא,outhouse
בית ספר,School
בית עיר חומה,A brown city house
בית קברות,Cemetery
בית שמאי ובית הלל,Beit Shammai and Beit Hillel
בית שמש,Beit Shemesh
בית,Home
ביתוסים,Stays
ביתן,pavilion
ביתר,Betar
בכורים,Firstborns
בכיה,weeping
בל עבודה זרה,Bel idol worship
בל תוסיף,Do not add
בל תשחית,do not vandalize
בל,Bell
בלדד,Belad
בלהה,Bilha
בלימה,braking
בליעל,Bloody
בלל,Ballel
בלע,Swallowed
בלעדי,without me
בלעם והאתון,Balaam and the donkey
בלעם וישראל,Balaam and Israel
בלעם נבואה,Balaam prophecy
בלעם,Balaam
בלק,Black
בלשאצר,Belshazzar
במה,in what
בן אדם,Man
בן אמה,Her mother&#39;s son
בן אשר,Ben Asher
בן הדד,Ben Hadad
בן זקונים,Youngest child
בן נח קרבן,Noah&#39;s son Korban
בן נח,Ben Noah
בן סורר ומורה,A rebellious son and a teacher
בן סטדא,Ben Stada
בן סירא,Ben Sira
בן עשרים,Twenty years old
בן ציצית הכסת,Ben Tzitzit the Quilt
בן תמליון,Ben Tmalion
בן,son
בנה בנין,Build a building
בנות צלפחד,The daughters of Zelophehad
בני האלהים,Sons of God
בני קדם,Sons of Kedem
בני רשף,Benny Reshef
בניהו,Benayahu
בנימין הצדיק,Benjamin the Righteous
בנימין,Benjamin
בעבור,For
בעד,for
בעוד,while
בעל אוב,Necromancer
בעל מום,Deformity
בעל מלאכה,craftsman
בעל צפון,Owner North
בעל קרי,Owner Kerry
בעל,Husband
בעלי חיים,Animals
בעלי משכונות,Owners of neighborhoods
בעצם היום,Actually today
בער כסיל,Burned a fool
בער שרף,Sher burned
בעשא,Basha
בצורת,Shaped
בצלאל ואהליאב,Bezalel and Oholiab
בצע,Do
בצק,dough
בצרה,in trouble
בקור חולים,Cold patients
בקיאות,proficiency
בקעת דורא,The Dura Valley
בקק,Bakk
בקר בעלי חיים,Visit cattle
בקר יבקש,Becker will ask
בקר שחר,Visit Dawn
בקרב,among
בקש בקשה,Request a request
בר דרומא,Bar Droma
בר כוכבא,Bar Kochba
בר מצוה,Bar Mitzvah
בר,bar
ברא,Create
בראשית,Genesis
ברוך בן נריה,Baruch ben Neriah
ברוך שם כבוד מלכותו,Blessed is the name of His majesty
ברוך,blessed
ברוריה,Bruria
ברזילי הגלעדי,Barzilai the Giladi
ברזל,iron
ברח,Escaped
בריאה אדם,A healthy person
בריאה אור מאורות,Creation of light and lights
בריאה ארץ,Healthy Earth
בריאה בין השמשות,Creation in the twilight
בריאה בעלי חיים,Healthy animals
בריאה יום א,Creation Day
בריאה יום ב,Creation Day 2
בריאה יום ג,Creation Tuesday
בריאה כי טוב,Healthy that good
בריאה מאורות,Healthy from lights
בריאה מאמר,Healthy Article
בריאה מים,Healthy water
בריאה מלאכים,Creation of angels
בריאה עץ ועשב,Healthy tree and grass
בריאה קודם לעולם,Creation first
בריאה שבת,Creation of Shabbat
בריאה שמים וארץ רקיע,Creation heaven and earth sky
בריאה תכלית,Creation is purpose
בריאה,creation
בריאות,Health
ברית אבות,Brit Avot
ברית בין הבתרים,The Covenant
ברית ישראל,The covenant of Israel
ברית כהונה,Covenant of priesthood
ברית לעתיד לבא,An alliance for the future
ברית נח,The covenant of Noah
ברית,alliance
ברכה,blessing
ברכות הנהנין,Greetings
ברכות חתנים,Greetings from grooms
ברכות,Greetings
ברכת הגומל,Birkat HaGomel
ברכת המזון,food greeting
ברכת המצות,The Matzot Blessing
ברכת הפטרה,The blessing of the haftara
ברכת התורה,The blessing of the Torah
ברכת כהנים,Priestly Blessing
ברכת הלבנה,Blessing the moon
בשש בושה,With six shame
בשש עכוב,At six inhibition
בת יענה,Ostrich
בת קול,Bat Kol
בת שבע,Bat sheva
בת,a girl
בתואל,Bethuel
בתוך,Inside
בתולה בתולים,Virgin virgin
בתיה,Batya
ג,third
גאוה,pride
גאולה זמן,Redemption Time
גאולה,redemption
גבאי,Gabbai
גבול,limit
גביע,cup
גביעא בן פסיסא,Gvita ben Pessais
גבעה,Hill
גבעונים,Givonim
גבר,man
גבריאל,Gabriel
גד כזרע גד,Gad is like the seed of Gad
גד מזל,Gad is lucky
גד החוזה,Gad the contract
גד וראובן,Gad and Reuven
גד,Gad
גדול גדולה,Big big
גדי,kid
גדיל,strand
גדליה,Gedaliah
גדעון,Gideon
גדרים,Protections
גהה,Geha
גואל הדם,Redeemer of blood
גואל,redeemer
גוג ומגוג,Gog and Magog
גוזל,fledgling
גוי,gentile
גוע,Gone
גוף,body
גורל,fate
גושן,Goshen
גזית,Gazit
גזל גזלן,Grab a thief
גזר דין גזירה,Sentence cutting
גזרה שוה,Equal cut
גזרות שמד,Demographic decrees
גחזי,Gehazi
גט,divorce
גטו,ghetto
גיד הנשה,Feminine tendon
גיהנם,Hell
גיחון,Gihon
גיל,age
גימטריא,Gimtria
גל,wave
גלגול,rolling
גלגל,pulley
גלגלים,Wheels
גלוח,shaven
גלוי הראש,Visible head
גלוי עריות,incest
גלות ישראל בגלות,The Exile of Israel in exile
גלות ישראל,The Exile of Israel
גלות בבל,Babel exile
גלות יון,Exile
גלות מצרים גאולה,Egyptian exile and redemption
גלות מצרים גזרת הבנים,The Egyptian exile is the decree of the sons
גלות מצרים המילדות,The Egyptian exile from the midwives
גלות מצרים ישראל במצרים,Egyptian exile Egypt in Egypt
גלות מצרים שאלת רכוש,The Egyptian exile question of property
גלות מצרים שעבוד,The Egyptian exile and enslavement
גלות מצרים,The Exile of Egypt
גלות,exile
גליל,Galilee
גלית,Goliath
גלמוד,lonely
גלעד,monument
גם,is also
גמילות חסד,Gemilut Chesed
גמל בעלי חיים,Animal camel
גמל גמילות חסד,Gemel Gmilut Chesed
גמרא,Talmud
גן עדן,Paradise
גנב גנבה,A thief stole
גנב נפש,A thief
גנב תשלומי ד וה,He stole dues
גסות רוח,rudeness
געל,Gael
גפן,vine
גר תושב,Resident resident
גר,Live
גרושין,Divorce
גרמניה,Germany
גרסאות,Versions
גרש,apostrophe
גרשם,Lives there
גשה,Gisha
גשם,rain
גתית,Gitit
ד,D
דאג דאגה,Take care
דבה,Deva
דבור,speech
דבורה דבש,Dvorah honey
דבורה מינקת רבקה,Rebecca&#39;s wet nurse
דביקות,stickiness
דביר,Dvir
דבר עשר מכות,Ten blows
דבר,Nothing
דבש,honey
דג,A fish
דגל,flag
דגן,grain
דד,brisket
דואג,Worry
דוד בית,David House
דוד הרעב,Uncle Hungry
דוד ובית המקדש,David and the Temple
דוד וגלית,David and Galit
דוד והארון,Dudu Aharon
דוד ויהונתן,David and Jonathan
דוד ונבל,David and Harp
דוד ופלשתים,David and the Philistines
דוד ושאול,David and Shaul
דוד חטא,David sinned
דוד כנור,David Knorr
דוד מלחמות,David Wars
דוד מנין,David Minin
דוד שירה,David sang
דוד ואבשלום,David and Avshalom
דוד,Uncle
דודאים,Dudaim
דוה,Dua
דולפין,dolphin
דום דומיה,Dom Domia
דומה,Similar
דור אנוש,Human generation
דור המבול,Generation of the Flood
דור המדבר אילים,Generation of desert rams
דור המדבר אמונה,The generation of desert faith
דור המדבר באר,Desert Generation Beer
דור המדבר בגדים,Generation of desert clothes
דור המדבר בים סוף,The desert generation at the Red Sea
דור המדבר בשר,The generation of desert meat
דור המדבר דיינים,The generation of desert dayanim
דור המדבר ואדום,The generation of desert and red
דור המדבר ומשה,The generation of the desert and Moses
דור המדבר חטא העגל,The generation of the desert sin of the golden calf
דור המדבר חטא מרגלים,The generation of the desert sinned spies
דור המדבר חטא פעור,The generation of the desert is a sinful sin
דור המדבר חטא,The generation of the desert sinned
דור המדבר למוד,The generation of the desert is learned
דור המדבר מדין,The generation of the desert from Midian
דור המדבר מחנה,Generation Desert Camp
דור המדבר מילה,Generation of desert word
דור המדבר מלחמת מדין,The Generation of the Desert The War of Midian
דור המדבר מלחמת סיחון ועוג,The Desert Generation The War of Sihon and Og
דור המדבר מן,The desert generation from
דור המדבר מנין,The Generation of the Desert
דור המדבר מסע,Desert Generation Journey
דור המדבר מעפילים,The generation of desert immigrants
דור המדבר מקושש,The generation of the desert gathers
דור המדבר מרגלים,The generation of desert spies
דור המדבר מרה,The generation of the desert is bitter
דור המדבר מתאוננים,The desert generation is complaining
דור המדבר מתן תורה,Generation of the Desert Giving of the Torah
דור המדבר נעשה ונשמע,The generation of the desert is made and heard
דור המדבר סיחון ועוג,The Desert Generation Sihon and Og
דור המדבר עדי,The generation of the desert is Adi
דור המדבר קרבן,The generation of the desert is a sacrifice
דור המדבר תלונה וריב,The generation of the desert is complaining and quarreling
דור המדבר נחשים,The generation of desert snakes
דור המדבר,The Desert Generation
דור הפלגה,Generation sailing
דור,generation
דורות ראשונים,First generations
דורש אל המת,Requires the dead god
דחה דחייה,Reject rejection
דיו,ink
דיין,Dayan
דין,law
דינה,Dina
דיראון,Dearborn
דירה,Apartment
דמאי,Damai
דמות,Character
דמיו בו,His blood is in it
דמיון,imagination
דמע,tear
דמעה,tear
דן,Dan
דניאל,Daniel
דעת,knowledge
דקדוק,grammar
דרום,South
דרור,sparrow
דריוש,Darius
דרך ארץ,Courtesy
דרך התורה,The Way of the Torah
דרך,way
דרכי האמורי,The ways of the Emorites
דרכי שלום,ways of peace
דרקון,dragon
דרש דרשה,He demanded a sermon
דרש ה,He demanded
דשא,grass
דשן,fertilizer
דת,religion
דתן ואבירם,Datan and Aviram
ה,God
האבק,The dust
האזן,Listen
האח,Brother
האמן,The artist
האמר,Hammer
האסף אל עמיו,He gathered to his people
האסף,The Collector
הבדל,difference
הבדלה,Havdalah
הבה,Let&#39;s
הבט,Look
הבטחה,promise
הבין,He realized
הבל קרבן,Abel is a victim
הבל רוח,A breath of wind
הבל,steam
הגד,Configure
הגדה,West Bank
הגה והגית,Pronunciation and pronunciation
הגה משך,The steering wheel pulled
הגה,steering wheel
הגיע,has come
הגמל,The camel
הגר,Hagar
הדיוט,layman
הדיח,The dishwasher
הדלק,The fuel
הדס,Hadas
הדף,blast
הדר,Hadar
הוא,he is
הואל,Hoo
הוד,glory
הודאה תודה,Admission thanks
הודאה,thanks
הודו,India
הוה,passion
הוות,WT
הויה,Hoya
הוכח,proven
הולל הוללות,Humorous
הון,fortune
הוסיף,He added
הוצאת שכבת זרע לבטלה,Removing a seed layer in idleness
הוראה,teaching
הוראת שעה,Temporary Provisions
הורדוס,Herod
הורים,parents
הורמיז,Hormiz
הורקנוס רבי אליעזר,Hyrcanus Rabbi Eliezer
הורקנוס,Hyrcanus
הושיע,He saved
הושע המלך,Hosea the king
הושע הנביא,Hosea the prophet
הושענא רבה,Hoshana Rabbah
הותיר,has left
הזאה,sprinkling
הזכרת נשמות,The mention of souls
החזק,Hold on
החלף החלפה,Replace Replace
החלץ,The Pioneer
החנף,The crap
החרם,The boycott
הטמן,Hetman
היה,Was
הימן,Heiman
הכי,the most
הכלם,The whole
הכן הכנה,Prepare preparation
הכנסת אורחים,Hospitality
הכנעה,submission
הכרת הבורא,Knowledge of the Creator
הכרת טובה,Thankfulness
הלא,That&#39;s it
הלאה,further
הלבנת פנים,Bleaching
הלואה,loaning
הלום,stricken
הלזה,rumor
הלך הליכה,Walked walking
הלכה למשה מסיני,She went to Moses at Sinai
הלכה,She went
הלל תודה,Thank you
הלל,praise
הללויה,hallelujah
הלעט,He licked
המטר,The meter
המן,Haman
המר,Convert
הן,they
הנאה,pleasure
הנה,here
הנהגה,leadership
הנחם,The comfort
הניא,The Nina
הניח,He assumed
הנפש,the soul
הנקה,nursing
הסגת גבול,Trespass
הסח הדעת,absentmindedness
הסטוריה בית ראשון חורבן,History First Temple Destruction
הסטוריה בית ראשון חטא,History First Temple Sin
הסטוריה בית ראשון,History First Temple
הסטוריה בית שני,History Second Temple
הסטוריה גלות בבל,History of the Babylonian Exile
הסטוריה שופטים,History Judges
הסטוריה בית שני חטא,History Second Temple Sin
הסטוריה בית שני בנין,History Second Temple Building
הסטוריה,History
הסכת,The story
הספד,eulogy
הסת,Come on
הסתולל,He went wild
הסתפקות,sufficiency
הסתר,Hide
העד,Witness
העדר,lack
העלם,The boy
העתר,He petitioned
הפח,The tin
הפטרה,Haftarah
הפך הפכים,Became opposites
