Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 2a:12	E<small>INE</small> S<small>TADT KANN NUR DURCH DAS</small> G<small>ERICHT VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>ALS ABTRÜNNIG</small>$fn30<small>ERKLÄRT WERDEN; DIE AN DER</small> G<small>RENZE LIEGENDE</small> S<small>TADT KANN NICHT ALS ABTRÜNNIG VERURTEILT WERDEN; AUCH NICHT DREI</small> S<small>TÄDTE, SONDERN NUR EINE ODER ZWEI</small>. 
Sanhedrin 2a:13	<sup>vi</sup> D<small>AS GROSSE</small> S<small>YNEDRIUM BESTAND AUS EINUNDSIEBZIG UND DAS KLEINE AUS DREIUNDZWANZIG</small> [M<small>ITGLIEDERN</small>]. W<small>OHER, DASS DAS GROSSE AUS EINUNDSIEBZIG BESTEHEN MUSS</small>? E<small>S HEISST</small>:$fn31<i>versammle mir siebzig Männer von den ältesten Jisraéls</i>, <small>UND</small> M<small>OŠE AN IHRER</small> S<small>PITZE</small>; R. J<small>EHUDA SAGT: AUS SIEBZIG</small>. 
Sanhedrin 2a:14	W<small>OHER, DASS DAS KLEINE AUS DREIUNDZWANZIG</small>? E<small>S HEISST</small>:$fn32<i>die Gemeinde richte</i>, <small>UND</small>: <i>die Gemeinde rette</i>, <small>EINE RICHTENDE</small> G<small>EMEINDE UND EINE RETTENDE</small> G<small>EMEINDE, DAS SIND ALSO ZWANZIG</small>. 
Sanhedrin 2a:15	W<small>OHER, DASS DIE GEMEINDE AUS ZEHN</small> [M<small>ÄNNERN</small>] <small>BESTEHT</small>? E<small>S HEISST</small>:$fn33<i>wie lange noch murrt diese böse Gemeinde</i>, <small>AUSGENOMMEN</small>$fn34<small>SIND</small> J<small>EHOŠUA͑ UND</small> K<small>ALEB</small>. 
Sanhedrin 2a:16	W<small>OHER, DASS NOCH DREI HINZUKOMMEN</small>? A<small>US DEN</small> W<small>ORTEN</small>:$fn35<i>man richte sich zum Bösen nicht nach der Mehrheit</i>, <small>IST JA ZU ENTNEHMEN, DASS MAN SICH NACH DIESER ZUM</small> G<small>UTEN WOHL RICHTE, WENN ES NUN</small> [<small>ÜBERFLÜSSIG</small>] <small>HEISST</small>:$fn35<i>man richtc sich nach der Mehrheit</i>, <small>SO BESAGT DIES, DASS DER</small> A<small>USSCHLAG ZUM</small> B<small>ÖSEN NICHT DEM</small> A<small>USSCHLAGE ZUM</small> G<small>UTEN GLEICHE: ZUM</small> G<small>UTEN ERFOLGT DER</small> A<small>USSGHLAG DURCH EINEN, ZUM</small> B<small>ÖSEN ERFOLGT DER</small> A<small>USSCHLAG DURCH ZWEI, 
Sanhedrin 2b:1	UND DA NUN EIN</small> G<small>ERICHTSHOF NICHT AUS EINER GERADEN</small> Z<small>AHL BESTEHEN</small>$fn36<small>SOLL, SO NEHME MAN NOCH EINEN HINZU; DAS SIND ALSO DREIUNDZWANZIG</small>. 
Sanhedrin 2b:2	W<small>IEVIEL</small> [E<small>INWOHNER</small>] <small>MUSS EINE</small> S<small>TADT HABEN, UM FÜR EIN</small> S<small>YNEDRIUM GEEIGNET ZU SEIN</small>? H<small>UNDERTUNDZWANZIG</small>; R. N<small>EḤEMJA SAGT: ZWEIHUNDERTUNDDREISSIG, ENTSPRECHEND DEN</small> V<small>ORGESETZTEN ÜBER ZEHN</small>$fn37.
Sanhedrin 2b:3	GEMARA. Sind denn [Entschädigungen für] Raub und Körperverletzungen keine Geldangelegenheiten? R. Abahu erwiderte: Er erklärt, was solche sind: was sind Geldangelegenheiten? [Entschädigungen für] Raub und Körperverletzungen, nicht aber Geständnisse$fn38und Darlehen$fn38. 
Sanhedrin 2b:4	Und beides ist nötig. Würde er nur ‘Geldangelegenheiten’ gelehrt haben, so könnte man glauben, auch Geständnisse und Darlehen, daher lehrt er ‘Raub und Körperverletzungen’. Und würde er nur ‘Raub und Körperverletzungen’, nicht aber ‘Geldangelegenheiten’ gelehrt haben, so könnte man glauben, auch Geständnisse und Darlehen, nur lehre er es deshalb von Raub und Körperverletzungen, weil das Drei[männergericht] hauptsächlich bei Raub und Körperverletzung genannt wird. 
Sanhedrin 2b:5	Bei Raub, denn es heißt:$fn39<i>so trete der Hausherr vor Gott</i>$fn40; bei Körperverletzungen, denn es ist ja einerlei, ob man am Geld oder am Körper verletzt wird. Daher erklärt er, daß unter ‘Geldangelegenheiten’ Raub und Körperverletzungen zu verstehen sei, nicht aber Geständnisse und Darlehen. – 
Sanhedrin 2b:6	In welcher Hinsicht: wollte man sagen, insofern, als bei diesen keine drei [Richter] erforderlich sind, so sagte ja R. Abahu, wenn zwei in Geldangelegenheiten richten, sei ihr Urteil nach aller Ansicht nicht gültig. 
Sanhedrin 2b:7	Und wollte man sagen, insofern, als sie nicht autorisiert zu sein brauchen, 
Sanhedrin 2b:8	so [ist ja einzuwenden]: welcher Ansicht ist er, ist er der Ansicht, in diesem Abschnitte befinde sich eine Verwirrung$fn41der Schriftverse, so sollten auch autorisierte [Richter] erforderlich sein, und ist er der Ansicht, in diesem Abschnitte befinde sich keine Verwirrung der Schriftverse, so sollten auch keine drei [Richter] erforderlich sein!? – 
Sanhedrin 2b:9	Tatsächlich ist er der Ansicht, in diesem Abschnitte befinde sich eine Verwirrung der Schriftverse, somit wären eigentlich autorisierte [Richter] erforderlich, nur sind wegen einer Lehre R. Ḥaninas keine autorisierten erforderlich. R. Ḥanina sagte nämlich: Nach der Tora sind sowohl bei Geldsachen als auch bei Strafsachen Untersuchung und Ausforschung [der Zeugen] erforderlich, 
Sanhedrin 3a:1	denn es heißt:$fn42<i>einerlei Recht soll unter euch gelten</i>, nur deshalb bestimmten sie, daß bei Geldsachen Untersuchung und Ausforschung nicht erforderlich seien, damit nicht vor den Leihenden die Tür abgeschlossen$fn43werde. – 
Sanhedrin 3a:2	Demnach sollten [die Richter], wenn sie sich geirrt haben, nicht regreßpflichtig sein!? – Dann würdest du erst recht vor den Leihenden die Tür abschließen. – 
Sanhedrin 3a:3	Demnach können es ja zwei besondere [Lehren]$fn44sein: Geldangelegenheiten werden vor drei gemeinen [Richtern verhandelt], Raub und Körperverletzungen vor drei autorisierten!? 
Sanhedrin 3a:4	Und wozu wird ferner [das Wort] drei wiederholt!? 
Sanhedrin 3a:5	Vielmehr, erklärte Raba, sind es zwei verschiedene [Lehren], und zwar wegen der Lehre R. Ḥaninas$fn45. R. Aḥa, Sohn des R. Iqa, sagte: Nach der Tora genügt auch ein [Richter], denn es heißt:$fn46<i>mit Gerechtigkeit sollst du deinen Nächsten richten</i>, nur sind wegen der Eckensitzer$fn47[drei erforderlich]. – 
Sanhedrin 3a:6	Können denn drei keine Eckensitzer sein!? – Es ist nicht gut möglich, daß sich unter ihnen nicht einer befinden sollte, der etwas gelernt hat. – Demnach sollten sie, wenn sie geirrt haben, nicht regreßpflichtig sein!? – So würden die Eckensitzer um so zahlreicher vertreten sein. – 
Sanhedrin 3a:7	Welchen Unterschied gibt es zwischen der Erklärung Rabas und der des R. Aḥa, Sohnes des R. Iqa? – Ein Unterschied besteht zwischen ihnen bezüglich der Lehre Šemuéls, denn er sagte: Wenn zwei Recht gesprochen haben, so ist das Urteil gültig, nur heißt es ein anmaßendes Gericht. Raba hält nicht von der Lehre Šemuéls, R. Aḥa, Sohn des R. Iqa, hält wohl von der Lehre Šemuéls$fn48.
Sanhedrin 3a:8	S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ &amp;C</small>. ‘Schaden’ und ‘Körperverletzung’ sind ja identisch$fn49!? – Da er vom halben Schadenersatz lehren will, so lehrt er auch vom ganzen Schadenersatz. – 
Sanhedrin 3a:9	Aber auch der ‘halbe Schaden’ ist ja mit ‘Körperverletzung’ identisch!? Er lehrt dies 
Sanhedrin 3a:10	vom Geldersatz und er lehrt dies von der Geldbuße. – Einleuchtend ist dies nach demjenigen, welcher sagt, der halbe Schadenersatz sei eine Geldbußen$fn50, wie ist es aber nach demjenigen zu erklären, welcher sagt, der halbe Schadenersatz sei ein Geldersatz!? – 
Sanhedrin 3a:11	Vielmehr, da er von der Zahlung des Doppelten und des Vier- oder Fünffachen lehren will, 
Sanhedrin 3b:1	der kein Ersatz des Grundwertes ist, so lehrt er auch vom halben Schadenersatz, der kein Ersatz des Grundwertes ist, und da er vom Halben Schadenersatz lehrt, so lehrt er auch vom ganzen Schadenersatz.
Sanhedrin 3b:2	Woher ist das Drei[männergericht] zu entnehmen? – Die Rabbanan lehrten:$fn51<i>So trete der Hausherr vor Gott</i>, einer;$fn52<i>vor Gott komme beider Angelegenheit</i>, das sind <i>zwei</i>;$fn52<i>den Gott verurteilen wird</i>, das sind also drei – so R. Jošija. 
Sanhedrin 3b:3	R. Jonathan sagte: Das erstemal ist es an sich nötig, somit ist es nicht zur Schriftforschung zu verwenden; vielmehr: <i>vor Gott komme beider Angelegenheit</i>, einer; <i>den Gott verurteilen wird</i>, das sind zwei; und da ein Gerichtshof nicht aus einer geraden Zahl bestehen soll, so nehme man noch einen hinzu, das sind also drei. – 
Sanhedrin 3b:4	Es wäre anzunehmen, daß ihr Streit darin bestehe, ob die erste Nennung$fn53zur Schriftforschung zu verwenden sei; einer ist der Ansicht, man verwende sie zur Schriftforschung, und einer ist der Ansicht, man verwende sie nicht zur Schriftforschung. – Nein, alle sind der Ansicht, man verwende die erste Nennung nicht zur Schriftforschung, denn R. Jošija kann [seine Ansicht wie folgt] begründen: der Schriftvers könnte ja lauten: so trete der Hausherr vor den Richter, wenn es aber heißt: vor Gott, so deutet dies auf die Anzahl [der Richter]. – 
Sanhedrin 3b:5	Und R. Jonathan!? Er gebraucht einen volkstümlichen Ausdruck, denn so sprechen die Leute: wer einen Prozeß hat, gehe zum Richter$fn54. – 
Sanhedrin 3b:6	Hält denn R. Jošija nichts von dem, daß der Gerichtshof entscheidend$fn55sein musse!? Es wird ja gelehrt: R. Elie͑zer, Sohn R. Jose des Galiläers, sagte: Wozu heißt es:$fn56<i>zu entscheiden, nach der Mehrheit zu entscheiden</i>? Damit sagt die Tora, daß du dir einen entscheidenden Gerichtshof machest. – 
Sanhedrin 3b:7	Er ist der Ansicht R. Jehudas, welcher sagt, es waren siebzig. Es wird nämlich gelehrt: Das große Synedrium hatte einundsiebzig [Mitglieder]; R. Jehuda sagt, siebzig. – 
Sanhedrin 3b:8	Allerdings ist R. Jehuda dieser Ansicht bezüglich des großen Synedriums, da hierfür Schriftverse vorhanden$fn57sind, ist er dieser Ansicht etwa auch hinsichtlich anderer Gerichte!? 
Sanhedrin 3b:9	Wolltest du sagen, es gebe hierbei keinen Unterschied, so haben wir ja gelernt: Das Stützen der Ältesten und das Genickbrechen des Kalbes durch drei – so R. Šimo͑n; R. Jehuda sagt, durch fünf. 
Sanhedrin 3b:10	Hierzu sagten wir: Folgendes ist der Grund R. Jehudas:$fn58<i>es sollen stützen</i>, zwei; <i>die Ältesten</i>, zwei; und da das Gericht nicht aus einer gleichen Zahl bestehen soll, so nehme man noch einen hinzu, das sind also fünf!? – 
Sanhedrin 3b:11	R. Jošija geht noch weiter als R. Jehuda; nach R. Jehuda ist dies nur beim großen Synedrium nicht erforderlich, wohl aber bei anderen Gerichten, während nach R. Jošija dies auch bei anderen Gerichten nicht erforderlich ist. – Wofür verwendet er demnach [das Wort] <i>hinzuneigen</i>!? – Er bezieht es auf Todesstrafsachen, 
Sanhedrin 3b:12	nicht aber auf Zivilsachen. – Wir haben gelernt: Wenn zwei sagen, er sei unschuldig und einer sagt, er sei schuldig, so ist er unschuldig; wenn zwei sagen, er sei schuldig und einer sagt, er sei unschuldig, so ist er schuldig. Also nicht nach R. Jošija$fn59!? – 
Sanhedrin 3b:13	Du kannst auch sagen, nach R. Jošija, denn er folgert dies [durch einen Schluß] vom Schwereren auf das Leichtere vom Todesstraf rechte: wenn der Allbarmherzige beim strengeren Todesstraf rechte sagt, man entscheide nach der Mehrheit, um wieviel mehr gilt dies von den leichteren Zivilsachen.
Sanhedrin 3b:14	Die Rabbanan lehrten: Geldangelegenheiten werden vor drei [Richtern verhandelt]; Rabbi sagt: vor fünf, damit das Urteil durch drei entschieden werde. – Kann etwa bei drei das Urteil nicht durch zwei entschieden werden!? – Er meint es wie folgt: weil die Urteilsfällung durch drei erfolgen muß. Er ist also der Ansicht, die drei, von denen gesprochen wird, müssen das Urteil fällen. 
Sanhedrin 3b:15	R. Abahu schimpfte hierüber: demnach müßte das große Synedrium hunderteinundvierzig [Mitglieder] haben, damit das Urteil durch einundsiebzig gefällt werde, und ebenso müßte das kleine Synedrium fünfundvierzig [Mitglieder] haben, damit das Urteil durch dreiundzwanzig gefällt werde!? 
Sanhedrin 3b:16	Du mußt vielmehr erklären: wenn der Allbarmhinherzige sagt:$fn60<i>versammle mir siebzig Männer</i>, so heißt dies siebzig beim Versammeln, und [die Worte]:$fn61<i>es richte die Gemeinde</i>, und: <i>es rette die Gemeinde</i>, beziehen sich auf <i>die</i> Zeit des Richtens, ebenso auch hierbei:$fn62<i>so trete der Hausherr vor Gott</i>, beim Vortreten müssen es drei sein. – 
Sanhedrin 3b:17	Vielmehr, folgendes ist der Grund Rabbis:$fn63<i>nach der Verurteilung Gottes</i>; hier unten wird [das Wort] <i>Gott</i> gebraucht und ebenso wird [das Wort] <i>Gott</i> oben gebraucht, wie es unten zwei sind$fn64, ebenso sind es oben zwei, und da der Gerichtshof nicht aus einer geraden Zahl bestehen soll, so nehme man noch einen hinzu, das sind also fünf. – 
Sanhedrin 4a:1	Und die Rabbanan!? – Die Schreibweise ist <i>jaršie͑n</i>$fn65.
Sanhedrin 4a:2	R. Jiçḥaq b. Jose sagte im Namen R. Joḥanans: Rabbi, R. Jehuda b. Roe͑ç, diu Schule Šammajs, R. Šimo͑n und R. A͑qiba sind alle der Ansicht, die Lesart$fn66sei maßgebend. 
Sanhedrin 4a:3	Rabbi, wie wir bereits gesagt haben. 
Sanhedrin 4a:4	R. Jehuda b. Roe͑ç, denn es wird gelehrt: Die Schüler fragten R. Jehuda b. Roe͑ç, ob man <i>šibi͑m</i>$fn67lesen könne, wonach eine von einem Mädchen entbundene Wöchnerin siebzig Tage unrein wäre. 
Sanhedrin 4a:5	Er erwiderte ihnen: Bei einem Knaben wird eine Dauer der Unreinheit und eine der Reinheit festgesetzt, und ebenso wird bei einem Mädchen eine Dauer der Unreinheit und eine der Reinheit festgesetzt, wie nun die Dauer der Reinheit bei einem. Mädchen doppelt so lange ist wie bei einem Knaben, ebenso ist die Dauer der Unreinheit bei einem Mädchen doppelt so Iange wie bei einem Knaben. 
Sanhedrin 4a:6	Als sie fort waren, ging er ihnen nach und sprach zu ihnen: Ihr habt dies nicht nötig, wir lesen <i>šebua͑jim</i> und die Lesart ist maßgebend. 
Sanhedrin 4a:7	Die Schule Šammajs, denn wir haben gelernt: Die Schule Šammajs sagt, bei allen Sprengungen$fn68des äußeren Altars habe man Sühne erlangt, auch wenn man nur eine Sprengung aufgetragen hat, (denn es heißt:$fn69<i>das Blut deiner Opfer soll fortgegossen werden</i>,) beim Sündopfer aber sind zwei Sprengungen erforderlich; die Schule Hillels sagt, auch beim Sündopfer habe man mit einer Sprengung Sühne erlangt. 
Sanhedrin 4a:8	Hierzu sagte R. Hona: Folgendes ist der Grund der Schule Šammajs: es heißt: <i>Hörner, Hörner, Hörner</i>, das sind also sechsmal$fn70, viermal als Gebot$fn71und zweimal, daß es davon abhänge. 
Sanhedrin 4a:9	Die Schule Hillels erklärt: <i>Hörner, Hörner, Hörner</i>, das sind also viermal$fn70, dreimal als Gebot und einmal, daß es von diesem abhänge. – 
Sanhedrin 4a:10	Vielleicht alle als Gebot!? – Wir finden keine Sühne ganz ohne [Sprengung], 
Sanhedrin 4a:11	R. Šimo͑n, denn es wird gelehrt: Zwei$fn72 vorschriftsmäßig und für die dritte reicht eine Handbreite; R. Šimo͑n sagt, drei müssen vorschriftsmäßig sein und für die vierte reiche eine Handbreite. Worin besteht nun ihr Streit? Die Rabbanan sind der Ansicht, die überlieferte [Schreibart] sei maßgebend, und R. Šimo͑n ist der Ansicht, die Lesart sei maßgebend. 
Sanhedrin 4a:12	Die Rabbanan sind der Ansicht, die überlieferte [Schreibart] sei maßgebend: <i>in einer Hütte, in einer Hütte, in Hütten</i>, das sind also vier$fn73; eines ist an sich nötig, sodaß drei zurückbleiben, die dritte [Wand] aber hat die überlieferte Lehre$fn74auf eine Handbreite reduziert. 
Sanhedrin 4a:13	R. Šimo͑n ist der Ansicht: <i>in Hütten, in Hütten</i>$fn75<i>, in Hütten</i>, das sind sechs; eines ist an sich nötig, sodaß vier zurückbleiben, die vierte [Wand] aber hat die überlieferte Lehre auf eine Handbreite reduziert. 
Sanhedrin 4a:14	R. A͑qiba, denn es wird gelehrt: R. A͑qiba sagte: Woher, daß ein Viertellog Blut von zwei Toten durch Bezeltung verunreinigend ist? Es heißt:$fn76<i>zu den Seelen von Toten soll er nicht eintreten</i>, zwei Seelen$fn77und ein Quantum. – Und die Rabbanan!? – Die Schreibweise ist <i>Seele</i>$fn77. 
Sanhedrin 4a:15	R. Aḥa b. Ja͑qob wandte ein: Gibt es denn jemand, der nicht der Ansicht wäre, die [überlieferte] Lesart sei maßgebend, es wird ja gelehrt:$fn78<i>In der Milch</i>$fn79<i>seiner Mutter</i>; man könnte glauben, im Fette, 
Sanhedrin 4b:1	so ist zu erwidern: die überlieferte Lesart ist maßgebend$fn80!? – 
Sanhedrin 4b:2	Vielmehr alle sind der Ansicht, die [überlieferte] Lesart sei maßgebend, und der Streit zwischen Rabbi und den Rabbanan besteht in folgendem: Rabbi ist der Ansicht: <i>verurteilen</i>, andere$fn81 und die Rabbanan sind der Ansicht: <i>verurteilen</i>, dieselben$fn81. 
Sanhedrin 4b:3	[In der Lehre von] R. Jehuda b. Roe͑ç streiten die Rabbanan überhaupt nicht gegen ihn. 
Sanhedrin 4b:4	Bezüglich der Schule Hillels wird gelehrt: $fn82<i>Er sühne, er sühne, er sühne</i>, [dreimal,] wegen der Schlußfolgerung. 
Sanhedrin 4b:5	Es ist ein Schluß zu folgern: weiter unten$fn83wird vom Blute gesprochen und ebenso wird hier oben vom Blute gesprochen, wie man nun Sühne erlangt hat, wenn man das Blut der un ten genannten [Opfer] einmal gesprengt hat, ebenso hat man Sühne erlangt, wenn man das Blut der hiergenannten [Opfer] einmal gesprengt hat. 
Sanhedrin 4b:6	Oder aber wie folgt: bei den außerhalb hergerichteten [Opfern]$fn84wird vom Blute gesprochen und bei den innerhalb hergerichteten [Opfern]$fn85wird vom Blute gesprochen, wie es nun bei den inneren ungültig ist, wenn man eine von den Sprengungen fehlen läßt, ebenso ist es auch bei den äußeren ungültig, wenn man eine von den Sprengungen fehlen läßt. 
Sanhedrin 4b:7	Man beachte aber wie sie zu vergleichen sind: man folgere hinsichtlich der äußeren [Sprengungen] von den äußeren, nicht aber folgere man hinsichtlich der äußeren von den inneren. 
Sanhedrin 4b:8	Oder aber wie folgt: man vergleiche Sündopfer und vier Winkel mit Sündopfer und vier Winkeln$fn86, nicht aber mit dem, was nicht an die vier Winkel [gesprengt wird]. 
Sanhedrin 4b:9	Es heißt daher [dreimal] <i>er sühne, er sühne, er sühne</i>, wegen der Schlußfolgerung: <i>er sühne</i>, auch wenn er nur dreimal gesprengt hat, <i>er sühne</i>, auch wenn er nur zweimal gesprengt hat, <i>er sühne</i>, auch wenn er nur einmal gesprengt hat. 
Sanhedrin 4b:10	R. Šimo͑n und die Rabbanan streiten über folgendes: R. Šimo͑n ist der Ansicht, wegen der Bedachung$fn87sei kein Schriftvers nötig, und die Rabbanan sind der Ansicht, wegen der Bedachung sei wohl ein Schriftvers nötig. 
Sanhedrin 4b:11	R. A͑qiba und die Rabbanan streiten über folgendes: R. A͑qiba ist der Ansicht, unter <i>Seelen</i>$fn88seien zwei zu verstehen, und die Rabbanan sind der Ansicht, hier werde von den Seelen allgemein$fn89gesprochen. – 
Sanhedrin 4b:12	Sind denn alle der Ansicht, die [überlieferte] Lesart sei maßgebend, es wird ja gelehrt: <i>Ṭoṭepheth</i>$fn90, <i>toiepheth</i>,<i> totaphoth</i>, das sind also vier – so R. Jišma͑él. 
Sanhedrin 4b:13	R. A͑qiba sagt, dies sei nicht nötig, den ṭaṭ$fn91heißt in Katphe zwei und pat heißt in Afrika zwei!? – 
Sanhedrin 4b:14	Vielmehr, tatsächlich besteht hierüber ein Streit, jedoch nur da, wo die Lesart von der überlieferten Schreibweise abweicht, während sie bei ḥalab und ḥeleb einander gleichen; daher ist hierbei die Lesart maßgebend. – 
Sanhedrin 4b:15	Aber bei <i>sehen</i> und <i>gesehen werden</i> sie ja ebenfalls einander gleich, dennoch besteht hierüber ein Streit, denn es wird gelehrt: Johanan b. Dahabaj sagte im Namen des R. Jehuda b. Tema: Wer auf einem Auge blind ist, ist vom Erscheinen$fn92frei, denn es heißt ‘sehen’ und ‘gesehen$fn93werden’, wie das Sehen so das Erscheinen: wie sehen mit beiden Augen, so erscheinen mit beiden Augen!? – 
Sanhedrin 4b:16	Vielmehr, erklärte R. Aḥa, Sohn des R. Iqa, die Schrift sagt:$fn94<i>du sollst nicht kochen ein Zicklein &amp;c.</i>, die Tora hat es nur nach Art des Kochens verboten$fn95.
Sanhedrin 4b:17	Die Rabbanan lehrten: Geldangelegenheiten werden vor drei [Richtern verhandelt]; 
