Responsum,Author,Date,Location (Questioner),Location (Respondent),Tags,Topic,Words (H),Hebrew Source,Sefaria ref,Notes,Words (E)
Mateh Levi OH 19,R. Mordekhai (Markus) Horovitz,1906,Paris,Frankfurt am Main,"Shabbat, technology, train, public policy",Riding a subway on Shabbat,,http://hebrewbooks.org/pdfpager.aspx?req=1008&st=&pgnum=107&hilite=,http://www.sefaria.org/Mateh_Levi.19,Done,1125
Responsa Geonim (Musafia) 95,R. Hai Gaon,c. 1000,?,"Baghdad, Iraq","weights, measures",Halakhic measurements,,http://hebrewbooks.org/pdfpager.aspx?req=43048&st=&pgnum=60,http://www.sefaria.org/Musafia_Teshuvot_HaGeonim.95,Done,336
Binyan Tziyon (new) 23,R. Yaakov Ettlinger,1860,,"Altona, Germany",,Status of Non-observant Jews,,http://hebrewbooks.org/pdfpager.aspx?req=1122&st=&pgnum=15,http://www.sefaria.org/Binyan_Tziyon.23,Done,804
Rashba 1:413 (end),R. Shlomo ibn Adret,c. 1300,?,"Barcelona, Spain","Medicine, gentile practice, magic, science","Medicine, magic, and faith",,http://hebrewbooks.org/pdfpager.aspx?req=1376&st=&pgnum=175,http://www.sefaria.org/Teshuvot_haRashba_part_I.413,Done,724
Rashba 4:75,R. Shlomo ibn Adret,c. 1300,?,"Barcelona, Spain","Shabbat, food, melakha",Shabbat food preparation,,http://www.sefaria.org/Teshuvot_haRashba_part_IV.75,http://www.sefaria.org/Teshuvot_haRashba_part_IV.75,Done,915
"Ha'elef Lekha Shlomo, Hashmatot 32",R. Shlomo Kluger,1859,"Krakow, Poland","Brody, Ukraine","Matza, Pesach, technology",Onthe acceptability of machine-made matza,,http://www.hebrewbooks.org/pdfpager.aspx?req=1354&pgnum=379,http://www.sefaria.org/HaElef_Lekha_Shlomo.32,Done,1545
Responsa Maharshal 72 ,R. Shlomo Luria,c. 1560,,,"Yarmulke, prayer, custom",Yarmulke,,http://www.hebrewbooks.org/pdfpager.aspx?req=49541&st=&pgnum=73,http://www.sefaria.org/Teshuvot_Maharshal.72,Done,1268
Hakham Zvi 167,R. Zvi Ashkenazi,c. 1750,?,?,"Festival, custom, diaspora",Second day of holidays for visitors to Eretz Yisrael,,http://www.hebrewbooks.org/pdfpager.aspx?req=829&pgnum=135,http://www.sefaria.org/Hakham_Tzvi.167,,445
Ri Migash 114,R. Yosef ibn Migash,c. 1120,?,"Lucena, Spain","Geonim, Talmud, reasoning, precedent",Talmudic mastery vs. mastery of responsa,,http://www.hebrewbooks.org/pdfpager.aspx?req=1148&pgnum=37,http://www.sefaria.org/Teshuvot_HaRi_Migash.114,Done,782
Ritva 122,R. Yom Tov ben Avraham Sevilli,c. 1300,?,"Seville, Spain","Divorce, agunah, gambling, sex",Compelling a Gambler to give a get,,n/a,http://www.sefaria.org/Teshuvot_HaRitva.122,Done,458
Rashbash 16,R. Shlomo b. Shimon Duran,c. 1450,?,Algiers,"Money, interest, inflation, depreciation","Inflation, depreciation, and interest",,http://www.hebrewbooks.org/pdfpager.aspx?req=1380&pgnum=37,http://www.sefaria.org/Teshuvot_HaRashbash.16,Done,502
Terumat Hadeshen (psakim u-khtavim) 2:210,R. Yisrael Isserlein,Mid 1400s,"Graetz (Slovenj-Gradec, Slovenia)","Maribor, Slovenia or Wiener-Neustadt, Austria","Evidence, punishment, hoshanot, synagogue, adjudication, injury",Circumstantial evidence,,http://www.hebrewbooks.org/pdfpager.aspx?req=1835&pgnum=192,"http://www.sefaria.org/Terumat_HaDeshen,_Part_II.210",Done,924
Mahari Weil 151 (also Terumat HaDeshen Psakim U-khtavim 126),R. Yaakov Weil,c. 1454,"Regensburg, Germany","Erfurt, Germany","Rabbinic authority, encroachment, community, competition",Rabbinic encroachment,,"http://www.sefaria.org/Terumat_HaDeshen,_Part_II.126.1?lang=he&layout=lines&sidebarLang=all","http://www.sefaria.org/Terumat_HaDeshen,_Part_II.126.1",Done,883
Mahari Weil 123,R. Yaakov Weil,c. 1470,"Regensburg, Germany","Munich, Germany","Repentance, tax fraud, punishment, community",Repentance of a Tax Cheater,,http://www.hebrewbooks.org/pdfpager.aspx?req=1746&st=&pgnum=84&hilite=,http://www.sefaria.org/Mahari_Weil.123,Done,646
Mahari Bruna 111,R. Yisrael b. Hayim of Brno,c. 1470,?,"Regensburg, Germany","Document discovery, adjudication, forgery",Document discovery,,http://www.hebrewbooks.org/pdfpager.aspx?req=1841&pgnum=82,http://www.sefaria.org/Mahari_Bruna.111,Done,401
Rosh 8:8,R. Asher b. Yechiel,c. 1300,?,"Toledo, Spain","Procreation, money, widow, divorce, bigamy, marriage",Married her for money she didn't have,,http://www.hebrewbooks.org/pdfpager.aspx?req=1961&st=&pgnum=38,http://www.sefaria.org/Teshuvot_HaRosh_part_VIII.8,Done,368
Terumat Hadeshen 5,R. Yisrael Isserlein,Mid 1400s,?,"Maribor, Slovenia or Wiener-Neustadt, Austria","Prayer, business, accident",Missed Minha because of a business meeting,,https://he.wikisource.org/wiki/%D7%AA%D7%A8%D7%95%D7%9E%D7%AA_%D7%94%D7%93%D7%A9%D7%9F/%D7%90/%D7%94,"http://www.sefaria.org/Terumat_HaDeshen,_Part_I.5",Done,602
Rambam 211,Rambam,c. 1200,"Cairo, Egypt","Cairo, Egypt","Sex, slave, conversion, marriage",Freeing a slave woman who the owner is sleeping with,,http://www.hebrewbooks.org/pdfpager.aspx?req=1731&st=&pgnum=96,http://www.sefaria.org/Pe'er_HaDor_Teshuvot_HaRambam.132,Done,556
,,,,,,,,,,,45623
