Index Title,Moed Katan
Moed Katan 2b:13,"Was ist der Grund R. A͑qibas? – Es wird gelehrt:<sup>14</sup><i class=""footnote"">Lev. 19,19.</i><i>Du sollst dein Feld nicht mit Gemischtem besäen</i>; ich weiß dies nur vom Säen, woher vom Stehenlassen? 
"
Moed Katan 2b:14,"Es heißt: <i>Gemischtes auf deinem Felde sollst du nicht [haben]</i><sup>15</sup><i class=""footnote"">Das Wort <span dir=""rtl"">כלאים</span> (allerdings zum vorangehenden Satze gehörend) steht neben dem W.e <span dir=""rtl"">שדך</span>, demnach besteht das Verbot nicht nur im Säen, sondern auch im Stehenlassen.</i>.– 
"
Moed Katan 2b:15,"Wir haben gelernt: Man darf das Rieselfeld am Halbfeste und im Siebentjahre bewässern. 
"
Moed Katan 2b:16,"Allerdings am Halbfeste, weil nur die Mühe zu berücksichtigen wäre, und des Schadens wegen haben es die Rabbanan erlaubt, wieso aber im Siebentjahre, ist denn sowohl nach demjenigen, der wegen Säens sagt, als auch nach demjenigen, der wegen Pflügens sagt, das Säen oder das Pflügen im Siebentjahre erlaubt!? 
"
Moed Katan 2b:17,"Abajje erwiderte: Im Siebentjahre in der Jetztzeit, und zwar nach Rabbi, denn es wird gelehrt: Rabbi sagte:<sup>16</sup><i class=""footnote"">Dt. 15,2.</i><i>Folgende Bewandtnis hat es mit dem Erlasse: erlassen &amp;c.</i>; die Schrift spricht von zwei Erlassungen, von der Erlassung des Bodens und von der Erlassung der Geldforderungen. 
"
Moed Katan 2b:18,"Zu einer Zeit, wo die Erlassung des Bodens gilt, gilt auch die Erlassung von Geldforderungen, und zur Zeit, wo die Erlassung des Bodens nicht gilt, gilt auch nicht die Erlassung von Geldforderungen. 
"
Moed Katan 2b:19,"Raba erwiderte: Du kannst auch sagen, nach den Rabbanan, denn der Allbarmherzige hat nur die Hauptarbeiten verboten, 
"
Moed Katan 3a:1,"die Abzweigungen<sup>17</sup><i class=""footnote"">Die zu den Hauptarbeiten gehören; cf. Sab. Fol. 73aff.</i>aber hat der Allbarmherzige nicht verboten. Es heißt nämlich:<sup>18</sup><i class=""footnote"">Lev. 25,4,5.</i><i>aber das siebente Jahr soll für das Land eine Zeit unbedingter Ruhe sein; du darfst dein Feld nicht besäen &amp;c</i>.;
"
Moed Katan 3a:2,"merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? 
"
Moed Katan 3a:3,"Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, wegen anderer aber ist man nicht schuldig. – 
"
Moed Katan 3a:4,"Etwa nicht, es wird ja gelehrt: <i>Du darfst dein Feld nicht besäen, und deinen Weinberg darfst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld</i><sup>19</sup><i class=""footnote"">Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.).</i><i>nicht, deinen Weinberg</i><sup>19</sup><i class=""footnote"">Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.).</i><i>nicht,</i> keinerlei Arbeit auf dem Felde, keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:5,"Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:6,"Woher, daß das Düngen, Entblättern<sup>20</sup><i class=""footnote"">Nach Raschi: die Steine von den Wurzeln entfernen.</i>, Beerden<sup>21</sup><i class=""footnote"">Nach anderen: den Staub entfernen.</i>und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:7,"Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>;
"
Moed Katan 3a:8,"das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg ist<sup>22</sup><i class=""footnote"">Nicht aber eine spezifische Feld- oder Weinbergarbeit.</i>. – 
"
Moed Katan 3a:9,"Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung. – 
"
Moed Katan 3a:10,"Ist denn das Umgraben im Siebentjahre erlaubt, es heißt ja:<sup>23</sup><i class=""footnote"">Ex. 11.</i><i>im siebenten Jahre sollst du es unbestellt und brach lassen</i>; unbestellt, nicht umgraben, und brach, nicht entsteinigen!? 
"
Moed Katan 3a:11,"R. U͑qaba b. Ḥama erwiderte: Es gibt zweierlei Umgrabungen; die eine, um die Bäume zu kräftigen, und die andere, um Ritzen zu füllen. Die Bäume zu kräftigen ist verboten, die Ritzen zu füllen ist erlaubt.
"
Moed Katan 3a:12,"Es wurde gelehrt: Über das Pflügen im Siebentjahre [streiten] R. Joḥanan und R. Elea͑zar; einer sagt, er erhalte Geißelhiebe, und einer sagt, er erhalte keine Geißelhiebe. Es ist anzunehmen, daß sie über [eine Lehre] des R. Abin im Namen R. Ilea͑s streiten, denn R. Abin sagte im Namen R. Ilea͑s: Überall, wo das Gebot generalisiert<sup>24</sup><i class=""footnote"">Wie beispielsweise in unserem Falle, wo das Gebot der allgemeinen Ruhe im Siebentjahre generell gehalten ist, die verbotenen Arbeiten aber speziell aufgezählt werden.</i>und das Verbot spezialisiert, ist [die Regel] vom Generellen<sup>25</sup><i class=""footnote"">Cf. Bd. 2 S. 612 Anm. 47.</i>und Speziellen nicht anzuwenden. 
"
Moed Katan 3a:13,"Nach dem er Geißelhiebe erhält, hält nichts von der Lehre R. Abins im Namen R. Ilea͑s, 
"
Moed Katan 3a:14,"und nach dem er keine Geißelhiebe erhält, hält wohl von der Lehre R. Abins. – 
"
Moed Katan 3a:15,"Nein, keiner hält von der Lehre R. Abins im Namen R. Ilea͑s; nach dem er Geißelhiebe erhält, stimmt dies ja, 
"
Moed Katan 3a:16,"und derjenige, nach dem er keine Geißelhiebe erhält, kann dir erwidern: merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, nicht aber ist man wegen anderer schuldig. – 
"
Moed Katan 3a:17,"Etwa nicht, es wird ja gelehrt: <i>Dein Feld sollst du nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld nicht</i><sup>19</sup><i class=""footnote"">Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.).</i>, <i>deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:18,"Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: dein <i>Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:19,"[Woher, daß das Düngen, Entblättern und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg.] 
"
Moed Katan 3a:20,"Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen</i>; 
"
Moed Katan 3a:21,"das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg ist!? – 
"
Moed Katan 3a:22,"Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung.
"
Moed Katan 3b:1,"Als R. Dimi kam, sagte er: [Sie<sup>26</sup><i class=""footnote"">In Palästina, woher RD. kam.</i>lehrten:] Man könnte glauben, man erhalte Geißelhiebe auch wegen des Zusatzes, so gibt es eine Lehre, daß man frei ist. Ich weiß aber nicht, was für eine Lehre und was für ein Zusatz das ist. 
"
Moed Katan 3b:2,"R. Elea͑zar erklärte: Das Pflügen<sup>27</sup><i class=""footnote"">Im Siebentjahre, wovon die Schrift nicht spricht; dies ist unter ‘Zusatz’ zu verstehen.</i>. Dies ist also wie folgt zu verstehen: Man könnte glauben, man erhalte Geißelhiebe wegen des Pflügens, [dessen Verbot] durch [die Regel] vom Generellen, Speziellen und Generellen gefolgert<sup>28</sup><i class=""footnote"">Ob. Col. a.</i>wird, so gibt es eine Lehre, 
"
Moed Katan 3b:3,"daß man frei ist, sonst wäre ja die besondere Aufzählung<sup>29</sup><i class=""footnote"">Der im Siebentjahre verbotenen Feldarbeiten.</i>überflüssig. 
"
Moed Katan 3b:4,"R. Joḥanan erklärte: Die Tage vor Neujahr, die die Weisen [zum Siebentjahre] hinzugefügt<sup>30</sup><i class=""footnote"">Diese sind unter ‘Zusatz’ zu verstehen.</i>haben. Dies ist also wie folgt zu erklären: Man könnte glauben, man erhalte Geißelhiebe wegen des Zusatzes vor dem Siebentjahre, wie zu folgern ist aus [den Worten :]<sup>31</sup><i class=""footnote"">Ex. 34,21; nach einer weiter folgenden Lehre wird dies auf das 6. Jahr des Septenniums bezogen.</i><i>in der Zeit des Pflügens und des Erntens sollst du ruhen</i>, so gibt es eine Lehre, daß man frei ist, wie wir dies weiter erklären.
"
Moed Katan 3b:5,"Welches Bewenden hat es mit den Tagen vor Neujahr? – Wir haben gelernt: Bis wie lange darf man das Baumfeld im Vorsiebentjahre pflügen? Die Schule Šammajs sagt, so lange es für die heurige Frucht nützlich ist; die Schule Hillels sagt, bis zum Wochenfeste. Die Worte dieser und die Worte jener sind einander nahe. 
"
Moed Katan 3b:6,"Bis wie lange darf man das Getreidefeld im Vorsiebentjahre pflügen? Bis die Feuchtigkeit [des Bodens] aufhört, so lange Leute noch pflügen, um Gurken und Kürbisse<sup>32</sup><i class=""footnote"">Die einen feuchten Boden brauchen.</i>zu pflanzen. 
"
Moed Katan 3b:7,"R. Šimo͑n sprach: Demnach hat die Tora die Frist jedem in die Hand gegeben!? Vielmehr das Getreidefeld bis zum Pesaḥfeste, das Baumfeld bis zum Wochenfeste. (Die Schule Hillels sagt, bis zum Pesaḥfeste.) 
"
Moed Katan 3b:8,"Hierzu sagte R. Šimo͑n b. Pazi im Namen des R. Jehošua͑ b. Levi im Namen Bar Qapparas: R. Gamliél und sein Gerichtskollegium stimmten über diese zwei Zeitbestimmungen ab und hoben sie auf. 
"
Moed Katan 3b:9,"R. Zera sprach zu R. Abahu, und wie manche sagen, Reš Laqiš zu R. Joḥanan: Wieso konnten R. Gamliél und sein Gerichtskollegium eine Anordnung der Schule Šammajs und der Schule Hillels aufheben, wir haben ja gelernt, ein Gerichtshof könne nicht die Worte eines anderen Gerichtshofes aufheben, es sei denn, daß er größer ist als jener an Weisheit und Zahl!? 
"
Moed Katan 3b:10,"Eine Weile war er bestürzt, dann erwiderte er: Vielleicht hatten sie bestimmt, daß jeder, der dies will, komme und es aufhebe. – 
"
Moed Katan 3b:11,"Ist dies denn [eine Anordnung] von ihnen, dies ist ja eine Moše am Sinaj überlieferte Halakha!? R. Asi sagte nämlich im Namen R. Joḥanans im Namen des R. Neḥunja aus dem Tale Beth Ḥivarthan: Die [Lehren von den] zehn Setzlingen<sup>33</sup><i class=""footnote"">Cf. Sb. 1,6.</i>, der Bachweide<sup>34</sup><i class=""footnote"">Cf. Zum Feststrauße; cf. Suk. Fol. 33b.</i>und dem Wassergießen<sup>35</sup><i class=""footnote"">Am Hüttenfeste; cf. Suk. Fol. 48a.</i>, sind Moše am Sinaj überlieferte Halakhoth. 
"
Moed Katan 3b:12,"R. Jiçḥaq erwiderte: Die Halakha erstreckt sich nur auf dreißig Tage vor Neujahr, und sie dehnten es bis zum Pesaḥfeste, beziehungsweise zum Wochenfeste aus, und bezüglich ihrer [Frist] bestimmten sie, daß jeder, der dies will, kommen und es aufheben könne. – 
"
Moed Katan 3b:13,"Sind es denn überlieferte Halakhoth, sie sind ja [Bestimmungen] der Schrift!? Wir haben nämlich gelernt :<sup>36</sup><i class=""footnote"">Ex. 34,21.</i><i>Beim Pflügen und beim Ernten sollst du ruhen</i>. R. A͑qiba sagt: Da dies vom Pflügen und Ernten im Siebentjahre nicht nötig ist, da es bereits heißt: <i>du darfst dein Feld nicht besäen und deinen Weinberg nicht beschneiden</i>, so beziehe man es auf das Pflügen im Vorsiebentjahre 
"
Moed Katan 4a:1,"für das Siebentjahr und auf die Ernte des Siebentjahres im Nachsiebentjahre. 
"
Moed Katan 4a:2,"R. Jišma͑él sagte: Wie das Pflügen Freigestelltes ist, so auch das Ernten, wenn es Freigestelltes ist, ausgenommen das Ernten der Erstlingsgarbe, das Gebot<sup>37</sup><i class=""footnote"">Dieser Schriftvers bezieht sich nicht auf das Siebentjahr, sondern auf den Šabbath.</i>ist. Vielmehr, erklärte 
"
Moed Katan 4a:3,"R. Naḥman b. Jiçḥaq, die überlieferte Halakha [lehrt], daß es bei jungen [Setzlingen] erlaubt ist, und die Schriftverse [deuten], daß es bei alten verboten ist. – 
"
Moed Katan 4a:4,"Wenn die überlieferte Halakha es bei jungen erlaubt, so ist es ja selbstverständlich, daß es bei alten verboten ist!? – 
"
Moed Katan 4a:5,"Vielmehr, die überlieferte Halakha ist nach R. Jišma͑él<sup>38</sup><i class=""footnote"">Der aus dem Schriftverse nicht bezüglich dieser, sondern bezüglich der Erstlingsgarbe folgert.</i>, und die Schriftverse sind nach R. A͑qiba nötig. 
"
Moed Katan 4a:6,"R. Joḥanan erwiderte: R. Gamliél und sein Gerichtskollegium stützen sich bei ihrer Aufhebung auf die Tora. – 
"
Moed Katan 4a:7,"Wieso? – Dies ist durch [das Wort] <i>Ruhe</i> zu folgern, das auch beim gewöhnlichen Šabbath gebraucht wird: wie bei diesem die Arbeit nur an diesem selbst verboten ist, vor- und nachher aber erlaubt, ebenso ist sie auch [beim Siebentjahre] nur an diesem selbst verboten, vor und nachher aber erlaubt. 
"
Moed Katan 4a:8,"R. Aši wandte ein: Wieso kann, nach dem dies eine überlieferte Halakha ist, die Wortanalogie eine überlieferte Halakha aufheben, und wieso kann, nach dem dies ein Verbot der Schrift ist, die Wortanalogie ein Verbot der Schrift aufheben!? 
"
Moed Katan 4a:9,"Vielmehr, erklärte R. Aši, R. Gamliél und sein Gerichtskollegium sind der Ansicht R. Jišma͑éls, welcher sagt, dies sei eine überlieferte Halakha, und die überlieferte Halakha hat gleich dem Wassergießen Geltung nur zur Zeit, wenn der Tempel besteht, nicht aber, wenn der Tempel nicht besteht.
"
Moed Katan 4a:10,"A<small>BER NICHT MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER.</small> Allerdings ist [die Bewässerung] mit Zugbrunnenwasser mühevoll, welche Mühe gibt es aber bei Regenwasser!? 
"
Moed Katan 4a:11,"R. Ilea͑ erwiderte im Namen R. Joḥanans: Beim Regenwasser ist das Zugbrunnenwasser berücksichtigt worden. R. Aši erwiderte: Aus dem Regenwasser selbst kann Zugbrunnenwasser<sup>39</sup><i class=""footnote"">Wenn durch das Abschöpfen das Niveau des Wassers sinkt, ist das Schöpfen ebenso mühevoll, wie beim Zugbrunnen.</i>werden. 
"
Moed Katan 4a:12,"Sie streiten über [eine Lehre] R. Zeras, denn R. Zera sagte im Namen des Rabba b. Jirmeja im Namen Šemuéls: Aus Teichen, die Zufluß aus Wassersammlungen<sup>40</sup><i class=""footnote"">Diese gleichen dem Regenwasser, indem sie ebenfalls versiegen können, und man könnte veranlaßt werden, Wasser von anderwärts zu holen.</i>haben, darf man am Halbfeste bewässern. 
"
Moed Katan 4a:13,"Einer hält von der Lehre R. Zeras, und einer hält nicht von der Lehre R. Zeras.
"
Moed Katan 4a:14,"Der Text. R. Zera sagte im Namen des Rabba b. Jirmeja, im Namen Šemuéls: Aus Teichen, die Zufluß aus Wassersammlungen haben, darf man am Halbfeste bewässern. 
"
Moed Katan 4a:15,"R. Jirmeja wandte gegen R. Zera ein: Nicht aber mit Regen- oder Zugbrunnenwasser!? Dieser erwiderte: Jirmeja, mein Sohn, die Wassersammlungen in Babylonien gleichen Gewässern, die nicht versiegen.
"
Moed Katan 4a:16,"Die Rabbanan lehrten: Aus Lachen und Pfützen, die am Vorabend des Festes mit Wasser gefüllt worden sind, darf man am Halbfeste nicht bewässern; wenn aber zwischen diesen ein Wasserarm sich hinzieht, so ist es erlaubt. 
"
Moed Katan 4a:17,"R. Papa sagte: Dies nur, wenn der größere Teil dieses Feldes aus diesem Wasserarm bewässert wird<sup>41</sup><i class=""footnote"">Dh. mit einem Male bewässert werden kann.</i>. R. Aši sagte: Auch wenn der größere Teil dieses Feldes [aus diesem] nicht bewässert wird, denn da es nach und nach doch bewässert wird, sagt man sich: wird es nicht in einem Tage bewässert, so wird es in zwei oder drei Tagen.
"
Moed Katan 4a:18,"Die Rabbanan lehrten: Wenn aus einem Rieselfelde Wasser in eine Lache abfließt, so darf man aus dieser ein anderes Rieselfeld bewässern. – Das Wasser versiegt ja!? 
"
Moed Katan 4a:19,"R. Jirmeja erwiderte: Einstweilen tropft es noch. Abajje sagte: Dies nur, solange die erste Quelle nicht versiegt ist.
"
