Niddah 2a:1	<sup>i</sup> <b>Š</b>AMMAJ <small>SAGT, ALLE</small> F<small>RAUEN HABEN</small>$fn1 <small>AN IHRER</small> Z<small>EIT GENUG</small>$fn2; H<small>ILLEL SAGT, SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>$fn3, <small>AUCH WENN VIELE</small> T<small>AGE</small> [<small>DAZWISCHEN LIEGEN</small>],
Niddah 2b:6	Sie hat es erst jetzt wahrgenommen. — Auch da ist es ja erst jetzt unvollständig geworden!? — 
Niddah 2b:7	Was soll dies: allerdings ist da anzunehmen, es sei nach und nach unvollständig geworden, aber ist etwa hierbei anzunehmen, sie habe nach und nach wahrgenommen? — Was ist dies für ein Einwand, vielleicht hat sie es beim Zunehmen$fn16wahrgenommen!? — 
Niddah 2b:8	Da sind zwei suspekthafte Momente$fn17vorhanden, hierbei aber ist nur ein suspekthaftes Moment vorhanden. —
Niddah 2b:9	Womit ist es hierbei anders als bei [der Lehre] vom Fasse!? Wir haben nämlich gelernt: Wenn jemand ein Faß [Wein] untersucht hat$fn18, um von diesem$fn19die Hebe zu entrichten, und fortgegangen ist, und er nachher sauer befunden$fn20wird, so besteht hinsichtlich dreier Tage$fn21kein Zweifel, hinsichtlich der übrigen aber ist es zweifelhaft. 
Niddah 2b:10	Dies ist also ein Einwand gegen Šammaj!? —
Niddah 2b:11	Da deshalb, weil man sage, man belasse das Unverzehntete bei seinem bisherigen Zustande und nehme an, es sei nicht zubereitet$fn22worden. — Im Gegenteil, belasse man doch den Wein bei seinem bisherigen Zustande und nehme an, er war nicht sauer!? — 
Niddah 2b:12	Er ist ja sauer vor dir. — Auch hierbei ist ja das Blut vor dir!? — Sie hat es erst jetzt wahrgenommen. — Auch da [ist ja anzunehmen], er sei erst jetzt sauer geworden!? —
Niddah 2b:13	Was soll dies: allerdings ist da anzunehmen, er sei nach und nach sauer geworden, aber ist etwa hierbei anzunehmen, sie habe nach und nach wahrgenommen!? — Was ist dies für ein Einwand, vielleicht hat sie es beim Zunehmen$fn16wahrgenommen!? — 
Niddah 2b:14	Da sind zwei suspekthafte Momente$fn23vorhanden, hierbei aber ist nur ein suspekthaftes Moment vorhanden. —
Niddah 2b:15	Ich will auf einen Widerspruch hinweisen zwischen [der Lehre] vom Fasse und [der Lehre] vom Tauchbade$fn24: weshalb da entschieden und dort zweifelhaft$fn25!?
Niddah 2b:16	R. Ḥanina aus Sura erwiderte: Der Autor der Lehre vom Fasse ist R. Šimo͑n, nach dem auch beim Tauchbade ein Zweifel besteht.
Niddah 2b:17	Wir haben nämlich gelernt: Wenn ein Tauchbad nachgemessen und unvollständig befunden wird, so ist alles, was durch dieses Reinheit erlangt hat, ob auf öffentlichem Gebiete oder auf Privatgebiet, rückwirkend unrein.
Niddah 2b:18	R. Šimo͑n sagt, auf öffentlichem Gebiete rein, auf Privatgebiet in der Schwebe.
Niddah 3a:1	Beide folgern es von der Ehebruchsverdächtigten$fn26. 
Niddah 3a:2	Die Rabbanan sind der Ansicht, hierbei sei es wie bei der Ehebruchsverdächtigten: bei der Ehebruchsverdächtigten ist es zweifelhaft, und wird als entschieden$fn27behandelt, ebenso ist es hierbei zweifelhaft, und als entschieden zu behandeln. — 
Niddah 3a:3	Wenn von der Ehebruchsverdächtigten, so sollte es auch der Ehebruchsverdächtigten gleichen: wie die Ehebruchsverdächtigte auf öffentlichem Gebiete rein$fn28ist, ebenso sollte es auch hierbei auf öffentlichem Gebiete rein sein!? — 
Niddah 3a:4	Was soll dies: da erfolgt es wegen des Sichverbergens, und auf öffentlichem Gebiete gibt es kein Sichverbergen, hierbei aber erfolgt es ja wegen des Fehlens$fn29, und es ist einerlei, ob es auf öffentlichem Gebiete fehlt oder auf Privatgebiet fehlt. 
Niddah 3a:5	Wolltest du einwenden, auf öffentlichem Gebiete gilt ja jede zweifelhafte Unreinheit als rein, so gleicht diese, da zwei suspekthafte Momente$fn17vorhanden sind, der entschiedenen Unreinheit. 
Niddah 3a:6	R. Šimo͑n ist ebenfalls der Ansicht, hierbei sei es wie bei der Ehebruchsverdächtigten: wie die Ehebruchsverdächtigte auf öffentlichem Gebiete rein ist, ebenso ist es auch hierbei auf öffentlichem Gebiete rein. — 
Niddah 3a:7	Wenn von der Ehebruchsverdächtigten, so sollte es doch, wie die Ehebruchsverdächtigte auf Privatgebiet als entschieden unrein gilt, auch hierbei auf Privatgebiet entschieden unrein sein!? — 
Niddah 3a:8	Was soll dies: da ist ja hierfür ein Anhalt vorhanden, denn er hat sie verwarnt, sie aber hat sich verborgen, welcher Anhalt aber ist hierfür$fn30hierbei vorhanden!? 
Niddah 3a:9	Wenn du aber willst, sage ich: folgendes ist der Grund R. Šimo͑ns. 
Niddah 3a:10	Er folgert vom Beginne der Unreinheit auf den Schluß der Unreinheit: wie es bei Beginn der Unreinheit, wenn es zweifelhaft ist, ob er [das Unreine] berührt hat oder nicht berührt hat, auf öffentlichem Gebiete rein ist, ebenso ist es bei Schluß der Unreinheit, wenn es zweifelhaft ist, ob er untergetaucht ist oder nicht untergetaucht ist, auf öffentlichem Gebiete rein. — 
Niddah 3a:11	Und die Rabbanan!? — Was soll dies: da befand sich die Person bis dahin im Zustande der Reinheit, und des Zweifels wegen versetze man sie nicht in Unreinheit, hierbei aber befand sich die Person im Zustande der Unreinheit, und des Zweifels wegen bringe man sie nicht aus der Unreinheit. — 
Niddah 3a:12	Womit ist es hierbei anders als bei [der Lehre] von der Durchgangsgasse. Wir haben nämlich gelernt: Das in einer Durchgangsgasse gefundene Kriechtier verunreinigt rückwirkend, es sei denn, er sagt, er habe die ganze Durchgangsgasse untersucht, und da war kein Kriechtier, oder bis zum Fegen$fn31. — 
Niddah 3a:13	Auch da ist es, da Kriechtiere in dieser sind und Kriechtiere von anderwärts kommen, ebenso, als wären zwei suspekthafte Momente vorhanden.
Niddah 3a:14	Wenn du aber willst, sage ich: folgendes ist der Grund Šammajs: weil die Frau es selber spürt$fn32. — Und Hillel!? — Sie kann beim Spüren geglaubt haben, es sei Urin. — 
Niddah 3a:15	Und Šammaj, es kann ja im Schlafe [erfolgt sein]!? — Wenn im Schlafe, so erwacht sie durch das Mißbehagen, wie dies beim Spüren von Urin der Fall ist. — 
Niddah 3a:16	Es gibt ja blöde$fn33!? — Bei einer Blöden pflichtet Šammaj bei. — Er lehrt ja: alle Frauen!? — Alle vernünftigen Frauen. — 
Niddah 3a:17	Sollte er doch lehren: Frauen!? — Dies schließt die Ansicht R. Elie͑zers aus. R. Elie͑zer sagte nämlich, nur vier Frauen$fn34und nicht mehr, daher lehrt er: alle Frauen. — 
Niddah 3a:18	Es gibt ja noch den Fall von den Blutflecken$fn35!? Es wäre also anzunehmen, daß die Lehre von den Blutflecken nicht die Ansicht Šammajs vertritt? Abajje erwiderte: Šammaj pflichtet beim Falle von den Blutflecken bei. — Aus welchem Grunde? — Mit [geschlachtetem] Geflügel befaßte sie sich nicht, auf dem Schlächtermarkte war sie nicht, woher sonst kommt dieses Blut$fn36?
Niddah 3a:19	Wenn du aber willst, sage ich: folgendes ist der Grund Šammajs: wäre vorher Blut vorhanden gewesen, so würde es hervorgekommen sein. — Und Hillel!? — Die Wände des Muttermundes hielten es zurück. — Und Šammaj!? — Die Wände des Muttermundes halten das Blut nicht zurück. — 
Niddah 3a:20	Wie ist es aber in dem Falle, wenn eine beim Geschlechtsverkehr Watte$fn37 verwendet!? Abajje erwiderte: Šammaj pflichtet in dem Falle bei, wenn sie beim Geschlechtsverkehr Watte verwendet. 
Niddah 3a:21	Raba erwiderte: Auch Watte schrumpft durch den Schweiß zusammen$fn38. Jedoch pflichtet Raba in dem Falle bei, wenn die Watte eingepreßt ist. — 
Niddah 3a:22	Welchen Unterschied gibt es zwischen diesen Erklärungen$fn39und jener Erklärung$fn40? — 
Niddah 3b:1	Ein Unterschied besteht zwischen ihnen hinsichtlich des Widerspruches [der Lehren] vom Fasse, vom Tauchbade und von der Durchgangsgasse$fn41; nach jener Erklärung ist ein Widerspruch vorhanden, nach diesen Erklärungen ist kein Widerspruch vorhanden. — 
Niddah 3b:2	Welchen Unterschied gibt es bei diesen Erklärungen zwischen der einen und der anderen? — Nach Abajje, wenn sie Watte verwendet, 
Niddah 3b:3	nach Raba, wenn sie eingepreßte Watte verwendet.
Niddah 3b:4	Es gibt eine Lehre übereinstimmend mit [der Erklärimg]: wäre Blut vorher vorhanden gewesen, so würde es hervorgekommen sein. Hillel sprach zu Šammaj: Pflichtest du etwa nicht bei, daß, wenn eine Ecke des Korbes für reine Dinge verwendet worden ist und ein Kriechtier in einer anderen Ecke gefunden wird, die bisher reinen Dinge [rückwirkend] unrein sind? Dieser erwiderte: Allerdings. —
Niddah 3b:5	Welchen Unterschied gibt es zwischen diesem und jenem Falle? — Hierbei ist ein Boden vorhanden, da aber ist kein Boden$fn42vorhanden.
Niddah 3b:6	Raba erklärte: Folgendes ist der Grund Šammajs: wegen Unterlassung$fn43 der Fortpflanzung. Übereinstimmend wird gelehrt: Šammaj sprach zu Hillel: Demnach hinderst du ja die Töchter Jisraels an der Fortpflanzung. — 
Niddah 3b:7	Gegen den, der diese Erklärung lehrt, [ist ja einzuwenden,] es gibt ja eine Lehre übereinstimmend mit der Erklärung: wäre Blut vorher vorhanden gewesen, so würde es hervorgekommen sein!? — Da hatte Hillel ihn mißverstanden. Er glaubte, der Grund Šammajs sei, das Blut würde, wenn es vorher vorhanden gewesen wäre, hervorgekommen sein, daher richtete er gegen ihn den Einwand vom Falle mit dem Korbe,
Niddah 3b:8	Šammaj aber erwiderte ihm: Mein Grund ist die Unterlassung der Fortpflanzung, und auch dein auf Mißverständnis beruhender Einwand vom Falle des Korbes [ist zurückzuweisen], denn hierbei ist ein Boden vorhanden, da aber ist kein Boden vorhanden. — 
Niddah 3b:9	Gegen den, der jene Erklärung lehrt, [ist ja einzuwenden,] es gibt ja eine Lehre übereinstimmend mit der Erklärung: wegen Unterlassung der Fortpflanzung!? —
Niddah 3b:10	Hillel sprach zu Šammaj wie folgt: Allerdings begründest du es: wäre Blut vorher vorhanden gewesen, so würde es hervorgekommen sein, aber auch nach deiner Ansicht ist eine Umzäunung$fn44zu machen, denn womit ist es hierbei anders, als bei der ganzen Tora, bei der wir eine Umzäunung machen. 
Niddah 3b:11	Dieser aber erwiderte ihm: Demnach hinderst du die Töchter Jisraéls an der Fortpflanzung. — Und Hillel!? — Er sagt es nicht hinsichtlich der Fortpflanzung, er sagt es nur hinsichtlich der Reinheit$fn45. —
Niddah 3b:12	Und Šammaj!? — Auch nicht hinsichtlich der Reinheit, denn wenn dem so ist, ist sein Herz beunruhigt, und er zieht sich zurück.
Niddah 3b:13	Es wurde gelehrt: Wenn eine Ecke eines Korbes für reine Dinge verwendet worden ist und ein Kriechtier in einer anderen Ecke gefunden wird, so sind, wie Ḥizqija sagt, die bisher reinen Dinge rein, und wie R. Joḥanan sagt, die bisher reinen Dinge unrein. — 
Niddah 3b:14	Aber Šammaj pflichtet ja Hillel$fn46bei, daß bei einem Korbe die bisher reinen Dinge unrein sind!? — Sammaj pflichtet Hillel nur in dem Falle bei, wenn der Korb einen Boden hat, Ḥizqija und R. Joḥanan aber streiten über einen Korb, der keinen Boden hat. —
Niddah 3b:15	Was ist, wenn er keinen Boden hat, der Grund R. Joḥanans? — Wenn er keinen Boden, aber einen Rand$fn47hat. — 
Niddah 3b:16	Es wird ja aber gelehrt, daß, wenn jemand zehn Eimer Wasser hintereinander geschöpft hat$fn48und in einem von ihnen ein Kriechtier gefunden wird, dieser unrein und alle anderen rein sind, und hierzu sagte Reš Laqiš im Namen R. Jannajs, dies gelte nur von dem Falle, wenn er [oben] keinen Rand hat, wenn er aber [oben] einen Rand$fn49hat, seien alle unrein.
Niddah 3b:17	Ḥizqija wäre also nicht der Ansicht R. Jannajs!? — Wasser gleitet$fn50, Früchte gleiten nicht$fn51. 
Niddah 3b:18	Oder auch: beim Wasser achtet man darauf$fn52nicht, bei Früchten achtet man darauf.
Niddah 3b:19	Wenn du willst, sage ich: Šammaj pflichtet Hillel bei nur bei einem Korbe, der nicht untersucht worden$fn53ist,
Niddah 4a:1	Ḥizqija und R. Joḥanan aber streiten über einen Korb, der untersucht worden ist; einer ist der Ansicht, man hat ihn ja untersucht, und einer ist der Ansicht, es kann beim Fortnehmen der Hand hereingekommen sein. — 
Niddah 4a:2	Er lehrt ja$fn54 hiervon ebenso, wie von der Frau, und bei der Frau ist ja eine Untersuchung erfolgt!? — Da bei ihr Blutung häufig ist, so gilt sie als nicht untersucht. 
Niddah 4a:3	Wenn du willst, sage ich: Šammaj pflichtet Hillel bei bei einem nicht zugedeckten Korbe, Ḥizqija und R. Joḥanan aber streiten über einen zugedeckten Korb. — Wieso ist [das Kriechtier] in einem zugedeckten hineingekommen? — Wenn die Benutzung mittelst des Deckels erfolgt. —
Niddah 4a:4	
Niddah 4a:5	Er lehrt ja hiervon ebenso, wie von der Frau, und der Fall von der Frau gleicht ja einem zugedeckten!? — Da bei ihr Blutung häufig ist, so gleicht er einem nicht zugedeckten. Wenn du aber willst, sage ich: Šammaj pflichtet Hillel bei bei einer Ecke eines Korbes, Ḥizqija und R. Joḥanan aber streiten über eine Ecke in einem Hause. — 
Niddah 4a:6	Es heißt ja Korb!? — Er meint es wie folgt: wenn man einen Korb, den man in der einen Ecke des Hauses für reine Dinge verwendet hat, nach einer anderen Ecke des Hauses bringt und in der anderen Ecke ein Kriechtier sich darin findet. Ḥizqija ist der Ansicht, wenn von einer Stelle nach einer anderen, belasse man es nicht im Zustande der Unreinheit, und R. Joḥanan ist der Ansicht, man belasse es wohl in diesem Zustande. — 
Niddah 4a:7	Belassen wir es denn in diesem Zustande, wir haben ja gelernt: Wenn jemand nachts einen berührt hat, von dem man nicht weiß, ob er lebend oder tot war, und morgens aufsteht und ihn tot findet, so ist er nach R. Meír rein 
Niddah 4a:8	und nach den Weisen unrein, denn bei allen Unreinheiten richte man sich nach der Zeit ihrer Auffindung.
Niddah 4a:9	Und hierzu wird gelehrt: Nach der Zeit ihrer Auffindung und nach dem Orte$fn55ihrer Auffindung!?
Niddah 4a:10	Wolltest du erwidern: nur hinsichtlich der Verbrennung$fn56, jedoch sei dies anzunehmen, so wird dies ja auch nicht angenommen, 
Niddah 4a:11	denn wir haben gelernt: Findet man eine rostige oder zerbrochene Nadel, so ist sie$fn57rein, weil man sich bei allen Unreinheiten nach der Zeit ihrer Auffindung richte. Weshalb denn, man sollte doch sagen, diese Nadel war bisher brauchbar und ist erst jetzt rostig geworden!? 
Niddah 4a:12	Ferner haben wir gelernt: Findet man ein verbranntes Kriechtier$fn58auf Oliven, desgleichen einen zerfetzten Lappen, so ist es rein, weil man sich bei allen Unreinheiten nach der Zeit ihrer Auffindung richte.
Niddah 4a:13	Wolltest du sagen, nach der Zeit ihrer Auffindung, sowohl erleichternd als auch erschwerend, jedoch nur an der Stelle ihrer Auffindung, wenn aber nicht an der Stelle ihrer Auffindung, sei daraufhin nicht zu verbrennen$fn56, jedoch [die Unreinheit] anzunehmen,
Niddah 4a:14	so haben wir ja gelernt: Wenn ein Laib sich auf einem Brette befunden hat und unter diesem ein Gehänge$fn59liegt, so ist er$fn60, obgleich er nicht ohne es zu berühren heruntergefallen sein kann, rein, denn ich nehme an, ein Reiner sei da hineingegangen und habe ihn heruntergenommen, 
Niddah 4a:15	es sei denn, jemand sagt, er wisse bestimmt, daß niemand da hineingegangen war. Hierzu sagte R. Elea͑zar, dies [zu lehren] sei wegen des Falles nötig, wenn es eine abschüssige Stelle$fn61ist. —
Niddah 4a:16	Da wird auch der Grund gelehrt: 
Niddah 4b:1	denn ich nehme an, ein Reiner sei da hineingegangen und habe ihn heruntergenommen. —
Niddah 4b:2	Sollte man auch hierbei annehmen, ein Rabe sei gekommen und habe es hingeworfen!? — Von einem Menschen, der es absichtlich tut, nehme man es an, von einem Raben aber, der es nicht absichtlich tut, nehme man es nicht an. — 
Niddah 4b:3	Merke, beim Falle vom Laibe ist es ja eine zweifelhafte Unreinheit auf Privatgebiet, und jede zweifelhafte Unreinheit auf Privatgebiet ist ja unrein!? — Es ist kein vernünftiges Wesen, das man befragen$fn62könnte, und was kein vernünftiges Wesen ist, das man befragen könnte, ist in einem Zweifel sowohl auf öffentlichem Gebiete als auch auf Privatgebiet rein.
Niddah 4b:4	Wenn du aber willst, sage ich: da handelt es sich um eine rabbanitische Unreinheit. Dies ist auch zu beweisen, denn er lehrt es von einem Gehänge, wie es auch heißt:$fn63 <i>eines verwehten Blattes</i>.$fn64
Niddah 4b:5	D<small>IE</small> W<small>EISEN SAGEN, WEDEH WIE DIESER NOCH WIE JENER &amp;C</small>. Die Rabbanan lehrten: Die Weisen sagen, weder wie dieser noch wie jener; nicht wie Šammaj sagt, der keine Umzäunung$fn44für seine Worte hat, und nicht wie Hillel sagt, der zu sehr übertreibt, 
Niddah 4b:6	vielmehr [ist sie unrein] einen Stundentag, falls dies weniger ist als [die Zeit] seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung,
Niddah 4b:7	oder seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung, falls dies weniger ist als ein Stundenlag. In welchem Falle ein Stundentag, falls dies weniger ist als [die Zeit] seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung? Wenn sie sich am Sonntag untersucht und nun gefunden hat, am Montag und am Dienstag sich nicht uniersucht hat, und am Mittwoch sich untersucht und unrein gefunden hat, so sage man nicht, sie sei unrein seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung, sondern nur einen Stundentag. 
Niddah 4b:8	In welchem Falle seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung, falls dies weniger ist als ein Stundentag? Wenn sie sich in der ersten Stunde untersucht und rein gefunden hat, in der zweiten und in der dritten Stunde sieh nicht untersucht hat, und in der vierten sich untersucht und unrein gefunden hat, so sage man nicht, sie sei einen Stundentag unrein, sondern nur seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung. — 
Niddah 4b:9	Selbstverständlich, wenn sie sich in der ersten Stunde untersucht und rein gefunden hat, kann man sie ja nicht als einen Stundentag unrein erklären!? — Da er lehrt: einen Stundentag, falls dies weniger ist als [die Zeit] seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung, so lehrt er auch: seit der [vorletzten] Untersuchung bis zur [letzten] Untersuchung, falls dies weniger ist als ein Stundentag.
Niddah 4b:10	Rabba sagte: Folgendes ist der Grund der Rabbanan: eine Frau spürt es selber. Abajje sprach zu ihm: Demnach sollte sie doch an ihrer Zeit genug haben$fn65!? Rabba aber wollte damit nur den Scharfsinn Abajjes prüfen. — Was ist demnach der Grund der Rabbanan? — 
Niddah 4b:11	Wie R. Jehuda im Namen Šemuéls sagte: Die Weisen haben für die Töchter Jisraéls angeordnet, sich morgens und abends zu untersuchen; morgens, um die reinen Dinge$fn66der [vorangehenden] Nacht als rein zu erklären, und abends, um die reinen Dinge des [vorangehenden] Tages als rein zu erklären. 
Niddah 4b:12	Diese aber hat, weil sie sich nicht untersucht hat, einen Halbtag verloren. — Wieso einen Halbtag$fn67!? — Einen Halbtag mehr$fn68. 
Niddah 4b:13	R. Papa sprach zu Raba: Zuweilen können ja in einem Stundentage drei Halbtage$fn69sein!? — Die Weisen haben eine gleichmäßige Frist festgesetzt, um beim Stundentage keinen Unterschied zu machen. 
Niddah 4b:14	Wenn du aber willst, sage ich: damit der Sünder keinen Gewinn erziele$fn70. —
Niddah 4b:15	Welchen Unterschied gibt es zwischen ihnen? — Ein Unterschied besteht zwischen ihnen in dem Falle, wenn sie sich zu untersuchen verhindert war$fn71.
Niddah 4b:16	J<small>EDE</small> F<small>RAU, DIE EINE REGELMÄSSIGE</small> P<small>ERIODE HAT &amp;C</small>. Es wäre anzunehmen, daß unsere Mišna die Ansicht R. Dosas vertritt und nicht die der Rabbanan. Es wird nämlich gelehrt: R. Elie͑zer sagt, vier Frauen haben an ihrer Zeit genug: eine Jungfrau$fn72, eine Schwangere, eine Säugende und eine Alte. R. Dosa sagt, jede Frau, die eine regelmäßige Periode hat, hat an ihrer Zeit genug. — 
Niddah 4b:17	Du kannst auch sagen, die der Rabbanan, denn die Rabbanan streiten gegen R. Dosa nur über den Fall, wenn außerhalb ihrer regelmäßigen Periode, wenn aber zur Zeit ihrer regelmäßigen Periode, pflichten sie ihm bei, unsere Mišna aber spricht von der Zeit ihrer regelmäßigen Periode, nach aller Ansicht. — 
Niddah 4b:18	Demnach ist R. Dosa der Ansicht, auch außerhalb ihrer regelmäßigen Periode, somit gilt das, was die Rabbanan gelehrt haben, der Blutfleck einer Frau, die eine regelmäßige Periode hat, sei rückwirkend$fn73unrein, obgleich sie, wenn sie außerhalb der Zeit ihrer regelmäßigen Periode wahrnimmt, nur einen Stundentag [rückwirkend] unrein ist, 
Niddah 4b:19	nach den Rabbanan und nicht nach R. Dosa. — Du kannst auch sagen, nach R. Dosa, denn R. Dosa streitet gegen die Rabbanan nur über die Zeit ihrer regelmäßigen Periode, wenn aber außerhalb der Zeit ihrer regelmäßigen Periode, pflichtet er ihnen bei. Unsere Mišna spricht von der Zeit ihrer regelmäßigen Periode, nach R. Dosa, 
Niddah 5a:1	und die Barajtha gilt nach aller Ansicht. — 
Niddah 5a:2	Sollte er doch entgegengesetzt erklären$fn74!? — 
Niddah 5a:3	Da man es erleichternd und erschwerend erklären kann, so erkläre man es erschwerend. — 
Niddah 5a:4	Er lehrt: obgleich sie, wenn sie außerhalb der Zeit ihrer regelmäßigen Periode wahrnimmt, nur einen Stundentag unrein ist. Nur bei einer Frau, die eine regelmäßige Periode hat, unterscheiden die Rabbanan zwischen Blutfleck und Wahrnehmung, 
Niddah 5a:5	bei anderen Frauen aber, von denen die Weisen gesagt haben, sie haben an ihrer Zeit genug, gleicht der Blutfleck der Wahrnehmung,
Niddah 5a:6	also nach R. Ḥanina b. Antigonos, denn R. Jehuda sagte im Namen Šemuéls im Namen des R. Ḥanina b. Antigonos: Bei allen Frauen ist der Blutfleck rückwirkend unrein, und bei den Frauen, von denen die Weisen gesagt haben, sie haben an ihrer Zeit genug, gleicht ihr Blutfleck ihrer Wahrnehmung$fn75, ausgenommen ein Kind, das das Alter der Wahrnehmung noch nicht erreicht hat, bei dem, auch wenn seine Bettücher voll Blut sind, nichts zu berücksichtigen ist. — 
Niddah 5a:7	Hält denn R. Ḥanina überhaupt von [der Unreinheit] des Blutfleckes$fn76, es wird ja gelehrt: Die Blutflecke aller Frauen sind unrein, und auch die Blutflecke der Frauen, von denen die Weisen gesagt haben, sie haben an ihrer Zeit genug, sind unrein. R. Ḥanina b. Antigonos sagt, bei den Frauen, von denen die Weisen gesagt haben, sie haben an ihrer Zeit genug, gibt es keine [Unreinheit] des Blutfleckes. Doch wohl überhaupt keine [Unreinheit] des Blutfleckes!? — Nein, keine [Unreinheit] des Blutfleckes rückwirkend, wohl aber von dann$fn77ab. — 
Niddah 5a:8	Demnach ist der erste Autor der Ansicht, auch rückwirkend!? — Allerdings, es ist R. Meír, der bei den Blutflecken erschwerend ist. Es wird nämlich gelehrt: Die Blutflecke aller Frauen sind rückwirkend unrein, und auch die Blutflecke von Frauen, von denen die Weisen gesagt haben, sie haben an ihrer Zeit genug, sind rückwirkend unrein — so R. Meír. 
