Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 2b:13	und wie ferner das Schuldopfer$fn21tauglich ist und nicht wohlgefällig$fn22macht, ebenso ist auch das freiwillige Speisopfer$fn21tauglich und macht nicht wohlgefällig$fn23. 
Menachot 2b:14	Rabba erwiderte: Das ist kein Widerspruch; eines gilt von der Verwechslung des Opfers und eines gilt von der Verwechslung des Eigentümers$fn16. 
Menachot 2b:15	Abajje sprach zu ihm: Merke, der Allbarmherzige hat es ja wegen der Absicht als untauglich erklärt, was durch Vergleichung$fn24gefolgert wird, welchen Unterschied gibt es nun zwischen der Verwechslung des Opfers und der Verwechslung des Eigentümers!? 
Menachot 2b:16	Dieser erwiderte: Das, was R. Šimo͑n sagt, die Zubereitung beweise es, hat einen Vernunftgrund, denn R. Šimo͑n pflegt den Grund der Schrift zu berücksichtigen. 
Menachot 2b:17	Ist die Absicht nicht kenntlich$fn25, so hat der Allbarmherzige es als untauglich$fn26erklärt, ist aber die Absicht kenntlich$fn27, so hat der Allbarmherzige es nicht als untauglich erklärt. – 
Menachot 2b:18	Demnach sollte das Geflügel-Brandopfer, dem man oberhalb$fn28auf den Namen eines Geflügel-Sündopfers den Kopf abgekniffen hat, wohlgefällig machen, 
Menachot 2b:19	da aus der Zubereitung zu ersehen ist, daß es ein Geflügel-Brandopfer ist, denn wäre es ein Sündopfer, so müßte es unterhalb$fn28hergerichtet$fn29werden!? – 
Menachot 2b:20	Kann denn das Geflügel-Sündopfer nicht auch oberhalb hergerichtet werden, der Meister sagte ja, wenn man den Kopf an irgend einer Stelle des Altars abgekniffen hat, sei es tauglich. – 
Menachot 2b:21	Das Geflügel-Brandopfer, dessen Blut man oberhalb auf den Namen eines Geflügel-Sündopfers ausgepreßt hat, sollte ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es ein Geflügel-Brandopfer ist, denn wenn es ein Sündopfer wäre, so müßte es unterhalb hergerichtet und [das Blut] gesprengt$fn30werden!? – 
Menachot 3a:1	Man könnte glauben, dies sei das Auspressen nach dem Sprengen$fn31, denn der Meister sagte, wenn man das Blut an irgend einer Stelle des Altars ausgepreßt hat, sei es tauglich. – 
Menachot 3a:2	Das Geflügel-Sündopfer, dessen Blut man unterhalb auf den Namen eines Geflügel-Brandopfers gesprengt hat, sollte ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es ein Geflügel-Sündopfer ist, denn wenn es ein Brandopfer wäre, so müßte es oberhalb hergerichtet und [das Blut] ausgepreßt$fn32werden!? – 
Menachot 3a:3	Dem$fn33ist auch so. – Er sagt ja aber: weil Speisopfer nicht den Schlachtopfern gleichen!? – Den Schlachtopfern, nicht aber$fn34den Geflügelopfern. – 
Menachot 3a:4	Hochheilige in der Nordseite$fn35auf den Namen von minderheiligen geschlachtete Opfer sollten ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es hochheilige sind, denn wären es minderheilige, so würde man sie in der Südseite hergerichtet haben!? – 
Menachot 3a:5	Der Allbarmherzige sagt ja nur, daß sie auch in der Südseite herzurichten sind, sagt er etwa, daß dies nur in der Südseite und nicht in der Nordseite zu erfolgen habe? Wir haben gelernt, daß sie an jeder Stelle im Tempelhofe geschlachtet werden dürfen. – 
Menachot 3a:6	Minderheilige in der Südseite auf den Namen von hochheiligen geschlachtete Opfer sollten ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es minderheilige sind, denn wären es hochheilige, so würde man sie in der Nordseite hergerichtet haben!? – 
Menachot 3a:7	Man kann glauben, es seien hochheilige, nur habe man übertreten und sie in der Südseite geschlachtet. – 
Menachot 3a:8	Demnach kann man ja, auch wenn dies$fn36bei einem Pfannenopfer auf den Namen eines Tiegelopfers erfolgt, glauben, dieser habe ein Tiegel-Speisopfer gelobt und bringe es in einer Pfanne dar; er hebe den Haufen richtig auf den Namen eines Tiegelopfers ab, nur übertrete er und bringe es in einer Pfanne$fn37dar!? – 
Menachot 3a:9	Hierbei gilt es, auch wenn man eines in einem Tiegel gelobt hat, sobald man es in einer Pfanne darbringt, als Pfannenopfer$fn38. 
Menachot 3a:10	Wir haben nämlich gelernt: Wenn jemand gesagt hat, er gelobe [ein Speisopfer] in einer Pfanne, und eines in einem Tiegel gebracht hat, in einem Tiegel, und eines in einer Pfanne gebracht hat, so ist, was er gebracht hat, gültig, sein Gelübde aber hat er nicht eingelöst. – 
Menachot 3a:11	Vielleicht aber sagte er, er werde dieses$fn39in einer Pfanne darbringen, und brachte es in einem Tiegel, und wir haben gelernt, wenn man dieses in einer Pfanne darzubringen [gelobt] und es in einem Tiegel dargebracht hat, oder in einem Tiegel darzubringen, und es in einer Pfanne dargebracht hat, sei es untauglich!? – 
Menachot 3a:12	Nach den Rabbanan ist dem auch so, nach R. Šimo͑n$fn40aber, welcher sagt, er habe$fn41sogar der Pflicht seines Gelübdes genügt, wonach die Bestimmung durch das Gefäß belanglos ist, ist es einerlei, ob man ‘dieses’ oder ‘ich nehme auf mich’$fn42gesagt hat. – 
Menachot 3a:13	Demnach sollte doch ein auf den Namen eines Sündopfers geschlachtetes Brandopfer wohlgefällig machen, da für dieses$fn43ein Männchen und für jenes ein Weibchen darzubringen$fn44ist!? – Es gibt den Ziegenbock eines Fürsten$fn45, der ein Männchen ist, somit ist es nicht ersichtlich. – 
Menachot 3a:14	Wie ist aber der Fall zu erklären, wenn man gesagt hat: auf den Namen eines Sündopfers für einen Privaten!? Und ferner sollte ja das auf den Namen eines Brandopfers geschlachtete Sündopfer eines Privaten wohlgefällig machen, da als Sündopfer ein Weibchen und als Brandopfer ein Männchen darzubringen ist!? – Es wird mit dem Fettschwanze verdeckt$fn46. – 
Menachot 3a:15	Allerdings, wenn man ein Lamm darbringt, wie ist es aber in dem Falle zu erklären, wenn man eine Ziege$fn47darbringt!? – Vielmehr, die Leute achten nicht darauf, zwischen Männchen und Weibchen zu unterscheiden. – 
Menachot 3a:16	Das auf den Namen eines Schuldopfers geschlachtete Pesaḥopfer sollte ja wohlgefällig machen, denn dieses ist einjährig und jenes ist zweijährig!? – Da es noch das Schuldopfer des Nazirs und das Schuldopfer des Aussätzigen$fn48gibt, so ist dies nicht stichhaltig. – 
Menachot 3a:17	Wie ist aber der Fall zu erklären, wenn man gesagt hat: auf den Namen eines Schuldopfers wegen Raubes, auf den Namen eines Schuldopfers wegen Veruntreuung!? Und ferner sollte ja das auf den Namen eines Pesaḥopfers geschlachtete Schuldopfer wegen Raubes oder wegen Veruntreuung wohlgefällig machen, denn das Pesaḥopfer ist einjährig und diese sind zweijährig!? – 
Menachot 3a:18	Vielmehr, die Leute achten nicht darauf, zwischen einjährig und zweijährig zu unterscheiden, denn manche einjährige sehen wie zweijährige und manche zweijährige sehen wie einjährige aus. – 
Menachot 3a:19	Der auf den Namen eines Schuldopfers$fn49geschlachtete Ziegenbock$fn50sollte ja wohlgefällig machen, denn das eine hat Wolle und das andere Haar$fn51!? – Man könnte glauben, es sei ein schwarzer Widder$fn52. – 
Menachot 3a:20	Das auf den Namen eines Pesaḥopfers oder Schuldopfers geschlachtete Kalb oder Rind$fn53sollte ja wohlgefällig machen, denn ein Kalb und ein Rind sind ja als Pesaḥopfer und als Schuldopfer nicht, geeignet!? – 
Menachot 3b:1	Dem ist auch so, und unter Schlachtopfer$fn54ist die Mehrheit der Schlachtopfer zu verstehen. 
Menachot 3b:2	Raba erklärte: Dies$fn55ist kein Widerspruch; eines$fn56gilt von dem Falle, wenn man den Haufen von einem Speisopfer auf den Namen eines Speisopfers abgehoben hat, und eines von dem Falle, wenn man ihn von einem Speisopfer auf den Namen eines Schlachtopfers abgehoben hat. 
Menachot 3b:3	Vom Speisopfer auf den Namen eines Speisopfers heißt es:$fn57<i>dies ist das Gesetz des Speisopfers</i>, ein Gesetz für alle Speisopfer, und vom Speisopfer auf den Namen eines Schlachtopfers heißt es: <i>dies ist das Gesetz des Speisopfers</i>, nicht aber des Schlachtopfers. – 
Menachot 3b:4	Der Autor begründet ja aber: weil die Zubereitung$fn58es beweist!? – Er meint es wie folgt: obgleich es bei dieser Absicht zu ersehen$fn59ist, und erst recht untauglich$fn60sein sollte, denn es heißt: <i>dies ist das Gesetz des Speisopfers</i>, ein Gesetz für alle Speisopfer. – 
Menachot 3b:5	Was heißt: anders aber verhält es sich bei den Schlachtopfern? – 
Menachot 3b:6	Obgleich das Schlachten bei allen gleichmäßig$fn61ist, denn es heißt: <i>dies ist das Gesetz des Speisopfers</i>, nicht aber des Schlachtopfers. – 
Menachot 3b:7	Demnach sollte doch das auf den Namen eines Sündopfers wegen Blut[genusses]$fn62, auf den Namen eines Sündopfers wegen Götzendienstes, auf den Namen eines Sündopfers eines Nazirs, oder auf den Namen eines Sündopfers eines Aussätzigen geschlachtete Sündopfer wegen Talg[genusses] tauglich sein und wohlgefällig machen, denn der Allbarmherzige sagt:$fn63<i>dies ist das Gesetz des Sündopfers</i>, ein Gesetz für alle Sündopfer!? – 
Menachot 3b:8	Nach R.Šimo͑n ist dem auch so, nach den Rabbanan aber sagte Raba, wenn man ein Sündopfer wegen Talg[genusses] auf den Namen eines Sündopfers wegen Blut[genusses], oder auf den Namen eines Sündopfers wegen Götzendienstes geschlachtet hat, sei es tauglich, und wenn auf den Namen eines Sündopfers eines Nazirs oder eines Sündopfers eines Aussätzigen, sei es untauglich, weil diese als Brandopfer$fn64gelten. 
Menachot 3b:9	R. Aḥa, der Sohn Rabas, lehrte, in allen diesen Fällen sei es untauglich, denn [es heißt:]$fn65<i>er schlachte es als Sündopfer</i>, auf den Namen dieses Sündopfers. 
Menachot 3b:10	R. Aši erklärte: Dies$fn55ist kein Widerspruch; eines gilt von dem Falle, wenn man den Haufen von einem Pfannenopfer$fn66auf den Namen eines Tiegels$fn67abhebt, und eines von dem Falle, wenn man ihn von einem Pfannenopfer auf den Namen eines Tiegelopfers abhebt. 
Menachot 3b:11	Wenn von einem Pfannenopfer auf den Namen eines Tiegels, so erstreckt sich die Absicht auf das Gefäß, und die Absicht hinsichtlich des Gefäßes macht es nicht untauglich, wenn aber von einem Pfannenopfer auf den Namen eines Tiegelopfers, so erstreckt sich die Absicht auf das Speisopfer, das durch die Absicht untauglich wird. – 
Menachot 3b:12	Der Autor begründet ja aber: weil die Zubereitung$fn68es beweist!? – Er meint es wie folsrt: obgleich es bei dieser Absicht zu ersehen$fn59ist, und erst recht untauglich sein$fn69sollte. – 
Menachot 3b:13	Was heißt: anders aber verhält es sich bei den Schlachtopfern? – Obgleich das Schlachten bei allen gleichmäßig ist, das Sprengen bei allen gleichmäßig ist und die [Blut]aufnahme bei allen gleichmäßig$fn61ist, denn die Absicht erstreckt sich auf das Schlachten, das dadurch untauglich wird. 
Menachot 3b:14	R. Aḥa, der Sohn Rabas, sprach zu R. Aši: Wieso sagt es$fn70R. Šimo͑n von dem Falle, wenn ein trockenes auf den Namen eines umgerührten$fn71!? 
Menachot 3b:15	Dieser erwiderte: Nur als Umgerührtes$fn72. – Demnach sollte auch beim Heilsopfer$fn73[die Absicht] sich nur auf die Heilsstiftung$fn74beziehen!? – 
Menachot 3b:16	Es ist ja nicht gleich; da wird das Schlachtopfer selbst Heilsopfer$fn75genannt, wie es heißt:$fn76<i>der das Blut des Heilsopfers heranbringt</i>,$fn77<i>der das Blut des Heilsopfers sprengt</i>, hierbei aber wird ja das Speisopfer nicht Umgerührtes genannt; es heißt:$fn78<i>jedes mit Öl umgerührte Speisopfer</i>, es wird also mit Öl umgerührtes [Speisopfer], nicht aber schlechthin Umgerührtes genannt. 
Menachot 3b:17	Die anderen erklären nicht wie Rabba, denn, wenn die [falsche] Absicht ersichtlich ist, hat der Allbarmherzige es erst recht als untauglich$fn79erklärt. 
Menachot 3b:18	Wie Raba erklären sie ebenfalls nicht, denn [die Auslegung der Worte] <i>dies ist das Gesetz</i>$fn80leuchtet ihnen nicht$fn81ein. 
Menachot 3b:19	Und wie R. Aši erklären sie ebenfalls nicht, wegen des Einwandes R. Aḥas, des Sohnes Rabas.
Menachot 3b:20	Das, was Rabba nach der einen Richtung und Raba nach der anderen Richtung entschieden$fn82war, war R. Hoša͑ja fraglich. R. Hoša͑ja fragte nämlich, und nach anderen fragte es R. Hoša͑ja den R. Asi: Welcher Ansicht ist R. Šimo͑n hinsichtlich [der Darbringung] eines Speisopfers auf den Namen eines Schlachtopfers: 
Menachot 4a:1	ist der Grund R. Šimo͑ns, die Absicht mache, wenn es ersiehtlich$fn83ist, nicht untauglich, und auch hierbei ist sie ersichtlich, 
Menachot 4a:2	oder aber ist der Grund R. Šimo͑ns, weil es heißt: <i>dies ist das Gesetz des Speisopfers</i>, nicht aber des Schlachtopfers? Dieser erwiderte: Sind wir denn auf den Grund der Ansicht R. Šimo͑ns gekommen? 
Menachot 4a:3	Nach Rabba erwiderte er ihm nicht, wegen des Einwandes Abajjes; 
Menachot 4a:4	nach Raba erwiderte er ihm ebenfalls nicht, wegen des Einwandes [aus dem Schriftverse:] <i>dies ist das Gesetz des Sündopfers</i>; 
Menachot 4a:5	und nach R. Aši erwiderte er ihm ebenfalls nicht, wegen des Einwandes R. Aḥas, des Sohnes Rabas.
Menachot 4a:6	A<small>USGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEIS-OPFER</small>. Einleuchtend ist dies$fn84vom Sünd-Speisopfer, denn der Allbarmherzige nennt es Sündopfer:$fn85<i>nicht soll er Öl darauf tun noch Weihrauch dazu geben, denn es ist ein Sündopfer &amp;c.</i>, woher dies aber vom Eifersuchts-Speisopfer? – 
Menachot 4a:7	Ein$fn86Jünger rezitierte vor R. Naḥman: Das Zurückbleibende vom Eifersuchts-Speisopfer$fn87fällt der Spendenkasse$fn88zu. 
Menachot 4a:8	Dieser sprach: Du hast recht;$fn89<i>die Erinnerung einer Sünde</i>, es heißt hierbei <i>Sünde</i>, wie beim Sündopfer:$fn90<i>er hat es euch gegeben, um die Sünde der Gemeinde fortzuschaffen</i>; wie nun das Zurückbleibende vom Sündopfer der Spendenkasse zufällt, ebenso fällt auch das Zurückbleibende vom Eifersuchts-Sündopfer der Spendenkasse zu; und wie ferner das Sündopfer auf einen anderen Namen untauglich ist, ebenso ist auch das Eifersuchts-Speis-opfer auf einen anderen Namen untauglich. – 
Menachot 4a:9	Demnach sollte auch das Schuldopfer auf einen anderen Namen untauglich sein, da dies aus [dem Worte] <i>Sünde</i>$fn91<i>zu</i> 
Menachot 4a:10	folgern ist, das auch beim Sündopfer gebraucht wird!? – Man vergleiche <i>Sünde</i> mit <i>Sünde</i>, nicht aber <i>seine Sünde</i> mit <i>Sünde</i>, – 
Menachot 4a:11	Welchen Unterschied gibt es denn hierbei, in der Schule R. Jišma͑éls lehrten sie ja:$fn92<i>wenn der Priester wiederkommt</i>, und:$fn93<i>der Priester soll hineingehen</i>, denn ‘kommen’ und ‘gehen’ sei dasselbe$fn94!?
Menachot 4a:12	Und ferner ist dies ja auch zu folgern aus [den Worten] <i>seine Sande</i>, die beim Zeugenauf rufe$fn95gebraucht wurden, denn es heißt:$fn96<i>wenn er nicht aussagt, so trage er seine Sünde</i>!? – 
Menachot 4a:13	Vielmehr, [der Schluß durch] Wortanalogie erstreckt sich nur auf das Zurückbleibende, daß es der Spendenkasse$fn97zuf alle. 
Menachot 4a:14	Wolltest du einwenden, es gebe keinen [Schluß durch] Wortanalogie zur Hälfte, so hat der Allbarmherzige beim Sündopfer bekundet:$fn98<i>er schlachte es als Sündopfer</i>, dieses allein ist nur auf seinen Namen tauglich, auf einen anderen Namen aber untauglich, alle anderen Opfer dagegen sind sowohl auf ihren Namen als auch auf einen anderen Namen tauglich. – 
Menachot 4a:15	Woher wissen wir nun, daß das Sünd-Speisopfer und das Eifersuchts-Speisopfer auf einen anderen Namen untauglich sind!? – 
Menachot 4a:16	Das Sündopfer ist es deshalb, weil es bei diesem <i>es</i>$fn99heißt, und auch bei diesen heißt es <i>es</i>$fn100. – 
Menachot 4a:17	Auch beim Schuldopfer heißt es ja <i>es</i>$fn101!? – Bei diesem steht es erst nach [der Vorschrift von] der Aufräucherung der Opferteile. 
Menachot 4a:18	Wie gelehrt wird: Beim Schuldopfer heißt es <i>es</i> erst nach [der Vorschrift von] der Aufräucherung der Opferteile, und dieses ist tauglich, auch wenn die Opferteile überhaupt nicht aufgeräuchert worden$fn102sind. – 
Menachot 4a:19	Worauf deutet demnach das <i>es</i>!? – Auf eine Lehre R. Honas, der im Namen Rabhs sagte: Wenn ein Schuldopfer zur Weide ausgeschieden$fn103worden ist und man es geschlachtet hat, so ist es als Brandopfer tauglich. 
Menachot 4a:20	Nur wenn es ausgeschieden worden$fn104ist, sonst aber nicht, denn es heißt <i>es</i>, es bleibe bei seinem Wesen.
Menachot 4a:21	Rabh sagte: Hat man vom Speisopfer der Schwingegarbe$fn105den Haufen auf einen anderen Namen abgehoben, so ist es untauglich, denn es sollte Erlaubnis erwirken$fn106und hat es nicht getan. Ebenso verhält es sich auch beim Schuldopfer des Nazirs$fn107
Menachot 4b:1	und dem Schuldopfer des Aussätzigen, sie sind untauglich, wenn man sie auf einen anderen Namen geschlachtet hat, weil sie geeignet$fn108machen sollten, und es nicht getan haben. – 
Menachot 4b:2	Wir haben gelernt: jedes Speisopfer, von dem der Haufe auf einen anderen Namen abgehoben worden ist, ist tauglich, nur wird es dem Eigentümer nicht als Pflichtopfer angerechnet, ausgenommen sind das Sünd-Speisopfer und das Eifersuchts-Speisopfer. Wenn dem nun so wäre, so sollte er auch lehren: ausgenommen ist das Speisopfer der Schwingegarbe!? – 
Menachot 4b:3	Er lehrt es nur von solchen, die von einem einzelnen gebracht werden, nicht aber von solchen, die von einer Gemeinde gebracht$fn109werden; 
Menachot 4b:4	er lehrt es nur von solchen, die selbständig gebracht werden, nicht aber von solchen, die neben dem Schlachtopfer gebracht$fn109werden; und er lehrt es nur von solchen, für die keine Zeit festgesetzt ist, nicht aber von solchen, für die eine Zeit festgesetzt$fn110ist.
Menachot 4b:5	Der Meister sagte: Ebenso verhält es sich auch beim Schuldopfer des Nazirs und dem Schuldopfer des Aussätzigen, sie sind untauglich, wenn man sie auf einen anderen Namen geschlachtet hat, weil sie geeignet machen sollten, und es nicht getan haben. 
Menachot 4b:6	Wir haben gelernt: jedes Opfer, das auf einen anderen Namen geschlachtet worden ist, ist tauglich, nur wird es dem Eigentümer nicht als Pflichtopfer angerechnet, ausgenommen sind das Pesaḥopfer und das Sündopfer. Wenn dem nun so wäre, so sollte er auch lehren: ausgenommen sind das Schuldopfer des Nazirs und das Schuldopfer des Aussätzigen, weil sie tauglich machen sollten, und es nicht getan haben!? – 
Menachot 4b:7	Da es noch das Schuldopfer wegen Raubes und das Schuldopfer wegen Veruntreuung gibt, die zur Sühne dargebracht werden, so ist es nicht stichhaltig$fn111. – 
Menachot 4b:8	Vom Schuldopfer des Nazirs und dem Schuldopfer des Aussätzigen gilt dies wohl deshalb, weil sie tauglich machen sollten, und es nicht getan haben, und auch jene sollten ja Sühne schaffen und haben es nicht$fn112getan!? 
Menachot 4b:9	R. Jirmeja erwiderte: Wir finden, daß die Schrift zwischen den sühneschaffenden und den tauglichmachenden [Opfern] unterschieden$fn113hat; unter den sühneschaffenden sind manche, die auch nach dem Tode$fn114dargebracht werden, unter den tauglichmachenden aber sind keine, die nach dem Tode dargebracht werden. Wir haben nämlich gelernt: Wenn eine Frau$fn115ihr Sündopfer gebracht hat und gestorben ist, so müssen die Erben ihr Rrandopfer bringen; wenn aber ihr Brandopfer und gestorben ist, so bringen die Erben ihr Sündopfer$fn116nicht. 
Menachot 4b:10	R. Jehuda, Sohn des R. Šimo͑n b. Pazi, wandte ein: Gibt es denn unter den tauglichmachenden keine, die nach dem Tode dargebracht werden, wir haben ja gelernt: Hat jemand Geld für seine Nazir-[opfer]$fn117reserviert$fn118, so darf man es nicht$fn119nutznießen, jedoch gibt es dabei keine Veruntreuung, weil alles$fn120für das Heilsopfer$fn121verwandt werden kann. 
Menachot 4b:11	Wenn er gestorben ist und das Geld unbezeichnet$fn118zurückbleibt, so fällt es der Spendenkasse zu; ist es bezeichnet, so ist der Betrag des Sündopfers$fn122in das Salzmeer zu werfen, weder darf man es nutznießen noch gibt es dabei$fn123eine Veruntreuung, 
Menachot 4b:12	für den Betrag des Brandopfers bringe man ein Brandopfer, und es gibt dabei eine Veruntreuung, und für den Betrag des Heilsopfers bringe man ein Heilsopfer; dieses darf nur einen Tag gegessen werden und benötigt nicht$fn124der Brote. Das Brandopfer und das Heilsopfer des Nazirs machen ihn ja geeignet, und sie werden nach dem Tode dargebracht!? 
Menachot 4b:13	R. Papa erwiderte: R. Jirmeja meint es wie folgt: wir finden nicht, daß unerläßlich geeignetmachende [Opfer]$fn125nach dem Tode dargebracht werden; das des Nazirs aber ist nicht unerläßlich geeignetmachend, 
Menachot 5a:1	denn der Meister sagte, wenn er sich bei einem von den dreien$fn126das Haar schneiden ließ, habe er sich seiner Pflicht entledigt. 
