		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
כלי יקר בראשית פרק ג	Kli Yakar Bereshit 3:23	Moriah, navel of the world	Foundation stone, altar	creation of man, Yaakov leaving the land		Adam, The Holy One, Yaakov	sacrifice	1	Foundation Stone	17	yes	no	yes	Kli Yakar on Genesis 3:23					
כלי יקר בראשית פרק יב	Kli Yakar Bereshit 12:1	Moriah 	Foundation stone	Avraham arrives in the land, binding of Yitzchak		Avraham, Yaakov	shechina	1	Foundation Stone	18	yes	no	yes	Kli Yakar on Genesis 12:1, 3					
כלי יקר בראשית פרק כב	Kli Yakar Bereshit 22:2	Moriah	Foundation stone, Holy Temple	building of the First Temple		Avraham, David, Shlomo, The Holy One		1	Foundation Stone	19	yes	no	yes	Kli Yakar on Genesis 22:2, 1					
חומת אנך מלכים א פרק ח	Chomat Anach Melachim I 8:13		Foundation stone, Holy Temple	before creation			mountain, prayer, shechina 	1	Foundation Stone	20	no	no	no	x	בנה בניתי בית זבול לך מכון לשבתך עולמים. אפשר במה שהקשו בירושלמי איך נבנה בית המקדש על הר והלא כל מקום שאתה מוצא הר וכו' בידוע שהיה שם ע"ז. ותירץ הרב מהר"א רוזאניס ז"ל במ"ש בזהר הקדוש דכשהשכינה שרתה במקום אחד אין רשות לסט"א לבא שם ואמרו רז"ל דעל אבן שתיה התפלל כביכול הקדוש ברוך הוא קודם (שיברא) [שנברא] העולם א"כ אין רשות לסט"א לבא שם עכ"ד וז"ש בנה בניתי בית זבול לך ואין לחוש דהיה הבנין על הר לומר דבכל הר יש ע"ז. לז"א מכון לשבתך עולמים דכל סט"א יודעת דשרתה שכינה קודם שנברא העולם שם ולכך הסט"א אין לה מקום לבא שם:	“I have surely built You a house to dwell in; a settled place for You to dwell in forever.” (Kings I 8:13) It is possible to say something from this regarding the difficulty presented by the Talmud Yerushalmi - how could the Temple have been built on a mountaintop, isn’t it said that everywhere you find a mountain…you know that there was idolatry there? Our teacher the Rabbi Avraham Rozenis (of blessed memory) answered this with what it says in the holy Zohar – that once the Divine Presence has come to rest in a place, the Other Side does not have the permission to come there. Further, our Sages taught that Gd prayed on the foundation stone (so to speak) before the world was created, and if this is so then the Other Side does not have the permission to go there. That which is written “I have surely built You a house to dwell in” should not be a cause for concern, that since the building was on a mountain on might say that on every mountaintop is found idolatry. This is why the verse continues “a settled place for You to dwell in forever” that all the forces of the Other Side know that the Divine Presence dwelt there before the world was created and therefore the Other Side has no place there.	x		Chomat Anach
בראשית פרק יד	Bereshit 14:18	Shalem		Avraham in the land		Malchitzedek	kohen	2	Shalem	1	yes	yes	yes	Genesis 14:18				NOTE: why do they not cite 1:26?	
בראשית רבה (וילנא) פרשת לך לך פרשה מג סימן ו	Bereshit Raba Lech Lecha 43:6	Shalem, Righteousness, Jerusalem		Avraham in the land			kohen	2	Shalem	2	yes	no	yes	Breishit Rabbah 43:6					
מדרש אגדה (בובר) בראשית פרשת לך לך פרק יד סימן יח	Midrash Aggadah (Buber) Bereshit Lech Lecha 14:18	Shalem, Zion		Avraham in the land		Shem, Malchitzedek, Avraham, The Holy One	kohen, blessing	2	Shalem	3	no	no	no	x	[יח] ומלכי צדק מלך שלם. זה היה שם בן נח שהיה מלך בירושלם, שנאמר ויהי בשלם סוכו (תהלים עו ג): הוציא לחם ויין. כל מקום שיש בו יין עשה רושם, ומה רושם עשה כאן, שאיבד את הכהונה, שנאמר על דברתי מלכי צדק (תהלים קי ד), ומפני מה על שהקדים ברכת אברהם לברכת הקדוש ברוך הוא, ואף שם ביקש מן הקדוש ברוך הוא שיתן הכהונה לאברהם אבינו, לפי שצפה ברוח הקודש שלא יצא ממנו זרע הגון לכהונה, ואברהם אבינו היה הגון ובעל תורה והיה ראוי לכהונה, וכן עשה הקדוש ברוך הוא ונתן לו הכהונה, ושם קיבל עליו ונתן לו לאלתר המעשר, שנאמר ויתן לו מעשה מכל (פסוק כ), שנאמר לאברהם והוא כהן לאל עליון, שכן בירכו אביו וישכן באהלי שם (בראשית ט כז), ולמה הלך מלכי צדק אצל אברהם כשחזר מן המלחמה, כדי שידע אברהם שאין בלב מלכי צדק על אברהם שום איבה על שהרג את עילם, שעילם היה בן שם, שנאמר (ובני) [בני] שם עילם וגו' (בראשית י כב):	‘And Malchitzedek king of Shalem’ This was Shem, the son of Noach, who was king in Jerusalem as it says, “His Tabernacle was in Shalem, and His dwelling place in Zion.” (Tehillim 76:3) ‘brought out bread and wine’ Everywhere that wine is mentioned it makes an impact, and what impact did it make here? That he lost the priesthood as it says, “…you are a priest forever because of the speech of Malchizedek.” (Tehillim 110:4) Why is this? Because he (Malchitzedek) blessed Avraham before he blessed the Holy One. Even Shem asked of the Holy One that He give the priesthood to our father Avraham because he saw through his holy spirit that no offspring fit for the priesthood would come from him, but Avraham was decent, a master of the Torah and fit for the priesthood. And so the Holy One did, and gave the priesthood to him. Shem accepted this and immediately gave him (Avraham) his tithes as it says, “…and he gave him a tithe from all.” (Bereshit 14:20) As it says – to Avraham and he was the priest of the Most High God, because thus his father had blessed him, “…and may He dwell in the tents of Shem…” (Bereshit 9:27) And why did Malchitzedek go out to Avraham when he came back from war? In order that Avraham know that Malchitzedek had no hatred in his heart against him for killing Elam, because Elam was Shem’s son as it says, “The sons of Shem were Elam…” (Bereshit 10:22)	x		Midrash Agadah
תרגום אונקלוס בראשית פרשת לך לך פרק יד פסוק יח	Onkelos Bereshit 14:18	Jerusalem		Avraham in the land		Malchitzedek		2	Shalem	4	yes	yes	yes	Onkelos Genesis 14:18					
רד"ק בראשית פרשת לך לך פרק יד פסוק יח	Radak Bereshit 14:18	Jerusalem, Shalem, Zion, Fairest of Branches, Joy of All the Earth, Mount Zion				Malchitzedek, Shem		2	Shalem	5	yes	yes	yes	Radak on Genesis 14:18					
רמב"ן בראשית פרשת לך לך פרק יד פסוק יח	Ramban Bereshit 14:18	Jerusalem, Shalem, Righteousness	center of the world	days of Yehoshua, Avraham in the land		Malchitzedek, Shem, The Holy One, Avraham	Heavenly Temple, kohen, shechina, kavana, blessing	2	Shalem	6	yes	no	yes	Ramban on Genesis 14:18				Recanati was taken out because of the extensive Zohar references	
תהלים פרק עו:ג	Tehillim 73:3	Shalem, Zion						2	Shalem	7	yes	yes	yes	Psalms 76:3					
תוספתא מסכת ברכות פרק א הלכה טו	Tosefta Berachot 1:15	Shalem, Zion, Yireh, Jerusalem		destruction of First Temple		Avraham	mountain, destruction, shechina	2	Shalem	8	yes	yes	yes	Tosefta Berakhot 1:16	כיוצא בו ויהי בשלם סוכו ומעונתו בציון וכי מה ראה הכת' להחזיר לה שם הראשון לפי שנ' כי על אפי ועל חמתי היתה לי העיר יכול אף עכשיו הרי היא באף ובחמה ת"ל ההר חמד אלהים לשבתו הרי היא בחמדה ובתאוה מלמד שכיפר לה חורבנה ומניין שאין השכינה חוזרת לתוכה עד שתעשה הר שנ' ויהי בשלם סוכו מצינו כשהוא שלם קרויה הר הא אין השכינה חוזרת לתוכה עד שתיעשה הר ואו' ויקרא אברהם את שם המקום ההוא ה' יראה אשר יאמר היום בהר ה' יראה ואו' זכור ה' לבני אדום את יום ירושלם אימתי כשיעקרו יסודותיה ממנה האמרים ערו ערו עד היסוד בה		Sefaria's Hebrew version slightly different from version here.		
מדרש תהלים (בובר) מזמור עו	Midrash Tehillim ch.76	Shalem, Zion, Jerusalem, Yireh	Sanctuary, Holy Temple, Yehudah	creation, destruction of the First Temple		Malchitzedek, Shem, Avraham, The Holy One, David	sukkah, prayer, kohen, destruction	2	Shalem	9	yes	no	yes	Midrash Tehillim 76:2					
ילקוט שמעוני תהלים רמז תתיג	Yalkut Shimoni Tehillim 813	Jerusalem	Sanctuary, Holy Temple	creation			sukkah, prayer, destruction	2	Shalem	10	yes	no	yes	Yalkut Shimoni on Nach 813:4					
אבן עזרא תהלים פרק עו פסוק ג	Ibn Ezra Tehillim 76:3	Jerusalem, Shalem					gate, peace	2	Shalem	11	yes	no	yes	Ibn Ezra on Psalms 76:3					
מלבי"ם תהלים פרק עו פסוק ג	Malbim Tehillim 76:3	Jerusalem	Sanctuary, Holy Temple				sukkah, Sanhedrin, kohen, king	2	Shalem	12	yes	no	yes	Malbim on Psalms 76:3, 1-2					
של"ה תולדות אדם בית ה' בית דוד	Shelah HaKodesh – Toldot Adam, Bet HaShem and Bet David	Yireh, Shalem, Zion, Jerusalem	Holy Temple, Palace	Avraham in the land, Third Temple		Avraham, Malchitzedek, Shem, The Holy One	sukkah, prayer, destruction	2	Shalem	13	no	no	no	x	רצ. ועל פי מה שכתבתי יתבאר מדרש רבה פרשת וירא (פנ"ו ס"י), וזה נוסחתו: אברהם קרא אותו 'יראה', שנאמר (בראשית כב, יד) 'ויקרא אברהם שם המקום ההוא ה' יראה'. - שֵׁם קרא אותו 'שלם', שנאמר (שם יד, יח) 'ומלכי צדק מלך שלם'. אמר הקדוש ברוך הוא, אם קורא אני אותו 'יראה' כשם שקרא אותו אברהם, - שֵׁם אדם צדיק מתרעם, ואם קורא אני אותו 'שלם', אברהם אדם צדיק מתרעם, אלא הריני קורא אותו 'ירושלים', כמו שקראו שניהם 'יראה' 'שלם' - ירושלים. רבי ברכיה בשם רבי חלבו אמר, עד שהוא שלם עשה לו הקדוש ברוך הוא סוכה והיה מתפלל בתוכה, שנאמר (תהלים עו, ג) 'ויהי בשלם סכו ומעונתו בציון', ומה היה אומר 'יהי רצון שאראה בבנין ביתי'. דבר אחר, מלמד שהראה לו הקדוש ברוך הוא בית המקדש, חרב ובנוי חרב ובנוי. בנוי, שנאמר (בראשית כב, יד) 'שם המקום ההוא ה' יראה', הרי בנוי, היך מה דאת אמר (דברים טז, טז) 'שלש פעמים בשנה יראה'. 'אשר יאמר היום בהר ה'', הרי חרב, שנאמר (איכה ה, יח) 'על הר ציון ששמם'. 'ה' יראה', בנוי ומשוכלל לעתיד לבא, כענין שנאמר (תהלים קב, יז) 'כי בנה ה' ציון נראה בכבודו', עד כאן. קשה בזה המאמר, למה מקדים את אברהם לשֵׁם שתי פעמים. אחד, במה שאמר 'אברהם קרא אותו יראה' כו' 'שֵׁם קרא אותו' כו'. שני, אחר כן במאמר הקדוש ברוך הוא 'אם קורא אני אותו יראה' כו', הקדים גם כן את אברהם לשֵׁם. אחר כן פעם שלישית, בקריאת שם ירושלים, שהוקדם 'ירו' על שם 'יראה', לשם 'שלם'. על דרך הפשט יש לתרץ זה, ויהיה מתורץ גם כן למה לא אמר הקדוש ברוך הוא בדבריו כשהזכיר את שֵׁם, כמו שאמר כשהזכיר את אברהם, [כשם שקרא אותו שֵׁם], הנה באברהם אמר 'אם אני קורא אותו יראה כמו שקרא אברהם', ואצל שֵׁם אמר 'אם אני קורא אותו שלם', ולא אמר 'כדרך שקרא אותו שֵׁם'. אלא הענין הוא, כי שֵׁם לא היה קורא לָעִיר שם מעולם, רק היתה העיר נקראת 'שלם' מעולם, ונקרא זה השם 'שלם' אף מפי שֵׁם, אבל לא שהמציא שֵׁם את השם הזה של 'שלם', אבל השם של 'יראה', (זה השם) המציא אברהם. על כן מאחר שאברהם יותר עצמי בְשָׂם שמות, יש לו קדימה. אמנם לפי זה צריך להעמיק בענין, מה כבוד יוצא מזה לשם, שנשאר השם של 'שלם' מאחר שהוא לא המציאו. ועל זה גם כן יש לומר, מאחר שנקרא 'מלכי צדק מלך שלם', אילו היה נשתנה השם של שלם, לא היינו יודעים מעלתו של - שֵׁם, כי מי היה יודע שהיה מולך על הארץ הקדושה 'ארץ אשר ה' אלהיך דרש אתה' (דברים יא, יב). כי היה נשכח בדורות אחרונים מהו 'שלם', אולי היו חושבים שארץ נכריה היתה נקראת כך. באמת כך הוא ביאור המאמר. אמנם יש להעמיק במאמר זה ולהרחיב הענין. עוד יש להקשות, כשעשה הקדוש ברוך הוא פשר דבר, וקרא שם 'ירושלם', למה לא קרא 'יראה שלם', כי אברהם קראו 'יראה' ולא 'ירו'. בדברי רבי ברכיה צריך ביאור ענין התפילה ומהותה. ובאמת מצינו כמה פעמים בתלמוד ובמדרשים כיוצא בזה. והרבה מפרשים צללו במים אדירים ולא העלו בידם כלום. ואנו אין לנו אלא דברי אלהים חיים, ולעשות סמוכות מדברי חכמי האמת, שהם אמת, ודבריהם 'סוד י"י ליראיו' (תהלים כה, יד). גם מהו זה שאמר 'חרב ובנוי חרב ובנוי'. ובאמת ראיתי ביש ספרים שמחקו תיבת 'חרב' הראשו(ן)[נה]. אמנם כשיש לישב הגירסא, מה טוב ומה נעים. עוד באתי ליתן טעם 'ירושלם' כתיב חסר, וקרינן 'ירושלים' מה הענין. רצא. הקדמה אמרו רבותינו ז"ל (ראה בבא בתרא עה ב) ירושלים שמה (בשם) [כשם] מלכה, [דכתיב] (יחזקאל מח, לה) (אל העיר אשר) ['ושם העיר מיום] ה' שמה', אל תקרי שָׁמָה אלא שְׁמָה. עוד אמרו רבותינו ז"ל (תענית ה א) 'בקרבך קדוש ולא אבוא [בעיר' (הושע יא, ט), לא אבוא] בירושלים של מעלה עד שאבא בירושלים של מטה. פשוטו הוא, ירושלים של מטה היא ירושלים אשר בכאן בארץ הקדושה, אשר אנחנו מצפים לבניינה במהרה בימינו, ומכוונת נגד שלמעלה (תנחומא, פקודי א), שהוא סוד הארץ העליונה, 'ארץ חפץ' (מלאכי ג, יב), היכל ה', אשר עליו נאמר (חבקוק ב, כ) 'וידו"ד בהיכל קדשו הס מפניו כל הארץ'. אמנם יש גבוה מעל גבוה, כי בפנימיות הסוד ביאת ירושלים של מטה הוא ידו"ד בהיכ"ל קדשו, חיבור ידו"ד אדנ"י, סוד זיווג שלמטה וא"ו בה"א. וירושלים שלמעלה חיבור חכמה ובינה, סוד זיווג שלמעלה יו"ד בה"א, כמבואר בזהר ובתקונים (תקון ס"ט דף ק"ז ע"א), והובא בפרדס (שער ח') פרק י"ג משער מהות והנהגה. וכן הורה אליהו ז"ל בזהר שיר השירים (זהר חדש, דף ס"ב ע"א), וזה לשונו: כמה דאצטריך אתערו דחדוה לאתערא מהאי עלמא לעילא, הכי אצטריך לאתערא בחדוה וחידו מעלמא דסיהרא לגבי עלמא עילאה, ובגין כך עלמין קיימין בדוגמא חדא, ואתערא לא סלקא אלא מתתא לעילא, עד כאן לשונו. הרי שצריך אל היחוד העליון, דהיינו אל הבינה התעוררות מהמלכות. ועיין בפרדס (שער ח') פרק כ' משער מהות וההנהגה, ופרק ששי מהשער הזה, מענין התעוררות זיווג תפארת ומלכות - ירושלים שלמטה, המעורר זיווג חכמה ובינה - ירושלים של מעלה. וירושלים הבנויה למטה, למטה ממש בעולם הזה, מכוונת נגד מדרגות שלמעלה.	The midrash in Bereshit Rabba (Vayera 56:10) can be explained in light of what I wrote, and this is the midrash: Avraham called it Yireh “will see”, as it says “And Abraham named that place, The Lord will see…” (Bereshit 22:14) Shem called it shalem “whole”, as it says “And Malchizedek the king of Shalem…” (Bereshit 14:18) The Holy One said, if I call it yireh like Avraham – the righteous Shem will be angered, and if I call it shalem, Avraham the righteous will be angered. Rather I will call it Yerushalayim, like both of them yireh-shalem – Yerushalayim. R’ Berachiya said in the name of R’ Chelbo, before it was whole (shalem) the Holy One made it his tabernacle (sukkah) and would pray in it, as it says “His Tabernacle was in Shalem, and His dwelling place in Zion.” (Tehillim 76:3) And what would He say? ‘Let it be that I see the building of my House.’ Another version: It teaches that the Holy One showed him (Avraham) the Holy Temple destroyed and built, destroyed and built. Built, as it says “And Abraham named that place, The Lord will see…” Like what it says “Three times in the year, every one of your males shall appear (yireh) before the Lord…” (Devarim 16:16) “…as it is said to this day: On the mountain, the Lord will be seen.” This is destroyed, as it says “For Mount Zion, which has become desolate…” (Eicha 5:18) ‘the Lord will be seen” means built and perfected in the time to come, as it says “For the Lord has built up Zion; He has appeared in His glory.” (Tehillim 102:17) There is a problem with this teaching – why does Avraham come before Shem? First, when it says ‘Avraham called it yireh’ ‘Shem called it shalem.’ Second, when the Holy One then says ‘if I call it yireh…’ He agains gives Avraham precedence over Shem. Then again a third time, when the city is called Yerushalayim, yeru comes before shalayim. One can answer this in a simple sense, and this will also answer why the Holy One didn’t use the same language when he mentioned Shem as when he mentioned Avraham. In regard to Avraham it says ‘if I call it yireh as Avraham did’ but in regard to Shem it says ‘if I call it shalem,’ and not ‘as Shem did. This is the explanation – Shem never gave the city any name, it had been Shalem forever and he called it that as well; Shem did not originate this name. But Avraham originated the name yireh, and therefore because Avraham was more independent through giving a name he has precedence. In truth, according to this, one must delve deeper and ask – what honor is there to Shem from such a situation, that the city should continue to be called shalem, seeing as he did not originate the name? One can answer this by saying the following. Since he was known as Malchitzedek, the king of Shalem, if the name of the city would change then we would not know of the greatness of Shem. Who would have known that he had ruled over the holy land, “a land the Lord, your God, looks after…” (Devarim 11:12) In the course of generations it  would be forgotten what Shalem was, perhaps people would think some foreign land was called so. In truth, this is the explanation of this teaching from our Sages. But indeed, one can delve deeper into it and broaden the exploration. One can pose another challenge. When Gd made a compromise between the two names and called the city Yerushalayim, why didn’t He call it Yirehshalem? After all, Avraham called it yireh, not yiru. And among the words of R’ Berachiya, one must explain the matter of this prayer and its nature. In truth, we find in many places in the Talmud and the midrashim similar statements. Many commentators dove into these mighty waters and brought up nothing. And we have nothing other than the words of the living Gd, and to build upon the words of those wise in truth, which are true. Their words are “The secret of the Lord is with those who fear Him…” (Tehillim 25:14) Also, what does it mean ‘destroyed and built, destroyed and built?’ And in truth I saw that there are versions which erase the first usage of the word ‘destroyed.’ But indeed, when one can settle the text we have in a satisfactory manner, how good and how sweet that is. I have also come to explain why Yerushalayim is always written lacking the final letter yud, but always read as if it were there. 291. Introduction. Our Sages said (see Baba Batra 75b) ‘Yerushalayim - her name is just like her king’s as it is written “…and the name of the city from that day will be ‘The Lord is There.’” (Ezekiel48:35) Don’t read it as there (shama), but rather her name (shma). Our Sages also said (Ta’anit 5a) “In your midst is the Holy One, and I will not enter a city” (Hoshea 11:9), I will not enter Jerusalem above until I enter Jerusalem below. The simple explanation is that Jerusalem below is the Jerusalem which is here in the holy land, whose rebuilding we expect speedily in our day. This Jerusalem is aligned with the one above (Tanchuma Pekudei 1), which is the secret of the supernal land, ‘the desirable land’ (Malachi 3:12), the palace of Gd of which it is said “But the Lord is in His Holy Temple. Silence the whole earth before Him.” (Habakuk 2:20) The secret of the lower union, vav with hey. Jerusalem above is the connection of wisdom (chochma) and understanding (binah), the secret of the upper union, yud with hey, as is explained in the Zohar and Tikkunim (Tikkun 69 107a), and brought in the Pardes (sha’ar 8) in chapter 13 from the gate of essence and behavior. So taught Eliyahu in Zohar Shir HaShirim (Zohar Chadash 62a). The upper union, which is understanding (binah) requires arousal from the malchut. See further in the Pardes (sha’ar 8), chapter 20 from the gate of essence and behavior, and in chapter six from that gate, regarding the arousal of the union between glory (tiferet) and kingship (malchut) which is Jerusalem below that arouses the union of wisdom and understanding – which is Jerusalem above. And Jerusalem which is built below, below in reality here in this world, is aligned with the levels above. Shem the son of Noach was the first to go and conquer and merit to Jerusalem, and the first in thought is last in action. That is, his name hints at the aspect of the Name, that when it is whole (shalem) the letters of vav hey are united just like the letters of yud hey in the manner of the secret of yihiyeh (yud hey yud hey) which I explained above (288-289.) This was the origin of thought in the secret of “let there be light” (Bereshit 1:3), which was hidden away and never actualized. Nevertheless, the first to seize hold of Jerusalem here below is called Shem, hinting to this, and he was ‘king of Shalem’ because Shalem (wholeness) is the secret of the whole name (shem shalem) – Jerusalem which is above and beyond, the secret of yihiyeh. Afterwards, the land of Israel was given in promise to Avraham our father, “And the Lord said to Abram, "Go forth from your land and from your birthplace and from your father's house, to the land that I will show you.” (Bereshit 12:1) And it is know what the Sages taught, “These are the generations of the heavens and the earth when they were created (b’hibaram)…” (Bereshit 2:4)	x		Shelah HaKodesh
בראשית פרק כב	Bereshit 22:2	Moriah		binding of Yitzchak		Yitzchak	mountain	3	Moriah	1	yes	yes	yes	Genesis 22:2					
