Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 3","The narrative unfolds through a series of contrasts: good and evil, life and death, heaven and earth, give and take, knowledge and ignorance, humans and animals, hiding and revealing. Some of these concepts appear literally as key words in the text. The characters also appear through contrasts: man as God’s image and as dust, woman as helper and hinderer, the snake as shrewd and (after the curse) lowly."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 4","A further focus is provided by the echoing of the word “eat,” whose connotation changes from sustenance/bounty (2:9, 16) to prohibition (2:17) to misunderstanding (3:1–5) and disobedience (3:6, 11–13), and finally to curse (3:14, 17, 19). Such a flexible use of words sets up a rhythmic drama which, as much of Genesis, bears resemblance to poetry rather than to prose."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 5","Part I of the story (Chap. 2) sets the stage in the garden, focusing on <i>Adam</i>, “Everyman” (see <i>Cambridge Bible Commentary</i>, Gen. I–II). God is here regularly called “Y<small>HWH</small>, God,” a rare designation which may suggest a preexpulsion view of the wholeness of God as well as of humankind. Man continues his status as “God’s image” (1:26–27), imitating the divine act of giving names (1:5, 8, 10). He is also nevertheless a creature of the dust, both at the beginning (2:7) and end (3:19) of the story."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 6","The bridge to Part II (Chap. 3) is deftly accomplished by linking two identical­sounding words in the Hebrew, <i>arum</i> (here, “nude” and “shrewd”). The choice of the snake as the third character is typically ancient Near Eastern (it is so used in other stories about death and immortality, such as the <i>Gilgamesh Epic</i> from Mesopotamia). Some interpreters have seen sexual overtones in this choice as well. Yet a plain reading of the text need not overemphasize the snake, who disappears as a personality once the fatal fruit has been eaten."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 7","The ending of the story has also raised questions of interpretation. Buber was among those who see in the act of expulsion from the garden a deed of mercy rather than one of fear or jealousy. Certainly a creature whose first act upon acquiring new “knowledge” is to cover himself up poses no threat to the Creator. The text, like its late successor, the book of Job, may be suggesting that in the human sphere, unlike the divine, knowledge and mortality are inextricably linked. This is a tragic realization, but it is also the world as human beings know it."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 8","Although the specifics of this story are never again referred to in the Hebrew Bible, and are certainly not crucial for the rest of Genesis, one general theme <i>is</i> central to the Bible’s worldview. This is that rebellion against or disobedience toward God and his laws results in banishment/estrangement and, literally or figuratively, death. Thus from the beginning the element of <i>choice</i>, so much stressed by the Prophets later on, is seen as the major element in human existence."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 9","All this said, it should be recognized that the garden story, like many biblical texts, has been the subject of endless interpretation. One line of thought takes the psychological point of view. The story resembles a vision of childhood and of the transition to the contradictions and pain of adolescence and adulthood. In every way—moral, sexual, and intellectual—Adam and Havva are like children, and their actions after partaking of the fruit seem like the actions of those who are unable to cope with newfound powers. The resolution of the story, banishment from the garden, suggests the tragic realization that human beings must make their way through the world with the knowledge of death and with great physical difficulty. At the same time the archetypal man and woman do not make the journey alone. They are provided with protection (clothing), given to them by the same God who punished them for their disobedience. We thus symbolically enter adulthood with the realization that being turned out of Paradise does not mean eternal rejection or hopelessness."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The First Brothers 1",Genesis 4:1-16
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The First Brothers 2","With the story of Kayin and Hevel the narrative points both forward and backward. For the first time the major Genesis themes of struggle and sibling hatred, and discontinuity between the generations, make their appearance. In addition the concept of <i>sin</i> is introduced (Rosenzweig), having not appeared by name previously."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The First Brothers 3","One may observe significant links to the garden story. Once again human beings are given a choice; once again disregarding the warning leads to death and estrangement from God; and once again the primal bond between humanity and the soil is ruptured. Chapter 3 is directly recalled by the use of specific wording: God echoes the curse he had put on the woman (3:16) in his warning to Kayin (4:7), and “Where is Hevel your brother?” (4:9) brings to mind “Where are you?” (3:9), which had been addressed to Kayin’s father."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The First Brothers 4","The text is punctuated by the use of “brother,” a meaningful seven times, as well as by changing connotations of the word “face” (Kayin, unable to bring about a lifting of his own face, becomes estranged from God’s). Repetition also helps to convey the harshness of Kayin’s punishment: he is exiled to the “land of Nod/Wandering” (v.16), for which we have been prepared by the “wavering and wandering” of verses 12 and 14."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The First Brothers 5","Although this story may well have originated as a tale of enmity between two ways of life (farmer and shepherd), or in another context, it has obviously been transformed into something far more disturbing and universal."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Line of Kayin 1",Genesis 4:17-26
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Line of Kayin 2","From whole stories the text turns to several brief accounts, some of which are clearly fragments. The first of these deals with origins: of cities, of certain crafts, and of worship. The former two are associated (perhaps negatively) with Kayin s line. The only personality in these texts about whom we learn anything is Lemekh—and his “saying” (vv.23–24) seems hopelessly obscure. Some interpreters have understood it as a challenge to God, and thus believe that it has been included here as an example of the wickedness typical of the generations that preceded the Flood."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Line of Kayin 3",The names of Adam and Havva’s son and grandson (vv.25–26) are sad reminders of Hevel’s death—a personal touch in an otherwise prosaic section of narrative.
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, From Adam to Noah 1",Genesis 5:1-32
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, From Adam to Noah 2","The extraordinary numbers in this section are significant, not so much for their length as for their message. Cassuto has tried to fit them into a defined scheme, showing that the purpose, and achieved effect, of our text is to convey that human history follows a meaningful pattern. Pride of place on the list is occupied by the seventh member, Hanokh, who is portrayed as the first man of God. He serves as a preparation for Noah, who also “walks in accord with God” (6:9). Hanokh’s life span, 365 years, exemplifies the number scheme of Genesis: as an expression of numerical perfection (the number of days in a year), it symbolizes moral perfection."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Antiquity and the Preparation for the Flood 1",Genesis 6:1-8
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Antiquity and the Preparation for the Flood 2","The final pre-Flood section of the text includes a theme common to other ancient tales: the biological mixing of gods and men in dim antiquity. Perhaps this fragment, which initially seems difficult to reconcile with biblical ideas about God, has been retained here to round out a picture familiar to ancient readers, and to recall the early closeness of the divine and the human which, according to many cultures, later dissolved. It is also possible that the episode serves as another example of a world that has become disordered, thus providing further justification for a divinely ordered destruction."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Antiquity and the Preparation for the Flood 3","The stage is set for the Flood by means of a powerful sound reference. In 5:29 Noah was named, ostensibly to comfort his elders’ “sorrow” over human “pains” in tilling the soil. Here (6:6), however, the meaning of the name has been ironically reversed. The one who was supposed to bring comfort only heralds God’s own being “sorry” and “pained” (vv. 6–7). A similar ironic wordplay, where the audience knows what the name-bestower does not, occurs in Ex. 2:3; curiously, the hero of that passage, the baby Moses, is also connected with an “ark”—the term for the little basket in which he is set adrift."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 1",Genesis 6:9-8:19
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 2","The biblical account of the Flood is replete with echoes and allusions which point to three clear motifs: God’s justice, the totality of punishment, and a new beginning patterned after Gen. I."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 3","The first of these is brought out in 6:11–13: the repetition of the word “ruin” indicates not only the sorry state of society but also the principle of just retaliation, for God is to “bring ruin” upon the earth (v.13)."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 4","The totality of the disaster is conveyed by the repeated use of the word “all” in 7:21–23, as well as by the completeness of the list of those destroyed (7:21–23). Humans, as befits their place in the order of creation, appear last, but actually it is they who drag virtually all of creation down with them. This reflects a deeply held biblical idea that human action directly affects the orderly and otherwise neutral functioning of nature."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 5","There are striking parallels between the Flood narrative and the creation account of Chap. 1. Just as the animals were created, each “according to its kind,” their rescue, both in boarding and leaving the Ark, is similarly worded. “Ocean” and the great “rushing-wind” which existed at creation (1:2) return here, the former to signify a lapse into chaos and the latter, the restoration of order and peace (7:11, 8:1). Finally, after the Flood (9:1–3) Noah is blessed in wording that recalls Adam’s blessing in 1:28–30. The world thus begins anew, with the implication of some hope for the future."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, The Deluge 6","Repetition emphasizes other aspects of the story’s message. In general the word-stem “live” occurs constantly throughout the text, highlighting the rescue and renewal of life as well as its destruction. Noah’s obedience, another major theme, is indicated by variations on the phrase “according to all that God commanded him, so he did” (6:22). Of rhythmical, almost ritual-sounding import is the phrase “you and your sons and your wife and your sons’ wives.”"
