II Kings 1:1,"<b>rebelled:</b> See note to I Kings 12:19, above. Moav’s rebellion will resurface in Chap. 3."
II Kings 4:8,"<b>Shunem:</b> Below the slopes of the Hill of Moreh, about fifteen miles from Mount Carmel. <b>prominent:</b> Heb. <i>gadol</i>, usually rendered here as “great.”"
II Kings 4:9,[]
II Kings 4:10,[]
II Kings 4:11,[]
II Kings 4:12,"<b>Gehazi:</b> Pronounced <i>gay-ha-ZEE</i>. The meaning of the name is not certain, but Gray links it to an Arabic verb that means “to be greedy,” appropriate here."
II Kings 4:13,"<b>trouble:</b> Lit., “trembling.” The concept is of “solicitous deference” (Gray 1970)."
II Kings 4:14,[]
II Kings 4:15,[]
II Kings 4:16,"<b>when time revives:</b> Next year. The phrase recalls the Sara story in Gen. 18; there, too, the woman scoffs at the idea that she will have a son, and there, too, the child comes close to death at one point. <b>you:</b> In the text as written (the <i>ketiv</i>), this common word is spelled out as <i>atti</i> (instead of the usual <i>atta</i>), suggesting a northern origin of this tale."
II Kings 4:17,[]
II Kings 4:18,[]
II Kings 4:19,[]
II Kings 4:20,[]
II Kings 4:21,[]
II Kings 4:22,[]
II Kings 4:23,"<b>New-Moon:</b> In biblical Israel, the New Moon was a significant religious occasion, involving a sacred meal with family and a visit to a holy man (such as I Sam. 20:6) and/or a shrine (I Sam. 1)."
II Kings 4:24,[]
II Kings 4:25,<b>Mount Carmel:</b> The scene of Eliyyahu’s great victory over the prophets of Baal in I Kings 18.
II Kings 4:26,[]
II Kings 4:27,"<b>feelings:</b> Frequently (and wrongly) translated as “soul,” Heb. <i>nefesh</i> can mean “being,” “essence,” or “life” (as Cohn 2000 renders it here), or even “throat,” that is, “life-breath.”"
II Kings 4:28,<b>set me [too much] at ease:</b> Or “give me false hopes” (JPS: “mislead me”).
II Kings 4:29,"<b>put my rod on the face of the lad:</b> We might expect a miracle from a holy man’s staff, but none will be forthcoming until Elisha shows up and bodily revives the child."
II Kings 4:30,[]
II Kings 4:31,[]
II Kings 4:32,[]
II Kings 4:33,[]
II Kings 4:34,<b>he put his mouth on his mouth … :</b> Recalling exactly Eliyyahu’s “measuring himself out” over a similarly dead boy in I Kings 17:21 (note also the parallel in “no sound … no attention” in v.31 and the expanded phrase in I Kings 18:29).
II Kings 4:35,"<b>bent over:</b> Long, quoting Jonas Greenfield, suggests “panted/breathed heavily over.” <b>sneezed:</b> A clear sign of life, with the “magical” number seven attached for good measure. This is the only sneeze mentioned in the Hebrew Bible."
II Kings 4:36,[]
II Kings 4:37,[]
II Kings 4:38,[]
II Kings 4:39,"<b>field gourds:</b> Cogan/Tadmor identify these as “bitter apples,” consumption of which could be fatal. The “field” part can be understood as “wild” (Gray). <b>[enough] to fill his garment:</b> Cogan/Tadmor: “a skirt-full.”"
II Kings 4:40,<b>poured out … cried out:</b> Heb. <i>va-yitzku … tzaaku</i>.
II Kings 4:41,"<b>meal:</b> Regular, as opposed to fine, flour. <b>evil:</b> Or “harmful.”"
II Kings 4:42,"<b>Baal Shalisha:</b> Probably located in the hill-country of Effrayim, in Binyaminite territory. <b>ears of fresh grain:</b> Others, “fresh grain in his bag,” but a Ugaritic cognate supports the present rendering (Cogan/Tadmor)."
II Kings 4:43,"<b>How can I give this:</b> How will it last? More elegant here and in the next verse would be “place,” but the Hebrew root usually rendered “give” forms a refrain here."
II Kings 5:1,"<b>Naaman:</b> Pronounced <i>nah-ah-MAHN</i>. From a common Semitic root meaning “pleasant.” <b>lifted up of face:</b> Respected, “high in his favor” (JPS). <b>mighty-one of valor:</b> Omitted in LXX. <b><i>tzaraat:</i></b> For centuries translated as “leprosy,” the dreaded Hansen’s disease, but modern scholars understand it as some sort of unsightly but not contagious or serious skin rash. The strong negativity it invokes (see Lev. 13–14) may be due to the common visual deterioration and hence the suggestion of death, which was the great ritual pollutant in the Bible."
II Kings 5:2,[]
II Kings 5:3,"<b>She said … he would cure him:</b> A young girl knows what the great general does not. <b>cure him:</b> Lit., “gather him back” into society."
II Kings 5:4,[]
II Kings 5:5,[]
II Kings 5:6,"<b>[which] said:</b> Lit., “saying.”"
II Kings 5:7,"<b>this one:</b> With the force of “this guy” (Cohn 2000). <b>pretext:</b> See, similarly, Judg. 14:4."
II Kings 5:8,<b>know:</b> Or “acknowledge.”
II Kings 5:9,[]
II Kings 5:10,"<b>purified:</b> And thus able to return to the company of society. For priestly rules regarding <i>tzaraat,</i> see Lev. 13–14."
II Kings 5:11,[]
II Kings 5:12,[]
II Kings 5:13,"<b>If:</b> I follow ancient versions here in eliminating MT’s “Father, …” which seems out of place in addressing a general. Some, however, understand it as “Sir.” <b>hard:</b> Lit., “great, large.”"
II Kings 5:14,[]
II Kings 5:15,[]
II Kings 5:16,"<b>if I should accept [anything] … !:</b> Typically, there is to be no profit for the prophet."
II Kings 5:17,<b>If not:</b> Or “at least.” <b>load of earth:</b> From his own soil (Martin).
II Kings 5:18,"<b>House of Rimmon:</b> The temple of the god Ramman (Baal-Haddad), the “Thunderer,” punned on and denigrated here as <i>rimmon</i>, “pomegranate.”"
II Kings 5:19,[]
II Kings 5:20,<b>accepting:</b> Or “getting.”
II Kings 5:21,[]
II Kings 5:22,He said:
II Kings 5:23,Naaman said:
II Kings 5:24,"<b>Ofel/The Bulge:</b> The raised section of ancient Jerusalem, probably including the palace and Temple complexes."
II Kings 5:25,while he himself came and stood opposite his lord.
II Kings 5:26,<b>Did not my heart go along:</b> Burney: “Wasn’t I present in spirit?”
II Kings 5:27,"So Naaman’s <i>tzaraat</i>—it will cleave to you and to your seed, for the ages!"
II Kings 6:1,[]
II Kings 6:2,[]
II Kings 6:3,[]
II Kings 6:4,[]
II Kings 6:5,<b>that the iron [ax head]:</b> Heb. unclear; LXX adds “here.…”
II Kings 6:6,"<b>some wood:</b> Others, “a stick.” B-R understand it as “the [ax] handle.”"
II Kings 6:7,[]
II Kings 6:8,"<b>Descend on:</b> Reading MT’s <i>tahanoti</i> as <i>tinhatu</i>, derived from <i>n-h-t</i> with Cogan/Tadmor, to link up with v.9."
II Kings 6:9,[]
II Kings 6:10,"<b>not [only] once and not [only] twice:</b> Rather, again and again."
II Kings 6:11,"<b>was in turmoil:</b> Elsewhere the root connotes “storming,” as in the divine whirlwind that takes Eliyyahu in Chap. 2."
II Kings 6:12,[]
II Kings 6:13,"<b>Dotan:</b> North of Shekhem, strategically placed on the way to the Jezreel Valley."
II Kings 6:14,[]
II Kings 6:15,[]
II Kings 6:16,[]
II Kings 6:17,[]
II Kings 6:18,<b>dazzling-light:</b> Just as the evildoers of Sodom were struck by God in Gen. 19:11.
II Kings 6:19,"<b>This:</b> Instead of <i>zeh</i>, the standard word for “this” in biblical Hebrew, the text makes use of <i>zo</i>, an Aramaism."
II Kings 6:20,[]
II Kings 6:21,<b>Father:</b> A term of respect; Elisha had employed it in addressing Eliyyahu in Chap. 2.
II Kings 6:22,[]
II Kings 6:23,"<b>a great spread:</b> Or “feast,” based on the Akkadian <i>kiretu</i>. The Hebrew word (<i>kera</i>) occurs only here in the Bible."
II Kings 6:24,[]
II Kings 6:25,<b>until … :</b> Spelling out the anticipated effects of the siege. <b>donkey’s head:</b> They would be forced by circumstances to eat ritually forbidden animals (Kimhi). <b>“pigeons’ dung”:</b> Usually understood as the name of a plant.
II Kings 6:26,"<b>on the wall:</b> The double (casemate) wall of the city, and hence wide enough to walk on top of (as one can on the present, Ottoman-period wall of Jerusalem’s Old City). <b>cried out:</b> The technical legal term for lodging an appeal with the king (Cogan/Tadmor), also used in 8:3. <b>Save:</b> Others, “help.”"
II Kings 6:27,[]
II Kings 6:28,<b>What [ails] you?:</b> The king calms down after his blowup (Cohn 2000).
II Kings 6:29,[]
II Kings 6:30,<b>tore his garments … sackcloth was on his flesh:</b> As a sign of mourning or repentance.
II Kings 6:31,[]
II Kings 6:32,<b>he had sent:</b> Referring to the king. <b>press him against the door:</b> Or “restrain him at the door” (Sweeney 2007).
II Kings 6:33,<b>evil-fate:</b> Or “calamity” (JPS).
II Kings 7:1,"<b>for a <i>shekel:</i></b> Food commodities will be incredibly expensive because of the siege. <b>gate:</b> That is, the marketplace (Cogan/Tadmor)."
II Kings 7:2,<b>were Y<small>HWH</small> to make hatches … :</b> The officer does not believe the prophet’s words.
II Kings 7:3,[]
II Kings 7:4,"<b>fall away:</b> That is, desert."
II Kings 7:5,[]
II Kings 7:6,[]
II Kings 7:7,[]
II Kings 7:8,"<b>entered … ate … entered … :</b> The string of verbs, as so often in the Bible, emphasizes “speed and purpose” (Cohn 2000)."
II Kings 7:9,<b>iniquity will find us:</b> We will be punished for delaying delivering the news to the king. <b>find:</b> Or “overtake.”
II Kings 7:10,[]
II Kings 7:11,[]
II Kings 7:12,[]
II Kings 7:13,"<b>five:</b> The number sometimes indicates “a few” (JPS). <b>they are like the whole throng … :</b> The verse is garbled, with an entire phrase virtually repeated. <b>see:</b> Or “find out” (JPS)."
II Kings 7:14,[]
II Kings 7:15,<b>their fearful-haste:</b> MT has an extra letter <i>het</i> here; the <i>Qere</i> reads correctly.
II Kings 8:1,<b>the woman:</b> See Chap. 4. <b>to sojourn:</b> To take up temporary residence.
II Kings 8:2,[]
II Kings 8:3,<b>fields:</b> Heb. <i>sadeh</i> can be understood as a collective plural here.
II Kings 8:4,[]
II Kings 8:5,[]
II Kings 8:6,<b>revenue:</b> From the crop yield (Cogan/Tadmor).
II Kings 8:7,[]
II Kings 8:8,[]
II Kings 8:9,"<b>Your son:</b> A term indicating respect. <b>live through:</b> I.e., recover from."
II Kings 8:10,<b>to him: / You will live:</b> Ancient versions and manuscripts read this as “not”—“You will not live”—showing that later transmitters of the text were uncomfortable with the idea that a prophet might practice deception.
II Kings 8:11,"<b>He kept his face still:</b> The text here may mean that Elisha stares at the king. <b>until he was ashamed:</b> It seems to be the king who is embarrassed by the stare. The phrase may also be idiomatic for “a long while.” Similarly, Moshe is “shamefully-late” coming down from Sinai in Exod. 32:1."
II Kings 8:12,[]
II Kings 8:13,<b>such a great thing:</b> Such major devastation.
II Kings 8:14,[]
II Kings 8:15,<b>he took:</b> Questions abound here. Is “he” Hazael or the king? Is this an act of succor or murder? (Cogan/Tadmor).
II Kings 8:16,"<b>Yehoshafat was king of Judah:</b> This odd phrase is missing in many versions. <b>Yehoram:</b> A variation on “Yoram,” “Y<small>HWH</small> Is Exalted.”"
II Kings 8:17,[]
II Kings 8:18,<b>walked in the way of the kings of Israel:</b> He is the first king of Judah to be so described (Mann).
II Kings 8:19,"<b>a lamp:</b> If the word refers to descendants, then “for his children” here (Heb. <i>le-vanav</i>) might better be read <i>le-fanav</i> (“before him”)."
II Kings 8:20,[]
II Kings 8:21,<b>Tza’ir:</b> The site is not certain. Some have proposed southeast of the Dead Sea.
II Kings 8:22,<b>Livna:</b> A location somewhere in the territory of Judah.
II Kings 8:23,[]
II Kings 8:24,[]
II Kings 8:25,<b>Ahazyahu:</b> “Y<small>HWH</small> Seizes [to protect].”
II Kings 8:26,"<b>Atalyahu:</b> With a possible meaning of “Y<small>HWH</small> Has Declared His Nobility,” but this is uncertain. Trad. English “Athaliah.” <b>[grand]daughter:</b> The Hebrew will admit both meanings."
II Kings 8:27,<b>son-in-law:</b> The word may also mean simply “relative” (Gray 1970).
II Kings 8:28,<b>Ramot-Gil’ad:</b> On the border between Israelite-controlled Gil’ad and Aram.
II Kings 8:29,<b>Yoram the king:</b> A rare construction in biblical Hebrew.
II Kings 9:1,[]
II Kings 9:2,<b>eleventh year:</b> Making for a siege of almost a year and a half.
II Kings 9:3,"<b>[fourth]:</b> See Jer. 52:6, filling out the date. <b>[even]:</b> Following Cogan/Tadmor."
II Kings 9:4,"<b>[fled]:</b> See Jer. 39:4. <b>he went:</b> Presumably, the king. <b>Road of the Plain:</b> Or “Arava Road,” which goes through the Jordan Valley. To get to this north-south route, the king had to descend eastward to Jericho, which he barely reached before being captured."
II Kings 9:5,"<b>the Plains of Jericho:</b> Thus the last king of Israel/Judah is captured in the same vicinity that the Israelites had entered the land at the beginning of the Early Prophets, in Joshua (Sweeney 2007)."
II Kings 9:6,<b>Yehoyakhin:</b> Trad. English “Jehoiachin”; “Y<small>HWH</small> Has Established.”
II Kings 9:7,"<b>blinded:</b> The normal punishment for a rebellious slave throughout the ancient Near East (Cogan/Tadmor). <b>they bound him with double-bronze:</b> The same fate, along with the blinding, was meted out to Shimshon by the Philistines in Judg. 16:21. <b>brought him to Babylon:</b> So the last king of Israel/Judah does not receive the dignity of the usual death formula in Kings (Cohn 2000). According to Jer. 52:11, he remains in prison until his death, unlike his nephew Yehoyakhin (see vv.27–30)."
II Kings 9:8,"<b>Nevuzar’adan:</b> Pronounced <i>ne-vu-zar-ah-DAHN;</i> Akkadian <i>Nabu-zer-iddina</i>, “Nabu has given me offspring.” <b>Captain of the Guard:</b> Lit., “Chief Cook,” a title like “Chief Cupbearer,” whose duties went well beyond their original named function."
II Kings 9:9,"<b>he burned down:</b> Some archaeological evidence for this celebrated destruction remains, despite the heavy rebuilding of Jerusalem throughout the ages."
II Kings 9:10,"<b>Valley of Ben Hinnom:</b> Pronounced <i>ben hee-NOHM</i>. It was directly south of the present Old City walls. Heb. <i>Gei Hinnom</i> (also in the Aramaic form <i>Gehenna</i>), because of the terrible deeds done in this location, became the term for Hell in later Jewish literature."
II Kings 9:11,<b>falling away:</b> Deserted.
II Kings 9:12,<b>hastened:</b> Following Cogan/Tadmor’s emendation from <i>vayyarotz</i> to <i>vayyeritzem</i>.
II Kings 9:13,"<b>bronze columns … :</b> Based on I Kings 7, where the building of the Temple is described."
II Kings 9:14,"<b>people of the land:</b> Now either just a neutral term or else a composite phrase from II Kings 25:12 and Jer. 52:15 (Shemaryahu Talmon, cited in Cogan/Tadmor)."
II Kings 9:15,<b>“rams”:</b> Prominent men or nobles; see Exod. 15:15.
II Kings 9:16,<b>were beyond weighing:</b> The amount was simply too large.
II Kings 9:17,"<b>three cubits:</b> According to Jer. 52:22, it was five cubits."
II Kings 9:18,"<b>rest:</b> The only peace amid a chapter of dismantling and destruction. <b>from Shomeron:</b> But the man of God had come from Bet-El, not the as yet unbuilt Shomeron. Here, as often in the Bible, the story is told from the perspective of the (later) writers."
II Kings 9:19,<b>Those [Who] See the King’s Face:</b> His attendants.
II Kings 9:20,"<b>Indeed, [it was]:</b> Heb. not entirely clear. <b>them:</b> Heb. is singular. <b>rose-in-revolt:</b> Against the advice of the prophet Yirmeyahu (Jeremiah), who encourages the king to submit to the yoke of Babylon and avoid disaster."
II Kings 9:21,"<b>struck them down:</b> Not necessarily personally, but at his command."
II Kings 9:22,"<b>Gedalyahu:</b> “Y<small>HWH</small> Has Done Great Things”; trad. English “Gedaliah.” Cohn (2000) notes that this man is the grandson of Yoshiyyahu’s scribe, a meaningful connection to a better era."
II Kings 9:23,"<b>Mitzpa:</b> Eight miles north of Jerusalem—but according to the archaeological record, it was unscathed by the capital’s fall (Cogan/Tadmor). Zevit (2004) notes the irony of this site being associated with the very beginnings of the monarchy, in Sha’ul’s territory. <b>Yishmael:</b> “God Has Hearkened.” Trad. English “Ishmael.” Note the connotation of all the personal names in this verse. <b>Yohanan:</b> “Y<small>HWH</small> Was Gracious.” <b>Tanhumet:</b> “Consolation.” <b>Netofatite:</b> From a town near Bet-Lehem. <b>Yaazanyahu:</b> “Y<small>HWH</small> Has Given-Ear.” <b>Maakhatite:</b> Either from a town way in the northeast corner of Israel, or from a clan mentioned in I Chr. 2:48 (Cogan/Tadmor)."
II Kings 9:24,<b>of serving:</b> See Jer. 40:9; MT has “the servants of.”
II Kings 9:25,"<b>heart … being … substance:</b> Echoing the famous passage in Deut. 6:5, and, in the subsequent “none arose like him,” likewise connected to Moshe himself in Deut. 34:10 (Cogan/Tadmor)."
II Kings 9:26,"<b>Yoshiyyahu:</b> Pronounced <i>yo-shee-YAH-hu</i>, and possibly meaning “Y<small>HWH</small> Will Grant.”"
II Kings 9:27,"<b>Ehvil-Merodakh:</b> Pronounced <i>eh-VEEL mero-DAKH;</i> Akkadian <i>Amel-marduk</i>, “Worshipper of [the god] Marduk.” The son of Nevukhadnetzar, he reigned only from 562 to 560 <small>B.C.E.</small> Trad. English translations render the name as “Evil Merodach,” with unintentional negative connotations. In biblical Hebrew, though, <i>ehvil</i> does happen to mean “foolish.” <b>lifted up the head:</b> Pardoned, as happened to Pharaoh’s chief cupbearer in Gen. 40:13. LXX adds “and brought him out.” <b>from the prison house:</b> Preceded in LXX and Jer. 52:32 by “and took him out of.”"
II Kings 9:28,<b>spoke kind-words:</b> The Babylonian phrase which is translated here signals a legal agreement reached through negotiation. <b>thrones:</b> MT singular; the plural appears in Jer. 52:32.
II Kings 9:29,"<b>Nekho:</b> Pharaoh Neco II, ruled 610–595. <b>to … Assyria:</b> That is, to aid the Assyrians, something Yoshiyyahu wished to prevent."
II Kings 9:30,"<b>Yehoahaz:</b> Pronounced <i>ye-ho-ah-HAZ</i>, “Y<small>HWH</small> Has Seized”; trad. English “Jehoahaz.” The name is another form of the previously encountered “Ahazyahu.” Apparently this was a regnal name, since formerly his name was Shallum. <b>anointed:</b> Said of only two other kings, Shelomo in I Kings 1:45 and Yehoash in II Kings 11:12. In Kimhi’s view, this was necessary because of the abnormality of succession in each case."
II Kings 9:31,<b>Yirmeyahu:</b> “Y<small>HWH</small> Has Founded.” It is the same name as that of the famous prophet (Jeremiah) who was alive at the time.
II Kings 9:32,<b>Uziyyahu:</b> “Y<small>HWH</small> Is My Strength”; trad. English “Uzziah.”
II Kings 9:33,"<b>imprisoned:</b> Foreshadowing the fate (in 25:5–6) of Tzidkiyyahu, Judah’s last king (Cohn 2000). <b>Rivla, in the region of Hamat:</b> On the Orontes River in western Syria, a wide area used as headquarters for both Pharaoh Nekho and the Babylonian king Nevukhadnetzar."
II Kings 9:34,<b>Elyakim:</b> “May God Establish.” <b>Yehoyakim:</b> Trad. English “Jehoiakim”; “May Y<small>HWH</small> Establish.” The change of name upon accession is not unusual.
II Kings 9:35,<b>struck down:</b> Apparently in a plague.
II Kings 9:36,<b>Ruma:</b> A site in the north.
II Kings 9:37,"<b>Nisrokh:</b> Not a known divine name, so possibly a miscopying of another name. It may be intentional (Cogan/Tadmor). <b>Adrammelekh and Sar’etzer:</b> Ironic Hebraized names (“Glorious King” and “Protect the Ruler”). According to Assyrian records, Sanheriv was assassinated by another individual, some twenty years after the siege of Jerusalem. The Bible nevertheless closely connects the two events, in classic Deuteronomistic fashion. <b>Ararat:</b> Armenia. <b>Esar-haddon:</b> Akkadian <i>Ashur-ah-iddina</i>, “[The god] Ashur Has Given a Brother.”"
II Kings 9:38,[]
II Kings 9:39,[]
II Kings 9:40,[]
II Kings 9:41,"<b>until this day:</b> Here, as often in this book, the phrase appears to refer to a time before the destruction of Judah."
