l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
Torah.12,"I would like to thank my children, Akiva, Leora, and Ezra, who have had to put up with a father whose brain may often have seemed to be in another millennium. Most of all, I would like to acknowledge the help of my wife, Cherie Koller-Fox, who has seen this project through since 1971, and has had to live with my none-too-easy journey through this work. Our conversations on the text and categories of Leviticus in particular have helped immeasurably to clarify my thinking on biblical issues. <i>Now He Called</i> is for her, with love. Most recent thanks go to Rabbi Israel C. Stein, who has alerted me to citation mistakes in the notes and a number of other errors. I am deeply grateful to him for his close reading, and for the opportunity to make needed corrections."
Torah.13,"Finally, praise to the One who has helped me survive, and sustained me, and brought me to this moment."
Torah.14,"<img src=""images/Art_P3.jpg"" alt=""art""/>"
Torah.15,<b><i>Ex. 15:22</i> They traveled through the wilderness …</b>
Torah.16,"22 Moshe had Israel move on from the Sea of Reeds,"
Torah.17,and they went out to the Wilderness of Shur.
Torah.18,"They traveled through the wilderness for three days, and found no water."
Torah.19,"23 They came to Mara,"
Torah.20,"but they could not drink water from Mara, because it was <i>mar</i>/bitter."
Torah.21,Therefore they called its name Mara.
Torah.22,"24 The people grumbled against Moshe, saying:"
Torah.23,What are we to drink?
Torah.24,"25 He cried out to Y<small>hwh</small>,"
Torah.25,and Y<small>hwh</small> directed him (to some) wood
Torah.26,"which he threw into the water, and the water became sweet.—"
Torah.27,"There he imposed law and judgment for them, and there he tested them."
Torah.28,26 He said:
Torah.29,"If you will hearken, yes, hearken to the voice of Y<small>hwh</small> your God,"
Torah.30,"and what is right in his eyes will do,"
Torah.31,giving-ear to his commandments
Torah.32,and keeping all his laws:
Torah.33,"all the sicknesses which I have imposed upon Egypt, I will not impose upon you;"
Torah.34,"for I am Y<small>hwh</small>, your healer."
Torah.35,27 They came to Elim;
Torah.36,there were twelve springs of water
Torah.37,"and seventy palms,"
Torah.38,and they camped there by the water.
Torah.39,"16:1 They moved on from Elim, and they came, the entire community of the Children of Israel, to the Wilderness of Syn, which is between Elim and Sinai,"
Torah.40,on the fifteenth day after the second New-Moon after their going-out from the land of Egypt.
Torah.41,"2 And they grumbled, the entire community of the Children of Israel, against Moshe and against Aharon in the wilderness."
Torah.42,3 The Children of Israel said to them:
Torah.43,"Would that we had died by the hand of Y<small>hwh</small> in the land of Egypt,"
Torah.44,"when we sat by the flesh pots,"
Torah.45,when we ate bread till (we were) satisfied!
Torah.46,For you have brought us into this wilderness
Torah.47,to bring death to this whole assembly by starvation!
Torah.48,4 Y<small>hwh</small> said to Moshe:
Torah.49,"Here, I will make rain down upon you bread from the heavens,"
Torah.50,"the people shall go out and glean, each day’s amount in its day,"
Torah.51,"in order that I may test them, whether they will walk according to my Instruction or not."
Torah.52,5 But it shall be on the sixth day:
Torah.53,"when they prepare what they have brought in,"
Torah.54,it shall be a double-portion compared to what they glean day after day.
Torah.55,6 Moshe and Aharon said to all the Children of Israel:
Torah.56,At sunset
Torah.57,you will know that it is Y<small>hwh</small> who brought you out of the land of Egypt;
Torah.58,7 at daybreak
Torah.59,you will see the Glory of Y<small>hwh</small>:
Torah.60,when he hearkens to your grumblings against Y<small>hwh</small>—
Torah.61,"what are we, that you grumble against us?"
Torah.62,8 Moshe said:
Torah.63,Since Y<small>hwh</small> gives you
Torah.64,"flesh to eat at sunset,"
Torah.65,"and at daybreak, bread to satisfy (yourselves);"
Torah.66,since Y<small>hwh</small> hearkens to your grumblings which you grumble against him—
Torah.67,what are we:
Torah.68,"not against us are your grumblings, but against Y<small>hwh</small>!"
Torah.69,9 Moshe said to Aharon:
Torah.70,Say to the entire community of the Children of Israel:
Torah.71,"Come-near, in the presence of Y<small>hwh</small>,"
Torah.72,for he has hearkened to your grumblings!
Torah.73,"10 Now it was, when Aharon spoke to the entire community of the Children of Israel,"
Torah.74,"they faced the wilderness,"
Torah.75,and here:
Torah.76,the Glory of Y<small>hwh</small> could be seen in the cloud.
Torah.77,"11 Y<small>hwh</small> spoke to Moshe, saying:"
Torah.78,12 I have hearkened to the grumblings of the Children of Israel—
Torah.79,"speak to them, and say:"
Torah.80,"Between the setting-times you shall eat flesh,"
Torah.81,"and at daybreak you shall be satisfied with bread,"
Torah.82,and you shall know
Torah.83,that I am Y<small>hwh</small> your God.
Torah.84,13 Now it was at sunset
Torah.85,a horde-of-quail came up and covered the camp.
Torah.86,And at daybreak
Torah.87,there was a layer of dew around the camp;
Torah.88,"14 and when the layer of dew went up,"
Torah.89,"here, upon the surface of the wilderness,"
Torah.90,"something fine,"
Torah.91,"scaly,"
Torah.92,fine as hoar-frost upon the land.
Torah.93,15 When the Children of Israel saw it
Torah.94,they said each-man to his brother:
Torah.95,<i>Mahn hu/</i> what is it?
Torah.96,For they did not know what it was.
Torah.97,Moshe said to them:
Torah.98,It is the bread that Y<small>hwh</small> has given you for eating.
Torah.99,16 This is the word that Y<small>hwh</small> has commanded:
Torah.100,"Glean from it, each-man according to what he can eat,"
Torah.101,"an <i>omer</i> per capita, according to the number of your persons,"
Torah.102,"each-man, for those in his tent, you are to take."
Torah.103,"17 The Children of Israel did thus,"
Torah.104,"they gleaned, the-one-more and the-one-less,"
Torah.105,"18 but when they measured by the <i>omer,</i>"
Torah.106,"no surplus had the-one-more, and the-one-less had no shortage;"
Torah.107,each-man had gleaned according to what he could eat.
Torah.108,19 Moshe said to them:
Torah.109,No man shall leave any of it until morning.
Torah.110,"20 But they did not hearken to Moshe,"
Torah.111,and (several) men left some of it until morning;
Torah.112,it became wormy with maggots and reeked.
Torah.113,And Moshe became furious with them.
Torah.114,"21 They gleaned it in the morning, (every) morning, each-man in accordance with what he could eat,"
Torah.115,"but when the sun heated up, it melted."
Torah.116,22 Now it was on the sixth day
Torah.117,"that they gleaned a double-portion of bread, two <i>omers for</i> (each) one."
Torah.118,All the exalted-leaders of the community came and told it to Moshe.
Torah.119,23 He said to them:
Torah.120,It is what Y<small>hwh</small> spoke about:
Torah.121,"tomorrow is a Sabbath/Ceasing, a Sabbath of Holiness for Y<small>hwh</small>."
Torah.122,"Whatever you wish to bake—bake, and whatever you wish to boil—boil;"
Torah.123,"and all the surplus, put aside for yourselves in safekeeping until morning."
Torah.124,"24 They put it aside until morning, as Moshe had commanded,"
Torah.125,"and it did not reek, neither were there any maggots in it."
Torah.126,25 Moshe said:
Torah.127,"Eat it today,"
Torah.128,"for today is a Sabbath for Y<small>hwh</small>,"
Torah.129,today you will not find it in the field.
Torah.130,"26 For six days you are to glean,"
Torah.131,"but on the seventh day is Sabbath, there will not be (any) on it."
Torah.132,27 But it was on the seventh day
Torah.133,"that some of the people went out to glean, and they did not find."
Torah.134,28 Y<small>hwh</small> said to Moshe:
Torah.135,Until when will you refuse to keep my commandments and my instructions?
Torah.136,29 (You) see
Torah.137,"that Y<small>hwh</small> has given you the Sabbath,"
Torah.138,"therefore on the sixth day, he gives you bread for two days."
Torah.139,"Stay, each-man, in his spot;"
Torah.140,no man shall go out from his place on the seventh day!
Torah.141,30 So the people ceased on the seventh day.
Torah.142,31 Now the House of Israel called its name: <i>Mahn.</i>
Torah.143,"—It is like coriander seed, whitish,"
Torah.144,and its taste is like (that of) a wafer with honey.—
Torah.145,_____________
Torah.146,"22 <b>Shur:</b> Some translate as “Wall” (of Egypt)—the outer fortified boundary of the country, and hence the edge of civilization."
Torah.147,"24 <b>grumbled:</b> Others, “murmured,” which is, however, more alliterative than the Hebrew itself (<i>vayilonu</i>)."
Torah.148,"25 <b>There he imposed law and judgment:</b> Others, “There he made for them statute and ordinance,” etc. The force is not clear, but the phrase seems to fit in with the overall section, which, as I have noted, concerns itself with the Israelites’ early government."
Torah.149,26 <b>sicknesses … upon Egypt:</b> A recurring theme in the Torah; see the curse in Deut. 28:60.
Torah.150,27 <b>Elim:</b> Lit. “terebinths” (great trees already mentioned in Gen. 12:6 and 18:1). <b>twelve springs … seventy palms:</b> Once again the numbers are obviously typological.
Torah.151,16:1 <b>entire community:</b> See the note to 12:3. <b>Syn:</b> Pronounced “seen.” The present spelling has been adopted to avoid the unfortunate associations of the sound “sin” in English.
Torah.152,"3 <b>Egypt … flesh pots … :</b> Notice the endings of each line, which can be grouped into two clusters: “Egypt … flesh pots … satisfied” versus “wilderness … starvation.”"
Torah.153,"4 <b>Y<small>hwh</small> said:</b> Notice how God’s answer is totally devoid of anger, for the dissatisfaction of the people is to provide them with a “test.” <b>them … they:</b> The pronouns are collective singular in Hebrew."
Torah.154,"5 <b>a double-portion:</b> For the Sabbath, when no gleaning is permitted."
Torah.155,"7 <b>what are we:</b> The issue is not between Israel and its human leaders, but really between them and God."
Torah.156,8 <b>bread:</b> See the note to 2:20.
Torah.157,9 <b>Come-near:</b> See the note to 12:48.
Torah.158,"14 <b>something fine:</b> The <i>mahn</i> (trad. English “manna”), described again in v.31, below, possibly refers to insect secretions found on the branches of certain Sinai plants. The question has been asked, however, whether the amount so produced would under normal circumstances be sufficient to feed a large population—hence the text itself stresses the divine element, and any attempt to explain it scientifically misses the point of the biblical story."
Torah.159,"15 <b><i>Mahn hu:</i></b> A folk etymological corruption of the Hebrew <i>mah hu,</i> although there is some support for this form in other Semitic languages. A playful rendering might be “whaddayacallit” or “what’s-its-name.”"
Torah.160,"16 <b><i>omer:</i></b> A dry measure, approximately 2⅓ liters or 2 dry quarts."
Torah.161,17 <b>the-one:</b> Or “some of them.”
Torah.162,"18 <b>no surplus__ no shortage:</b> In the tradition of miracle stories, exactly the right amount is found for each person."
Torah.163,"19 <b>No man shall leave any of it until morning:</b> Like the Passover sacrifice in 12:10 and 34:25, or the festival-offering in 23:18. The idea may be not to disturb the perfection of the offering by risking putrefaction."
Torah.164,22 <b>exalted-leaders:</b> Or “princes.”
Torah.165,"23 <b>It is what Y<small>hwh</small> spoke about:</b> Although this speech is not mentioned in a previous text. This may support the position that the story was originally placed after Chap. 20 (which contains the command to observe the Sabbath). <b>Ceasing:</b> The root meaning of the Hebrew <i>shabbat,</i> “Sabbath.”"
Torah.166,24 <b>it did not reek:</b> Since this time they followed God’s orders.
Torah.167,"28 <b>you:</b> Plural, referring to the people."
Torah.168,"31 <b>Now … honey:</b> A parenthetical comment. For another biblical description of the manna, see Num. 11:8."
Torah.169,"19:1 On the third New-Moon after the going-out of the Children of Israel from the land of Egypt,"
Torah.170,"2 They moved on from Refidim and came to the Wilderness of Sinai,"
Torah.171,and encamped in the wilderness.
Torah.172,"There Israel encamped, opposite the mountain."
Torah.173,"3 Now Moshe went up to God,"
Torah.174,"and Y<small>hwh</small> called out to him from the mountain,"
Torah.175,saying:
Torah.176,"Say thus to the House of Yaakov,"
Torah.177,"(yes,) tell the Children of Israel:"
Torah.178,4 You yourselves have seen
Torah.179,"what I did to Egypt,"
Torah.180,how I bore you on eagles’ wings and brought you to me.
Torah.181,"5 So-now,"
Torah.182,"if you will hearken, yes, hearken to my voice"
Torah.183,"and keep my covenant,"
Torah.184,you shall be to me a special-treasure from among all peoples.
Torah.185,"Indeed, all the earth is mine,"
Torah.186,"6 but you, you shall be to me"
Torah.187,"a kingdom of priests,"
Torah.188,a holy nation.
Torah.189,These are the words that you are to speak to the Children of Israel.
Torah.190,"7 Moshe came, and had the elders of the people called,"
Torah.191,"and set before them these words, with which Y<small>hwh</small> had commanded him."
Torah.192,"8 And all the people answered together, they said:"
Torah.193,"All that Y<small>hwh</small> has spoken, we will do."
Torah.194,And Moshe reported the words of the people to Y<small>hwh</small>.
Torah.195,9 Y<small>hwh</small> said to Moshe:
Torah.196,"Here, I am coming to you in a thick cloud,"
Torah.197,"so that the people may hear when I speak with you,"
Torah.198,and also that they may have trust in you for ever.
Torah.199,And Moshe told the words of the people to Y<small>hwh</small>.
Torah.200,10 Y<small>hwh</small> said to Moshe:
Torah.201,"Go to the people,"
Torah.202,"make them holy, today and tomorrow,"
Torah.203,"let them scrub their clothes,"
Torah.204,"11 that they may be ready for the third day,"
Torah.205,for on the third day
Torah.206,"Y<small>hwh</small> will come down before the eyes of all the people, upon Mount Sinai."
Torah.207,"12 Fix-boundaries for the people round about, saying:"
Torah.208,Be on your watch against going up the mountain or against touching its border!
Torah.209,"Whoever touches the mountain—he is to be put-to-death, yes, death;"
Torah.210,"13 no hand is to touch him,"
Torah.211,"but he is to be stoned, yes, stoned, or shot, yes, shot,"
Torah.212,"whether beast or man, he is not to live!"
Torah.213,"When the (sound of the) ram’s-horn is drawn out, they may go up on the mountain."
Torah.214,"14 Moshe went down from the mountain to the people,"
Torah.215,"he made the people holy, and they scrubbed their clothes,"
Torah.216,15 then he said to the people:
Torah.217,Be ready for three days; do not approach a woman!
Torah.218,"16 Now it was on the third day, when it was daybreak:"
Torah.219,"There were thunder-sounds, and lightning,"
Torah.220,a heavy cloud on the mountain
Torah.221,and an exceedingly strong <i>shofar</i> sound.
Torah.222,And all of the people that were in the camp trembled.
Torah.223,"17 Moshe brought the people out toward God, from the camp,"
Torah.224,and they stationed themselves beneath the mountain.
Torah.225,"18 Now Mount Sinai smoked all over,"
Torah.226,since Y<small>hwh</small> had come down upon it in fire;
Torah.227,"its smoke went up like the smoke of a furnace,"
Torah.228,and all of the mountain trembled exceedingly.
Torah.229,19 Now the <i>shofar</i> sound was growing exceedingly stronger
Torah.230,"—Moshe kept speaking,"
Torah.231,and God kept answering him in the sound (of a voice)—
Torah.232,"20 and Y<small>hwh</small> came down upon Mount Sinai, to the top of the mountain."
Torah.233,"Y<small>hwh</small> called Moshe to the top of the mountain,"
Torah.234,and Moshe went up.
Torah.235,21 Y<small>hwh</small> said to Moshe:
Torah.236,"Go down, warn the people"
Torah.237,"lest they break through to Y<small>hwh</small> to see, and many of them fall;"
Torah.238,_____________
Torah.239,"19:1 <b>On the third:</b> The Hebrew omits the usual connecting <i>vav</i> (“now,” “and,” or ‘but”), and thus signals the start of a new narrative."
Torah.240,"2 <b>There Israel encamped:</b> The repetition, as in 14:2, suggests poetry, perhaps a remnant of what Cassuto terms an epic literature here. The rhetorical force alerts the reader that something important is about to follow."
Torah.241,2–3 <b>the mountain:</b> It is not necessary to mention its name.
Torah.242,"3 <b>Say thus … / (yes,) tell … :</b> A formulaic opening of a speech, highlighting this important address."
Torah.243,"4 <b>eagles’ wings:</b> Most commonly in Western culture, be it ancient Rome, Imperial Europe, the United States, or even Nazi Germany, the eagle is the symbol of strength, independence, and loftiness. Yet here in the Bible it functions primarily as a symbol of God’s loving protection—see the nurturing eagle image in Deut. 32:11."
Torah.244,"6 <b>but you:</b> Or “and you.” <b>kingdom of priests:</b> Buber (1949) interprets the phrase as meaning a “royal-retinue” around the king, based on the usage in I Chron. 18:17 and II Sam. 8:18."
Torah.245,"8 <b>All … we will do:</b> This phrase, with variations, is repeated in 24:3 and 24:7 to frame the entire covenant and law-giving account."
Torah.246,"9 <b>thick cloud:</b> Some interpret the cloud as a massive aura, others as a shield to protect mortals from the brilliant divine “Glory” (Heb. <i>kavod</i>). <b>so that the people may hear:</b> Or “hearken” (i.e., obey). One would expect “so that the people may see,” following upon the last phrase, but the narrator apparently wants to make clear that “you saw no form” (Deut. 4:12)."
Torah.247,"10 <b>scrub:</b> The Hebrew verb (<i>kabbes</i>) is used for the washing of objects, not of people (which is expressed by <i>rahotz</i>)."
Torah.248,"13 <b>no hand is to touch him:</b> As if his contact with holiness would somehow contaminate him—a common idea in much of ancient society, and put forth with particular force throughout Leviticus. <b>shot:</b> With bow and arrows."
Torah.249,15 <b>do not approach a woman:</b> The need for the people to be in a state of ritual purity precludes sexual contact.
Torah.250,"16 <b>daybreak:</b> Perhaps to convey that there was nothing deceptive or dreamlike about this event, which was to be seen as a large-scale group experience (and hence a large-scale group commitment). <b><i>shofar:</i></b> The horn of a ram or cow. Perhaps, as part of an ancient Near Eastern convention, heralding the approach of Y<small>hwh</small> as a warring storm-god (see the Commentary, above). <b>trembled:</b> Note how both people and mountain (v.18) seem to be in synchrony with one another (yet some scholars emend the text!)."
Torah.251,"18 <b>like the smoke of a furnace:</b> A standard biblical way of describing extensive smoke (see Gen. 19:28, which uses “dense-smoke”)."
Torah.252,"19 <b>sound (of a voice):</b> Some interpret as “thunder,” which is often described biblically as the “voice of God” (in Ps. 18:14 and in Ugaritic literature as well). But the emphasis in the revelation of these chapters seems to be on God’s voice and the clarity of his words."
Torah.253,"21 <b>fall:</b> That is, die, because of too-close contact with the divine."
Torah.254,"25:1 Y<small>HWH</small> spoke to Moshe, saying:"
Torah.255,"2 Speak to the Children of Israel,"
Torah.256,that they may take me a raised-contribution;
Torah.257,"from every man whose heart makes-him-willing, you are to take my contribution."
Torah.258,3 And this is the contribution that you are to take from them:
Torah.259,"gold, silver, and bronze,"
Torah.260,"4 blue-violet, purple, and worm-scarlet (yarn), byssus, and goats’-hair,"
Torah.261,"5 rams’ skins dyed-red, tanned-leather skins,"
Torah.262,"acacia wood,"
Torah.263,"6 oil for lighting,"
Torah.264,"spices for oil of anointing and for fragrant smoking-incense,"
Torah.265,"7 onyx stones, stones for setting"
Torah.266,for the <i>efod</i> and for the breastpiece.
Torah.267,8 Let them make me a Holy-Shrine
Torah.268,that I may dwell amidst them.
Torah.269,"9 According to all that I grant you to see,"
Torah.270,"the building-pattern of the Dwelling and the building-pattern of all its implements,"
Torah.271,thus are you to make it.
Torah.272,10 They are to make
Torah.273,"a coffer of acacia wood,"
Torah.274,"two cubits and a half its length,"
Torah.275,"a cubit and a half its width,"
Torah.276,and a cubit and a half its height.
Torah.277,_____________
Torah.278,"25:2 <b>raised-contribution:</b> A collective noun (Plaut). The image is a common one, as in English “raise money.”"
Torah.279,"4 <b>blue-violet:</b> The exact color is not certain; others, “blue.” What does seem clear is that this was precious, probably because the dye was difficult to extract from its natural setting, and was the color of royalty (viz., “royal purple”) (Milgrom 1983). The same color was used on the fringes commanded as a memorial garment in Num. 1537–38. <b>worm-scarlet:</b> Others, “crimson.” The dye was produced by crushing the shell of a certain insect, and hence the two-word Hebrew name. <b>byssus:</b> Fine linen (Heb. <i>shesh,</i> a loan-word from Egyptian), as opposed to the plain <i>bad</i> (linen) of 28:42."
Torah.280,"5 <b>tanned-leather:</b> Previous translations, going back to antiquity, have theorized “dolphin” or “dugong”; current scholarship understands Heb. <i>tahash</i> as either the color orange-yellow or the leather that has that shade. <b>acacia:</b> This particular tree, well suited for construction, is found most often in the Bible in reference to the Tabernacle."
Torah.281,"6 <b>anointing:</b> For consecrating priests (e.g., 29:7) and kings (e.g., I Sam. 10:1). <b>fragrant smoking-incense:</b> See 30:34–38, below."
Torah.282,"7 <b>for setting:</b> In the high priest’s breastpiece (see 28:17–21, below). <b><i>efod:</i></b> An important garment of the high priest (see 28:6ff., below). <b>breastpiece:</b> Hung on the <i>efod</i> (see 28:15ff., below)."
Torah.283,"8 <b>Holy-Shrine:</b> Others, “sanctuary.”"
Torah.284,"10 <b>coffer:</b> Others, “ark.” The Hebrew word <i>aron,</i> like “ark,” means a chest or box, and is also used of Yosef’s “coffin” in Gen. 50:20.1 have used a different word here so as not to confuse it with Noah’s ark (Heb. <i>teiva</i>). <b>cubits:</b> The cubit was a common measure in the ancient world, conceived of as the length of a man’s forearm. The biblical cubit existed in two versions, measuring between 17½ and 20½ inches. <b>two cubits and a half … :</b> Thus the proportions of the coffer are 5:3:3."
"Torah, Translator’s Preface.1","… read the Bible as though it were something entirely unfamiliar, as though it had not been set before you ready-made…. Face the book with a new attitude as something new…. Let whatever may happen occur between yourself and it. You do not know which of its sayings and images will overwhelm and mold you…. But hold yourself open. Do not believe anything a priori; do not disbelieve anything a priori. Read aloud the words written in the book in front of you; hear the word you utter and let it reach you."
"Torah, Translator’s Preface.2","<i>—adapted, from a lecture of Martin Buber, 1926</i>"
"Torah, Translator’s Preface.3","T<small>HE PURPOSE OF THIS WORK IS TO DRAW THE READER INTO THE WORLD OF THE</small> Hebrew Bible through the power of its language. While this sounds simple enough, it is not usually possible in translation. Indeed, the premise of almost all Bible translations, past and present, is that the “meaning” of the text should be conveyed in as clear and comfortable a manner as possible in one’s own language. Yet the truth is that the Bible was not written in English in the twentieth or even the seventeenth century; it is ancient, sometimes obscure, and speaks in a way quite different from ours. Accordingly, I have sought here primarily to echo the style of the original, believing that the Bible is best approached, at least at the beginning, on its own terms. So I have presented the text in English dress but with a Hebraic voice."
"Torah, Translator’s Preface.4","The result looks and sounds very different from what we are accustomed to encountering as the Bible, whether in the much-loved grandeur of the King James Version or the clarity and easy fluency of the many recent attempts. There are no old friends here; Eve will not, as in old paintings, give Adam an apple (nor will she be called “Eve”), nor will Moses speak of himself as “a stranger in a strange land,” as beautiful as that sounds. Instead, the reader will encounter a text which challenges him or her to rethink what these ancient books are and what they mean, and will hopefully be encouraged to become an active listener rather than a passive receiver."
"Torah, Translator’s Preface.5","This translation is guided by the principle that the Hebrew Bible, like much of the literature of antiquity, was meant to be read aloud, and that consequently it must be translated with careful attention to rhythm and sound. The translation therefore tries to mimic the particular rhetoric of the Hebrew whenever possible, preserving such devices as repetition, allusion, alliteration, and wordplay. It is intended to echo the Hebrew, and to lead the reader back to the sound structure and form of the original."
"Torah, Translator’s Preface.6","Such an approach was first espoused by Martin Buber and Franz Rosenzweig in their monumental German translation of the Bible (1925–1962) and in subsequent interpretive essays. <i>The Five Books of Moses</i> is in many respects an offshoot of the Buber-Rosenzweig translation (hereafter abbreviated as B-R). I began with their principles: that translations of individual words should reflect “primal” root meanings, that translations of phrases, lines, and whole verses should mimic the syntax of the Hebrew, and that the vast web of allusions and wordplays present in the text should be somehow perceivable in the target language (for a full exposition in English, see now Buber and Rosenzweig 1994). In all these areas I have taken a more moderate view than my German mentors, partly because I think there are limitations to these principles and partly because recent scholarship points in broader directions. As a result, my translation is on the whole less radical and less strange in English than B-R was in German. This, however, does not mean that it is less different from conventional translations, or that I have abandoned the good fight for a fresh look at the Bible’s verbal power."
"Torah, Translator’s Preface.7","Buber and Rosenzweig based their approach on the Romantic nineteenth-century notion that the Bible was essentially oral literature written down. In the present century there have been Bible scholars who have found this view attractive; on the other hand, there has been little agreement on how oral roots manifest themselves in the text. One cannot suggest that the Bible is a classic work of oral literature in the same sense as the <i>Iliad</i> or <i>Beowulf</i>. It does not employ regular meter or rhyme, even in sections that are clearly formal poetry. The text of the Bible that we possess is most likely a mixture of oral and written materials from a variety of periods and sources, and recovering anything resembling original oral forms would seem to be impossible. This is particularly true given the considerable chronological and cultural distance at which we stand from the text, which does not permit us to know how it was performed in ancient times."
"Torah, Translator’s Preface.8","A more fruitful approach, less dependent upon theories whose historical accuracy is unprovable, might be to focus on the way in which the biblical text, <i>once</i> <i>completed</i>, was copied and read. Recent research reveals that virtually all literature in Greek and Roman times—the period when the Hebrew Bible was put into more or less the form in which it has come down to us (but not the period of its composition)—was read aloud. This holds for the process of copying or writing, and also, surprisingly, for solitary reading. As late as the last decade of the fourth century, Saint Augustine expressed surprise at finding a sage who read silently. Such practices and attitudes seem strange to us, for whom the very definition of a library, for instance, is a place where people have to keep quiet. But it was a routine in the world of antiquity, as many sources attest."
"Torah, Translator’s Preface.9","So the Bible, if not an oral document, is certainly an aural one; it would have been read aloud as a matter of course. But the implications of this for understanding the text are considerable. The rhetoric of the text is such that many passages and sections are understandable in depth only when they are analyzed <i>as they are heard</i>. Using echoes, allusions, and powerful inner structures of sound, the text is often able to convey ideas in a manner that vocabulary alone cannot do. A few illustrations may suffice to introduce this phenomenon to the reader; it will be encountered constantly throughout this volume."
"Torah, Translator’s Preface.10","Sound plays a crucial role in one of the climactic sequences in Genesis, Chapters 32–33. Jacob, the protagonist, has not seen his brother Esau for twenty years. Now a rich and successful adult, he is on his way back to Canaan after a long exile. He sends messengers to forestall Esau’s vengeance—for twenty years earlier, Jacob had stolen the birthright and the blessing which Esau felt were righdy his own. When Jacob finds out that his brother “is already coming … and four hundred men are with him” (32:7), he goes even further, preparing an elaborate gift for Esau in the hopes of appeasing his anger. The text in VV.21–22 presents Jacob’s thoughts and actions (the translation is taken from the New English Bible):"
"Torah, Translator’s Preface.11","for he thought, “I will appease him with the present that I have sent on ahead, and afterwards, when I come into his presence, he will perhaps receive me kindly.” So Jacob’s present went on ahead of him. …"
