content,base text ref,problem
<b>היו שתים.</b> אבנים מצויינות וריוח ביניהן:,JTmock Shekalim 1:1:15,
<b>עליהן טהור.</b> שאני אומר מפני הטומאה שביניהן ציינו עליהן:,JTmock Shekalim 1:1:15,
<b>אם היה חורש בינתיים.</b> המקום שבין שני האבנים היה חרוש:,JTmock Shekalim 1:1:15,
<b>הרי הן כיחידות וביניהון טהור.</b> דמסתמא לא היה שם טומאה שאין חורשין מקום הטמא:,JTmock Shekalim 1:1:15,
"ה""ג ותחתיהן טמא:",JTmock Shekalim 1:1:15,
<b>שמא נתעכל הבשר.</b> נמצא מטמא טהרות שלא כדין:,JTmock Shekalim 1:1:16,
<b>ולא נמצא מטמא טהרות למפרע.</b> כל זמן שלא נתעכל והוא לא ידע ויעבור עליו ומפסיד טהרותיו:,JTmock Shekalim 1:1:16,
<b>מוטב שיתקלקלו בו לשעה.</b> עד שיתעכל:,JTmock Shekalim 1:1:16,
<b>ואל יתקלקלו בו לעולם.</b> דכשיעשו ציון יסברו לעולם שעדיין הטומאה שם וישרפו עליו קדשים שיעברו עליו בשוגג או בלילה:,JTmock Shekalim 1:1:16,
מתני' <b>משרבו עוברי עבירה.</b> מפרש בגמרא:,JTmock Shekalim 1:2:1,
גמ' <b>שהיו מנכשין שדותיהן.</b> דכשנוטלין הכלאים מאליו היה מתנכש:,JTmock Shekalim 1:2:2,
<b>שהיו נהנין מן הכלאים.</b> שמשליכין לפני בהמתן:,JTmock Shekalim 1:2:2,
<b>וכל אשר לא יבא.</b> בעזרא כתיב:,JTmock Shekalim 1:2:3,
"<b>מנין שהיא פטורה מן המעשרות.</b> שביד ב""ד להפקיר שדה שתהא פטורה מן המעשרות:",JTmock Shekalim 1:2:3,
<b>לא בשביעית.</b> לפי שמאריכין עליהן איסור עבודת קרקע ויד הכל שולטת על הספיחין ולא ימצאו לקרב העומר ושתי הלחם:,JTmock Shekalim 1:2:3,
<b>ולא במוצאי שביעית.</b> בשמינית לפי שכלה הישן ומאריכין עליהן איסור חדש וכדמפרש בסמוך:,JTmock Shekalim 1:2:3,
"<b>וחדש אחד.</b> שחכמים מוסיפין בעיבורם בשביעית וכי אינו פוטרים הפירות ממעשרות ואס""ד הפקר ב""ד אינו פוטר ממעשרות למה יהא מעובר אם עיברוהו בשביעית:",JTmock Shekalim 1:2:3,
<b>עד כדון שביעית.</b> הניחא שביעית שאין מעברין משום שתי הלחם והעומר וכדפרישית:,JTmock Shekalim 1:2:3,
"<b>מוצאי שביעית.</b> מאי טעמא אין מעברין ואיידי דאייתי להך ברייתא פירשה ולקמן מסיק פירכא לראיה זו דמייתי מינה דב""ד מפקירין:",JTmock Shekalim 1:2:3,
"<b>עד שלא התיר ר' להביא ירק מח""ל לארץ.</b> שחששו שמא יביא עמהן גוש מארץ העמים שמטמא במגע ובמשא ויטמא טהרות של א""י:",JTmock Shekalim 1:2:3,
"<b>אבל משהתיר ר' להביא ירק.</b> וכ""ש תבואה:",JTmock Shekalim 1:2:3,
"<b>היא שביעית היא של שאר שני שבוע.</b> דלעולם מותר לעבר שהרי לא יאכלו הספיחין שיוכלו להביא תבואה מח""ל:",JTmock Shekalim 1:2:3,
"<b>שהיו השנים כתיקנן.</b> וישראל שרוין על אדמתן ובהמ""ק קיים אבל בזמן הזה שאין בה""מ קיים והארץ ביד עכו""ם אין חילוק בין שביעית לשאר שני שבוע דלעולם מעברין אפי' בשביעית:",JTmock Shekalim 1:2:4,
"<b>אין מן הדא וכו'.</b> אדלעיל קאי דר' יונתן דייק דהפקר ב""ד פוטר מן המעשר וקאמר ר' אבון דמהא ליכא למשמע דמדאורייתא מוסיפין חדש העיבור אלא דבשביעית מדחין אותו ואם עיברוהו עשו כדינא דאורייתא ועברו אתקנת חכמים:",JTmock Shekalim 1:2:4,
<b>שמרהו.</b> שיבא החודש הזה בחידושו ולולי הוספת החדש הזה היה חג פסח לפעמים בימות החמה ופעמים בימות הגשמים:,JTmock Shekalim 1:2:4,
"<b>והיידא אמר דא.</b> והיכן אמר דבר זה דב""ד פוטרין מן המעשרות:",JTmock Shekalim 1:2:5,
"<b>גדיש שלא לוקט.</b> מתני' היא בריש פ""ה דפיאה וה""פ מי שאסף והגדיש את העומרים למקום אחד בתוך השדה שעדיין לא לקטו שם העניים את הלקט:",JTmock Shekalim 1:2:5,
<b>כל</b> השבלים. <b>הנוגעות בארץ הרי הן של עניים.</b> דספק לקט הן:,JTmock Shekalim 1:2:5,
"<b>ה""ג דב""ש היא ברם כבית הלל עניים מעשרין ואוכלין אמר ר' יוסי שמענו שהוא פטור מן המעשרות ד""ה משום קנס.</b> וה""פ מתני' אתיא כב""ש דאמרי הפקר לעניים הפקר ולפיכך פטורין מן המעשר אבל כבית הלל אין לו דין לקט וחייבין במעשרות ורבי יוסי אמר שמענו שאפילו כב""ה אתיא מתני' דכיון דקנסו רבנן והפקירו השבלים שנוגעות בארץ הרי הוא כהפקר ב""ד ופטור מן המעשרות:",JTmock Shekalim 1:2:5,
מתני' <b>שולחנות.</b> שם לשלחן שלפני השלחני שמקבל עליו וכן קורין החלפני שלחני בכל המשנה:,JTmock Shekalim 1:3:1,
"<b>במדינה.</b> בירושלים וי""מ בכל ערי ישראל חוץ לירושלים והיו מחליפין מחצית השקל לכל מי שצריך:",JTmock Shekalim 1:3:1,
"<b>ישבו במקדש.</b> לפי שהיה הזמן מתקרב היו יושבין במקדש כדי שימהרו להביא ולי""מ במקדש היינו בירושלים:",JTmock Shekalim 1:3:1,
<b>התחילו למשכן.</b> ומוציאין העבוט מביתו של מי שלא הביא שקלו:,JTmock Shekalim 1:3:1,
"<b>לוים.</b> לאפוקי ממ""ד כל דעבר על פקודייא:",JTmock Shekalim 1:3:1,
<b>אבל לא נשים.</b> ונתנו איש כופר נפשו כתיב ולא אשה:,JTmock Shekalim 1:3:1,
<b>ולא עבדים.</b> דילפינן לה לה מאשה:,JTmock Shekalim 1:3:1,
<b>וקטנים.</b> אפילו הביא שתי שערות והוא פחות מבן עשרים:,JTmock Shekalim 1:3:1,
<b>שוב אינו פוסק.</b> אביו מלשקול בשבילו שאומרין לו מאחר שנתת עליו השנה שעברה והעמדת עליו זאת המצוה תן עליו תמיד עד שיגדל ולא תפסוק:,JTmock Shekalim 1:3:1,
"<b>ואין ממשכנין את הכהנים.</b> אע""פ שחייבין במחצית השקל:",JTmock Shekalim 1:3:1,
<b>מפני דרכי שלום.</b> מפרש בגמ':,JTmock Shekalim 1:3:1,
"<b>כל כהן ששוקל אינו חוטא.</b> ואע""פ שאינו חייב לשקול וסד""א אם שוקל נמצא קרבן ציבור קרב משל יחיד קמ""ל דאינו חוטא לפי שהוא מוסרו לציבור לגמרי:",JTmock Shekalim 1:3:1,
<b>לעצמן.</b> להנאתן ולא היא דחייבין לשקול אלא שעומר ושתי הלחם לוקחין משקלי ישראל לבדן:,JTmock Shekalim 1:3:1,
גמ' <b>הא לתבוע תובעין.</b> מן הנשים ועבדים וקטנים דדוקא אין ממשכנין אותן:,JTmock Shekalim 1:3:2,
"<b>הדא דתימר.</b> שתובעין מן הקטנים דוקא כשהביא שתי שערות אע""ג שלא הגיע לכלל שניו:",JTmock Shekalim 1:3:2,
<b>אבל.</b> אם לא הביא שתי שערות. ולא הגיע לכלל שניו אפי' תובעין לא:,JTmock Shekalim 1:3:2,
"<b>ולמשכן אין ממשכנין עד שיביא שתי שערות.</b> ויגדיל שיגיע לכלל שניו ל""א ה""ג ולמשכן אין ממשכנין עד שיהיה בן כ'. ולפ""ז ניחא הכל אף הסוגיא דלקמן (הלכה ד'):",JTmock Shekalim 1:3:2,
"<b>כיני מתניתא.</b> כן צריך לפרש מתני' דדרכי שלום היינו מפני הכבוד לפי שעבודת הקרבנות עליהם וכי היכא דלא ליתי לאנצויי ולי נראה מפני הכבוד היינו שמחוייבים לנהוג בהם כבוד דכתיב וקדשתו ואיסורא ליכא דכיון דתנאי ב""ד הוא על העתיד לגבות הם מחלו להכהנים:",JTmock Shekalim 1:3:3,
"<b>י""ב שבטים יתנו.</b> זה בגימטריא שנים עשר והכהנים והלוים בכלל:",JTmock Shekalim 1:3:4,
"<b>כן משיבין חכמים לר""י.</b> דחכמים סוברים דלריב""ז מותר להביא משקלי הכהנים עומר ושתי הלחם שלא נאמר וכל מנחת כהן אלא במנחת כהן יחיד אבל לא במנחה שיש לו בשותפות עם הציבור:",JTmock Shekalim 1:3:4,
"<b>חטאת יחיד מתה וכו'.</b> כמו דמצינו שיחיד חלוק מציבור שחטאת יחיד מתה ואין חטאת ציבור מתה ה""נ איכא לחלק בין מנחת יחיד למנחת ציבור:",JTmock Shekalim 1:3:4,
"<b>וקשיא וכו'.</b> הש""ס לא סיים למילתיה דר' טבי ומקשי עליה א""נ הא דקאמר בסמוך והוא מותיב לון שינוייה הוא וכאלו קאמר אלא:",JTmock Shekalim 1:3:4,
"<b>שאין חטאת וכו'.</b> מתני' היא בפ""ו דיומא:",JTmock Shekalim 1:3:4,
<b>והוא משיב להן.</b> וכי שקלים לאו נדבת יתיר הן ולמה יביא מהן עומר ושתי הלחם:,JTmock Shekalim 1:3:4,
<b>כל דעבר בימא יתן.</b> דהיינו כהנים ולויים וישראלים שכולן עברו בים סוף. על הפקודים היינו בין אותן שנמנו לבדן בין אותן שנמנו עם ישראל יתנו תרומת ה' והא דכתיב בפ' ואלה פקודי וכסף פקודי העדה מאת ככר וגו' דשמעינן דהכהנים ולויים לא נתנו היינו בתרומת האדנים אבל בתרומת שקלים לקרבנות ציבור הושוו כולן:,JTmock Shekalim 1:3:4,
<b>כל דעבר על פיקודייא.</b> וכהנים ולויים לא עברו במניין לפני משה אלא הוא הלך לפתחי אהליהם ומנה אותן:,JTmock Shekalim 1:3:4,
"מתני' <b>קיני זבין וזבות.</b> תורים ובני יונה שזבין וזבות מביאין ובכותים איירי אבל בעכו""ם אין זבין וזבות:",JTmock Shekalim 1:4:1,
"<b>כל שהוא נידר ונידב מקבלין מידן.</b> דכתיב איש איש לרבות עכו""ם שנודרים נדרים ונדבות כישראל:",JTmock Shekalim 1:4:1,
<b>וכן מפורש על ידי עזרא.</b> כשרצו הכותים לסייען ושלחו להם נבנה עמכם כי ככם נדרוש לאלקיכם השיבו להם לא לכם ולנו לבנות בית בשותפות לאלקינו ולכם אין חלק צדקה וזכרון בירושלים:,JTmock Shekalim 1:4:1,
<b>קולבון.</b> כלומר דבר קל ומועט שמוסיפים על מחצית השקל כשרוצין ליקח מן השלחני ב' חצאי שקלים בעד שקל שלם:,JTmock Shekalim 1:4:1,
"<b>השוקל ע""י אשה וכו' פטור.</b> כגון שהלוה להם דכיון דפטורין הן לא מחייבו בקלבון ואי לא הלוה להם אלא שפורע בשבילם אפי' שוקל בשביל בר חיובא פטור מן הקלבון כדלקמן:",JTmock Shekalim 1:4:1,
"<b>ואם שקל על ידו וע""י חבירו.</b> בשהלוהו איירי ושוקל שקל שלם מחצית השקל בשבילו ומחצית השקל שמלוה לחבירו חייב קולבון אחד דסבר הנותן מחצית השקל הקצוב בתורה פטור מן הקלבון וב' ששקלו שקל שלם אין נותנין אלא קלבון אחד:",JTmock Shekalim 1:4:1,
"<b>רבי מאיר אומר שני קלבונות.</b> דסובר ר""מ השוקל מחצית השקל חייב בקלבון הלכך שנים ששקלו שקל שלם חייב ב' קלבונות:",JTmock Shekalim 1:4:1,
<b>הנותן סלע.</b> דהיינו שקל שלם לשלחני של הקדש ונוטל ממנו מחציתו ושקל האמור כאן היינו מחצית השקל:,JTmock Shekalim 1:4:1,
<b>נותן ב' קלבונות.</b> מפרש בגמ':,JTmock Shekalim 1:4:1,
גמ' <b>הא לתבוע אין תובעין.</b> מדקתני אם שקלו מקבלין מידן משמע אם שקלו מעצמן מקבלין אבל אין תובעין מהן וקשיא הכא אמרינן שאין תובעין וברישא תנן אין ממשכנין נשים ועבדים וקטנים דמשמע אבל תובעין מיהת:,JTmock Shekalim 1:4:2,
<b>כאן.</b> רישא איירי בקטן שהביא שתי שערות ותובעין וסיפא בקטן שלא הביא שתי שערות דאפי' תובעין נמי לא:,JTmock Shekalim 1:4:2,
"<b>תיפתר.</b> תפרש דמתני' אתיא כמ""ד דכותי כעכו""ם לפיכך אין מקבלין ממנו:",JTmock Shekalim 1:4:3,
<b>דאיתפלגון.</b> דפליגי:,JTmock Shekalim 1:4:3,
"מתני' בעכו""ם. דוקא הוא דאין מקבלין מידן אבל מכותיים מקבלין:",JTmock Shekalim 1:4:4,
<b>ותני כן.</b> ותניא נמי הכי:,JTmock Shekalim 1:4:4,
"<b>אדם.</b> כי יקריב מכם קרבן ודרשינן אדם לרבות את הגרים וקשיא למה לי קרא תיפוק ליה דלא גרע מעכו""ם דאיתרבו מאיש איש שנודרים נדרים ונדבות אלא לאשמועינן דהא דכתיב מכם למעט מומרים דוקא מומרים מישראל אבל מגרים אפי' ממומרים מקבלין והכי קאמר מכם בכם חילקתי אבל בגרים לא ואי לא כתיב אדם ה""א בכם חילקתי ולא באומות כדאיתא פרק קמא דחולין והשתא מכותים אף על פי שחזרו לסורם מקבלין מהן. וא""ת הא אדם גבי נדבה כתיב וע""כ לומר דשקלים לנדבה דמיין אם כן למה אין מקבלין מעכו""ם דהא כתיב איש איש י""ל דכתיב גבייהו דבר אל בני ישראל ויקחו לי תרומה:",JTmock Shekalim 1:4:4,
"ופריך <b>מתני' פליגא וכו'.</b> כלומר סיפא דמתני' קשיא לר""א:",JTmock Shekalim 1:4:4,
