Index Title,Menachot
Menachot 2b:15,"Abajje sprach zu ihm: Merke, der Allbarmherzige hat es ja wegen der Absicht als untauglich erklärt, was durch Vergleichung<sup>24</sup><i class=""footnote"">Mit dem Schlachtopfer.</i>gefolgert wird, welchen Unterschied gibt es nun zwischen der Verwechslung des Opfers und der Verwechslung des Eigentümers!? 
"
Menachot 2b:16,"Dieser erwiderte: Das, was R. Šimo͑n sagt, die Zubereitung beweise es, hat einen Vernunftgrund, denn R. Šimo͑n pflegt den Grund der Schrift zu berücksichtigen. 
"
Menachot 2b:17,"Ist die Absicht nicht kenntlich<sup>25</sup><i class=""footnote"">Dh. wenn aus der Absicht nicht zu ersehen ist, daß sie falsch ist.</i>, so hat der Allbarmherzige es als untauglich<sup>26</sup><i class=""footnote"">Eine solche Absicht ist von Wirkung u. das Opfer daher untauglich.</i>erklärt, ist aber die Absicht kenntlich<sup>27</sup><i class=""footnote"">Wenn aus dieser zu ersehen ist, daß sie falsch ist, wie zBs. beim Abheben des Haufens auf den Namen eines anderen Opfers; in einem solchen Falle ist die Absicht ohne Wirkung. In all diesen Fällen muß man seine Absicht ausgesprochen haben.</i>, so hat der Allbarmherzige es nicht als untauglich erklärt. – 
"
Menachot 2b:18,"Demnach sollte das Geflügel-Brandopfer, dem man oberhalb<sup>28</sup><i class=""footnote"">Oberhalb bezw. unterhalb des Striches um die Mitte des Altars.</i>auf den Namen eines Geflügel-Sündopfers den Kopf abgekniffen hat, wohlgefällig machen, 
"
Menachot 2b:19,"da aus der Zubereitung zu ersehen ist, daß es ein Geflügel-Brandopfer ist, denn wäre es ein Sündopfer, so müßte es unterhalb<sup>28</sup><i class=""footnote"">Oberhalb bezw. unterhalb des Striches um die Mitte des Altars.</i>hergerichtet<sup>29</sup><i class=""footnote"">Das Geflügel-Sündopfer ist unten u. das Geflügel-Brandopfer oben herzurichten; cf. Zeb. Fol. 63a u. ib. Fol. 64b.</i>werden!? – 
"
Menachot 2b:20,"Kann denn das Geflügel-Sündopfer nicht auch oberhalb hergerichtet werden, der Meister sagte ja, wenn man den Kopf an irgend einer Stelle des Altars abgekniffen hat, sei es tauglich. – 
"
Menachot 2b:21,"Das Geflügel-Brandopfer, dessen Blut man oberhalb auf den Namen eines Geflügel-Sündopfers ausgepreßt hat, sollte ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es ein Geflügel-Brandopfer ist, denn wenn es ein Sündopfer wäre, so müßte es unterhalb hergerichtet und [das Blut] gesprengt<sup>30</sup><i class=""footnote"">Und nicht ausgepreßt, wie dies beim Geflügel-Brandopfer der Fall ist.</i>werden!? – 
"
Menachot 3a:1,"Man könnte glauben, dies sei das Auspressen nach dem Sprengen<sup>31</sup><i class=""footnote"">Das bereits erfolgt ist, da es ein Geflügel-Sündopfer ist.</i>, denn der Meister sagte, wenn man das Blut an irgend einer Stelle des Altars ausgepreßt hat, sei es tauglich. – 
"
Menachot 3a:2,"Das Geflügel-Sündopfer, dessen Blut man unterhalb auf den Namen eines Geflügel-Brandopfers gesprengt hat, sollte ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es ein Geflügel-Sündopfer ist, denn wenn es ein Brandopfer wäre, so müßte es oberhalb hergerichtet und [das Blut] ausgepreßt<sup>32</sup><i class=""footnote"">Und nicht gesprengt, wie dies beim Geflügel-Sündopfer der Fall ist.</i>werden!? – 
"
Menachot 3a:3,"Dem<sup>33</sup><i class=""footnote"">Daß es in einem solchen Falle tauglich sei.</i>ist auch so. – Er sagt ja aber: weil Speisopfer nicht den Schlachtopfern gleichen!? – Den Schlachtopfern, nicht aber<sup>34</sup><i class=""footnote"">Gleichen sie nicht.</i>den Geflügelopfern. – 
"
Menachot 3a:4,"Hochheilige in der Nordseite<sup>35</sup><i class=""footnote"">Cf. Zeb. Fol. 47a.</i>auf den Namen von minderheiligen geschlachtete Opfer sollten ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es hochheilige sind, denn wären es minderheilige, so würde man sie in der Südseite hergerichtet haben!? – 
"
Menachot 3a:5,"Der Allbarmherzige sagt ja nur, daß sie auch in der Südseite herzurichten sind, sagt er etwa, daß dies nur in der Südseite und nicht in der Nordseite zu erfolgen habe? Wir haben gelernt, daß sie an jeder Stelle im Tempelhofe geschlachtet werden dürfen. – 
"
Menachot 3a:6,"Minderheilige in der Südseite auf den Namen von hochheiligen geschlachtete Opfer sollten ja wohlgefällig machen, da aus der Herrichtung zu ersehen ist, daß es minderheilige sind, denn wären es hochheilige, so würde man sie in der Nordseite hergerichtet haben!? – 
"
Menachot 3a:7,"Man kann glauben, es seien hochheilige, nur habe man übertreten und sie in der Südseite geschlachtet. – 
"
Menachot 3a:8,"Demnach kann man ja, auch wenn dies<sup>36</sup><i class=""footnote"">Die Abhebung des Haufens.</i>bei einem Pfannenopfer auf den Namen eines Tiegelopfers erfolgt, glauben, dieser habe ein Tiegel-Speisopfer gelobt und bringe es in einer Pfanne dar; er hebe den Haufen richtig auf den Namen eines Tiegelopfers ab, nur übertrete er und bringe es in einer Pfanne<sup>37</sup><i class=""footnote"">Die Unrichtigkeit der Absicht ist nicht zu ersehen, somit sollte es untauglich sein.</i>dar!? – 
"
Menachot 3a:9,"Hierbei gilt es, auch wenn man eines in einem Tiegel gelobt hat, sobald man es in einer Pfanne darbringt, als Pfannenopfer<sup>38</sup><i class=""footnote"">Hebt man den Haufen auf den Namen eines Tiegelopfers ab, so ist es offenbar, daß dies falsch ist.</i>. 
"
Menachot 3a:10,"Wir haben nämlich gelernt: Wenn jemand gesagt hat, er gelobe [ein Speisopfer] in einer Pfanne, und eines in einem Tiegel gebracht hat, in einem Tiegel, und eines in einer Pfanne gebracht hat, so ist, was er gebracht hat, gültig, sein Gelübde aber hat er nicht eingelöst. – 
"
Menachot 3a:11,"Vielleicht aber sagte er, er werde dieses<sup>39</sup><i class=""footnote"">Er bezeichnete das Speisopfer, das er darzubringen gelobte.</i>in einer Pfanne darbringen, und brachte es in einem Tiegel, und wir haben gelernt, wenn man dieses in einer Pfanne darzubringen [gelobt] und es in einem Tiegel dargebracht hat, oder in einem Tiegel darzubringen, und es in einer Pfanne dargebracht hat, sei es untauglich!? – 
"
Menachot 3a:12,"Nach den Rabbanan ist dem auch so, nach R. Šimo͑n<sup>40</sup><i class=""footnote"">Über dessen Ansicht hier verhandelt wird.</i>aber, welcher sagt, er habe<sup>41</sup><i class=""footnote"">Wenn ein Pfannenopfer in einem Tiegel dargebracht wird.</i>sogar der Pflicht seines Gelübdes genügt, wonach die Bestimmung durch das Gefäß belanglos ist, ist es einerlei, ob man ‘dieses’ oder ‘ich nehme auf mich’<sup>42</sup><i class=""footnote"">Ein Speisopfer darzubringen.</i>gesagt hat. – 
"
Menachot 3a:13,"Demnach sollte doch ein auf den Namen eines Sündopfers geschlachtetes Brandopfer wohlgefällig machen, da für dieses<sup>43</sup><i class=""footnote"">Das Brandopfer.</i>ein Männchen und für jenes ein Weibchen darzubringen<sup>44</sup><i class=""footnote"">Die falsche Absicht ist somit ersichtlich.</i>ist!? – Es gibt den Ziegenbock eines Fürsten<sup>45</sup><i class=""footnote"">Den er als Sündopfer darzubringen hat.</i>, der ein Männchen ist, somit ist es nicht ersichtlich. – 
"
Menachot 3a:14,"Wie ist aber der Fall zu erklären, wenn man gesagt hat: auf den Namen eines Sündopfers für einen Privaten!? Und ferner sollte ja das auf den Namen eines Brandopfers geschlachtete Sündopfer eines Privaten wohlgefällig machen, da als Sündopfer ein Weibchen und als Brandopfer ein Männchen darzubringen ist!? – Es wird mit dem Fettschwanze verdeckt<sup>46</sup><i class=""footnote"">Das Geschlecht ist dann nichl zu sehen.</i>. – 
"
Menachot 3a:15,"Allerdings, wenn man ein Lamm darbringt, wie ist es aber in dem Falle zu erklären, wenn man eine Ziege<sup>47</sup><i class=""footnote"">Die keinen Fettschwanz hat.</i>darbringt!? – Vielmehr, die Leute achten nicht darauf, zwischen Männchen und Weibchen zu unterscheiden. – 
"
Menachot 3a:16,"Das auf den Namen eines Schuldopfers geschlachtete Pesaḥopfer sollte ja wohlgefällig machen, denn dieses ist einjährig und jenes ist zweijährig!? – Da es noch das Schuldopfer des Nazirs und das Schuldopfer des Aussätzigen<sup>48</sup><i class=""footnote"">Die ebenfalls einjährige Tiere darzubringen haben.</i>gibt, so ist dies nicht stichhaltig. – 
"
Menachot 3a:17,"Wie ist aber der Fall zu erklären, wenn man gesagt hat: auf den Namen eines Schuldopfers wegen Raubes, auf den Namen eines Schuldopfers wegen Veruntreuung!? Und ferner sollte ja das auf den Namen eines Pesaḥopfers geschlachtete Schuldopfer wegen Raubes oder wegen Veruntreuung wohlgefällig machen, denn das Pesaḥopfer ist einjährig und diese sind zweijährig!? – 
"
Menachot 3a:18,"Vielmehr, die Leute achten nicht darauf, zwischen einjährig und zweijährig zu unterscheiden, denn manche einjährige sehen wie zweijährige und manche zweijährige sehen wie einjährige aus. – 
"
Menachot 3a:19,"Der auf den Namen eines Schuldopfers<sup>49</sup><i class=""footnote"">Als solches ist nur ein Schaf od. ein Widder darzubringen.</i>geschlachtete Ziegenbock<sup>50</sup><i class=""footnote"">Der als Brandopfer dargebracht werden sollte.</i>sollte ja wohlgefällig machen, denn das eine hat Wolle und das andere Haar<sup>51</sup><i class=""footnote"">Die falsche Absicht ist somit ersichtlich.</i>!? – Man könnte glauben, es sei ein schwarzer Widder<sup>52</sup><i class=""footnote"">Dem der schwarze Ziegenbock ähnlich ist.</i>. – 
"
Menachot 3a:20,"Das auf den Namen eines Pesaḥopfers oder Schuldopfers geschlachtete Kalb oder Rind<sup>53</sup><i class=""footnote"">ZBs. das Sündopfer des Hochpriesters.</i>sollte ja wohlgefällig machen, denn ein Kalb und ein Rind sind ja als Pesaḥopfer und als Schuldopfer nicht, geeignet!? – 
"
Menachot 3b:1,"Dem ist auch so, und unter Schlachtopfer<sup>54</sup><i class=""footnote"">Von welchen RŠ. sagt, bei diesen sei nicht zu merken, welcher Opfergattung sie angehören.</i>ist die Mehrheit der Schlachtopfer zu verstehen. 
"
Menachot 3b:2,"Raba erklärte: Dies<sup>55</sup><i class=""footnote"">Der Widerspruch, in dem RŠ. sich befindet, ob. Fol. 2b.</i>ist kein Widerspruch; eines<sup>56</sup><i class=""footnote"">Die Lehre, daß man der Pflicht genügt habe.</i>gilt von dem Falle, wenn man den Haufen von einem Speisopfer auf den Namen eines Speisopfers abgehoben hat, und eines von dem Falle, wenn man ihn von einem Speisopfer auf den Namen eines Schlachtopfers abgehoben hat. 
"
Menachot 3b:3,"Vom Speisopfer auf den Namen eines Speisopfers heißt es:<sup>57</sup><i class=""footnote"">Lev. 6,7.</i><i>dies ist das Gesetz des Speisopfers</i>, ein Gesetz für alle Speisopfer, und vom Speisopfer auf den Namen eines Schlachtopfers heißt es: <i>dies ist das Gesetz des Speisopfers</i>, nicht aber des Schlachtopfers. – 
"
Menachot 3b:4,"Der Autor begründet ja aber: weil die Zubereitung<sup>58</sup><i class=""footnote"">Demnach sollte ja das Speisopfer auf den Namen eines Schlachtopfers tauglich sein.</i>es beweist!? – Er meint es wie folgt: obgleich es bei dieser Absicht zu ersehen<sup>59</sup><i class=""footnote"">Daß sie falsch ist.</i>ist, und erst recht untauglich<sup>60</sup><i class=""footnote"">Dennoch ist es tauglich.</i>sein sollte, denn es heißt: <i>dies ist das Gesetz des Speisopfers</i>, ein Gesetz für alle Speisopfer. – 
"
Menachot 3b:5,"Was heißt: anders aber verhält es sich bei den Schlachtopfern? – 
"
Menachot 3b:6,"Obgleich das Schlachten bei allen gleichmäßig<sup>61</sup><i class=""footnote"">Dennoch ist es untauglich.</i>ist, denn es heißt: <i>dies ist das Gesetz des Speisopfers</i>, nicht aber des Schlachtopfers. – 
"
Menachot 3b:7,"Demnach sollte doch das auf den Namen eines Sündopfers wegen Blut[genusses]<sup>62</sup><i class=""footnote"">Das man wegen Essens von Blut darzubringen hat.</i>, auf den Namen eines Sündopfers wegen Götzendienstes, auf den Namen eines Sündopfers eines Nazirs, oder auf den Namen eines Sündopfers eines Aussätzigen geschlachtete Sündopfer wegen Talg[genusses] tauglich sein und wohlgefällig machen, denn der Allbarmherzige sagt:<sup>63</sup><i class=""footnote"">Lev. 6,18.</i><i>dies ist das Gesetz des Sündopfers</i>, ein Gesetz für alle Sündopfer!? – 
"
Menachot 3b:8,"Nach R.Šimo͑n ist dem auch so, nach den Rabbanan aber sagte Raba, wenn man ein Sündopfer wegen Talg[genusses] auf den Namen eines Sündopfers wegen Blut[genusses], oder auf den Namen eines Sündopfers wegen Götzendienstes geschlachtet hat, sei es tauglich, und wenn auf den Namen eines Sündopfers eines Nazirs oder eines Sündopfers eines Aussätzigen, sei es untauglich, weil diese als Brandopfer<sup>64</sup><i class=""footnote"">Da sie nicht wegen einer Sünde, sondern zum Heile der Person dargebracht werden.</i>gelten. 
"
Menachot 3b:9,"R. Aḥa, der Sohn Rabas, lehrte, in allen diesen Fällen sei es untauglich, denn [es heißt:]<sup>65</sup><i class=""footnote"">Lev. 4,33.</i><i>er schlachte es als Sündopfer</i>, auf den Namen dieses Sündopfers. 
"
Menachot 3b:10,"R. Aši erklärte: Dies<sup>55</sup><i class=""footnote"">Der Widerspruch, in dem RŠ. sich befindet, ob. Fol. 2b.</i>ist kein Widerspruch; eines gilt von dem Falle, wenn man den Haufen von einem Pfannenopfer<sup>66</sup><i class=""footnote"">Das W. <span dir=""rtl"">מנחת</span>, das von manchen gestrichen wird u. in den Handschriften tatsächlich fehlt, ist durchaus nicht störend, da man den Haufen nicht vom Gefäße, sondern vom Mehl abhebt.</i>auf den Namen eines Tiegels<sup>67</sup><i class=""footnote"">Ohne überhaupt das W. Speisopfer zu nennen.</i>abhebt, und eines von dem Falle, wenn man ihn von einem Pfannenopfer auf den Namen eines Tiegelopfers abhebt. 
"
Menachot 3b:11,"Wenn von einem Pfannenopfer auf den Namen eines Tiegels, so erstreckt sich die Absicht auf das Gefäß, und die Absicht hinsichtlich des Gefäßes macht es nicht untauglich, wenn aber von einem Pfannenopfer auf den Namen eines Tiegelopfers, so erstreckt sich die Absicht auf das Speisopfer, das durch die Absicht untauglich wird. – 
"
Menachot 3b:12,"Der Autor begründet ja aber: weil die Zubereitung<sup>68</sup><i class=""footnote"">Demnach sollte die falsche Absicht wirkungslos sein, auch wenn sie sich auf das Opfer erstreckt.</i>es beweist!? – Er meint es wie folsrt: obgleich es bei dieser Absicht zu ersehen<sup>59</sup><i class=""footnote"">Daß sie falsch ist.</i>ist, und erst recht untauglich sein<sup>69</sup><i class=""footnote"">Dennoch ist es tauglich, da er nicht das Speisopfer, sondern nur das Gefäß genannt hat.</i>sollte. – 
"
Menachot 3b:13,"Was heißt: anders aber verhält es sich bei den Schlachtopfern? – Obgleich das Schlachten bei allen gleichmäßig ist, das Sprengen bei allen gleichmäßig ist und die [Blut]aufnahme bei allen gleichmäßig<sup>61</sup><i class=""footnote"">Dennoch ist es untauglich.</i>ist, denn die Absicht erstreckt sich auf das Schlachten, das dadurch untauglich wird. 
"
Menachot 3b:14,"R. Aḥa, der Sohn Rabas, sprach zu R. Aši: Wieso sagt es<sup>70</sup><i class=""footnote"">Daß der Eigentümer sich seiner Pflicht entledigt habe.</i>R. Šimo͑n von dem Falle, wenn ein trockenes auf den Namen eines umgerührten<sup>71</sup><i class=""footnote"">In diesem Falle, wenn ein Gefäß überhaupt nicht genannt wird, sollte die falsche Absiebt von Wirkung sein.</i>!? 
"
Menachot 3b:15,"Dieser erwiderte: Nur als Umgerührtes<sup>72</sup><i class=""footnote"">Wenn die Absicht sich nur darauf erstreckt, ohne das Opfer zu nennen; sie ist dann ohne Wirkung.</i>. – Demnach sollte auch beim Heilsopfer<sup>73</sup><i class=""footnote"">Wenn man ein Brandopfer auf den Namen eines Heilsopfers schlachtet.</i>[die Absicht] sich nur auf die Heilsstiftung<sup>74</sup><i class=""footnote"">Od. Friedensstiftung, zwischen Gott u. dem Darbringer des Opfers; die Absicht bezieht sich also nicht speziell auf das Heilsopfer, sondern auf die Darbringung eines Opfers.</i>beziehen!? – 
"
Menachot 3b:16,"Es ist ja nicht gleich; da wird das Schlachtopfer selbst Heilsopfer<sup>75</sup><i class=""footnote"">Und wenn man von einem Heilsopfer spricht, so ist darunter das mit diesem Namen bezeichnete Schlachtopfer zu verstehen.</i>genannt, wie es heißt:<sup>76</sup><i class=""footnote"">Lev. 7,33.</i><i>der das Blut des Heilsopfers heranbringt</i>,<sup>77</sup><i class=""footnote"">Tb. V. 14.</i><i>der das Blut des Heilsopfers sprengt</i>, hierbei aber wird ja das Speisopfer nicht Umgerührtes genannt; es heißt:<sup>78</sup><i class=""footnote"">Ib. V. 10.</i><i>jedes mit Öl umgerührte Speisopfer</i>, es wird also mit Öl umgerührtes [Speisopfer], nicht aber schlechthin Umgerührtes genannt. 
"
Menachot 3b:17,"Die anderen erklären nicht wie Rabba, denn, wenn die [falsche] Absicht ersichtlich ist, hat der Allbarmherzige es erst recht als untauglich<sup>79</sup><i class=""footnote"">Damit man bei der Darbringung der Opfer nicht falsch verfahre, während es nach der Auslegung R.s in einem solchen Falle tauglich ist.</i>erklärt. 
"
Menachot 3b:18,"Wie Raba erklären sie ebenfalls nicht, denn [die Auslegung der Worte] <i>dies ist das Gesetz</i><sup>80</sup><i class=""footnote"">Aus welchem er entnimmt, daß alle Speisopfer zusammen gehören u. die Darbringung des einen auf den Namen des anderen gültig sei.</i>leuchtet ihnen nicht<sup>81</sup><i class=""footnote"">Nach dieser Auslegung müßte es nach RŠ. auch vom Sündopfer gelten, u. dies wird nirgends gelehrt.</i>ein. 
"
Menachot 3b:19,"Und wie R. Aši erklären sie ebenfalls nicht, wegen des Einwandes R. Aḥas, des Sohnes Rabas.
"
