Index Title,Oholot
Mishnah Oholot 1:7,"VII. F<small>ÜR</small> [<small>GANZE</small>] G<small>LIEDER</small><sup>14</sup><i class=""footnote"">fn934,Die einen ganzen Knochen, Fleisch u. Sehnen haben.</i><small>GIBT ES KEINE</small> G<small>RÖSSENNORM; AUCH WENIGER ALS EIN</small> O<small>LIVENGROSSES VON EINEM</small> T<small>OTEN, WENIGER ALS EIN</small> O<small>LIVENGROSSES VON EINEM</small> A<small>ASE UND WENIGER ALS EIN</small> L<small>INSENGROSSES VON EINEM</small> K<small>RIECHTIERE MACHEN UNREIN DURCH DIE IHNEN EIGNE</small> U<small>NREINHEIT</small>."
Mishnah Oholot 1:8,"VIII. Z<small>WEIHUNDERTACHTUNDVIERZIG</small> G<small>LIEDER HAT DER</small> M<small>ENSCH : DREISSIG AM</small> F<small>USSE, NÄMLICH SECHS AN JEDEM</small> Z<small>EH, ZEHN AM</small> S<small>PRUNGGELENKE, ZWEI AM</small> U<small>NTERSCHENKEL, FÜNF AM</small> K<small>NIE, EINES AN DER</small> H<small>ÜFTE, DREI AM</small> H<small>ÜFTGELENKE, ELF</small> R<small>IPPEN, DREISSIG AN DER</small> H<small>AND, NÄMLICH SECHS AN JEDEM</small> F<small>INGER, ZWEI AM</small> V<small>ORDERARME, ZWEI AM</small> E<small>LLENBOGENGELENKE, EINES AM</small> O<small>BERARME, VIER AN DER</small> S<small>CHULTER, ALSO HUNDERTUNDEINES AN DER EINEN</small> S<small>EITE UND HUNDERTUNDEINES AN DER ANDEREN</small> S<small>EITE; DAZU ACHTZEHN</small> W<small>IRBEL AM</small> R<small>ÜCKGRAT, NEUN AM</small> K<small>OPFE, ACHT AM</small> H<small>ALSE, SECHS AM</small> H<small>ERZSCHLÜSSEL UND FÜNF AN DEN</small> Ö<small>FFNUNGEN</small><sup>15</sup><i class=""footnote"">fn935,In der Beckengegend.</i>. J<small>EDES VERUNREINIGT DURCH</small> B<small>ERÜHREN, DURCH</small> T<small>RAGEN UND DURCH</small> B<small>EZELTUNG</small>. N<small>UR DANN, WENN GEHÖRIG</small> F<small>LEISCH</small><sup>16</sup><i class=""footnote"">fn936,Cf. Kel. I,5.</i><small>DARAN IST, IST ABER NICHT GEHÖRIG</small> F<small>LEISCH DARAN, SO VERUNREINIGEN SIE NUR DURCH</small> B<small>ERÜHKEN UND</small> T<small>RAGEN, NICHT ABER VERUNREINIGEN SIE DURCH</small> B<small>EZELTUNG</small>."
Mishnah Oholot 2:1,"<b>F</b>OLGENDES <small>VERUNREINIGT DURCH</small> B<small>EZELTUNG : EIN</small> T<small>OTER, EIN</small> O<small>LIVENGROSSES VON EINEM</small> T<small>OTEN, EINE</small> O<small>LIVE</small> V<small>ERWESTES</small><sup>1</sup><i class=""footnote"">fn937,Von einem Toten; ersteres flüssig, letzteres in Staub zerfallen.</i>, <small>EIN</small> L<small>ÖFFEL</small><sup>2</sup><i class=""footnote"">fn938,Cf. Kel. XVII,12.</i> <small>VOLL</small> M<small>ODER</small><sup>1</sup><i class=""footnote"">fn937,Von einem Toten; ersteres flüssig, letzteres in Staub zerfallen.</i>, <small>DAS</small> R<small>ÜCKGRAT, DER</small> S<small>CHÄDEL, EIN</small> G<small>LIED VON EINEM</small> T<small>OTEN ODER EIN</small> G<small>LIED VON EINEM</small> L<small>EBENDEN, AN DEM GEHÖRIG</small> F<small>LEISCH IST, EIN</small> V<small>IERTEL</small> [K<small>AB</small>] K<small>NOCHEN VON EINEM</small> T<small>OTEN VOM GRÖSSEREN</small> T<small>EILE DES</small> B<small>AUES</small><sup>3</sup><i class=""footnote"">fn939,Des großen Skelettknochens.</i> <small>ODER DER</small> [K<small>NOCHEN</small>]<small>ZAHL, DER GRÖSSERE</small> T<small>EIL DES</small> B<small>AUES ODER DER</small> A<small>NZAHL, AUCH WENN ER KEIN</small> V<small>IERTEL</small> [K<small>AB</small>] <small>BETRÄGT</small>. S<small>IE ALLE SIND UNREIN</small>. W<small>IEVIEL IST DER GRÖSSERE</small> T<small>EIL DER</small> A<small>NZAHL?</small> H<small>UNDERTFÜNFUNDZWANZIG</small>."
Mishnah Oholot 2:2,"II. E<small>IN</small> V<small>IERTELLOG</small> B<small>LUT ODER EIN</small> V<small>IERTELLOG</small> M<small>ISCHBLUT</small><sup>4</sup><i class=""footnote"">fn940,Cf. supra III,5.</i> <small>VON EINEM</small> T<small>OTEN;</small> R. A͑<small>QIBA SAGT, AUCH VON ZWEI</small> T<small>OTEN</small>. D<small>AS VOLLSTÄNDIG AUSGEFLOSSENE</small> B<small>LUT VON EINEM</small> [<small>NEUGEBORENEN</small>] K<small>INDE</small> ; R. A͑<small>QIBA SAGT, WIEVIEL ES AUCH IST ; UND DIE</small> W<small>EISEN SAGEN, EIN</small> V<small>IERTELLOG</small>. E<small>IN</small> O<small>LIVENGROSSES</small> G<small>EWÜRM</small><sup>5</sup><i class=""footnote"">fn941,Von einer Leiche.</i>, <small>OB LEBEND ODER TOT, IST NACH</small> R. E<small>LIE͑ZER WIE DAS</small> [L<small>EICHEN</small>]<small>FLEISCH VERUNREINIGEND UND NACH DEN</small> W<small>EISEN REIN</small>. D<small>IE</small> A<small>SCHE VON</small> V<small>ERBRANNTEN IST, WIE</small> R. E<small>LIE͑ZER SAGT, IM</small> Q<small>UANTUM EINES</small> V<small>IERTEL</small> [K<small>AB VERUNREINIGEND</small>] <small>UND NACH DEN</small> W<small>EISEN REIN</small>. E<small>IN</small> L<small>ÖFFEL UND DARÜBER VOLL</small> G<small>RUFTERDE IST UNREIN UND NACH</small> R. Š<small>IMO͑N REIN</small>. E<small>IN</small> L<small>ÖFFEL VOLL</small> M<small>ODER MIT</small> W<small>ASSER GEKNETET GILT NICHT ALS VERBANDEN HINSICHTLICH DER</small> U<small>NREINHEIT</small><sup>6</sup><i class=""footnote"">fn942,Bei Bezeltung od. Berührung eines Teiles.</i>."
Mishnah Oholot 2:3,"III. F<small>OLGENDES VERUNREINIGT DURCH</small> B<small>ERÜHREN UND DURCH</small> T<small>RAGEN, NICHT ABER DURCH</small> B<small>EZELTUNG : EIN GERSTENGROSSER</small> K<small>NOCHEN, DER</small> B<small>ODEN DER WELTLICHEN</small> V<small>ÖLKER</small><sup>7</sup><i class=""footnote"">fn943,Ein Stück Erde aus dem Auslande.</i>, <small>EIN</small> G<small>RÄBERPFLUG, EIN</small> G<small>LIED VON EINEM</small> T<small>OTEN ODER EIN</small> G<small>LIED VON EINEM</small> L<small>EBENDEN, AN DEM NICHT GEHÖRIG</small> F<small>LEISCH IST, UND</small> R<small>ÜCKGRAT ODER</small> S<small>CHÄDEL, VON DENEN ETWAS FEHLT</small>. W<small>IEVIEL HEISST BEIM</small> R<small>ÜCKGRAT EIN</small> F<small>EHLEN?</small> D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, ZWEI</small> W<small>IRBEL, UND DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, AUCH EIN</small> W<small>IRBEL</small>. B<small>EIM</small> S<small>CHÄDEL?</small> D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, IN DER</small> G<small>RÖSSE EINES</small> B<small>OHRERLOCHES, UND DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, SOVIEL, DASS EIN</small> L<small>EBENDER, WENN SOVIEL FEHLT, STERBEN MUSS</small>. V<small>ON WELCHEM</small> B<small>OHRER SPRECHEN SIE</small>? V<small>ON EINEM KLEINEN DER</small> Ä<small>RZTE – SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, VOM GROSSEN DER</small> T<small>EMPELKAMMER</small><sup>8</sup><i class=""footnote"">fn944,Cf. Kel. XVII,12.</i>."
Mishnah Oholot 2:4,"IV. R<small>OLLSTEIN</small><sup>9</sup><i class=""footnote"">fn945,Der eigentliche Verschluß der Gruft, der herangerollt wird; cf. infra XV,8.</i> <small>UND</small> S<small>TÜTZE VERUNREINIGEN DURCH</small> B<small>ERÜHRUNG UND DURCH</small> B<small>EZELTUNG, NICHT ABER DURCH</small> T<small>RAGEN</small>. R. E<small>LIE͑ZER SAGT, SIE VERUNREINIGEN AUCH DURCH</small> T<small>RAGEN</small>. R. J<small>EHOŠUA͑ SAGT, IST DARUNTER</small> G<small>RABERDE, VERUNREINIGEN SIE DURCH</small> T<small>RAGEN, WENN ABER NICHT, VERUNREINIGEN SIE NICHT DURCH</small> T<small>RAGEN</small>. W<small>AS HEISST</small> S<small>TÜTZE</small>? W<small>AS DEN</small> R<small>OLLSTEIN DIREKT STÜTZT ; DIE</small> S<small>TÜTZE DER</small> S<small>TÜTZE ABER IST REIN</small>."
Mishnah Oholot 2:5,"V. F<small>OLGENDES IST REIN, WENN ETWAS DAVON FEHLT: EIN</small> O<small>LIVENGROSSES VON EINEM</small> T<small>OTEN, EINE</small> O<small>LIVE</small> V<small>ERWESTES, EIN</small> L<small>ÖFFEL VOLL</small> M<small>ODER, EIN</small> V<small>IERTELLOG</small> B<small>LUT, EIN GERSTENGROSSER</small> K<small>NOCHEN UND EIN</small> G<small>LIED VON EINEM</small> L<small>EBENDEN, DESSEN</small> K<small>NOCHEN NICHT VOLLSTÄNDIG IST</small>."
Mishnah Oholot 2:6,"VI. E<small>IN</small> R<small>ÜCKGRAT ODER EIN</small> S<small>CHÄDEL VON ZWEI</small> T<small>OTEN, EIN</small> V<small>IERTELLOG</small> B<small>LUT VON ZWEI</small> T<small>OTEN, EIN</small> V<small>IERTEL</small> [K<small>AB</small>] K<small>NOCHEN VON ZWEI</small> T<small>OTEN, EIN</small> G<small>LIED VON ZWEI</small> T<small>OTEN UND EIN</small> G<small>LIED VON ZWEI</small> L<small>EBENDEN SIND NACH</small> R. A͑<small>QIBA UNREIN UND NACH DEN</small> W<small>EISEN REIN</small>."
Mishnah Oholot 2:7,"VII. E<small>IN IN ZWEI</small> [T<small>EILE</small>] <small>GETEILTER GERSTENGROSSER</small> K<small>NOCHEN IST NACH</small> R. A͑<small>QIBA UNREIN UND NACH</small> R. J<small>OḤANAN B</small>. N<small>URI REIN</small>. R. J<small>OḤANAN B</small>. N<small>URI SPRACH:</small> S<small>IE REDEN NICHT VON</small> K<small>NOCHEN IN</small> G<small>ERSTENGRÖSSE, SONDERN VON EINEM GERSTENGROSSEX</small> K<small>NOCHEN</small>. E<small>IN</small> V<small>IERTEL</small> [K<small>AB</small>] <small>ZERMALMTE</small> K<small>NOCHEN, UNTER DENEN KEIN EINZIGER GERSTENGROSSER</small> K<small>NOCHEN IST, IST NACH</small> R. Š<small>IMO͑N REIN UND NACH DEN</small> W<small>EISEN UNREIN</small>. E<small>IN IN ZWEI</small> [T<small>EILE</small>] <small>GETEILTES</small> G<small>LIED VON EINEM</small> L<small>EBENDEN IST REIN UND NACH</small> R. J<small>OSE UNREIN</small>. J<small>EDOCH PFLICHTET ER BEI, DASS ES, WENN ES IN</small> H<small>ÄLFTEN ABGENOMMEN WORDEN IST, REIN SEI</small><sup>10</sup><i class=""footnote"">fn946,Weil es niemals unrein war.</i>."
Mishnah Oholot 3:1,"<b>W</b>IRD <small>EINES VON DEN DURCH</small> B<small>EZELTUNG VERUNREINIGENDEN</small> D<small>INGEN GETEILT</small><sup>1</sup><i class=""footnote"">fn947,Keines der Teile hat das erforderliche Quantum.</i> <small>IN EIN</small> H<small>AUS GEBRACHT, SO IST ES NACH</small> R. D<small>OSA B</small>. A<small>RCHINOS REIN UND NACH DEN</small> W<small>EISEN UNREIN</small>. Z<small>UM</small> B<small>EISPIEL</small> : W<small>ER ZWEI HALBE</small> O<small>LIVEN VON EINEM</small> A<small>ASE BERÜHRT ODER TRÄGT, ODER WER EINE HALBE</small> O<small>LIVE VON EINEM</small> T<small>OTEN BERÜHRT UND EINE HALBE</small> O<small>LIVE BEZELTET, ODER EINE HALBE</small> O<small>LIVE BERÜHRT UND EINE HALBE</small> O<small>LIVE IHN BEZELTET, ODER ZWEI HALBE</small> O<small>LIVEN BEZELTET, ODER EINE HALBE</small> O<small>LIVE BEZELTET UND EINE HALBE</small> O<small>LIVE IHN BEZELTET, IST NACH</small> R. D<small>OSA B</small>. A<small>RCHINOS REIN UND NACH DEN</small> W<small>EISEN UNREIN</small>. W<small>ER ABER EINE HALBE</small> O<small>LIVE</small><sup>2</sup><i class=""footnote"">fn948,Von einem Toten.</i> <small>BERÜHRT UND ETWAS ANDERES IHN UND EINE HALBE</small> O<small>LIVE BEZELTET, ODER EINE HALBE</small> O<small>LIVE BEZELTET UND ETWAS ANDERES IHN UND EINE HALBE</small> O<small>LIVE BEZELTET, IST REIN</small>. R. M<small>EÍR SAGT, AUCH HIERBEI SEI ER NACH</small> R. D<small>OSA B</small>. A<small>RCHINOS REIN UND NACH DEN</small> W<small>EISEN UNREIN</small>. A<small>LLES MACHT</small><sup>3</sup><i class=""footnote"">fn949,Bei einer derartigen Teilung, nach RM.</i> <small>UNREIN, AUSSER BEI</small> B<small>ERÜHRUNG UND</small> T<small>RAGEN ODER</small> T<small>RAGEN UND</small> B<small>EZELTUNG</small>. D<small>IE</small> R<small>EGEL HIERBEI IST : GEHÖRT SIE</small><sup>4</sup><i class=""footnote"">fn950,Dio Verunreinigung durch jede von den Leiden Hälften.</i> <small>ZU EINEM</small> N<small>AMEN</small><sup>5</sup><i class=""footnote"">fn951,Beispielsweise beide Hälften durch Berührung.</i>, <small>SO IST ER UNREIN, UND GEHÖRT SIE ZU ZWEI</small> N<small>AMEN, SO IST ER REIN</small>."
Mishnah Oholot 3:2,"II. I<small>ST EIN</small> L<small>ÖFFEL</small> M<small>ODER IM</small> H<small>AUSE VERSTREUT WORDEN, SO IST DAS</small> H<small>AUS UNREIN UND NACH</small> R. Š<small>IMO͑N REIN</small>. I<small>ST EIN</small> V<small>IERTELLOG</small> B<small>LUT IM</small> H<small>AUSE AUFGESOGEN WORDEN, SO IST DAS</small> H<small>AUS</small><sup>6</sup><i class=""footnote"">fn952,Was nachher in das Haus kommt; cf. Nid. Fol. 62b.</i> <small>REIN; IST ES IN EINEM</small> K<small>LEIDE AUFGESOGEN WORDEN, SO IST ES, WENN DAS</small> K<small>LEID GEWASCHEN WIRD UND EIN</small> V<small>IERTELLOG</small> B<small>LUT HERAUSKOMMT, UNREIN, WENN ABER NICHT, REIN, DENN ALLES</small> A<small>UFGESOGENE, DAS NICHT MEHR HERAUSKOMMEN KANN, IST REIN</small>."
Mishnah Oholot 3:3,"III. I<small>ST ES</small><sup>7</sup><i class=""footnote"">fn953,Ein Viertellog Blut von einem Toten.</i> <small>IM</small> F<small>REIEN</small><sup>8</sup><i class=""footnote"">fn954,Wörll. in der Luft, nicht überzeltet.</i> <small>AUSGEGOSSEN WORDEN, SO IST ES, WENN DIE</small> S<small>TELLE ABSCHÜSSIG</small><sup>9</sup><i class=""footnote"">fn955,Es bleibt nicht auf der Stelle liegen u. wird daher nicht verbunden.</i> <small>UND EIN</small> T<small>EIL BEZELTET IST, REIN, WENN ABER VERTIEFT, ODER ES GERONNEN IST, UNREIN</small>. W<small>ENN ES AUF DIE</small> S<small>CHWELLE AUSGEGOSSEN WURDE UND DIESE ABSCHÜSSIG IST, OB NACH INNEN ODER NACH AUSSEN, UND DAS</small> H<small>AUS ES BEZELTET, SO IST ES REIN, WENN ABER VERTIEFT, ODER ES GERONNEN IST, UNREIN</small>. A<small>LLES VOM</small> T<small>OTEN IST UNREIN, AUSGENOMMEN DIE</small> Z<small>ÄHNE, DAS</small> H<small>AAR UND DIE</small> N<small>ÄGEL; SOLANGE SIE AN IHM HAFTEN, SIND SIE ALLE UNREIN</small>."
Mishnah Oholot 3:4,"IV. Z<small>UM</small> B<small>EISPIEL:</small> B<small>EFINDET SICH DER</small> T<small>OTE AUSSERHALB UND SEIN</small> H<small>AAR INNERHALB, SO IST DAS</small> H<small>AUS UNREIN</small>. W<small>ENN MAN EINEN</small> K<small>NOCHEN, AN DEM EINE</small> O<small>LIVE</small> F<small>LEISCH IST, INS</small> I<small>NNERE GEBRACHT HAT UND DAS</small> H<small>AUS ES</small><sup>10</sup><i class=""footnote"">fn956,Aber nicht das Fleisch.</i><small>BEZELTET, SO IST ES UNREIN</small><sup>11</sup><i class=""footnote"">fn957,Der Knochen allein ist durch Bezeltung nicht verunreinigend, jed. gilt er als Handhabe für das Fleisch, mit dem er verbunden ist.</i>. W<small>ENN MAN ZWEI</small> K<small>NOCHEN, AN DENEN ZWEI HALBE</small> O<small>LIVEN</small> F<small>LEISCH SIND, ZUM</small> T<small>EIL IN DAS</small> H<small>AUS GEBRACHT HAT UND DAS</small> H<small>AUS SIE BEZELTET, SO IST ES UNREIN</small>. S<small>IND SIE ABER DURCH</small> M<small>ENSCHENHAND ZUSAMMENGESTECKT WORDEN, SO IST ES REIN, DENN DIE</small> V<small>ERBINDUNG DURCH</small> M<small>ENSCHENHAND GILT NICHT ALS</small> V<small>ERBINDUNG</small>."
Mishnah Oholot 3:5,"V. W<small>AS HEISST</small> M<small>ISCHBLUT?</small> W<small>ENN VOM</small> T<small>OTEN EIN</small> A<small>CHTELLOG</small> B<small>LUT NOCH BEIM</small> L<small>EBEN UND EIN</small> A<small>CHTELLOG NACH SEINEM</small> T<small>ODE HERAUSGEKOMMEN IST – SO</small> R. A͑<small>QIBA</small>. R. J<small>IŠMA͑ÉL SAGT, EIN</small> V<small>IERTELLOG BEIM</small> L<small>EBEN UND EIN</small> V<small>IERTELLOG NACH SEINEM</small> T<small>ODE, UND VON DIESEM UND JENEM EIN</small> V<small>IERTEL FORTGENOMMEN WORDEN</small><sup>12</sup><i class=""footnote"">fn958,Vorher hatte das letztere allein das erforderliche Quantum.</i><small>IST</small>. R. E<small>LEA͑ZAR B</small>. R. J<small>EHUDA SAGT, IN DIESEM UND JENEM</small> F<small>ALLE GLEICHT ES DEM</small> W<small>ASSER</small>. W<small>AS ABER HEISST</small> M<small>ISCHBLUT?</small> W<small>ENN VON EINEM</small> G<small>EKREUZIGTEN DAS</small> B<small>LUT RINNT</small><sup>13</sup><i class=""footnote"">fn959,Ohne Unterbrechung.</i><small>UND UNTER IHM EIN</small> V<small>IERTELLOG</small> B<small>LUT GEFUNDEN WIRD, SO IST ES UNREIN</small>. W<small>ENN ABER VON EINEM</small> T<small>OTEN</small> B<small>LUT TROPFT UND UNTER IHM EIN</small> V<small>IERTELLOG</small> B<small>LUT GEFUNDEN WIRD, SO IST ES REIN</small><sup>14</sup><i class=""footnote"">fn960,Das Blut war vor Eintritt des Todes nicht verunreinigend, u. jeder Tropfen nachher verliert sich in der Mehrheit.</i>. R. J<small>EHUDA SAGT, NICHT SO, VIELMEHR SEI DAS RINNENDE REIN UND DAS TROPFENDE UNREIN</small><sup>15</sup><i class=""footnote"">fn961,In der Regel pflegt das Blut beim Leben zu rinnen u. nach dem Tode zu tropfen. Dies die einfache Erklärung des Maimonides; halakhisch kompliziert ist die Erklärung des T. Nid. Fol. 71a.</i>."
Mishnah Oholot 3:6,"VI. B<small>EI EINER</small> O<small>LIVE VON EINEM</small> T<small>OTEN BETRÄGT DIE</small> Ö<small>FFNUNG</small><sup>16</sup><i class=""footnote"">fn962,Des Raumes, in dem sich dieses Quantum befindet.</i><small>EINE</small> H<small>ANDBREITE UND BEI EINEM</small> T<small>OTEN BETRÄGT DIE</small> Ö<small>FFNUNG VIER</small> H<small>ANDBREITEN</small><sup>17</sup><i class=""footnote"">fn963,Im Quadrat. Ist diese Öffnung zum Hinausbringen des Toten bestimmt, so schützt sie die übrigen Öffnungen vor der Totenunreinheit; ausführl. weit. XVII,3.</i>. D<small>IES, UM DIE ÜBRIGEN</small> Ö<small>FFNUNGEN VOR DER</small> U<small>NREINHEIT ZU SCHÜTZEN, DIE</small> U<small>NREINHEIT DURCHZULASSEN</small><sup>18</sup><i class=""footnote"">fn964,In einen durch eine Wand getrennten anstoßenden Raum.</i><small>ABER GENÜGT EINE</small> F<small>AUSTWEITE</small>. [E<small>IN</small> S<small>TÜCK</small>] <small>GRÖSSER ALS EINE</small> O<small>LIVE GILT ALS</small> [<small>VOLLSTÄNDIGER</small>] T<small>OTER</small>. R. J<small>OSE SAGT, NUR</small> R<small>ÜCKGRAT UND</small> S<small>CHÄDEL GELTEN ALS</small> [<small>VOLLSTÄNDIGER</small>] T<small>OTER</small>."
