Id,Relevance,Ref,Version,Lang,Content,Field,Score
10,--,"Sefat Emet, Genesis, Chayei Sara 22:4","Sefat emet, Piotrków, 1905-1908",he," בעבודה שבלב בזמן הגלות והחושך. לכן עובר החשכות מפניהם. וכדאיתא בפסוק ושם דרך זה המדליק נרות במבואות האפלים כו' אראנו בישע אלקים. ושני העבודות נצרכים בעוה""ז כאשר רצה הקב""ה להיות תיקון עולם השפל. לכן",hebmorph-exact,0.6889821
11,n,"Maadaney Yom Tov on Menachot, Hilchot Tefilin, Shimoosha Raba 1",Vilna Edition,he,"  ה""ג   בס""א בקיצור סדר תיקון: 
",original,7.013316
12,--,Havot Yair 154:3,"Chavot Yair, Lemberg, 1896",he," מאומדנא וסברת הכרס וגם מפני תיקון עולם ליתא שהרי השתדלן בר דעת ויש בידו להתנות ולעשות מה שירצה ולא דמי לרודף אחר הרודף ששיבר כלים ואם שתק ולא התנה הרי הכניס עצמו לספק היזק מפני ריווח מעות הקצוב כי סבר הי' שלא יצטרך הוצאה כמ""ש ולביה אנסיה כמו כל המשחקים שמכניסים עצמם לספק היזק מתקות הריוח. ",hebmorph-exact,1.1811122
13,--,Rif Gittin 24a:6,Vilna Edition,he,מפני תיקון העולם:,hebmorph-standard,105.56323
14,--,"Pri Etz Chaim, Gate of Prayer 1:3",Pri Etz Chaim,he,", שהוא בחי' היצירה שבעשיה. ואח""כ ע""י הברכה שבציצית, נעשה אור מקיף אל היצירה. ואח""כ על ידי תפלה ש""י, נתקן עולם הבריאה, ואז יורד אור  מנפש  דבריאה  אל הנשמה שבעשיה. ואח""כ על ידי הברכה של תפלה של יד, נעשה א""מ אל הבריאה. ואח""כ ע""י תפלה ש""ר, נעשה תיקון עולם האצילות:
",original,0.98713875
15,--,Gittin 53a:16,William Davidson Edition - Aramaic,he,תנן הכהנים שפגלו במקדש מזידים חייבין ותני עלה מפני תיקון העולם,hebmorph-standard,67.57903
16,n,Rashi on Shabbat 21a:9:2,Vilna Edition,he,ולא שתהא עולה כו' - ולא שתהא צריכה תיקון והטייה:,ngram,24.187702
17,--,Gittin 40b:11,William Davidson Edition - Aramaic,he,כדרבא דאמר רבא הקדש חמץ ושחרור מפקיעין מידי שיעבוד אלא מפני תיקון העולם שמא ימצאנו בשוק,hebmorph-standard,64.35269
18,--,Shmonah Kvatzim 8:181:1,Rav Kook public files,he,"לעת כזאת שתחית האומה מתעוררת, והיא בכל יום יוצאת מן הכח אל הפועל בגוונים שונים, וכל העולם כולו הולך ורועש ברעש מלחמה, שמגמתה הנסתרת, אשר רק לאלהים פתרונים, היא בודאי העמדת תיקון עולם במלכות שדי, על",hebmorph-exact,0.7874081
19,--,Gittin 53a:18,Wikisource Talmud Bavli,he,הכי נמי קאמר מזידין חייבין הא שוגגין פטורין מפני תיקון העולם,hebmorph-standard,69.455376
20,n,Sanhedrin 74b:12,Wikisource Talmud Bavli,he,אסתר קרקע עולם היתה,hebmorph-exact,5.4911113
21,--,Havot Yair 45:3,"Chavot Yair, Lemberg, 1896",he,"ואע""פ שבאותו הזמן שכיחא היזקא בזו מ""מ אין זו טעם תקנת חכמים לומר דע""כ חייבוהו מפני דהואיל דשכיח דמי למזיד וה""ל לאסוקי אדעתיה דסברא זו אינו מוציאו מתורת גרמא דפטור רק ר""ל כענין מפני תיקון עולם וזה",original,1.664937
22,--,Havot Yair 45:2,"Chavot Yair, Lemberg, 1896",he," סי' כ""ה ס""ג) והנה בעלי דעה זו לא באו לכלל חילוק בין גרמי לגרמא רק הדבר תלוי בקנס חכמים מפני תיקון עולם. ולפי זה דווקא בשעשה מעשה או דיבור שע""פ דיבורו נעשה מעשה ופשע קצת בדיבורו. ולפי דעה זו ודאי אין",original,1.11682
23,n,Rashi on Sukkah 51a:16:2,Vilna Edition,he,ומתקנין שם תיקון גדול - מפרש בגמרא:,original,5.939705
24,--,Ikar Tosafot Yom Tov on Mishnah Gittin 5:2:1,On Your Way,he,"וחשיב תיקון העולם, דאי לאו תיקון העולם היה גובה אפילו ממשעבדי בבינונית משום נעילת דלת ע''כ. ומש''ה נקט הר''ב בע''ח. וה''ה לנזקין:",hebmorph-standard,55.98336
25,n,Or HaChaim on Deuteronomy 32:6:1,On Your Way,he," והחיה אותנו במדבר והביא אותנו לארץ מלאה כל טוב וכנגד זה אמר קנך, ג' שתקן אותנו תיקון מעולה ורם בתת שכינתו בתוכנו וניבא אותנו, וזה תיקון גדול שעשה אותנו כלי ראוי לקבל הנבואה, וכנגד זה אמר עשך פירוש מעשה",original,5.0663652
26,--,"Noda BeYehuda I, Even HaEzer 86:2",Noda BeYehuda Warsaw 1880,he," לפנינו אפי' לר""א העדים חותמין מפני תיקון עולם, מ""מ חשש זה אינו כי היכי דסמכינן כיון שהבעל לא היה אז בעיר ההוא יכול לברר הדבר ה""נ יכול הבעל לברר ולשאול לע""מ אם היו אז כאן ואין לחוש שמא גם בעיר ההיא נמצא",original,0.4905368
27,--,Rashi on Gittin 32a:4:2,Vilna Edition,he,מפני תיקון העולם - שהשליח שאינו יודע בדבר מוליכו לה והיא ניסת בו:,hebmorph-standard,52.728508
28,n,Rashi on Shabbat 79a:8:1,Vilna Edition,he,מצה כמשמעו - שאין לה שום תיקון:,original,5.9741564
29,--,Rashi on Gittin 86b:18:2,Vilna Edition,he,"אפי' בשטרות - דהתם עצה טובה קמ""ל מפני תיקון העולם:",hebmorph-standard,65.97702
30,--,Rashi on Bava Metzia 34b:13:2,Vilna Edition,he,לשתבע מלוה - שלא היתה שוה אלא שקל ויטול שקל דכיון דאיכא שבועה על הלוה מן התורה אי אתה יכול לפוטרו בולא כלום ומשום תיקון עולם שלא יפסל ישראל שקלוה לשבועה מיניה ושדיוה אמלוה:,infreq,14.642325
31,n,Rashi on Eruvin 85a:2:1,Vilna Edition,he,והא דרב יהודה - דבעי תיקון כל שהוא:,original,5.926022
32,--,Rashi on Gittin 53a:18:3,Vilna Edition,he,"מפני תקון העולם - קס""ד דה""ק חייבין מפני תקון העולם שלא ירגילו בכך:",hebmorph-standard,52.728508
33,n,Proverbs 10:25,Tanach with Ta'amei Hamikra,he,כעבור סופה ואין רשע וצדיק יסוד עולם,hebmorph-exact,5.506017
34,n,Gra's Nuschah on Tractate Soferim 9:1:1,"Talmud Bavli, Vilna 1883 ed.",he," חק עולם (ומלת עולם כ""ה בדפו""י): ",hebmorph-exact,5.420374
35,--,Rashi on Ketubot 52b:1:1,Vilna Edition,he,מפני תיקון העולם - שלא ירגילו להעלות על דמיהן:,hebmorph-standard,65.97702
36,--,Korban Netanel on Gittin 188:2,Vilna Edition,he," אשתמיט תנא בשום דוכתא ולמתני גבי שטרות אין עדים חותמין על השטר אלא משום תיקון עולם כדקתני גבי גט וע""ק אם בעי ע""מ בשטרות מה מהני עדי חתימה ואי משום שלא יערער הבע""ד אכתי יערער דלא אתיהיב השטר בעדי מסירה",hebmorph-exact,4.492939
37,--,"Sefat Emet, Exodus, Ki Tisa 17:2","Sefat emet, Piotrków, 1905-1908",he," המצות כמו ציצית ושבת כו'. ופי' שכל מצוה תיקון אבר מיוחד. ואלה המצות תיקון כל הקומה. והנה תיקון עולם שנה נפש תלוין זה בזה. ובמשכן ומקדש היו תיקונים בבחי' עולם. ושבתי וזימני תיקון הזמן והשנה. לכן ע""י השבת",original,0.6909971
38,n,Gittin 55a:5,Wikisource Talmud Bavli,he,ועל חטאת הגזולה שלא נודעה לרבים שהיא מכפרת מפני תיקון המזבח:,hebmorph-exact,5.1720023
39,--,Rashi on Gittin 45b:15:2,Vilna Edition,he,מפני תיקון העולם - בגמ' מפרש:,hebmorph-standard,92.15247
40,n,Zevachim 41b:31,Wikisource Talmud Bavli,he,לעולם רבנן היא ומאי כתיקנן כתיקנן לפיגול,hebmorph-standard,15.688475
41,n,"Maadaney Yom Tov on Menachot, Hilchot Tefilin, Kitzur Tefilin 1",Vilna Edition,he,"  ה""ג   בס""א בקיצור סדר תיקון: 
",original,6.979156
42,--,"Be'er HaGolah, Well 2 19",OYW,he," בכלי ההוא, כי אין בזה תיקון עולם אחר שהכריז עליו כמה פעמים והמתין שנה או שנתיים או יותר שוב לא יבוא, ודבר זה אינו לפי התורה כי אם מצא כלי כסף או כלי זהב והכריז עליו פעמים הרבה אסורים לו לעולם, רק יהא מונח עד שיבא אליהו לא יגע בהם לעולם הרי שהחמירו מאוד:",hebmorph-exact,0.78628665
43,--,"Sefat Emet, Exodus, Vaera 19:3","Sefat emet, Piotrków, 1905-1908",he," משה רבינו ע""ה כי בוודאי התורה שמיוחד לבנ""י מצד עצמותם. הי' צריך להתחיל מהחדש הזה. אכן ע""י חטא הקדום ונתערב טו""ר בעולם הי' צריך להיות מקודם התקונים של האבות והוא תיקון עולם הטבע שנתערב בה פסולת. וז""ש למה",hebmorph-exact,0.589715
44,n,Rashi on Isaiah 54:8:2,On Your Way,he,"ובחסד עולם . שיתקיים עד עולם :
",hebmorph-exact,6.020684
45,n,Rashi on Sukkah 12b:4:1,Vilna Edition,he,העשוי למלאות - מילוי עולם שלא להתרוקן עוד:,infreq,13.67574
46,--,Rashi on Gittin 45b:1:1,Vilna Edition,he,מתני' מפני תיקון העולם - אי משום דוחקא דציבורא אי משום דלא ליגרבו ולייתו טפי:,hebmorph-standard,52.781616
47,--,Bava Metzia 14b:6,Wikisource Talmud Bavli,he,איתיביה רבא לרב נחמן אין מוציאין לאכילת פירות ולשבח קרקעות ולמזון האשה והבנות מנכסים משועבדים מפני תיקון העולם,hebmorph-standard,57.490524
48,--,Shmonah Kvatzim 6:275:1,Shmonah Kevatzim -- Wikisource,he,", והיינו טיט היון, בתחילה וה ולבסוף וי, אבל מי שהוא קורא קריאת שמע ומדקדק באותיותיה, משפיעים לו זה התענוג תמיד, והוא כעין תיקון עולם הגמור שלעתיד לבוא, שיהיה המחול לצדיקים בגיהינם, שיתהפך לעדן. וערבה היא",original,0.98713875
49,--,"Pri Etz Chaim, Gate of Prayer 5:10",Pri Etz Chaim,he,"אמנם תכלית הכל עתה אינו סיבת תיקון ג""ר דעשייה, וכיון שעתה נשלם עולם עשייה, יש  בג""ר  שלה  כח, לעלות עד מקומם הצריך להם, שהוא מקום ג""ת דיצירה. אבל שאר העולמות,  עדיין  לא  הגיע  זמן  תיקונם  ולכן הלוואי שעתה על ידי תיקון עולם העשיה, יהיה בהם כח לעלות ג""ר שלהם במקום מלכות לבדו, של עולם שלמעלה מהם: ",hebmorph-exact,1.5725733
50,--,Chiddushei Ramban on Gittin 45a:2,"Chiddushei HaRamban, Jerusalem 1928-29",he," דמתני' רשב""ג דהתם היא וכן משמע מדקאמר התם כי האי לישנא דמתני' אין פודין את השבויין יותר מכדי דמיהן מפני תיקון עולם ש""מ דת""ק לית לי' תיקון העולם כלל בזו ומתני' רשב""ג היא ואע""ג דפליג בסיפ' לאו מכלל דריש",hebmorph-exact,3.363847
51,--,Gittin 45a:13,William Davidson Edition - Aramaic,he,מתני׳ אין פודין את השבויין יתר על כדי דמיהן מפני תיקון העולם ואין מבריחין את השבויין מפני תיקון העולם רבן שמעון בן גמליאל אומר מפני תקנת השבויין,hebmorph-standard,66.67896
52,--,Gittin 45a:14,Wikisource Talmud Bavli,he,גמ׳ איבעיא להו האי מפני תיקון העולם משום דוחקא דצבורא הוא או דילמא משום דלא לגרבו ולייתו טפי,hebmorph-standard,61.16878
53,--,Rashi on Gittin 52a:2:2,Vilna Edition,he,לא ישבע - טעמא דהך פלוגתא מפרש בגמרא ובין למר ובין למר מפני תיקון העולם הוא:,hebmorph-standard,52.728508
54,--,Rashi on Gittin 46b:4:1,Vilna Edition,he,אין בזו וכו' - הכי קאמר והתירו לו חכמים שיחזירנה מפני תיקון העולם שלא נמצא כאן לאסור:,hebmorph-standard,52.728508
55,n,Metzudat David on Jeremiah 25:5:2,On Your Way,he,"למן עולם. ר״ל מעת הנתינה עד עולם:
",hebmorph-exact,5.1605864
56,n,Metzudat David on Jeremiah 32:40:1,On Your Way,he,ברית עולם. ברית המתקיים עד עולם:,hebmorph-exact,5.1605864
57,--,Rashi on Gittin 51a:17:1,Vilna Edition,he,והלא אין קצובין - ובמה יש ללקוחות להזהר ובלא תיקון העולם נמי אין הדין לטרוף:,hebmorph-standard,52.728508
58,n,"Mei HaShiloach, Volume I, Talmud, Shabbat 77b:1","Mei HaShiloach; Publication of Sifrei Izhbitza Radzin, Bnei Brak 2005.",he,"מאי טעמא עיזא מסגין ברישא והדר אימרא כברייתו של עולם ברישא חשוכא והדר נהורא. והוא כדכתיב (תהלים י""ח,כ""ט) ה' אלקי יגיה חשכי, היינו אחרי כי האדם מכיר חטאו ומצטער עליו, עי""ז זוכה שהש""י מאיר לו תיקון על",original,7.0929117
59,--,"Beit Yosef, Yoreh Deah 252:9:1","Tur Yoreh Deah, Vilna, 1923",he,"אין מבריחין את השבויים כדי שלא יהיו האויבים מכבידים עולם עליהם וכו' משנה בפרק השולח (מה:) אין מבריחים את השבויים מפני תיקון העולם רשב""ג אומר מפני תקנת שבויים ובגמרא מאי בינייהו איכא בינייהו דליכא אלא",hebmorph-exact,5.957075
60,--,"Kedushat Levi, Exodus, Vayakhel 2",Kedushat Levi - Munkatch 1939,he," ה' לאמר. ובשבת שאין עושין מלאכה רק מצות בדיבור כגון תורה ותפילה, כי עיקר תורה ותפלה בשבת אף על פי כן מתקנין עולם המעשה. וזהו אשר צוה ה' לעשות, כלומר תיקון עולם העשיה: ",hebmorph-exact,1.3760016
61,n,Malbim Beur Hamilot on Isaiah 5:22:2,On Your Way,he,"למסך.  הוא תיקון המשקה :
",infreq,13.714302
62,--,Mishnah Gittin 5:3,Torat Emet 357,he,"אין מוציאין לאכילת פרות ולשבח קרקעות ולמזון האשה והבנות מנכסים משעבדים, מפני תקון העולם. והמוצא מציאה, לא ישבע, מפני תקון העולם: 
",hebmorph-standard,62.836765
63,n,Daniel 12:2,Tanach with Text Only,he,ורבים מישני אדמת־עפר יקיצו אלה לחיי עולם ואלה לחרפות לדראון עולם,hebmorph-exact,5.1554446
64,--,Maharam Shif on Gittin 49a:1,Vilna Edition,he,"גמ' ובע""ח דיניה בבינונית.   מדרבנן מפני תיקון העולם והכא לא שייך תיקון העולם [יגבה] בזיבורית וק""ל: לא מוקמי בגמ' באוכל הקדש דבר הראוי להיות קודש וכ""ה ברשב""א (ג): ",hebmorph-standard,55.92703
65,n,Chidushei Agadot on Berakhot 64a:4,Vilna Edition,he,"ת""ח  מרבים שלום בעולם כו'. כבר כתבנו בסוף יבמות טעם שסיים שם בזה המאמר ע""ש גם בכאן שכבר סיים בדברי אגדה לעיל והוסיף זה המאמר נראה קרוב לזה לפי שכל מסכת זו התפלות והברכות הנזכרות בה הם תיקון דרבנן",hebmorph-exact,5.609578
66,--,Gittin 47b:4,William Davidson Edition - Aramaic,he,אמר רב חייא בר אבין תא שמע המוכר שדהו לגוי לוקח ומביא ביכורים מפני תיקון העולם מפני תיקון העולם אין מדאורייתא לא,hebmorph-standard,66.57263
67,n,Gittin 50a:11,William Davidson Edition - Aramaic,he,ורבי ישמעאל היא דאמר מדאורייתא בדניזק שיימינן ומפני תיקון העולם תקינו רבנן בדמזיק וגבי יתמי אוקמוה רבנן אדאורייתא,infreq,13.354367
68,--,Havot Yair 64:1,"Chavot Yair, Lemberg, 1896",he," שהוא רק כ""י מ""מ הרי הראה אותה להקונה ולא היה לו לקנות הבית דק""ל שיעבודא דאורייתא ומה דמלוה בע""פ לא טריף מפני תיקון עולם של הלקוחות שלא ידוע דבר וכמבואר בש""ס. אח""כ באו עוד שט""ח מאוחרים למכירת הבית ומ""מ רצו לטרוף מפני שהי' לקונה להכריזו כנהוג ואז היו נזהרין מלהלוות לו:",original,0.98713875
69,--,Gittin 47a:7,William Davidson Edition - Aramaic,he,מתני׳ המוכר את שדהו לגוי לוקח ומביא ממנו בכורים מפני תיקון העולם,hebmorph-standard,69.26144
70,--,Ketubot 56b:9,Wikisource Talmud Bavli,he,וסבר רבי יוסי רשאי ורמינהי אין עושין כתובת אשה מטלטלין מפני תיקון העולם אמר רבי יוסי וכי מה תיקון העולם יש בזו והלא אין קצובין ופוחתין,hebmorph-standard,78.46246
71,n,Rashi on Pesachim 55b:4:2,Vilna Edition,he,מסוף מלאכ' - תיקון מנעלים:,infreq,13.690271
72,--,Gittin 45b:1,Wikisource Talmud Bavli,he,מפני תיקון העולם:,hebmorph-standard,118.36745
73,--,Rosh on Gittin 4:8:1,Vilna Edition,he,מתני' אין אלמנה נפרעת מנכסי יתומים אלא בשבועה נמנעו מלהשביעה התקין רבן גמליאל הזקן שתהא נודרת ליתומים כל מה שירצו וגובה כתובתה העדים חותמין על הגט מפני תיקון העולם והלל התקין פרוזבול מפני תיקון העולם:,aggresive-ngram,11.973121
74,--,Gittin 48b:11,Wikisource Talmud Bavli,he,והמוצא מציאה לא ישבע מפני תיקון העולם:,hebmorph-standard,94.17319
75,--,Gittin 51a:16,Wikisource Talmud Bavli,he,תנאי היא דתניא אין מוציאין לאכילת פירות ולשבח קרקעות ולמזון אשה והבנות מנכסים משועבדים מפני תיקון העולם לפי שאין כתובין,hebmorph-standard,55.16114
76,--,Gittin 48b:13,Wikisource Talmud Bavli,he,"אמר אביי לא צריכא אלא לרבי ישמעאל דאמר מדאורייתא בדניזק שיימינן קמ""ל מפני תיקון העולם שיימינן בדמזיק",hebmorph-standard,56.40937
77,--,Gittin 48b:12,William Davidson Edition - Aramaic,he,גמ׳ מפני תיקון העולם דאורייתא היא דכתיב מיטב שדהו ומיטב כרמו ישלם,hebmorph-standard,52.876072
78,--,Gittin 3b:4,William Davidson Edition - Aramaic,he,רבי אלעזר אומר אף על פי שאין עליו עדים אלא שנתנו לה בפני עדים כשר וגובה מנכסים משועבדים שאין העדים חותמים על הגט אלא מפני תיקון העולם,hebmorph-standard,53.544247
79,--,"Beit Yosef, Yoreh Deah 252:4:1","Tur Yoreh Deah, Vilna, 1923",he,אין פודין השבויים יותר מכדי דמיהם מפני תיקון העולם משנה בפרק השולח (מה.):,hebmorph-standard,56.242176
80,n,"Shulchan Arukh, Orach Chayim 39:2",Wikisource Shulchan Aruch,he,כל שפסול לכותבן פסול בכל תיקון עשייתן:,infreq,13.358215
81,--,Gittin 33a:5,William Davidson Edition - Aramaic,he,מפני תיקון העולם מאי מפני תיקון העולם רבי יוחנן אמר מפני תקנת ממזרים ריש לקיש אמר מפני תקנת עגונות,hebmorph-standard,73.36718
82,--,Rashi on Gittin 48b:11:2,Vilna Edition,he,מפני תיקון העולם - אכולהו קאי:,hebmorph-standard,92.36783
83,--,Havot Yair 186:14,"Chavot Yair, Lemberg, 1896",he," כך מפני תיקון עולם שלא לכוף בכה""ג דאל""כ יפרשו כמה וכמה מן הציבור בשכירות חזן לימ""נ ותוקע ויסמכו על יראי ה' שמ""מ ישכירו הם.",original,1.1845665
84,--,Gittin 36a:8,Wikisource Talmud Bavli,he,אמר רבן גמליאל תקנה גדולה התקינו שיהיו מפרשין שמותיהן בגיטין מפני תיקון העולם,hebmorph-standard,59.12417
85,--,Gittin 36a:6,William Davidson Edition - Aramaic,he,רב יוסף אמר אפילו תימא לרבי מאיר התקינו שיהא עדים מפרשין שמותיהן בגיטין מפני תיקון העולם,hebmorph-standard,65.58609
86,--,Gittin 36a:4,William Davidson Edition - Aramaic,he,והעדים חותמין על הגט מפני תיקון העולם מפני תיקון העולם דאורייתא הוא דכתיב וכתוב בספר וחתום,hebmorph-standard,103.07683
87,--,"Sefat Emet, Numbers, Nasso 4:4","Sefat emet, Piotrków, 1905-1908",he," נעשה להביא דברי תורה לבחי' עשי'. גם פי' מעשה התבטלות הגוף להשתעבד להתורה מלשון גט מעושה. שכל המעשים הנוגעין לגוף צריכין עבודה לעשותם בטוב לכן תיקון עולם העשי' חביב לפני הקב""ה [וע""ז נאמר עולת תמיד העשוי' בהר סיני שאז בא התורה לבחי' המעשה] והבן:",original,0.9810736
88,--,Rashi on Gittin 48b:13:2,Vilna Edition,he,קמשמע לן - מדרבנן מפני תיקון העולם שיהו נזהרין מלהזיק דבמזיק שיימינן:,hebmorph-standard,52.876072
89,--,Habakkuk 3:6,Tanach with Nikkud,he,עמד וימדד ארץ ראה ויתר גוים ויתפצצו הררי־עד שחו גבעות עולם הליכות עולם לו,hebmorph-exact,5.510483
90,--,Gittin 34b:2,Wikisource Talmud Bavli,he,"מתני׳ בראשונה היה משנה שמו ושמה שם עירו ושם עירה התקין ר""ג הזקן שיהא כותב איש פלוני וכל שום שיש לו אשה פלונית וכל שום שיש לה מפני תיקון העולם:",aggresive-ngram,12.000014
91,--,"Sefat Emet, Genesis, Vayera 10:4","Sefat emet, Piotrków, 1905-1908",he, ואברהם הי' מתחזק בצדקו מאליו כי בדרך שאדם רוצה לילך מוליכין אותו והוא בחר לו זה הדרך שמעצמו ימצא לו דרך האמת ולכן הצדיקים שהיו מקודם היו נולדים מהול והוא בעבודתו זכה למצות מילה והוא תיקון עולם העשי,hebmorph-exact,0.78628665
92,--,Shmonah Kvatzim 5:106:1,Rav Kook public files,he," בהירות ועצמה, ברירות וצלילות הדעת, תגבורת כח של תיקון עולם ותיקון עולמים, הכברת טוב והוספת פאר ועונג מרגע לרגע, פתיחת מעינות מלאות חיים והוד אהבה מלאה, רעננה וקדושה, ומילוי מפעל, מעשה ועבודה, מתוך שמחה, עדינות, תפארת וזיו משוכלל ומתעלה. יום ליום יביע אומר ולילה ללילה יחוה דעת.",hebmorph-exact,0.6889821
93,n,Taanit 10a:1,William Davidson Edition - Aramaic,he,בברייתו של עולם,hebmorph-exact,5.800826
94,--,Gittin 34b:8,William Davidson Edition - Aramaic,he,העדים חותמין על הגט מפני תיקון העולם והלל התקין פרוזבול מפני תיקון העולם,hebmorph-standard,89.15409
95,n,Or HaChaim on Numbers 28:26:1,On Your Way,he,"בהקריבכם וגו' בשבועותיכם. נתכוון לומר כי אין החג על סימן מנחה חדשה לבד אלא גם לתשלום ספירת השבועות, כי הוא תיקון גדול לנשמות עם בני ישראל כאמור בספרי אנשי אמת, ודקדק לומר בשבועותיכם בכינוי, להעיר כי",hebmorph-exact,5.7276306
96,--,Orot HaKodesh 1:7:17:1,Orot HaKodesh -- Wikitext,he,"(קלז) עת תחית הקודש - לעת כזאת שתחית האומה מתעוררת, והיא בכל יום יוצאת מן הכח אל הפועל בגוונים שונים, וכל העולם כולו הולך ורועש ברעש מלחמה, שמגמתה הנסתרת, אשר רק לאלהים פתרונים, היא בודאי העמדת תיקון עולם במלכות שדי, על ידי שיבתם של ישראל לבצרון, להיות עם נכון ונשא, מעוטר בכל כחותיו וסגולותיו, שעל ידה יאיר האור המבהיק, האור האלהי, שיתגלה בכל ארחות החיים, בכל חיי כל חי, ובכל סדרי התבל, במשטרי העמים, ובמהלכי הרוח אשר לאדם בכלל,גם צבאות מרומים הולכים הם ומתתקנים, מחשכי החורבן, ומאסרי השכינה במעמקי גלותה הולכים ומתפתחים. השלשלאות אשר רגליו של משיח אסורות בהן הולכות ומשתברות, מתפרקות ונעשות כנעורת לפני אש, כחוטי פשתן דקים שעוברים בין להבות בוערות. אף על פי שהתחיה הלאומית בישראל, וסימני תחית",original,0.789711
97,--,Korban Netanel on Gittin 111:2,Vilna Edition,he," למזיק עידית בינונית וזיבורית. וזיבורית דידיה כעידית דעלמא ועידית דידיה כעידית דניזק. ומפני תיקון עולם שיימינן כעידית דניזק. וא""כ אית לן לאוקמי הך ברייתא דאברם חוזאה אפילו אליבא דר""ע בכה""ג. אלא דניחא",hebmorph-exact,4.499347
98,--,Shmonah Kvatzim 4:61:1,Rav Kook public files,he," המעשה. והכונה העליונה, הכונה מלאת החיים האלהיים, כל מחשבה של שלום, ושל מלחמת צדק ויושר, כל נצוח של חכמה, של סדר טוב ונחמד, כלול בתוכה. כל תיקון עולם כלול בה. ",original,0.789711
99,--,Gittin 32a:4,William Davidson Edition - Aramaic,he,בראשונה היה עושה בית דין ממקום אחר ומבטלו התקין רבן גמליאל הזקן שלא יהו עושין כן מפני תיקון העולם,hebmorph-standard,57.25389
100,--,Mishnah Gittin 4:3,"Mishnah, ed. Romm, Vilna 1913",he,אין אלמנה נפרעת מנכסי יתומים אלא בשבועה. נמנעו מלהשביעה. התקין רבן גמליאל הזקן שתהא נודרת ליתומים כל מה שירצו וגובה כתובתה. העדים חותמין על הגט מפני תיקון העולם. הלל התקין פרוזבול מפני תיקון העולם:,hebmorph-standard,74.11043
