Id,Relevance,Ref,Version,Lang,Content,Field,Score
49,--,Rashi on Megillah 15b:6:3,Vilna Edition,he,פקו פליליה - לגיהנם נשפטו:,aggresive-ngram,23.059212
50,--,Rashi on Isaiah 24:22:2,On Your Way,he,אספה . שהוא לרעתם להכניס אסיר אל בור המוכן לו מחוייבי גיהנם לגיהנם :,ngram,29.981327
51,--,Rashi on Isaiah 24:22:3,On Your Way,he,וסוגרו על מסגר . הם שבעה מדורי גיהנם :,ngram,38.689457
52,--,Rashi on Isaiah 48:10:1,On Your Way,he,"ולא בכסף . ולא ע""י אור של גיהנם כצורף הכסף באור : ",ngram,32.218613
53,--,Rashi on Yoma 72b:15:1,Vilna Edition,he,צורפתו - ביסורין ובגיהנם:,aggresive-ngram,23.059212
54,--,Rashi on Avodah Zarah 17a:28:1,WikiSource Rashi,he,שצועקות מגיהנם - על רוב ייסורי גיהנם:,ngram,45.16976
55,--,Nedarim 22a:9,Wikisource Talmud Bavli,he,אמר רבי שמואל בר נחמני אמר רבי יונתן כל הכועס כל מיני גיהנם שולטין בו שנאמר והסר כעס מלבך והעבר רעה מבשרך ואין רעה אלא גיהנם שנאמר כל פעל ה' למענהו וגם רשע ליום רעה,infreq,24.648108
56,--,Pesachim 54a:10,William Davidson Edition - Aramaic,he,גן עדן דכתיב ויטע ה׳ אלהים גן בעדן מקדם גיהנם דכתיב כי ערוך מאתמול תפתה,ngram,31.902435
57,--,Rashi on Kiddushin 40a:2:4,Vilna Edition,he,נפיל בהא - באור של גיהנם:,ngram,45.10606
58,--,Rashi on Isaiah 30:33:2,On Your Way,he,תפתה . גיהנם שכל המתפתה ביצרו נופל שם :,ngram,38.662334
59,--,Rosh Hashanah 17a:6,William Davidson Edition - Aramaic,he,אמר רבי יצחק בר אבין ופניהם דומין לשולי קדירה ואמר רבא ואינהו משפירי שפירי בני מחוזא ומקריין בני גיהנם,ngram,28.904947
60,--,Nedarim 40a:5,William Davidson Edition - Aramaic,he,ואם ביקר מה שכרו מה שכרו כדאמר ניצול מדינה של גיהנם אלא מה שכרו בעולם הזה,ngram,31.360144
61,--,Eruvin 19a:18,William Davidson Edition - Aramaic,he,ותו ליכא והאיכא גיהנם גיא שעמוקה (בגיהנם) שהכל יורד לה על עסקי הנם,ngram,40.21925
62,--,Metzudat Zion on Psalms 9:18:1,On Your Way,he,"לשאולה. כן יקרא הגיהנם:
",aggresive-ngram,22.624826
63,--,Rashi on Proverbs 21:16:2,On Your Way,he,"בקהל רפאים . בעדת גיהנם :
",ngram,51.549778
64,--,Sanhedrin 110b:2,Wikisource Talmud Bavli,he,כל תלתין יומין מהדרא להו גיהנם כבשר בתוך קלחת ואמרי הכי,ngram,28.841375
65,--,Avodah Zarah 18b:61,Wikisource Talmud Bavli,he,כל המתלוצץ נופל בגיהנם שנאמר,aggresive-ngram,22.264477
66,--,Metzudat David on Job 17:6:2,On Your Way,he,"ותופת. הנה אני לגיהנם לפני הבריות כי רואים בי מכאובות מחולפים דוגמת יסורי גיהנם:
",ngram,30.297771
67,--,Metzudat Zion on Isaiah 14:9:1,On Your Way,he,שאול. גיהנם:,ngram,64.30376
68,--,Rashi on Proverbs 5:9:2,On Your Way,he,"ושנותיך לאכזרי . לשר של גיהנם :
",ngram,45.10606
69,--,Rashi on Eruvin 19a:19:1,Vilna Edition,he,תפתה - גיהנם דכתיב בההוא קרא מדורתה אש ועצים הרבה:,ngram,32.24122
70,--,Kitzur Baal Haturim on Numbers 23:7:5,On Your Way,he,ינחני בגימטריא לגיהנם:,aggresive-ngram,22.621382
71,--,Rashi on Isaiah 66:24:2,On Your Way,he,ואשם . בגיהנם :,aggresive-ngram,28.824015
