Index Title,Berkovits-Unity In Judaism.
"Berkovits-Unity In Judaism., Foreword.6","To facilitate dialogue and understanding among Jews, we commissioned Dr. Berkovits to analyze the biblical, talmudic and rabbinic sources on Jewish unity. We hope that this extensively documented and sensitively written paper will show Jews how high a priority their tradition places on showing respect and consideration for one another, regardless of differences in ideology or practice."
"Berkovits-Unity In Judaism., Foreword.7","Yehuda Rosenman, Director"
"Berkovits-Unity In Judaism., Foreword.8",Jewish Communal Affairs Department
"Berkovits-Unity In Judaism., Judaism and Peoplehood.1","One of the most significant facts about Judaism is that Jewish religion and Jewish peoplehood are inseparable. According to Jewish tradition, Abraham had prophetic qualities; yet the history of Judaism does not start with a prophet but with a father, <span class=""underline"">Avraham avinu</span>, our father Abraham. That is how he is referred to through the entire course of Jewish history, and that is the name that will remain with him till the end of days. When God called Abraham to his world-historic mission, one of the promises He made to him was: “And I shall make you into a great nation” (Gen. 12:2). Again, when after the sin of the golden calf God was inclined to destroy that sinful people and asked Moses to accept the task He once entrusted to our father Abraham, He addressed him in almost exactly the same way: “and you I shall make into a great nation” (Exod. 32:10). Immediately prior to the revelation at Sinai, God’s message to the children of Israel was: “And you shall be unto Me a kingdom of priests and a holy nation.” The identification of Judaism with Jewish peoplehood is evident in the words of the prophet Isaiah, who quotes God as saying: “This people I have shaped for Myself; let them tell My praise” (Isa. 43:51). The medieval philosopher Saadia Gaon summed up this aspect of Jewishness in his statement: “We are a people only through the Torah.”"
"Berkovits-Unity In Judaism., Judaism and Peoplehood.2","Yet nothing could be further from the truth than to see in the interrelatedness of Judaism and peoplehood evidence of particularism, exclusiveness, or racism. Judaism is not a missionary religion. Nothing could be more alien to it than slogans like “Compel them to enter” or “Baptism or death.” Judaism is obligatory only for Jews, and no one else. This truth was clearly formulated by the prophet Micah when he declared: “For all the nations, each one of them shall walk in the name of his God, and we shall walk in the name of the Eternal One, our God, forever” (Mic. 4:5). But no one is automatically excluded because he or she is a stranger. Anyone who, out of sincere conviction, wishes to convert to Judaism is welcome, whatever his or her race, national origin, or religious and cultural background. Becoming a Jew like any other Jew, the convert is referred to as “Ben/Bat Avraham Avinu,” son/daughter of our father Abraham, and thus enters that “great people” which God promised Abraham."
"Berkovits-Unity In Judaism., Judaism and Peoplehood.3","The interrelatedness of religion and peoplehood is unique to Judaism. Whereas other religions focus on the relationship between God and the individual, Judaism is the covenantal relationship between God and a people. The Jew never stands before God alone, but always within the communal reality of the Jewish people, its teaching, experience, and historic continuity. Outside of Judaism, individuals belonging to different religions may belong to the same people; their religions do not determine or require peoplehood. But a gentile who converts to Judaism automatically enters the Jewish people."
"Berkovits-Unity In Judaism., Judaism and Peoplehood.4","Furthermore, Judaism’s concern is not primarily the salvation of individual souls but the comprehensive spiritual, socioethical, economic and political reality of human existence. Thus Judaism is best characterized, not as a religion, but as the covenantal civilization of a people."
"Berkovits-Unity In Judaism., Judaism and Peoplehood.5","The interdependence of Judaism and peoplehood dictates the unity of the Jewish people. In the words of the Talmud: “The Holy One, blessed be He, said to Israel: You have made <span class=""underline"">Me</span> one in the world, so will I make <span class=""underline"">you</span> one in the world. You made Me one, as it is written: ‘Hear Israel, the Eternal, our God, the Eternal is One’ (Deut. 4:5). So will I make you one in the world, as it is written: ‘Who is like Your people Israel one nation on earth’ (2 Sam. 7:23).” The singularity and unity of the Jewish people has lasted for many centuries. Surely it is remarkable that a people dispersed in the world, without a government, without a country of their own, managed to remain one people. Jews from various backgrounds, various cultures, speaking different languages, even differing in their religious observances, immediately recognized and acknowledged each other as Jews. Indeed, we have been one people on earth, and more intimately attached to each other than have been the members of any other nation."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.1","There is a rich talmudic and midrashic tradition on our subject that is best represented by two interpretations of the <span class=""underline"">arba minim</span>, the four plants of the Sukkoth festival. Both interpretations see the plants as symbols of the Jewish people."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.2","The Bible says: “And you shall take unto you on the first day the fruit of a goodly tree, palm branches, the boughs of thick-leaved trees, and willows of the brook, and you shall rejoice before the Lord your God for seven days” (Lev. 23:40). One rabbinic explanation is:"
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.3","“The fruit of a goodly tree,” such are Israel. Just as the <span class=""underline"">etrog</span> has taste as well as aroma, so too there are members of the people of Israel who are masters of the Torah and also doers of good deeds."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.4","“Palm branches,” such are Israel. Just as the date palm has taste but no aroma, so too there are Israelites who are Torah scholars but do not perform good deeds."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.5","“Boughs of thick-leaved trees,” such are Israel. Just as the myrtle has an aroma but no taste, so too there are Israelites who do good deeds but are ignorant of Torah."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.6","“Willows of the brook,” such are Israel. Just as the willow has neither taste nor aroma, so too there are Israelites who neither perform good deeds nor study Torah."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.7","What does God do? To destroy them is not possible. So He says: Let them unite. Thus they will atone one for the other (<span class=""underline"">Midrash Rabba, Vayikra</span> 30)."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.8","The other interpretation, expressing a similar idea, appears in the talmudic tractate <span class=""underline"">Menahot</span> 67a. Of the four plants it says:"
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.9","Two of them produce fruit. The other two do not produce fruit. The fruit-producing ones are in need of the fruitless ones, and the fruitless plants are in need of those that do bear fruit. A Jew cannot fulfill the festival commandment unless the four are joined in one bouquet. So it is with Israel. When they seek acceptance by God, let them form a united association."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.10","Obviously, in both statements the rabbis emphasize the responsibility of every Jew to strive for Jewish unity. However, the responsibility derives from a preexistent unity, one which is given. Only because Israel is <span class=""underline"">one people</span> are Jews mutually dependent. What each Jew does has an effect on all the others; individual behavior influences the plight or destiny of the whole. One may live and act against the unity of the Jewish people and thus weaken the foundations of our existence, or one may cooperate with it and enrich the sources of our strength and enhance the life of all Israel. The personal and national responsibility for unity emanates from the unity of fate that is the share of every Jew from birth."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.11","The oneness of Israel is the work of the One God. Israel, as one people, has been chosen for a special task in God’s plan for human history. Its unity of fate is its unity of destiny. Within it every Jew has his place without distinction, independent of opinions, ideas, ideologies or conduct. The unity of fate and destiny places upon us responsibility toward our fellows and toward the nation in its entirety."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.12",*
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.13","How is the nature of that responsibility for the preservation of national unity to be understood? The two midrashic statements that formed the starting point of our discussion seem to express one idea: that the four plants used at the holiday of Sukkoth symbolize the need for Jewish unity. However, the two interpretations differ in emphasis. The first uses the concepts of “Torah and good deeds,” categories of the holy and the ethical. The other, describing the various sectors within the Jewish people, employs the symbolism of fruit-bearing and barren plants, that is, it speaks in pragmatic, utilitarian categories."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.14","The need for unity formulated in pragmatic terms, the mutual dependence of the fruit-bearing plants and the barren ones, suggests a unity to be preserved in the mundane dimension. A scientist whose work is essential for the well-being of the people, independent of his religious commitments, certainly belongs to the “fruit-bearing” section of Israel. Dare we say that the <span class=""underline"">halutzim</span>, the pioneers, without whose sacrificial toil the State of Israel could not have been established, would have to take their place in the “barren” sector of our society because in their majority they were secularists? Certainly not! The destiny of the Jewish people realizes itself on a twofold track: a social-economic-political track that is vital for all nations; and a spiritual, Torah-guided track of faith and values, without which life itself becomes meaningless for Israel. And the Jew has to accept responsibility for unity on both tracks, the mundane-utilitarian as well as the spiritual-sacred. Jewish destiny fulfills itself in the integration of both."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.15",*
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.16","How shall we meet the responsibility for unity in the two realms? As to the pragmatic-utilitarian one, it is easy to see that the “barren” elements are dependent on the “fruit-bearing” ones. But what does it mean that the “fruit-bearing” are also in need of the “barren”? In order to understand the point of this symbolism, we must ask: Who are the productive elements in society? The answer will depend on a person’s social ideologies, beliefs and prejudices. For the worker, the capitalist may be a parasite, and vice versa. The same applies to differences of origin. Jews of Western descent often judge those of Eastern descent as backward. If we use the term “exploiter,” each side may apply it to the other. Responsibility for unity means that one must not allow one’s relationship to others to be determined by such considerations. One must strive to bridge the social-economic-cultural gap. We are all dependent on each other, all in need of each other. And divisions within our people tear at the very essence of Jewishness. Even if one is undoubtedly a “fruit-bearer,” if that status leads him to separate from other Jews, the value of his “fruits” becomes questionable."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.17","The idea has added significance in the spiritual-sacred dimension. Of each one of the four groups that the four plants symbolize it is said: <span class=""underline"">eleh Yisrael</span>, “such are Israel,” those without “Torah and good deeds” no less than those of “Torah and good deeds.” Looking at their division, God says: “To destroy them is not possible.” To destroy them all? Why should it occur to anyone to destroy even the masters of the Torah who also practice good deeds? Apparently, if there is no unity among them, God’s interest in all Jews diminishes. He wants the “one people on earth,” not a mere private holy society of saints. Even more surprising is the conclusion: “Let them all join together in unity and they will atone for each other.” That the men of “Torah and good deeds” atone for the people who are without them is understandable. But there is also an implication that those who are empty of “Torah and good deeds” will atone for those who are distinguished by them. How so? And why indeed would Torah scholars who practice good deeds be in need of atonement at all? It would seem that the rabbis believed that if there is no unity in Israel all are responsible, all are to be blamed."
"Berkovits-Unity In Judaism., The One People Destiny and Responsibility.18","And in any case, who are the masters of Torah and good deeds? Once again, there prevail all kinds of ideas and ideologies among us, especially as regards the meaning of good deeds. It would seem that our sages of old taught that no matter how one understands the categories of the sacred, if they cause us to create disunity within the “one people on earth” that God has “formed for Himself,” one is guilty and in need of atonement, and to receive that atonement one is dependent on reestablishing unity with that section of the Jewish people that one assumes is empty of Torah and good deeds."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.1","In the light of this tradition, what ought to be the relationship among the various ideological groupings within the Jewish people today? Clearly, any expression of disrespect toward another Jew violates both the unity of destiny that has its origin in the covenant between God and Israel and the unity based on responsibility to which all Jews are called."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.2","One may gain deeper insight into the importance of the right relationship to Jews whom one might consider “barren ones” or as being “without Torah and good deeds” from some words of Rabbi Shneur Zalman Shneurson, of blessed memory, founder of the Habad branch of the Hasidic movement. In his work <span class=""underline"">Likutei Amarim</span> (ch. 32), he discusses a talmudic statement that, at first, sounds unpleasantly abrasive. Advising someone who “sees that his fellow man sins,” the Talmud says it is a mitzvah, a commandment, to hate him. He is even ordered to tell the man’s teacher so that the teacher too might hate him. Rabbi Shneur Zalman notes, however, that the Hebrew word <span class=""underline"">haver</span>, which is usually translated as “fellow man,” actually has the literal meaning of “associate,” someone on our level in the study and the knowledge of Torah and the practice of the divine commandments. If such a person sins, one has to respond with reproof. If after repeated remonstrances he continues in his objectionable ways, then one may hate him. But this applies only to one who is close to us in Torah observance. If the person is not a <span class=""underline"">haver</span>, and is removed from us in his way of life, we are bound by the advice of Hillel the Elder: “Be you of the disciples of Aaron, loving peace … loving human beings and bringing them near to the Torah,” for the “cords of love” may guide them to Torah and to the service of God."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.3","Rabbi Shneur Zalman continues: Even regarding the <span class=""underline"">haver</span>, he who is near to us, one is commanded to love him and to hate him simultaneously. One is to hate the evil in him, and love the good that is hidden in him, which is the divine spark that gives life to his soul. The good is, as it were, in exile, overpowered by the evil. Compassion will dissolve the hatred and awaken the power of love."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.4",*
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.5","We limit our discussion to the relationship between the various religious groupings within Judaism. Reform, Conservative, and Reconstructionist ideologies are, of course, opposed to the Orthodox interpretation of Judaism. Because of that, are non-Orthodox Jews to be considered disbelievers or heretics from an Orthodox standpoint?"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.6","Rabbi Yosef Albo (1380-1444), in his <span class=""underline"">Sefer Ha’Ikkarim</span>, has a significant discussion of the theme in which he defines the concept of heresy. Albo notes the strange fact that some of the leading rabbis quoted in Talmud, Midrash, and their commentaries occasionally disagree with each other in matters of basic belief. We find, for instance, that the Jerusalemite Amora, Rabbi Hillel, maintained that the Jews should not expect a future Messiah, since they already “forfeited” him in the days of King Hezekiah. Rabbi Yehuda, basing himself on the biblical counting of the first days of creation even before the sun, moon and stars were formed, asserts that there must have been an order of time even before the creation of the world. Rabbi Eliezer the Great inquires after the substance out of which heaven and earth were made, as if he rejected the belief in creation out of nothing. (Actually, the 14th-century philosopher Gersonides explicitly accepted the Aristotelian view of an uncreated original matter that was coeval with God and out of which God created the world.) There are also serious disagreements between Maimonides and Nachmanides on the nature of reward and punishment in the world to come, as well as on the doctrine of resurrection. Since these disagreements have a bearing on fundamental teachings, shall we say that the epithet “heretic” applies? Obviously not, maintains Albo. He reaches the following conclusion:"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.7","The correct and true way may be learned from what our teachers, of blessed memory, said about Elisha, the son of Abuha, about whom the decree was announced: “Return ye straying sons, except Elisha. For he knew his Creator, but intended to rebel against Him.” This proves that their opinion was that only one who knows the truth and yet denies it, he alone belongs to the category of the <span class=""underline"">reshaim</span> [wicked, transgressors], who do not deserve the opportunity of return. But he who has no intention to rebel, nor to depart from the way of truth, nor to deny what is contained in the Torah or transmitted by the Oral Tradition, but explains the verses [of the Bible] according to his own understanding, such a person, even if his explanation is contrary to the truth, God forbid that he should be called a heretic or infidel."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.8","The essence of Albo’s theological interpretation emerges also from a statement that appears in the <span class=""underline"">Shulhan Arukh</span>, the authoritative code of Jewish law. A person who transgresses a biblical commandment is not trusted to testify in court. Yet, if one transgresses, even after receiving a warning, because one believes that what he does is permissible, one is to be admitted as a witness (<span class=""underline"">Hoshen Hamishpat, Hilkhot Edut</span>, ch. 34)."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.9","On this basis, one can say that Reform and Conservative rabbis certainly do not mean “to rebel, to depart from the path of truth and to deny.” Rather, they are convinced that their interpretation of Judaism is the correct one. They explain it according to their understanding, and their intention is <span class=""underline"">le-shem shamayim</span>, for the sake of heaven. Obviously, the Orthodox view is that they explain the Torah “contrary to the truth,” but, as we have seen, that does not make them heretics and disbelievers. They are <span class=""underline"">toim</span>, Jews in error. As such, they are not transgressors, and may be admitted as witnesses in a Torah court."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.10","As to the rabbinical authorization of Reform and Conservative rabbis, it may be well to recall some words of the authoritative 16th-century scholar Rabbi Moses Isserles in his work <span class=""underline"">Darkei Moshe</span>. On the subject of <span class=""underline"">semikhah</span> (rabbinical authorization), Maimonides states: “A rabbinical court may grant <span class=""underline"">semikhah</span> in limited areas [of halakhic decisions], but only if the person is qualified in all areas …” (<span class=""underline"">Sanhedrin</span>, ch. 4). Explains Rabbi Isserles: “It seems that this applies only to the times when the law of <span class=""underline"">semikhah</span> [the original classical teaching and judging authorization] was in practice. But today’s <span class=""underline"">semikhah</span> is nothing but a privilege granted, and for whatever a person is qualified, he is qualified” (<span class=""underline"">Yore De’ah</span> 242). On this basis, it would seem that the general rejection of all marriages at which Reform or Conservative rabbis officiate is halakhically unjustified. All that is needed for a marriage to be legally binding is the espousal of an unmarried Jewess by an unmarried Jew in the presence of two witnesses. In our times there exists, in the overwhelming majority of cases, no problem regarding the qualification of the witnesses."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.11","According to a decision of the Israeli chief rabbinate over 40 years ago, even a non-Orthodox Jew may be accepted as a witness. There were times when social trustworthiness was dependent on religious observance, and in those days a transgressor of religious commandments was also suspected of testifying falsely. However, “in these matters,” runs the decision of the chief rabbinate, “the reliability of a witness is to be determined in accordance with the conditions of the time and place.” Thus someone who does not adhere to the Sabbath laws is qualified to be a witness (see M. Elon, <span class=""underline"">Ha-Mishpat Ha’Ivri</span>, I, 85-86). It is true that, years later, another Israeli chief rabbinate overruled this opinion and restored the law as it had previously prevailed. But is the matter to be considered as settled for all conditions and for all times to come?"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.12","The Talmud itself actually records two opinions about this matter. According to Abaya, a person who desecrates the Sabbath knowingly would not be admitted as a witness. Rabba, on the other hand, is of the opinion that only a person who transgresses laws dealing with monetary matters, who is dishonest, is not fit to be a witness (<span class=""underline"">Sanhedrin</span> 27a). Even though disagreements between Abaya and Rabba are usually decided according to Rabba, this is one of the few exceptions when we rule according to Abaya. Nevertheless, if, because of changed conditions and circumstances, a rabbinical authority should rule that an honest person may be trusted as a witness, independent of his religious opinions and behavior, he would have the talmudic authority of Rabba to lean on."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.13","In another context, Maimonides makes a revealing comment about the biblical rules regarding witnesses. According to the Torah, the testimony of two witnesses is required in order to establish a fact in court (Deut. 19:15). Yet, in the case of a woman whose husband’s whereabouts are not known, if one person testifies to his death, the testimony is accepted and the woman is considered a widow and may, if she so desires, remarry. A number of other biblical rules about the validity of testimonies were also overridden in order to free a woman whose husband has disappeared from her marriage bonds (<span class=""underline"">Yevamot</span> 87b). The question arises: How could the rabbis rule against the laws of the Torah on testimonies? Maimonides explains the matter in the following words:"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.14","The Torah did not insist on two witnesses and on the other rules concerning testimony, except where there is no other way of establishing the fact clearly but by the witnesses and their testimony…. However, when a fact may be ascertained independently of the witnesses, or where as in this case, there is sufficient reason to trust even only one witness, the Torah does not insist [on the literal adherence to the written word]. In this case, it would be far-fetched to assume that the testimony was false. Therefore, the sages were lenient and admitted even one witness… (Maimonides, <span class=""underline"">Hilkhot Gerushin</span> 13:2a)."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.15","Maimonides makes the important point that biblical rules regarding testimony were not meant as fundamentalist dicta without any reference to conditions and circumstances. Their only purpose is to establish the factual truth. If, therefore, that truth can be established in a different way, and a given situation requires that it be so established, then it is the meaning of the biblical law that we do not adhere to the written word. (See my Hebrew work, <span class=""underline"">Ha-Halakhah, Koha ve-Tafkidah</span>, p. 201.)"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.16","There is no doubt that in our own days it would be a monstrous act of injustice to declare hundreds of thousands of nonobservant Jews to be untrustworthy witnesses, so that their testimony could not verify a fact. Such a rule would not only contradict the purpose of the biblical law on testimony but would be a serious violation of fundamental principles of Jewish ethics. There can be no doubt that, in the present circumstances, religious observance cannot be the qualification of a person as a witness. Since there is no doubt that non-Orthodox rabbis would accept as a witness only a person who is trustworthy from an ethical point of view, one would have to say that many of the marriages at which they officiate are indeed halakhically binding."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.17","Similarly, the general rejection of all conversions performed under the direction of non-Orthodox rabbis is halakhically not justified. It is an uncontested statement of Maimonides, based on the Talmud, that “a convert who was not examined [for his motivation] or was not informed of the mitzvoth and the seriousness of their transgression, but underwent circumcision and ritual immersion in the presence of three laymen, is accepted, i.e., he is a Jew in all matters” (<span class=""underline"">Issurei Bi’ah</span>, ch. 13; see also Talmud, <span class=""underline"">Yevamot</span> 47b). It is true that this is the law only <span class=""underline"">be-di’aved</span>, de facto, after the event. However, it is an accepted halakhic principle that <span class=""underline"">bi-sh’at</span> <span class=""underline"">ha-dhak</span> or <span class=""underline"">tzorekh gadol</span>, in a situation of need, whatever is admissible <span class=""underline"">be-di’avad</span> may be practiced <span class=""underline"">le-khathilla</span>, ab initio. I have argued for many years that the need for Jewish unity may well justify Orthodox acquiescence in many of the practices of non-Orthodox rabbis in these matters."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.18","Needless to say, there are numerous deviations, especially by Reform rabbis, in matters of marriage and conversion that can never be approved halakhically -- patrilineal descent, not requiring a Jewish divorce, conversion without immersion and circumcision, the performance of mixed marriages. This, however, does not free us from meeting in responsible and mutually respectful dialogue in order to establish contact or even tolerable working relationships in certain areas. We are all equally under obligation to strive for the unity of the Jewish people."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.19","The outright rejection of the validity of all marriages and conversions performed by non-Orthodox rabbis has very serious consequences. In fact, such an attitude actually annuls many halakhically binding marriages and ignores many halakhically effective conversions. The situation demands encounter, dialogue and rapprochement between the various ideological branches of Judaism. Even if we should not succeed in achieving a mutually accepted modus vivendi, the effort would be in keeping with the ethos of halakha and the comprehensive spirit of Judaism."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.20","In addition to encouraging better communication and understanding among ideologically polarized rabbis and scholars, we might also attempt to promote better organizational coordination. One of the greatest achievements of the Jewish people during its centuries of exile was the institution of the <span class=""underline"">kehillah</span>, the local communal organization. Within its framework, all Jews in each community, regardless of ideological differences, administered their religious, educational, cultural and welfare activities. The <span class=""underline"">kehillah</span> functioned through the combined guidance of rabbis and lay leaders appointed by representatives of the people. Starting at the end of the 18th century and continuing on through the 19th century, increasing numbers of Jews rejected traditional Jewish practice, and this created inevitable strains within the <span class=""underline"">kehillah</span> structure. Nevertheless the <span class=""underline"">kehillah</span> maintained its effectiveness in most European countries until the Holocaust."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.21","In our day, when ideological dogmatism has become a serious threat to Jewish unity, the renewal of the <span class=""underline"">kehillah</span> might be a helpful way of getting Jews to cooperate on matters transcending ideology. Perhaps all synagogues in a particular neighborhood could unite to form a <span class=""underline"">kehillah</span> within which all would strive to sustain and enrich Jewish life through joint consultation in an atmosphere of mutual respect. It is hard to think of a better way to “atone” for each other’s shortcomings."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.22",*
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.23","The need for unity is much greater in Israel than in the Jewries of the Diaspora, since the intensity of the ideological confrontation in Israel may endanger the very foundations of the State. There is a comment by our sages on the subject that seems to speak to the present situation in Israel. The first verse in the weekly portion of <span class=""underline"">Nitzavim</span> reads: “You stand today <span class=""underline"">all of you</span>, before the Eternal One, your God.” Said the rabbis: “When is it that you are standing? When all of you become one entity. When should it happen? Today!” (<span class=""underline"">Yalkut Shimoni</span> on Deut. 29:9)."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.24","One of the most serious stumbling blocks to unity in Israel is the law of the State in matters of “personal status.” Undoubtedly this affects the unity of the people, and leaving this subject to individual discretion would bring social chaos and destroy the very basis of national existence. Yet, while government legislation is necessary, its present form is subject to criticism, since, in all matters of personal status -- marriage and divorce, conversion, determination of Jewishness -- Israeli legislation recognizes only the Orthodox branch of Judaism. This is objectionable for ethical, halakhic and spiritual reasons."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.25","From an ethical standpoint, we must not forget that for many long centuries the Jewish people suffered religious discrimination in the lands of its exile. How can we now apply the same injustice to millions of Jews who are not Orthodox in their ideology?"
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.26","It would also seem that the Israeli legislation is contrary to halakhah. For many centuries now we have lived without a Sanhedrin. Nor has there been the institution of rabbinic ordination in the authoritative sense of the idea. This means that no rabbinate or rabbis may impose their halakhic decisions on anyone unless they have been accepted by an established community or by the individuals who asked for their opinion. For instance, a rabbi elected in one community has no rabbinical authority in any other one where he is not so acknowledged. Thus the authority of the rabbinical establishment in Israel rests completely on the law of the State."
"Berkovits-Unity In Judaism., Unity in the Midst of Plurality.27","But what is the significance of the legislation of the State from the halakhic point of view? What is its binding character? In former times, besides the law of the Torah interpreted and administered by the Sanhedrin, there also existed <span class=""underline"">mishpat ha-melekh</span>, the royal law, which covered the personal status of the king and the management of the affairs of the State, like taxes, criminal law, army and war. There are rabbis who maintain that the law of the modern State of Israel has the authority of <span class=""underline"">mishpat ha-melekh</span>. I do not agree, since, according to the halakhah, <span class=""underline"">mishpat ha-melekh</span> applies only to a king or a dynasty acknowledged by a Sanhedrin and appointed by a prophet, and this is not the case in Israel today. (See Maimonides, <span class=""underline"">Hilkhot Melakhim</span>, I, 3; also <span class=""underline"">Tosafot</span>, <span class=""underline"">Sanhedrin</span> 20b, sub. <span class=""underline"">ha-melekh muttar</span>.)"
