Index Title,Major Themes.
"Major Themes., 1: Hermann Cohen’s Religion of Reason.1","In the closing quarter of the nineteenth century and during the opening years of the twentieth, the brilliantly shining star in the sky of philosophy in Germany was Hermann Cohen. As one of the founders of the Neo-Kantian School at the University of Marburg he enriched the philosophical treasures of his native land with the creations of his genius. After a life of estrangement from Judaism, the grand old man of German idealism who had started out in life as a rabbinical student at the Breslau Rabbinical Seminary, returned to the faith of his fathers, the faith of his youth. The fruit of this return was a rediscovery of religion that, in a philosophical interpretation of Judaism, Cohen considered to be the religion of reason. The final results of the rediscovery were in the process of formulation in numerous essays during the years of Cohen’s retirement from his chair in Marburg, and have been collected in three representative volumes as <i>Hermann Cohen’s Jüdische Schriften</i>. Our attention, however, will be concentrated on two works in which Cohen’s religion of reason found its final statement: the one entitled, <i>Der Begriff der Religion im System der Philosophie</i> (The Concept [Idea] of Religion in the System of Philosophy), published in 1915, and the other, <i>Die Religion der Vernunft aus den Quellen des Judentums</i> (The Religion of Reason from the Sources of Judaism), published posthumously in 1919. Franz Rosenzweig, Cohen’s faithful disciple during the master’s Berlin years, wrote of <i>Die Religion der Vernunft:</i> “In this work, that will still be read when the language in which Cohen wrote it will only be understood by scholars, was harvested the entire Jewish yield of this life and thus, indeed, the yield of this life in its entirety.”<sup>1</sup><i class=""footnote"">Rosenzweig, Franz, “Einleitung” to <i>Jüdische Schriften</i>, C. A. Schwetschke und Sohn Verlag, Berlin, 1924, p. 63.</i> To us, it would seem that the essence of <i>Die Religion der Vernunft</i> is contained in <i>Der Begriff der Religion</i>. On this subject, not unlike Philo in his days, Cohen wrote in one format for the philosophically schooled gentile reader, and in another for the believing Jewish intellectuals. <i>Der Begriff der Religion</i> is the version of <i>Die Religion der Vernunft</i> for the gentiles, whereas <i>Die Religion der Vernunft</i> is the Jewish version of <i>Der Begriff der Religion</i>."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.2",<b>I. E<small>THICS AND</small> R<small>ELIGION</small></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.3","During the years that Cohen was creating his great system of philosophy in his works on logic, ethics, and aesthetics, he could find no place in it for religion. He regarded the particularism of all religions to be all the more dangerous since it was falsified by a pretense to universalism. Cohen’s chief ethical concern was universalism; the goal of ethics was the totality (<i>Allheit</i>) of mankind. Only if religion would be willing to surrender its particularistic principles of faith, could it make mankind, in its universality, the goal of its teaching. But then it would have to submerge itself in ethics.<sup>2</sup><i class=""footnote"">Hermann Cohen, <i>Die Ethik des reinen Willens</i>, B. Cassirer Verlag, Berlin, 1907, p. 61.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.4","Ethics cannot recognize the independence of religion. It sees in religion a <i>Naturzustand</i>, a state of nature, that in its cultural maturity must dissolve in ethics. Religion may be a handmaid to ethics, helping to transmit ethics into the stream of general culture; but its goal must be self-immolation through the fulfillment of its culture function on behalf of ethics.<sup>3</sup><i class=""footnote"">Ibid., p. 587.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.5","In one respect, however, ethics must grant recognition to the idea of God. This is necessitated by a methodological problem of ethics itself. It is characteristic of the ideal of morality that it is not realizable in time. Every phase of ethical realization is momentary; the striving and the progress must continue in eternity. This is the law of the ethics of the pure will. Ethics requires eternity. One must never waver in one’s trust in eternal progress, that alone can bring about the full triumph of the idea of the Good. But how does one get the certainty of eternal duration? The eternity of the ideal is not to be separated from the eternity of Nature. For without Nature as its foundation the ideal is not realizable. One cannot strive for the realization of the ethical ideal in a void. The monotheistic God idea is introduced into the system in order to guarantee the eternity of the ethical ideal by securing its indispensable parallel, the eternally continued existence of Nature."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.6","“God means that Nature has continued existence as certainly as morality is eternal. The ideal (of morality) can as little provide this certainty as it can be provided by nature.” The surety of this parallelism is the truth that Cohen calls God. “And now the eternity of the ideal is secured through the divine providence over nature for the sake of morality.” <sup>4</sup><i class=""footnote"">Ibid., pp. 446, 450.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.7","What we get here is, of course, a reformulation of Kant’s idea of God as “a postulate of practical reason.” It is incorporated into the system as a solution to a methodological problem. Cohen acknowledged its importance for his ethics in later years when he wrote that without it, his <i>Ethics</i> would have remained a “torso.”<sup>5</sup><i class=""footnote"">Cohen, <i>Der Begriff der Religion im System der Philosophie</i>, A. Toepelwaum Verlag, Giessen, 1915; p. 51.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.8","This was how far Cohen went in admitting religion into his ethics. But when his long road of <i>t’shuba</i>, of return to Judaism, was about to be accomplished intellectually too, he found that there were other problems of man as he lived with himself as well as with his fellow man that remained unresolved in his system and, with regard to them, ethics was helpless. In the <i>Ethik</i> man is not the individual human being as he exists in his biological reality and social and historical context. There, man is defined by what he ought to be; that means that he is understood through the ideal of <i>Allheit</i>, the ideal of the universality of man, that of mankind. Man, one might say, is mankind. “Therefore, without (the idea of) totality (<i>Allheit</i>), and that means without <i>beginning</i> with totality, the idea of man cannot only not be completed, but it can absolutely not be developed and established.”<sup>6</sup><i class=""footnote""><i>Ethik</i>, p. 7; cf. also, <i>Religion der Vernunft Aus den Quellen des Judenturns</i>, J. Kauffmann Verlag, Frankfurt a.M., 1919, p. 15.</i> In <i>Der Begriff der Religion</i>, Cohen recognizes that this idea of man is inadequate. It does not take cognizance of the day-to-day reality of the human condition. And, now, he asks what for the author of the <i>Ethics</i> is the surprisingly bold question: “What is man and what is he lacking, if he is <i>only</i> mankind?”<sup>7</sup><i class=""footnote""><i>Der Begriff</i> etc., p. 52.</i> What is he indeed, in his own private situation? There are times of human weakness, of human failure. Above all, there is sin—“sin that overwhelms man; through it he loses his human dignity. He is diverted from the path of mankind and shrinks into <i>Individuum</i>, an individual.”<sup>8</sup><i class=""footnote"">Ibid., p. 55; cf also <i>Die Religion der Vernunft</i>, p. 207.</i> If we wish to use a more apt term for what he wishes to say, we might exchange Cohen’s <i>Individuum</i> for Kierkegaard’s “single one.” What can ethics do for a man, who is conscious of his guilt and cannot free himself from it? Here is the boundary line between ethics and religion, according to Cohen; here is the “birthplace of religion.” How strange that only at this late hour in his life did it occur to Cohen to raise the basic question of human existence in all seriousness! There is, of course, a trace of it already in the <i>Ethik</i>. He quotes the fateful words of Ezekiel of the “soul that sins,” that were to play such an important part, years later, in <i>Die Religion der Vernunft</i>, that the soul is the “person,” the <i>Individuum</i>, that is discovered in the sin.<sup>9</sup><i class=""footnote""><i>Ethik</i>, p. 299.</i> However, nothing comes of it in the <i>Ethik</i>. There it leads into a <i>cul de sac</i> and it is soon forgotten. Is it possible that there was present in Cohen much more of the affirmations and commitments of his youth as an observant Jew than the Herr Professor permitted to well up into his full consciousness?"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.9","There is yet another problem of man with which ethics, as conceived by Cohen, cannot cope. It arises, not from the life of man as he struggles with his own conscience in the solitude of his heart, but from the life of man in society, together with other human beings. A fundamental concept of ethics is the idea of honor, of human dignity. The essence of man, says Cohen, is his dignity—his human dignity, he adds significantly. He means by the addition, a dignity that is his, not because of his individual or particular status, but an honor and respect that is due to him simply because he is man. Therein is grounded the idea of the equality of all men.<sup>10</sup><i class=""footnote"">Ibid., p. 492.</i> However, as Cohen puts it in <i>Der Begriff der Religion</i>, this respect refers to the moral dignity of man. It does not consider the particular situation in which each individual human being finds himself. It has no eye as to whether a man is poor or rich, miserable or happy. In the equality of their dignity because they are all human, one perceives the individual as an abstract humanity. Just as the individual cannot emerge unto himself with the help of ethics alone, neither can the other man claim my attention as an individual, as “a single one.” <sup>11</sup><i class=""footnote"">“<i>Der Begriff</i>, p. 79.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.10","Cohen formulates the problem somewhat differently in the introduction to <i>Die Religion der Vernunft</i>. We saw earlier in our discussion, that in his ethics the “I” is really mankind. But from this follows, that so also is the “He” or “She.” And, indeed, on the basis of the <i>Ethik</i> there is no difference between the “I” and the “He.” Whatever is due to him is also due to me. What is missing in this scheme is the “Thou.” The “Thou” comes into being when I behold the man beside me in his individual circumstances that may lay claim to my pity. But while there is room in Cohen’s ethics for universal honor and dignity, there is none for individual pity or sympathy.<sup>12</sup><i class=""footnote""><i>Die Religion</i>, pp. 18–20.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.11","Because of these insufficiencies, ethics has to call on religion for the solution of its unresolved problems. This does not mean that ethics now recognizes the sovereign independence of religion, but only its specific character, a character which is not distinguished by some other source of knowledge and truth—which is impossible—but only by its specific contents. Ethics does not here turn into religion. However, by the broadening of its problems, by the completion of its concept of man through the idea of the individual, and by an enriched self-awareness, the compass of ethics is expanded to include the contents of religion.<sup>13</sup><i class=""footnote""><i>Der Begriff</i>, pp. 45, 58, 62.</i> But how is the complete harmony between the two to be achieved while preserving the unity of their methodological validity? The answer to the question is provided by Cohen’s religion of reason, as presented to us in the two volumes, <i>Der Begriff der Religion</i> and <i>Die Religion der Vernunft</i>."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.12",<b>II. T<small>HE</small> R<small>ELIGION OF</small> R<small>EASON</small></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.13",<b>1. <i>Being and Becoming</i></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.14","As Cohen puts it, “reason is the organ of the laws,” meaning that it is the instrument that provides the rules that validate the speculations of man, the laws of logical thinking. The religion of reason, accordingly, is under the authority of such speculative lawfulness. It disregards all historical factuality as purely incidental. It is based fully on this lawfulness of logical thought. This is, in essence, reason’s share in religion.<sup>14</sup><i class=""footnote""><i>Die Religion</i>, p. 12.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.15","In the opening pages of <i>Der Begriff der Religion</i> Cohen had already given an indication of the significance of his position when he stated that logic and religion have one basic idea in common, i.e., the idea of Being. Being is no less a problem of religion then a problem of logic.<sup>15</sup><i class=""footnote"">Ibid., pp. 20–22.</i> According to Cohen, “logic is the thinking of the origin”;<sup>16</sup><i class=""footnote"">Cohen, Die <i>Logik der reinen Erkenntnis</i>, B. Cassirer Verlag, Berlin, 1902.</i> thus, the understanding of all movement requires the thinking of rest as its origin, the grasping of all Becoming demands the thinking of Being as its logical precondition. Heraclitus’ “All flows” had to be corrected by Parmenides’ idea of Being. This, of course, leads us to the Kantian theory of Substance as the idea of relation, that is the logical point of rest to which all changes must be related and without which the processes in time remain inexplicable.<sup>17</sup><i class=""footnote"">Cf. Immanuel Kant, <i>Kritik der Reinen Vernunft.</i></i> The same problems and similar solutions are also the preoccupation of religion. Religion must find the origin of Becoming, and finds it in Being that is identified as God. God is the precondition of Becoming, which is the world of nature and of man. God as Being is the explanation of Becoming. However, it is important to note that there is no material relation between God and the world. Becoming is not emanation of Being. It does not issue from Being, nor is it contained in it. Just as the Kantian Substance has logical significance for change, so religion’s God as Being has logical significance for Becoming. Just as in logic thinking is the thinking of the origin, in religion thinking is the thinking of God as the thinking of origin. “Nature is the Becoming that demands that Being be given to it as its foundation.” <sup>18</sup><i class=""footnote""><i>Die Religion</i>, p. 77.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.16","God is Being, Becoming is existence (<i>Dasein</i>). One discovers existence through the senses; God, however, is nonperceptible Being grasped by reason. Thus, God is not only one, but unique, the only Being. Nothing has being apart from him. Nature has existence, but not being. Nature is nothing compared to the Being of God. Uniqueness, therefore, excludes all pantheism, which identifies Being with Becoming. It also renders impossible any idea of mediation, be it dualistic like Philo’s thought of the logos, or trinitarian, like the Christian belief in a triune God. God alone has being.<sup>19</sup><i class=""footnote"">For this presentation, cf. <i>Der Begriff</i>, 22–26; <i>Die Religion</i>, the chapter, “Die, Einzigkeit, Gottes.” However, the basic idea of the uniqueness of divine Being is already present in the <i>Ethik</i>, p. 403.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.17",<b>2. <i>Creation and Revelation</i></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.18","Since God is thus conceived as the origin of Becoming, he is of necessity the source of all activity. This yields us the idea of creation. But we have seen that God’s significance for Becoming is logical, therefore creation must not be understood as an activity added to Being. That would establish a material relation between Being and Becoming which was excluded. Cohen says that creation is not an activity but the precondition of causality and of all activity. Thus, creation is called the essence of Being as uniqueness, or as Cohen says, “The uniqueness of divine Being is accomplished in creation.”<sup>20</sup><i class=""footnote""><i>Die Religion</i>, p. 76.</i> We assume that what he means is once again the direct result of the logical significance of Being for Becoming. One can only speak of the uniqueness of Being as a distinguishing characteristic from the Non-Being of Becoming. Since Becoming demands Being for its ground of necessity, Being has to include creation, not as an act in time, but as the basis of all acts in time. Thus Cohen would say, “Creation is the ground attribute (<i>Urattribut</i>) of God … not as a consequence of uniqueness … But identical with it.”<sup>21</sup><i class=""footnote"">Ibid., p. 77.</i> Although it is somewhat difficult to see how an attribute, however fundamental, could be identified with God, what Cohen had in mind was to make sure that creation should not be understood as a physical act in history, but as the origin of the space-time dimension as required by his logic. From this he derives the idea of the continuity of creation. If creation were a physical act on the part of the deity one such act would suffice and Becoming, too, would be such an individual event. But since creation is the ground of all activity, it must continually remain that ground. Thus Becoming itself is forever renewed. Cohen identifies this thought with the traditional formulation in the daily prayer of the Jew that maintains of God that “he renews in his goodness the works of creation daily.”<sup>22</sup><i class=""footnote"">Cf., <i>Die Religion</i>, the chapter, <i>“Die Schöpfung.”</i></i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.19","Man is part of nature. But man is not only nature, says Cohen; he is also reason. Creation of man was his creation as a rational being. This Cohen calls revelation. Revelation is the creation of reason. It is through reason that man discovers God, that he discovers truth. Thus, revelation should be understood as the continuation of creation. Revelation completes creation.<sup>23</sup><i class=""footnote"">Ibid., p. 84.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.20","The contents of revelation are “the statutes and laws” of Judaism. But they have their foundation in reason. They are revealed to man rationally. This changes revelation from a fact in history to a spiritual event occurring in human consciousness. What happens now to the historic revelation at Sinai? It, too, has to be spiritualized. Cohen thinks that he has found support for his theory in the Bible itself. The Bible warns against any “corporeal” visualization of the experience at Sinai. When the Bible says: “And the Eternal One spoke unto You out of the midst of the fire; ye heard the voice of the words, but ye saw no form,”<sup>24</sup><i class=""footnote"">Deuteronomy, pp. 4, 12.</i> Cohen maintains that even to hear would still be too much of a “materialization” of the divine. He interprets, therefore, the phrase, “ye heard,” as: “you understood and obeyed,” which the Hebrew, <i>shom’im</i>, permits. The strangest support for his rationalistic interpretation of revelation Cohen finds in the biblical statement: “It is not in heaven, that thou shouldst say: Who shall go up for us to heaven, and bring it unto us, and make us to hear it, that we may do it? But the word is very nigh unto thee, in thy mouth, and in thy heart, that thou mayest do it.”<sup>25</sup><i class=""footnote"">Ibid., pp. 30, 14.</i> According to Cohen, this removes revelation from history. If tradition does associate revelation with the history of Israel, it is due to the fact that for the sake of the establishment of monotheism—which in its essence is fully universalistic—it was necessary to make it the purpose of national existence, to fill with it the national consciousness. Revelation is universal, it is addressed to man and not specifically to the Jew. Its association with Israel, one might say in view of Cohen’s interpretation, was a mere expedient, a kind of accidental monotheistic politics to introduce monotheistic universalism into history."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.21","In conclusion of the theme Cohen writes: “If this spiritual process [of revelation] in the course of political events was nevertheless given the distinction of a historic act in order that it might have the character of a national one, so—as we have seen—the critique and the correction entered at the beginning of the genuine, the literary history and have transferred Sinai into the heart of man. That which is eternal, removed from all sense experience and thus also from all history, is the ground and the guarantee for that which is innermost to the national history. It preceeds it, because it is its foundation.”<sup>26</sup><i class=""footnote""><i>Die Religion</i>, p. 98.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.22",<b>3. <i>Correlation and Attributes</i></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.23","Cohen asserts that the creation of man in reason establishes a link between God, the Creator, and man. Revelation is revelation to man; thus God enters into relation with man. This link by way of reason Cohen calls correlation. “The uniqueness of God (as the Creator) conditions His relation to the reason of man. The reason of man as creation of God, conditions his relation of reason to God.”<sup>27</sup><i class=""footnote"">Ibid., p. 95.</i> The result is correlation. One is probably justified in saying that the idea of the correlation is the most important concept in both works, <i>Der Begriff der Religion</i> and <i>Die Religion der Vernunft</i>. It is given the task of solving the problems of human existence that, as we saw, ethics cannot solve."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.24","Reason is twofold, theoretical and practical. Since reason is the basis of the correlation between God and man, the correlation, too, has to be twofold. It may reveal to man the answers to the purely theoretical question of “whence?”. In this sense, man discovers in the correlation Being as God who is unique and, as we saw, because of that, the Creator. And as he knows God, free of matter and life, as all Spirit, so does he recognize himself, because of the correlation, also as spirit similar to God, though of course not identical with or equal to him.<sup>28</sup><i class=""footnote"">Ibid., p. 104.</i> But as reason is also practical, in the correlation man will be enlightened also on the ethical question: what for?"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.25","The question, “what for?”, is answered by purpose. Theoretical reason is revelation that provides the ground to the realm of nature, i.e., causality; practical reason reveals the ground to the realm of man, it completes causality through purpose. But purpose is accomplished through action. Thus we reach the divine attributes of action, whose theory was developed by Maimonides. Cohen, however, places his own interpretation on them. How can action be an attribute of God? Being is at rest within itself. It is not subject to question of purpose. Yet Being as God is the ground, the origin, of the dimension of purpose. We have therefore to say that the question of purpose points beyond Being into a new phase of the correlation. “Action” with God is the foundation of the possibility of action in Becoming as it is represented by man. Action is always under the aspect of purpose, but purpose is for man. Therefore, attributes of action are not so much attributes of God as paradigms, norms for human action. God as Being is not only the origin of Becoming, he is also the <i>Urbild</i>, the arch-idea for human action. That the rabbis ascribed “modesty” to God, for example, proves that attributes are such norms (<i>Musterbilder</i>) for human morality. Cohen maintains that “what is called divine attribute is not at all an attribute in the logical, but only in the ethical sense. The attribute does not stand in logical relation to the Substance, but rather in ethical relation to the substance of man.<sup>29</sup><i class=""footnote"">Ibid., p. 503.</i> The same idea was expressed by Cohen in a different context, when he said: “Only those attributes should be ascribed to him [God] which serve as the ground for man’s morality and favor his drawing near to God.”<sup>30</sup><i class=""footnote""><i>Der Begriff</i>, p. 106.</i> Through the divine attributes man should learn to act in accordance with them, and only those which serve this purpose are attached to God. In essence, it is the same idea that Cohen had already formulated rather succinctly in the <i>Ethik</i>. Having declared that it was God who taught man what morality was, he added: “Not what God is has God to teach me, but what man is.”<sup>31</sup><i class=""footnote""><i>Ethik</i>, p. 403.</i> In keeping with his religious phase, we ought to say: “What man should be.” It is important, however, to realize that as a result of all that, “Being once again marches out of its boundaries into correlation with Becoming in man.”<sup>32</sup><i class=""footnote""><i>Die Religion</i>, p. 111.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.26","We have now gained two forms of the correlation, corresponding to the two forms of reason by which God enters into relation with man. One is as Being as the origin of all causation; the other as Being as the ground of all ethical purpose. This helps us to establish the meaning of God for man. “Only in correlation with man should the essence of God be determined.”<sup>33</sup><i class=""footnote""><i>Der Begriff</i>, p. 106.</i> This is most elaborately demonstrated in the realm of purpose, the realm of ethical action for man. God is his attributes for man; God is the <i>Urbild</i>, the arch-idea. The one and unique God has no “reality.” He has the reality of the Idea, the idea of the holy God, the idea of the holy spirit, which, according to Cohen is identical with the idea of morality.<sup>34</sup><i class=""footnote""><i>Die Religion</i>, p. 188.</i> “Holiness is morality” says Cohen. Holiness matures into all the ramifications of correlation, it embraces justice and love. “Holiness is altogether only morality. And with God, too, it has only that meaning of morality which the correlation with man demands.”<sup>35</sup><i class=""footnote"">Ibid., p. 128.</i> God, whose essence is determined by the correlation, is therefore the idea of holiness, the idea of love and justice."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.27","<b>4. <i>Love, Forgiveness, and Reconciliation</i></b>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.28","The idea of God as the paradigm of ethical action points to man’s purpose in his life with other human beings. The other man is at first “man beside me” (<i>Nebenmensch</i>). Ethics by itself knows only him. As we saw, it cannot consider him in his specific situation, whether he be rich or poor, happy or miserable. However, one cannot isolate oneself from society and, since poverty is the general lot of man, one dare not separate oneself from the social suffering of poverty. In the <i>Begriff der Religion</i> Cohen already stated that it is through sympathy that one overcomes the distance that prevails between one man and another if their relation is based on the sole demand of ethics, i.e., respect. “And where once sympathy has entered, there love for mankind must also blossom…. Love for mankind is the religious form of the social relation between man and man.”<sup>36</sup><i class=""footnote""><i>Der Begriff</i>, p. 79.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.29","Later on, in his work on the religion of reason, Cohen also said that, as man considers the human misery of “the man beside him,” he responds with sympathy. Thus, through sympathy he transforms “man beside him” (<i>Nebenmensch</i>) into “fellowman” (<i>Mitmensch</i>). It is something that ethics cannot do, maintains Cohen. Sympathy is the original form of man’s love for his fellow human being. “God has created man, but his fellowman he [man] must create himself.” Of it Cohen says that it is religion that has to bring about this new creation. “Thus God has to become the creator for a second time in that he forms man into fellowman through man himself, through the share of reason in religion.”<sup>37</sup><i class=""footnote""><i>Die Religion</i>, p. 171.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.30","It should now be clear how it is the share of reason in religion that brings this new creation of the fellowman about. In the ethical correlation between God and man, God is revealed to man as the paradigm of God’s love for man. In the social legislation of the Bible regarding the poor, Cohen sees God’s love for man made manifest. They are limitations of property rights for the sake of the poor. Especially in the law of the <i>Shabbat</i> he finds the idea of equality expressed. Thus we have found the meaning of God’s love for man. “The sympathy with the poor which God awakens within us through His commandments, becomes for us the understandable ground for the meaning of God’s love.”<sup>38</sup><i class=""footnote"">Ibid., p. 185.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.31","Closely related to God’s love for man is man’s love for God. At first, Cohen sees a serious problem here. It would seem that from the point of view of monotheism one should take objection to the very idea of man’s love for God. God is the Being for which only the thought of man may search and whom only the understanding can establish. However, the intellectual task is an infinite one. It is not “a quiet possession, a gift complete.” How can this restless search for God be called love?<sup>39</sup><i class=""footnote""><i>Der Begriff</i>, pp. 80–81, 84; cf also <i>Die Religion</i>, p. 188; <i>Ethik</i>, p. 403.</i> The answer is that since God, as we saw, is never “reality” for man since he is Idea—the idea of morality—in loving Him we love the idea, the norm, the paradigm. If I want my thinking of God to be love of God, I have to think of the moral universe of man’s social existence, I have to direct my concern to it and love it. Therefore, asserts Cohen, man’s love of God is not a form of anthropomorphism, for the problem is resolved by the paradox that to love God means that one should love man."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.32","As man changes “man beside him” into fellowman, he transforms the “He” or “She” into “Thou.” In fact, it is only through this act that he himself becomes a fellowman; and as he becomes a fellowman, he becomes “I.” It is only through “thou” that we become “I.” Thus, a new correlation is established, the correlation of I-Thou between man and man. Yet, man does not exist only in the social context. What of the “I” in the absolute? in separation? What of man as he exists by himself and for himself? With this question, of course, we have arrived at the second problem of man, that as we heard, ethics alone could not solve.<sup>40</sup><i class=""footnote"">The two problems that ethics cannot solve, the response to the specific situation of human misery and the lifting of guilt from the human conscience, are treated in different sequences in the two works, <i>Der Begriff</i> and <i>Die Religion.</i> In the former, the problem of guilt is discussed first, then the social problem; in the latter the order is reversed. In our presentation we follow the sequence in <i>Die Religion.</i></i> Man exists by himself by recognizing his guilt, by realizing that he is a sinner. Thus he becomes the individuum, the individual being in separation. However, the realization of sin is not the ultimate goal; the goal is liberation from sin. Only through such liberation does the individuum become the “I,” the person in full reality. Sin is—in a sense—a transit station from individuum to the “I.”"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.33","Other stages along the journey are redemption and reconciliation. God liberates man by forgiving his sin. It is man alone who has the task of bringing about forgiveness. His is the responsibility of <i>t’shuba</i>, of return, of renewed stirring for self-sanctification after every failure. The goal of his stirring and self-uplift is God. Man alone cannot accomplish his liberation. God alone can take his sin from him, God alone is his redeemer. “The sin before God leads us to redemption through God. Redemption through God leads us to man’s reconciliation with himself. And it is this that ultimately leads the “I” to reconcilation with God. It is reconciliation with God that brings the individuum to feel maturity as “I.”<sup>41</sup><i class=""footnote""><i>Die Religion</i>, p. 222.</i> Man is turning away from the old and beginning on a new road. Through his liberation from all his sins he gains new strength. Now man is able to create a new heart for himself and a new spirit. With his new “I” he steps into life and proves himself.<sup>42</sup><i class=""footnote"">Ibid., pp. 238, 227.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.34","With the help of religion we have now deepened our understanding of man and, thus, also our understanding of God."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.35","This is now the third facet of the correlation between God and man; it is forgiveness and redemption. “It is the essence of God to forgive the sins of man. This is the most important content of the correlation between God and man.” <sup>43</sup><i class=""footnote"">Ibid., p. 251; see also <i>Der Begriff</i>, p. 64.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.36",<b>5. <i>Ethics and Messianism</i></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.37","In one more respect has ethics to broaden into religion. At the beginning of our analysis we have seen how, even at the time Cohen believed that religion would have to submerge in ethics he still needed the idea of God in order to complete the ethical system which he had erected. At that time, all he said was that the eternity of ethical striving and realization was guaranteed by the preservation of Man and Naure parallel to each other. However, that guarantee was provided by the God idea of monotheism. While not discussing it explicitly, as he did with the other two problems about which ethics was helpless, it would appear that at a later time Cohen realized how inadequate his God-idea in the <i>Ethik</i> was to fulfill the task he had allotted to it."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.38","The God-idea of the <i>Ethik</i>, as we have pointed out, was a reformulation of one of Kant’s postulates of practical reason. Now, a postulate of practical reason may be a methodological requirement in order to complete a system, as the God postulate, indeed, completed Kant’s critique of practical reason and as, in its new formulation, it was intended to complete Cohen’s ethical system of the pure will. But one thing a postulate cannot do—it cannot guarantee anything. It may methodologically smooth out some ruffled spots in thinking, but it can do nothing for the reality of existence. And thus the God-idea of the <i>Ethik</i> could not accomplish that for the sake of which it was originally introduced; it could not guarantee the continued existence in fact, in history, of man and nature."
