Index Title,Judaism Fossil.
"Judaism Fossil., Introduction.1","T<small>OYNBEE’S CRITICISM</small> of Judaism and Jewry is spread practically across the entire face of the ten volumes of his <i>Study</i>. This is the external mark of the intrinsic connection that exists between that author’s interpretation of world history and his understanding of Judaism. Believing that he has discerned the central theme of all history, he briskly treads his path through the maze of events and occurrences. But it is his central theme which is responsible for Toynbee’s preoccupation with Judaism, as well as for the facts that most of the basic principles of the <i>Study</i> are developed in innumerable—rather one-sided—debates against Judaism and the alleged aspirations of the Jewish people. The theme of universal history, according to Toynbee, is Man’s Salvation. But no one who is bold enough to believe in that will ever be able to get away from Israel. He must either bless or curse—and Toynbee does both—but he cannot leave alone. The salvation of man is not only a central theological concept of Judaism, but the goal toward which, in Judaic teaching, all history is moving. It was the prophets of Israel, and they alone, who interpreted history as man’s Messianic development toward his salvation. Toynbee takes over the Jewish concept but puts it to work side by side with his rejection of Judaism and of the Jewish people. No wonder that the final outcome of <i>A Study of History</i> is intellectually as well as morally insipid.<sup>1</sup><i class=""footnote"">See below the Epilogue, section 2.</i>"
"Judaism Fossil., Introduction.2","Probably the most significant aspect of <i>A Study of History</i> is that it is not at all a historical work, i.e., one belonging to the discipline of the science of history. It is a philosophical and theological inquiry concerning a great deal of historical raw material. The historian Toynbee supplies the information; the philosopher and theologian. Toynbee provides the interpretation. However, since Toynbee is much more historian than theologian or philosopher, he really believes that his interpretation is derived from the facts of history; and so he lustily engages in the discovery of a considerable number of “laws” of history. But since the days of Hume and Kant no philosopher should make the mistake of thinking that “laws” can be derived from facts. That man cannot save himself and depends for his salvation on an Act of Grace by God, who in a form incarnate gives Himself to the world in order to redeem it, is Christian doctrine; and as such it will be treated with respect as the faith of their fellow men by non-Christians too. But when Toynbee adduces countless instances of human failure in history in order to distill from them the <i>proof</i> that man, on account of his intrinsic nature, will never save himself—which, by the way, is Toynbee’s central thesis—then he is talking nonsense. The examples may establish the fact that, up to date, man has not succeeded in saving himself. Whether he has failed because he has blundered—and what he needs is more time to try—or because he is incapable of saving himself: on this point history remains silent. It is for the religions and philosophies of mankind to take over where history leaves off and to interpret the facts as best they may. The principles of interpretation do not emanate from history, but from philosophy, ethics, and religion. It is so in the case of Toynbee, and as it has been so in the case of all the interpreters of history, even though he does not seem to be aware of the fact. Toynbee’s “laws” of history are all imported from without and applied to the facts, but not proved by them. From the point of view of historical objectivity all that one might say in their favor is that, according to Toynbee, they are not contradicted by the facts."
"Judaism Fossil., Introduction.3","Toynbee’s discussion of H. A. L. Fisher’s approach to history is beside the point.<sup>1</sup><i class=""footnote"">See V/414.</i> Fisher is of course right that, for the historian, history is without meaning. But this is not the same as saying that “history is bunkum.” The meaning is in the interpretation, and the interpretation is never provided by history itself. Toynbee is fooling himself when he suggests that his “laws” are those of history. They are philosophical and theological concepts with whose help he attempts to bring order to the chaos of historical events. There may be dozens of others, as there indeed are, that may be equally useful as “categories” or as “principles of selection” for the purpose of imposing some order on the “Tohu va’Bohu” of mere facts. If the “principles of selection” are to be treated as more than a mere device for the writer of history to marshal his facts coherently, if they are to be granted the solemn dignity of “laws,” expressing—as in the case of Toynbee—eternal metaphysical truth, then they have validity only in so far as they may stand their ground in the realm of philosophy, ethics, or theology. But nowhere in the <i>Study</i> is the soundness of the many philosophical, metaphysical, or theological premises of Toynbee even investigated, much less established. The author of the <i>Study</i> has read widely and makes clever eclectical and literary use of his reading; it is, however, extremely doubtful that he deserves much consideration either as a philosopher or as a theologian."
"Judaism Fossil., Introduction.4","It would be pointless to argue that the Toynbean “laws” of history might have “statistical” significance, as—indeed—Toynbee occasionally suggests. There is no need to discuss here the question whether the concept of statistical laws of modern scientific research is at all applicable—and if so to what extent—to the study of history. Whatever the verdict of the logician, scientist, or philosopher, it is certain that statistics could never yield the Toynbean pattern of world history. By their very essence statistical laws have only quantitative meaning and are, indeed, always about quantitative relationships in nature; the Toynbean “laws” are about values and metaphysical truths. Statistical laws can be put to the test of experiment: if they “work,” if they are successful, they may be assumed to be valid. The validity of value concepts, on the other hand, cannot be questioned by failure in practice, nor can metaphysical truths be ascertained by facts of history."
"Judaism Fossil., Introduction.5","Toynbee, for instance, spends a great amount of effort to prove how right Jesus was when he said that all who take the sword perish by the sword. Now, for a believer in Jesus, the real significance of the pronouncement lies not in the fact that it was made on the basis of experimental observation, but in the fact that its source is divine inspiration and knowledge. It is the revelation of the metaphysical truth that this world has been so established by God that those who take the sword must perish by it. Only on this account is it wrong, in all circumstances, to take the sword; he who does so acts against the Will of God. This may be true and it does make a lot of sense for the believer, but it cannot be “proved” by a study of history. It is sufficient that history should not contradict it. What Toynbee has shown—if he has done so much—is that, as far as our observations reach, all those who ever took the sword perished by the sword. Consequently, one is entitled to conclude that, for anyone who does not wish to perish, it would be foolish to take the sword, for the probability that he will perish by the sword is extremely high. But suppose that a person should enjoy being foolish and cared nothing whether he lived or perished.… Notwithstanding his ten volumes, Toynbee has not made the slightest contribution toward establishing more firmly among men the truth that it is ethically wrong to take the sword. All his examples show only that taking the sword is likely to lead to failure. This, however, means nothing for the question of values. If it is right to take the sword, it will be right to do so even though one is likely to perish in the action; if it is wrong to take the sword, it will remain an evil thing to do even though it may bring honor, glory, long life, and all the riches of the world. Facts know nothing of “ought” and “ought not.” Ethical values and religious truth are not confirmed by success nor invalidated by failure."
"Judaism Fossil., Introduction.6","The prophets of Israel did not gain their interpretation of history as historians. The meaning which they attributed to history as the gradual Messianic evolution of mankind toward salvation has its origin in their faith in God and in the logical application of that faith to the understanding of all life. Man’s failure in history is, to use a phrase of Jacob Burckhardt,<sup>1</sup><i class=""footnote"">See Jacob Burckhardt, <i>Force and Freedom</i>, ed. Meridian Books, N. Y. 1955, p. 234.</i> a scandal. The scandal caused Toynbee to panic intellectually;<sup>2</sup><i class=""footnote"">See below chapter V, section 1 and the Epilogue, section 1.</i> because of it he became a religious historian. The believer, however, believes not because of the scandal, but in spite of it; nor does he seek his justification in history, but in his own conscience before God."
"Judaism Fossil., Introduction.7",________
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.1",<b>1.</b>
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.2","I<small>N THE OPINION</small> of Toynbee the outstanding event in the history of the West was the rise of Christianity.<sup>1</sup><i class=""footnote"">VII/446-47.</i> As in the case of all other Higher Religions, Christianity too emerged from the clash between two civilizations. Since, however, the two civilizations in question were the “Syriac” (standing here for Jewish) and the Hellenic and, especially, since Christianity was originally the answer of Jewish souls to the challenge inherent in the conflict, an understanding of Judaism and Jewish history becomes one of the keys to the understanding of the pattern and the “laws” that Mr. Toynbee believes he is able to discern in all history. The Christian response to the challenge was successful; the Jewish response, a warning failure for all generations. No wonder, therefore, that for exceedingly long stretches through nine of the ten volumes<sup>2</sup><i class=""footnote""><i>A Study of History</i> is actually completed with Volume IX; Volume X might appropriately be considered an annex to the rest of the work.</i> of <i>A Study of History</i> the author seems to be waging a running battle against Judaism and Jewry."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.3","It seems, though, that Judaism was not always a failure. Its fall dates from the epiphany of Christianity. Originally, Judaism represented one of the noblest manifestations of the Spirit. The Syriac civilization, the larger unit to which Israel and Judah belong according to Mr. Toynbee’s method of classification, is perhaps “the most brilliant and most original representative of the species”; and of “the three great feats to its credit … the greatest creative achievement … was neither its discovery of the Atlantic nor its discovery of the Alphabet,” the achievement of the other Syriac peoples, but its Jewish discovery of God. The “particular conception of God” of the early Hebrew tribes “is common to Judaism, Zoroastrianism, Christianity, and Islam, but alien from the Egyptiac, Sumeric, Indic, and Hellenic veins of religious thought.”<sup>3</sup><i class=""footnote"">The quotations are taken from II/50 and 386-87.</i> The essence of Judaism at this early stage is summed up in the Biblical tale about the Choice of Solomon. “Ask what I shall give thee,” God said to the King in a dream; and Solomon asked not for riches or honor but for “an understanding heart.”<sup>4</sup><i class=""footnote"">I Kings, III/5 and 9.</i> Mr. Toynbee comments: “This fable of Solomon’s Choice is a parable of the history of the Chosen People. In the power of their spiritual understanding, the Israelites surpassed the military powers of the Philistines and the maritime powers of the Phoenicians. They had not sought after those things which the Gentiles seek, but had sought first the kingdom of God; and therefore all those things were added to them.…”<sup>5</sup><i class=""footnote"">II/55.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.4","However, soon after the death of Solomon the Hebrew tribes, “betrayed by what is false within,” in fratricidal warfare brought about the beginning of the breakdown of the Syriac civilization. Thus, true to the general pattern of history, this civilization too was launched toward its inevitable “Time of Troubles,” which began when the Assyrian colossus, practically invited by the breakdown, marched into the Syriac arena.<sup>6</sup><i class=""footnote"">IV/68.</i> Fortunately, this crisis turned out to be a blessing in disguise, for it was the challenge that stimulated the “Syriac” people of the Jews to respond with the most magnificent flowering of their spiritual creativity. It was in this Time of Troubles that Judaism truly developed into one of the great Higher Religions of mankind. One might single out some of the phases in this development which are discussed by Mr. Toynbee. If the breakdown is due to “what is false within,” then of course it is logical to seek for salvation by what is true within or, as it may also be put, by the transference of action from the material to the spiritual level, “from the Macrocosm to the Microcosm.” That, indeed, is the secret of creativity and the “sign of growth.” It was the message conveyed to Socrates by his “daimonion … after he had grown in wisdom and had put away childish things”; it was the intuition of Lao-tse; and it was perceived in “the still small voice in which Elijah heard at last the Godhead whom he had not seen in the fire and not encountered in the earthquake and not felt in the great and strong wind which had rent the mountains and broken in pieces the rocks.”<sup>7</sup><i class=""footnote"">III/187.</i> Later in Jewish history this experience of Elijah is crystallized by the pre-exilic prophets of Israel into the corporate response of the Jewish people to Assyrian and Babylonian militarism. It confounds the crushing military superiority of the adversary because it is not a retort “in kind,” but the answer “to a physical challenge on a spiritual plane.”<sup>8</sup><i class=""footnote"">VIII/467.</i> In terms of the <i>Study</i> one may discern several features in this response. It contains an explanation of the disaster that overtook the people, the reason for which—and this is decisive—is not sought in obvious external causes, like the military might of the enemy, but in guilt within, in a realization of sin and personal failure. The explanation implies acceptance of the suffering that follows from the crisis and that is translated into “understanding of the heart.” It is now that Judaism develops from its stage of an “embryonic higher religion” into its maturity. In the tribulations of this Time of Troubles, Judaism “found its soul by exchanging a parochial for an ecumenical outlook.” Jewry, enlightened by suffering, resigns itself “consciously to be the instrument of God’s will,” and is ready now to go out and meet the world with the ethos of gentleness, to captivate souls rather than to subdue empires.<sup>9</sup><i class=""footnote"">This meaning of “the retort” is taken from various passages in the <i>Study</i>, in particular from V/433, VII/228 and 424, I/293, VIII/472, V/120.</i> Mr. Toynbee, developing this theme, is unstinting in his appreciation. So he says, for example:"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.5","… the classical case is the spiritual experience of the Prophets of Israel and Judah in the Syriac “Time of Troubles,” when these prophets discovering their truths and delivering their message, the society out of whose bosom they had arisen, and to whose members they were addressing themselves, was lying in helpless agony in the grip of the Assyrian tiger.… For souls whose body social was in this fearful plight, it was an heroic spiritual feat to reject the obvious and specious explanation of their misery as the work of an irresistible external force of a material kind, and to divine that, in spite of all outward appearances, it was their own sin that was the true cause of their tribulations and that it therefore lay in their own hands to win their true release."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.6","This “saving truth” was inherited by Christianity from the prophets of Israel and “propagated in Christian guise” for the salvation of “the Hellenic World.”<sup>10</sup><i class=""footnote"">According to Mr. Toynbee’s terminology, meaning the Roman Empire, which is to be considered the Universal State of the disintegrating Hellenic Civilization.</i> “Without this intrusion from an alien source in [of?] a principle which had already been apprehended by Syriac souls with an altogether non-Hellenic outlook, the Hellenic Society might never—even in its own ‘Time of Troubles’—have succeeded in learning a lesson which was so much at variance with the dominant mood in the Hellenic Ethos.” The significance of this Jewish response of the “still small voice” was then so far-reaching that without it the conversion of the Roman Empire and its peoples to Christianity might never have occurred."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.7","Bearing this in mind one is almost tempted to the perhaps frivolous remark that, alas, the finest Time of Troubles does not last forever; and so the Syriac tribulations too came to an end with the establishment by Cyrus of an Empire that gave the Syriac world a <i>Pax Achaemenia</i>.<sup>11</sup><i class=""footnote"">VI/302.</i> From the sixth century to the second century <small>B.C.E.</small> Judaism and Jewry pass through a phase of “relative stagnation.”<sup>12</sup><i class=""footnote"">III/141.</i> No suffering, no creativity!—this is the rule. The stimulus for further growth is not again provided until the Achaemenian Empire, as the result of the conquest of Alexander the Great, is overwhelmed by the Hellenic world. And now we have a second bout of the Time of Troubles, but this time between the Syriac and the Hellenic civilizations. The conflict is narrowed down in the second century <small>B.C.E.</small> to one between Judaism and Hellenism—at first between Jewry and the Hellenized Syria of the Seleucids, later between Jewry and the Roman Empire, the universal state of Hellenic society. It is in this period that Judaism and the Jewish people fail miserably; it is the time of their decline and irretrievable fall."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.8",<b>2.</b>
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.9","What happened to the Jewish soul after the glorious achievements of the first period of Syriac misfortune? In the opinion of Mr. Toynbee, Judaism in this second Time of Troubles lapsed into militancy.<sup>13</sup><i class=""footnote"">V/68, footnote 2.</i> However, trying to analyze what that means, we come up against one of the idiosyncrasies of the profuse <i>Study</i>. The rich style is, unfortunately, not seasoned by clarity of expression; nor is the breadth of erudition controlled by consistent reasoning. The “lapse into militancy” has not remained unaffected by the author’s predilection for literary luxuriance. The phrase seems to have a host of different meanings. The rebellion of the Maccabees is first described as such a lapse into militancy for the purpose of propagating a religion by methods of violence.<sup>14</sup><i class=""footnote"">IV/225.</i> However, the record is corrected later, so as to conform more to the truth, by the admission that the Maccabees drew the sword “in self-defense, in order to save the Jewish religion from extinction.”<sup>15</sup><i class=""footnote"">V/657-58.</i> This, of course, does not seem to be such a dishonorable deed, and Mr. Toynbee, in another place,<sup>16</sup><i class=""footnote"">IV/246.</i> gives even the Pharisees a pat on the back for having supported the Maccabees in “the heroic Jewish revolt against Hellenism.” But the admission is made not in order to exculpate the Maccabees but in order to pin-point their guilt. The very same sword that had been so nobly drawn was soon turned “to the new sinister use of imposing Judaism upon the neighboring non-Jewish populations … whom the Maccabees now succeded in bringing under their rule.”<sup>15</sup><i class=""footnote"">V/657-58.</i> The reference is of course to Johanan Hyrcanus<sup>17</sup><i class=""footnote"">See Josephus, <i>Antiquities of the Jews</i>, XIII/9.</i>, who is reported by Josephus to have compelled the Idumeans to accept Judaism. The isolated action of a Hasmonean prince is construed as “the Maccabean policy of religious conversion by political force” that cost Judaism “the whole of its spiritual future.”<sup>18</sup><i class=""footnote"">V/657-58.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.10","Whether the thesis makes sense or not, it means that the lapse into militancy was due to religious zeal; it had a religious motivation. This version of the “lapse” is lost sight of elsewhere in order to make room for a different one. According to another version, Jewry’s struggle against Hellenism was a purely secular affair, a political enterprise with the purpose of driving an alien aggressor out of the domain of the Syriac world, a task that was later brilliantly accomplished by Islam. This then was the “disastrous aberration”—the exchanging of the religious function, proper to Judaism, for a political role. In the end Jewry had to pay heavily “for having lent itself to a political enterprise.”<sup>19</sup><i class=""footnote"">E.g., V/125-6, VIII/479, 446.</i> But even this version of the “lapse” is not maintained consistently. At times Mr. Toynbee says that Judaism was perversely distracted from its “ecumenical mission of bringing human souls into a closer communion with God” and became a combatant “in the trivial mundane military enterprise of liberating a subjugated Syriac Society’s domain from the incubus of an interloping Hellenic ascendancy.” At times, on the other hand, Mr. Toynbee implies that the struggle between the two societies was really a <i>Kulturkampf</i> and that Judaism was deflected from its original mission and “transformed” into a weapon “of cultural warfare in the Syriac Society’s retort to the Hellenic Society’s aggression.”<sup>20</sup><i class=""footnote"">VII/73.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.11","And now the reader may take his choice between militancy as a policy of religious conversion, as an auxiliary in a cultural warfare, or as a struggle for political freedom. But, Mr. Toynbee himself does not make a choice; he asserts these propositions indiscriminately and simultaneously, with all their contradictory consequences."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.12","The use of force for the conversion of souls is indeed the most monstrous perversion of religion that one can imagine. And if that was the guilt of Jewry during the period under discussion, one might even agree with the author’s equation of the exploits of the “Jewish Sicarii—the ‘gangsters’ of the zealot persuasion”—with those of the Spanish Inquisition.<sup>21</sup><i class=""footnote"">IV/228-29.</i> It is of course true that these “gangster” Zealots were fighting as soldiers, defending their homeland against the brutal military monster, whereas the Grand Inquisitors were living in the palaces of the mighty, robed in purple and satiated with power and riches, secure and safe and risking nothing of their own, wielding all the power of this world against the few and the weak who were no aggressors. Nevertheless from the point of view of the Kingdom of God, it makes little difference whether you take the sword in self-defense or as an aggressor; you will perish by the sword.<sup>22</sup><i class=""footnote"">VI/260-61.</i> On the other hand, if the struggle of Jewry against Hellenism was only “a trivial mundane military enterprise” for the sake of political liberation, then it might be called foolish but not really devilish; then it does make a world of difference whether you fight in self-defense, spurning life without liberty, or as an aggressor, trampling under foot the freedom and happiness of others. Surely, not even the “etherealized”<sup>23</sup><i class=""footnote"">IV/225.</i> Mr. Toynbee would have the courage to consider all the “unsuccessful” fighters for freedom in history to be “gangsters.” If Jewry’s failure consisted in exchanging a religious function for a political one, then the mere mentioning of the Zealots and the Spanish Inquisition in the same breath is an unwarranted insult to the Zealots. Mr. Toynbee is perfectly right in maintaining “that the propagation of one religion at the expense of other religions through the employment of methods of barbarism, on the ground that the religion in whose name the persecution is carried on is a religion of a higher order, is a moral contradiction in terms, since oppression and injustice and cruelty are negations of the very essence of spiritual sublimity.”<sup>23</sup><i class=""footnote"">IV/225.</i> Now, this is extremely relevant in any discussion of the Inquisition; it was indeed “a moral contradiction in terms” to insist on building the Kingdom of God with “oppression and injustice and cruelty.” However, the stricture does not apply to the Jewish Zealots, if theirs was a secular struggle against a secular enemy. It is certainly not a “moral contradiction” to fight on the mundane plane a mundane war of self-defense with mundane means; but it is undoubtedly the most devilish form of barbarism to “save” souls, against their own will, with iron and fire."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.13","Similarly, the purported forcible conversion of the Idumeans ought to be re-evaluated. If Judaism was forced into a political role and the Maccabean kingdom was a purely mundane enterprise,<sup>24</sup><i class=""footnote"">V/387.</i> then Johanan Hyrcanus was attempting to imitate the methods of Antiochus Epiphanes, who by the brutally enforced elimination of religious diversity among his subject peoples was hoping to safeguard the political unity of his empire.<sup>25</sup><i class=""footnote"">See Josephus, <i>Antiquities of the Jews</i>, XIII/9.</i> On this showing, Johanan Hyrcanus was doing on a small scale and in a tiny corner of the world what the conquerors of this earth did almost as a matter of political routine on a far vaster scale and with much more devastating consequences for the human race. In this case one may of course speak no longer of the “Maccabean policy of religious conversion by political force,” but rather of the Machiavellian policy of all rulers—that of safeguarding the political unity of their realm at all cost, even by means of enforced religious uniformity.<sup>26</sup><i class=""footnote"">There are historians who maintain that Constantine the Great, when making Christianity the state religion of the Roman Empire, was moved mainly by considerations of political expediency. While Mr. Toynbee, for reasons of his “psychological” penetration of the mentality of Constantine, rejects such a view (see V/708-10), he cannot help conceding (see IV/349-50) that the triumph of Christianity over the Empire was due to “promptings of Superstition … supported by the counsels of raison d’état.” In order to preserve “the ancient unity of religious and political life in the Hellenic universal state … the bold diplomatic counterstroke was executed of taking the Christian Church bodily to the Empire’s bosom”. After the <i>entente</i> between Constantine and the Church, the latter—according to Mr. Toynbee—“nestled down promptly and cheerfully into the <i>political</i> shell in which the Imperial authorities now invited it to take up its abode …” Since “the bold diplomatic counterstroke” included the forcible suppression of all other religions besides Christianity (Judaism being the only one that was granted a very narrowly circumscribed measure of toleration), it would be interesting to know whether the establishment of Christianity by Constantine should be called “a policy of religious conversion by political force” or, perhaps, a policy of political unification by means of enforced religious uniformity? See also what Toynbee has to say (VII/401) about Theodosius I’s new policy of repression against all non-Christian religion in 382 C.E., as a means for saving the Empire from dissolution. Be that as it may, it is interesting to note that the same deed that cost Judaism “the whole of its spiritual future,” when performed on a world-wide scale, should have established the good fortune of Christianity. At the same time one cannot help recalling that another Christian scholar contemporary of Mr. Toynbee, John MacMurray, in his <i>The Key to History</i>, subjects the <i>entente</i> between Constantine and the Church to a criticism which is very similar to the one meted out to the Hasmonean Prince by Mr. Toynbee. MacMurray recognizes in this <i>entente</i> between Church and State the main cause for Christianity’s failure in Western history.</i> The two concepts are incompatible."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.14","However, inconsistency does not perturb Mr. Toynbee. Having belabored the Maccabees and the Zealots on account of their perverse policy of propagating Judaism by methods of barbarism, he proceeds lustily to reap the full harvest of his other theory that the Maccabees deserted religion for politics. But here we have to introduce another one of Mr. Toynbee’s cherished concepts. What is at first called “lapse into militancy” imperceptibly merges into the ethos of violence, and we get the “antithesis between the gentle ethos of Christianity … and the violent ethos of Maccabean Judaism.”<sup>27</sup><i class=""footnote"">V/175.</i> One cannot help being genuinely surprised. What happened to the “lapse” that it should deserve to be elevated to the dignity of an “ethos”? Furthermore, the lapse <i>into</i> militancy must have been a lapse <i>from</i> something else; speaking of the Maccabees, this could only have been a lapse from Judaism, which—in Mr. Toynbee’s own words—in “a tremendous spiritual travail” of the first Syriac Time of Troubles had chosen the ethos of gentleness.<sup>28</sup><i class=""footnote"">See above, sect. 1 of this chapter.</i> It would therefore be much more truthful, when discussing the <i>lapse</i> of the Maccabees from the religion of their fathers, to speak of the antithesis between the gentle ethos of Judaism and the violent ethos of the Maccabees."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.15","For an unbiased mind, however, the most puzzling point here is the phrase “Maccabean Judaism.” In fact, there is no such things and there never was. The Maccabees were neither teachers nor interpreters of Judaism. In matters of religion they were followers and not leaders. Yet the term is a cornerstone in the structure of Mr. Toynbee. From the point of view of a Higher Religion the lapse into militancy is a grave aberration; but a sin that affects the soul of the sinner still leaves untainted the purity of his religion. An undespoiled Judaism, however, will never satisfy Mr. Toynbee. Accordingly, the Maccabees are said to have deserted the religious plane of life for a political one, thus transforming Judaism itself; they created a Judaism of their own, a kind of mundane religion. For the political task of liberating a society under physical assault, militancy is the only possible way of action; indeed, it is a virtue, the ethos of a mundane civilization. What we have is no longer a “lapse,” but “a change of ethos”;<sup>29</sup><i class=""footnote"">V/126, footnote 5.</i> and since this changes the very essence of a religion, we get “the violent ethos of Maccabean Judaism.”"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.16","It should not be difficult to guess how the other Judaism, the good one, the higher religion of the prophets of Israel, has been whisked away from the scene of history. This is how Mr. Toynbee puts it:"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.17","After the <i>transformation</i> of Judaism and Zoroastrianism into instruments of Syriac political opposition to a Hellenic dominant minority, the Syriac religious genius took refuge among those elements in the Syriac population under Hellenic ascendancy which were reacting to the challenge in the gentle and not in the violent way; and, in giving birth to Christianity and Mithraism as its contributions to the spiritual travail of a Hellenic internal proletariat, Syriac religion found new expressions for a spirit and an outlook which Judaism and Zoroastrianism had repudiated.<sup>30</sup><i class=""footnote"">V/126-27.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.18","This statement neatly condenses most of the terminology of the <i>Study</i>, and no doubt has a certain dignity of its own. Attempting to translate it into plain English, by leaving out all references to Zoroastrianism and Mithraism<sup>31</sup><i class=""footnote"">One of the charms of the <i>Study</i> is that it prevents Jews as well as Judaism from falling into the sin of vain conceit by imagining that there could be anything unique about either of them. In good and bad fortune, in their greatness as well as in their fall, they have for their yoke-fellows of destiny the Parsees and Zoroastrianism.</i> (and therefore reading for “Syriac religious” and “Syriac religion,” “Jewish religious” and “Jewish religion”), and by equating “the gentle and not violent way” with the way of the original Judaism that was “transformed,” we can perhaps maintain that what Mr. Toynbee says is this: After the transformation of Judaism into an instrument of Syriac political opposition to Hellenic domination, the Jewish religious genius took refuge among those people who reacted to the challenge in the Jewish way; and, in giving birth to Christianity, Jewish religion found a new expression (meaning Christianity) for a spirit and an outlook (meaning Judaism) which Judaism had repudiated. Now, even though he says so, Mr. Toynbee does not really mean that Judaism repudiated Judaism; that would be silly. The unfortunate impression arises from the fact that “Judaism” and “Jewish” are used in two different ways in the same sentence. Almost throughout the entire sentence the words stand for their original “pre-transformation” meaning; only once, in the final clause, is “Judaism” used in the sense which it received after its “transformation.” It was this “transformed” Judaism that repudiated the classical Judaism of Israel. Classical Judaism “found new expressions” in Christianity, when—as the result of the rather illegitimate birth of Maccabean Judaism—the Jewish spiritual genius (the classical one!) took refuge outside a faithless Jewry. The Judaism of the prophets having been taken over by Christianity, the “antithesis” is now between the gentle ethos of Christianity and the violent ethos of Maccabean Judaism. The Judaism which Jewry itself is permitted to retain for its own use is the “transformed” Judaism of the Maccabees; and, since no other remains, Mr. Toynbee proceeds to drop the adjective “Maccabean” and speak boldly of the violent ethos of Judaism."
